timestep_2,region_2,carrier_1,carrier_2,parameter,value
all,AL,otherBiomass,solidBiomass,trdBuyUp,"3,759"
all,AT,otherBiomass,solidBiomass,trdBuyUp,"35,734"
all,BA,otherBiomass,solidBiomass,trdBuyUp,"6,393"
all,BE,otherBiomass,solidBiomass,trdBuyUp,"22,363"
all,BG,otherBiomass,solidBiomass,trdBuyUp,"18,934"
all,CH,otherBiomass,solidBiomass,trdBuyUp,"27,813"
all,CZ,otherBiomass,solidBiomass,trdBuyUp,"31,515"
all,DE,otherBiomass,solidBiomass,trdBuyUp,"165,525"
all,DK,otherBiomass,solidBiomass,trdBuyUp,"19,606"
all,EE,otherBiomass,solidBiomass,trdBuyUp,"10,991"
all,ES,otherBiomass,solidBiomass,trdBuyUp,"72,618"
all,FI,otherBiomass,solidBiomass,trdBuyUp,"60,881"
all,FR,otherBiomass,solidBiomass,trdBuyUp,"129,868"
all,GR,otherBiomass,solidBiomass,trdBuyUp,0
all,HR,otherBiomass,solidBiomass,trdBuyUp,"6,565"
all,HU,otherBiomass,solidBiomass,trdBuyUp,"31,629"
all,IE,otherBiomass,solidBiomass,trdBuyUp,"7,311"
all,IT,otherBiomass,solidBiomass,trdBuyUp,"56,546"
all,LT,otherBiomass,solidBiomass,trdBuyUp,"9,803"
all,LU,otherBiomass,solidBiomass,trdBuyUp,909
all,LV,otherBiomass,solidBiomass,trdBuyUp,"22,060"
all,ME,otherBiomass,solidBiomass,trdBuyUp,"7,170"
all,MK,otherBiomass,solidBiomass,trdBuyUp,"4,167"
all,NL,otherBiomass,solidBiomass,trdBuyUp,0
all,NO,otherBiomass,solidBiomass,trdBuyUp,"36,702"
all,PL,otherBiomass,solidBiomass,trdBuyUp,"82,684"
all,PT,otherBiomass,solidBiomass,trdBuyUp,"19,766"
all,RO,otherBiomass,solidBiomass,trdBuyUp,"67,931"
all,RS,otherBiomass,solidBiomass,trdBuyUp,"24,838"
all,SE,otherBiomass,solidBiomass,trdBuyUp,"102,522"
all,SI,otherBiomass,solidBiomass,trdBuyUp,"10,745"
all,SK,otherBiomass,solidBiomass,trdBuyUp,"16,252"
all,UK,otherBiomass,solidBiomass,trdBuyUp,"7,837"
all,AL,otherBiomass,nonSolidBiomass,trdBuyUp,503
all,AT,otherBiomass,nonSolidBiomass,trdBuyUp,"1,322"
all,BA,otherBiomass,nonSolidBiomass,trdBuyUp,448
all,BE,otherBiomass,nonSolidBiomass,trdBuyUp,"10,743"
all,BG,otherBiomass,nonSolidBiomass,trdBuyUp,"2,738"
all,CH,otherBiomass,nonSolidBiomass,trdBuyUp,"5,168"
all,CZ,otherBiomass,nonSolidBiomass,trdBuyUp,"11,708"
all,DE,otherBiomass,nonSolidBiomass,trdBuyUp,"29,338"
all,DK,otherBiomass,nonSolidBiomass,trdBuyUp,"12,021"
all,EE,otherBiomass,nonSolidBiomass,trdBuyUp,"2,312"
all,ES,otherBiomass,nonSolidBiomass,trdBuyUp,"30,467"
all,FI,otherBiomass,nonSolidBiomass,trdBuyUp,"2,234"
all,FR,otherBiomass,nonSolidBiomass,trdBuyUp,"71,777"
all,GR,otherBiomass,nonSolidBiomass,trdBuyUp,"2,126"
all,HR,otherBiomass,nonSolidBiomass,trdBuyUp,903
all,HU,otherBiomass,nonSolidBiomass,trdBuyUp,"17,686"
all,IE,otherBiomass,nonSolidBiomass,trdBuyUp,"5,097"
all,IT,otherBiomass,nonSolidBiomass,trdBuyUp,"32,106"
all,LT,otherBiomass,nonSolidBiomass,trdBuyUp,"4,692"
all,LU,otherBiomass,nonSolidBiomass,trdBuyUp,437
all,LV,otherBiomass,nonSolidBiomass,trdBuyUp,"2,355"
all,ME,otherBiomass,nonSolidBiomass,trdBuyUp,69
all,MK,otherBiomass,nonSolidBiomass,trdBuyUp,218
all,NL,otherBiomass,nonSolidBiomass,trdBuyUp,"13,562"
all,NO,otherBiomass,nonSolidBiomass,trdBuyUp,"9,291"
all,PL,otherBiomass,nonSolidBiomass,trdBuyUp,"26,212"
all,PT,otherBiomass,nonSolidBiomass,trdBuyUp,"7,656"
all,RO,otherBiomass,nonSolidBiomass,trdBuyUp,"5,969"
all,RS,otherBiomass,nonSolidBiomass,trdBuyUp,"2,905"
all,SE,otherBiomass,nonSolidBiomass,trdBuyUp,"7,875"
all,SI,otherBiomass,nonSolidBiomass,trdBuyUp,413
all,SK,otherBiomass,nonSolidBiomass,trdBuyUp,"3,446"
all,UK,otherBiomass,nonSolidBiomass,trdBuyUp,"44,947"
,,otherBiomass,solidBiomass,trdBuyPrc,0
,,otherBiomass,nonSolidBiomass,trdBuyPrc,0
