region_1,region_2,region_3,region_4,carrier_1,technology_1,technology_2,technology_3,id_1,parameter,value
EU,AT,at,49AT,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,AT,at,49AT,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,AT,at,50AT,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,AT,at,50AT,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,AT,at,51AT,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,AT,at,51AT,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,BE,be,28BE,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,BE,be,28BE,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,BG,bg,66BG,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,BG,bg,66BG,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,CZ,cz,39CZ,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,CZ,cz,39CZ,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,CZ,cz,40CZ,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,CZ,cz,40CZ,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,DE,de,31DE,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,DE,de,31DE,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,DE,de,32DE,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
EU,DE,de,32DE,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,1,desFac,1.0
EU,DE,de,33DE,spaceHeat,miscSpaceHeat,,resistiveHeatSpace,,desFac,1.0
