timestep_2,carrier_1,region_3,parameter,value,comment,source
2020,industryHeat_high,01ES,capaDem,0.364,computed using historic generation quantities and full load hours from demand profiles,"Heat Roadmap Europe (2017), Profile of heating and cooling demand in 2015; Ruhnau (2019), when2heat"
2020,industryHeat_low,01ES,capaDem,0.153,process heat distributed across clusters based on employment data and heat demand of relevant industries,"JRC (2012), Heat and cooling demand and market perspective; eurostat (2020), SBS data by NUTS 2 regions and NACE Rev. 2"
2020,industryHeat_medium,01ES,capaDem,0.308,,
2020,spaceHeat,01ES,capaDem,4.831,,
2020,industryHeat_high,02ES,capaDem,0.437,,
2020,industryHeat_low,02ES,capaDem,0.157,,
2020,industryHeat_medium,02ES,capaDem,0.337,,
2020,spaceHeat,02ES,capaDem,4.896,,
2020,industryHeat_high,03ES,capaDem,0.289,,
2020,industryHeat_low,03ES,capaDem,0.131,,
2020,industryHeat_medium,03ES,capaDem,0.274,,
2020,spaceHeat,03ES,capaDem,3.263,,
2020,industryHeat_high,04ES,capaDem,0.712,,
2020,industryHeat_low,04ES,capaDem,0.295,,
2020,industryHeat_medium,04ES,capaDem,0.653,,
2020,spaceHeat,04ES,capaDem,5.356,,
2020,industryHeat_high,05ES,capaDem,0.231,,
2020,industryHeat_low,05ES,capaDem,0.117,,
2020,industryHeat_medium,05ES,capaDem,0.268,,
2020,spaceHeat,05ES,capaDem,2.293,,
2020,industryHeat_high,06ES,capaDem,1.244,,
2020,industryHeat_low,06ES,capaDem,0.809,,
2020,industryHeat_medium,06ES,capaDem,1.95,,
2020,spaceHeat,06ES,capaDem,12.041,,
2020,industryHeat_high,07ES,capaDem,0.529,,
2020,industryHeat_low,07ES,capaDem,0.352,,
2020,industryHeat_medium,07ES,capaDem,0.788,,
2020,spaceHeat,07ES,capaDem,11.354,,
2020,industryHeat_high,08ES,capaDem,0.285,,
2020,industryHeat_low,08ES,capaDem,0.116,,
2020,industryHeat_medium,08ES,capaDem,0.237,,
2020,spaceHeat,08ES,capaDem,4.093,,
2020,industryHeat_high,09ES,capaDem,0.407,,
2020,industryHeat_low,09ES,capaDem,0.193,,
2020,industryHeat_medium,09ES,capaDem,0.38,,
2020,spaceHeat,09ES,capaDem,7.268,,
2020,industryHeat_high,10ES,capaDem,0.233,,
2020,industryHeat_low,10ES,capaDem,0.109,,
2020,industryHeat_medium,10ES,capaDem,0.218,,
2020,spaceHeat,10ES,capaDem,4.449,,
2020,industryHeat_high,11ES,capaDem,1.613,,
2020,industryHeat_low,11ES,capaDem,0.575,,
2020,industryHeat_medium,11ES,capaDem,1.334,,
2020,spaceHeat,11ES,capaDem,11.776,,
2020,industryHeat_high,12PT,capaDem,0.65,,
