timestep_2,region_4,technology_3,parameter,value
2020,01ES,runOfRiver,capaConvResi,0.36
2020,02ES,runOfRiver,capaConvResi,0.97
2020,03ES,runOfRiver,capaConvResi,0
2020,04ES,runOfRiver,capaConvResi,0
2020,05ES,runOfRiver,capaConvResi,0.38
2020,06ES,runOfRiver,capaConvResi,0
2020,07ES,runOfRiver,capaConvResi,0
2020,08ES,runOfRiver,capaConvResi,1.43
2020,09ES,runOfRiver,capaConvResi,0.01
2020,10ES,runOfRiver,capaConvResi,0
2020,11ES,runOfRiver,capaConvResi,0.26
2020,12PT,runOfRiver,capaConvResi,0.77
2020,13PT,runOfRiver,capaConvResi,0.08
2020,14FR,runOfRiver,capaConvResi,1.33
2020,15FR,runOfRiver,capaConvResi,3.94
2020,16FR,runOfRiver,capaConvResi,2.13
2020,17FR,runOfRiver,capaConvResi,0.02
2020,18FR,runOfRiver,capaConvResi,0.29
2020,19FR,runOfRiver,capaConvResi,1.51
2020,20FR,runOfRiver,capaConvResi,1.89
2020,21FR,runOfRiver,capaConvResi,0.17
2020,22FR,runOfRiver,capaConvResi,0.01
2020,23FR,runOfRiver,capaConvResi,0.07
2020,24FR,runOfRiver,capaConvResi,0.06
2020,25FR,runOfRiver,capaConvResi,2.21
2020,26FR,runOfRiver,capaConvResi,0
2020,27FR,runOfRiver,capaConvResi,0.01
2020,28BE,runOfRiver,capaConvResi,0.13
2020,29LU,runOfRiver,capaConvResi,0.04
2020,30NL,runOfRiver,capaConvResi,0.04
2020,31DE,runOfRiver,capaConvResi,0.19
2020,32DE,runOfRiver,capaConvResi,0
2020,33DE,runOfRiver,capaConvResi,0.1
2020,34DE,runOfRiver,capaConvResi,0.06
2020,35DE,runOfRiver,capaConvResi,0.02
2020,36DE,runOfRiver,capaConvResi,0.89
2020,37DE,runOfRiver,capaConvResi,2.78
2020,38DK,runOfRiver,capaConvResi,0
2020,39CZ,runOfRiver,capaConvResi,0.27
2020,40CZ,runOfRiver,capaConvResi,0.12
2020,41PL,runOfRiver,capaConvResi,0
2020,42PL,runOfRiver,capaConvResi,0.2
2020,43PL,runOfRiver,capaConvResi,0.07
2020,44PL,runOfRiver,capaConvResi,0
2020,45PL,runOfRiver,capaConvResi,0.24
2020,46SK,runOfRiver,capaConvResi,1.52
2020,47CH,runOfRiver,capaConvResi,1.82
2020,48CH,runOfRiver,capaConvResi,2.24
2020,49AT,runOfRiver,capaConvResi,0.81
2020,50AT,runOfRiver,capaConvResi,2.04
2020,51AT,runOfRiver,capaConvResi,3.1
2020,52IT,runOfRiver,capaConvResi,4.43
2020,53IT,runOfRiver,capaConvResi,0.29
2020,54IT,runOfRiver,capaConvResi,0.53
2020,55IT,runOfRiver,capaConvResi,0.16
2020,56IT,runOfRiver,capaConvResi,0.05
2020,57SI,runOfRiver,capaConvResi,1.11
2020,58HU,runOfRiver,capaConvResi,0.06
2020,59RO,runOfRiver,capaConvResi,0.25
2020,60RO,runOfRiver,capaConvResi,2.6
2020,61RO,runOfRiver,capaConvResi,0.45
2020,62HR,runOfRiver,capaConvResi,0.43
2020,63BA,runOfRiver,capaConvResi,1.05
2020,64ME,runOfRiver,capaConvResi,0.1
2020,65RS,runOfRiver,capaConvResi,2.2
2020,66BG,runOfRiver,capaConvResi,0.47
2020,67MK,runOfRiver,capaConvResi,0.19
2020,68GR,runOfRiver,capaConvResi,0.21
2020,69GR,runOfRiver,capaConvResi,0.09
2020,70AL,runOfRiver,capaConvResi,0.37
2020,72DK,runOfRiver,capaConvResi,0
2020,73EE,runOfRiver,capaConvResi,0
2020,74FI,runOfRiver,capaConvResi,0
2020,75FI,runOfRiver,capaConvResi,0
2020,77LT,runOfRiver,capaConvResi,0.13
2020,78LV,runOfRiver,capaConvResi,1.57
2020,79NO,runOfRiver,capaConvResi,0
2020,80NO,runOfRiver,capaConvResi,0
2020,81NO,runOfRiver,capaConvResi,0
2020,82NO,runOfRiver,capaConvResi,0
2020,83NO,runOfRiver,capaConvResi,0
2020,84NO,runOfRiver,capaConvResi,0
2020,85NO,runOfRiver,capaConvResi,0
2020,86SE,runOfRiver,capaConvResi,0
2020,87SE,runOfRiver,capaConvResi,0
2020,88SE,runOfRiver,capaConvResi,0
2020,89SE,runOfRiver,capaConvResi,0
2020,90UK,runOfRiver,capaConvResi,0.01
2020,91UK,runOfRiver,capaConvResi,0
2020,92UK,runOfRiver,capaConvResi,1
2020,93UK,runOfRiver,capaConvResi,0.06
2020,94UK,runOfRiver,capaConvResi,0.8
2020,95UK,runOfRiver,capaConvResi,0
2020,96IE,runOfRiver,capaConvResi,0.24
2020,98IT,runOfRiver,capaConvResi,0.03
2020,99FR,runOfRiver,capaConvResi,0
2025,01ES,runOfRiver,capaConvResi,0.36
2025,02ES,runOfRiver,capaConvResi,0.97
2025,03ES,runOfRiver,capaConvResi,0
2025,04ES,runOfRiver,capaConvResi,0
2025,05ES,runOfRiver,capaConvResi,0.38
2025,06ES,runOfRiver,capaConvResi,0
2025,07ES,runOfRiver,capaConvResi,0
2025,08ES,runOfRiver,capaConvResi,1.43
2025,09ES,runOfRiver,capaConvResi,0.01
2025,10ES,runOfRiver,capaConvResi,0
2025,11ES,runOfRiver,capaConvResi,0.26
2025,12PT,runOfRiver,capaConvResi,0.77
2025,13PT,runOfRiver,capaConvResi,0.08
2025,14FR,runOfRiver,capaConvResi,1.33
2025,15FR,runOfRiver,capaConvResi,3.94
2025,16FR,runOfRiver,capaConvResi,2.13
2025,17FR,runOfRiver,capaConvResi,0.02
2025,18FR,runOfRiver,capaConvResi,0.29
2025,19FR,runOfRiver,capaConvResi,1.51
2025,20FR,runOfRiver,capaConvResi,1.89
2025,21FR,runOfRiver,capaConvResi,0.17
2025,22FR,runOfRiver,capaConvResi,0.01
2025,23FR,runOfRiver,capaConvResi,0.07
2025,24FR,runOfRiver,capaConvResi,0.06
2025,25FR,runOfRiver,capaConvResi,2.21
2025,26FR,runOfRiver,capaConvResi,0
2025,27FR,runOfRiver,capaConvResi,0.01
2025,28BE,runOfRiver,capaConvResi,0.13
2025,29LU,runOfRiver,capaConvResi,0.04
2025,30NL,runOfRiver,capaConvResi,0.04
2025,31DE,runOfRiver,capaConvResi,0.19
2025,32DE,runOfRiver,capaConvResi,0
2025,33DE,runOfRiver,capaConvResi,0.1
2025,34DE,runOfRiver,capaConvResi,0.06
2025,35DE,runOfRiver,capaConvResi,0.02
2025,36DE,runOfRiver,capaConvResi,0.89
2025,37DE,runOfRiver,capaConvResi,2.78
2025,38DK,runOfRiver,capaConvResi,0
2025,39CZ,runOfRiver,capaConvResi,0.27
2025,40CZ,runOfRiver,capaConvResi,0.12
2025,41PL,runOfRiver,capaConvResi,0
2025,42PL,runOfRiver,capaConvResi,0.2
2025,43PL,runOfRiver,capaConvResi,0.07
2025,44PL,runOfRiver,capaConvResi,0
2025,45PL,runOfRiver,capaConvResi,0.24
2025,46SK,runOfRiver,capaConvResi,1.52
2025,47CH,runOfRiver,capaConvResi,1.82
2025,48CH,runOfRiver,capaConvResi,2.24
2025,49AT,runOfRiver,capaConvResi,0.81
2025,50AT,runOfRiver,capaConvResi,2.04
2025,51AT,runOfRiver,capaConvResi,3.1
2025,52IT,runOfRiver,capaConvResi,4.43
2025,53IT,runOfRiver,capaConvResi,0.29
2025,54IT,runOfRiver,capaConvResi,0.53
2025,55IT,runOfRiver,capaConvResi,0.16
2025,56IT,runOfRiver,capaConvResi,0.05
2025,57SI,runOfRiver,capaConvResi,1.11
2025,58HU,runOfRiver,capaConvResi,0.06
2025,59RO,runOfRiver,capaConvResi,0.25
2025,60RO,runOfRiver,capaConvResi,2.6
2025,61RO,runOfRiver,capaConvResi,0.45
2025,62HR,runOfRiver,capaConvResi,0.43
2025,63BA,runOfRiver,capaConvResi,1.05
2025,64ME,runOfRiver,capaConvResi,0.1
2025,65RS,runOfRiver,capaConvResi,2.2
2025,66BG,runOfRiver,capaConvResi,0.47
2025,67MK,runOfRiver,capaConvResi,0.19
2025,68GR,runOfRiver,capaConvResi,0.21
2025,69GR,runOfRiver,capaConvResi,0.09
2025,70AL,runOfRiver,capaConvResi,0.37
2025,72DK,runOfRiver,capaConvResi,0
2025,73EE,runOfRiver,capaConvResi,0
2025,74FI,runOfRiver,capaConvResi,0
2025,75FI,runOfRiver,capaConvResi,0
2025,77LT,runOfRiver,capaConvResi,0.13
2025,78LV,runOfRiver,capaConvResi,1.57
2025,79NO,runOfRiver,capaConvResi,0
2025,80NO,runOfRiver,capaConvResi,0
2025,81NO,runOfRiver,capaConvResi,0
2025,82NO,runOfRiver,capaConvResi,0
2025,83NO,runOfRiver,capaConvResi,0
2025,84NO,runOfRiver,capaConvResi,0
2025,85NO,runOfRiver,capaConvResi,0
2025,86SE,runOfRiver,capaConvResi,0
2025,87SE,runOfRiver,capaConvResi,0
2025,88SE,runOfRiver,capaConvResi,0
2025,89SE,runOfRiver,capaConvResi,0
2025,90UK,runOfRiver,capaConvResi,0.01
2025,91UK,runOfRiver,capaConvResi,0
2025,92UK,runOfRiver,capaConvResi,1
2025,93UK,runOfRiver,capaConvResi,0.06
2025,94UK,runOfRiver,capaConvResi,0.8
2025,95UK,runOfRiver,capaConvResi,0
2025,96IE,runOfRiver,capaConvResi,0.24
2025,98IT,runOfRiver,capaConvResi,0.03
2025,99FR,runOfRiver,capaConvResi,0
2030,01ES,runOfRiver,capaConvResi,0.36
2030,02ES,runOfRiver,capaConvResi,0.97
2030,03ES,runOfRiver,capaConvResi,0
2030,04ES,runOfRiver,capaConvResi,0
2030,05ES,runOfRiver,capaConvResi,0.38
2030,06ES,runOfRiver,capaConvResi,0
2030,07ES,runOfRiver,capaConvResi,0
2030,08ES,runOfRiver,capaConvResi,1.43
2030,09ES,runOfRiver,capaConvResi,0.01
2030,10ES,runOfRiver,capaConvResi,0
2030,11ES,runOfRiver,capaConvResi,0.26
2030,12PT,runOfRiver,capaConvResi,0.77
