timestep_2,region_4,technology_2,parameter,value
all,66BG,rooftopResi_a,capaConvUp,25.51200038
all,66BG,rooftopResi_b,capaConvUp,10.59926994
all,62HR,rooftopResi_a,capaConvUp,7.447172428
all,62HR,rooftopResi_b,capaConvUp,20.08840356
all,51AT,rooftopResi_a,capaConvUp,8.29053493
all,51AT,rooftopResi_b,capaConvUp,6.931908192
all,49AT,rooftopResi_a,capaConvUp,5.360769498
all,49AT,rooftopResi_b,capaConvUp,4.808658633
all,50AT,rooftopResi_a,capaConvUp,8.422383539
all,50AT,rooftopResi_b,capaConvUp,5.343801392
all,28BE,rooftopResi_a,capaConvUp,28.93010787
all,28BE,rooftopResi_b,capaConvUp,19.724087
all,47CH,rooftopResi_a,capaConvUp,21.22200075
all,47CH,rooftopResi_b,capaConvUp,8.89252109
all,39CZ,rooftopResi_a,capaConvUp,18.40165906
all,39CZ,rooftopResi_b,capaConvUp,7.909835111
all,40CZ,rooftopResi_a,capaConvUp,9.795139003
all,40CZ,rooftopResi_b,capaConvUp,14.15727351
all,48CH,rooftopResi_a,capaConvUp,1.380789413
all,48CH,rooftopResi_b,capaConvUp,4.30003096
all,36DE,rooftopResi_a,capaConvUp,25.88492563
all,36DE,rooftopResi_b,capaConvUp,19.62599995
all,31DE,rooftopResi_a,capaConvUp,56.73987784
all,31DE,rooftopResi_b,capaConvUp,17.94071764
all,33DE,rooftopResi_a,capaConvUp,47.60760154
all,33DE,rooftopResi_b,capaConvUp,22.28814839
all,35DE,rooftopResi_a,capaConvUp,26.46868427
all,35DE,rooftopResi_b,capaConvUp,24.67281053
all,34DE,rooftopResi_a,capaConvUp,43.1055799
all,34DE,rooftopResi_b,capaConvUp,13.10607433
all,32DE,rooftopResi_a,capaConvUp,25.57747376
all,32DE,rooftopResi_b,capaConvUp,16.61863846
all,37DE,rooftopResi_a,capaConvUp,32.52535578
all,37DE,rooftopResi_b,capaConvUp,25.30676972
all,68GR,rooftopResi_a,capaConvUp,8.732450185
all,68GR,rooftopResi_b,capaConvUp,6.42763935
all,69GR,rooftopResi_a,capaConvUp,6.882739392
all,69GR,rooftopResi_b,capaConvUp,11.41839052
all,01ES,rooftopResi_a,capaConvUp,3.532600753
all,01ES,rooftopResi_b,capaConvUp,2.669013584
all,04ES,rooftopResi_a,capaConvUp,2.651501653
all,04ES,rooftopResi_b,capaConvUp,1.795713256
all,05ES,rooftopResi_a,capaConvUp,2.663856675
all,05ES,rooftopResi_b,capaConvUp,0.141813496
all,02ES,rooftopResi_a,capaConvUp,4.250989636
all,02ES,rooftopResi_b,capaConvUp,3.379948301
all,38DK,rooftopResi_a,capaConvUp,11.36304588
all,38DK,rooftopResi_b,capaConvUp,8.203732611
all,73EE,rooftopResi_a,capaConvUp,4.882503762
all,73EE,rooftopResi_b,capaConvUp,1.301466944
all,72DK,rooftopResi_a,capaConvUp,7.111627747
all,72DK,rooftopResi_b,capaConvUp,3.060702755
all,75FI,rooftopResi_a,capaConvUp,8.015006575
all,75FI,rooftopResi_b,capaConvUp,19.22897102
all,74FI,rooftopResi_a,capaConvUp,0.764283513
all,74FI,rooftopResi_b,capaConvUp,0.008344234
all,06ES,rooftopResi_a,capaConvUp,8.289094612
all,06ES,rooftopResi_b,capaConvUp,4.846869443
all,11ES,rooftopResi_a,capaConvUp,9.887871508
all,11ES,rooftopResi_b,capaConvUp,8.710457166
all,09ES,rooftopResi_a,capaConvUp,1.265939614
all,09ES,rooftopResi_b,capaConvUp,9.648316945
all,10ES,rooftopResi_a,capaConvUp,2.850523026
all,10ES,rooftopResi_b,capaConvUp,3.209734682
all,03ES,rooftopResi_a,capaConvUp,0.574917264
all,03ES,rooftopResi_b,capaConvUp,5.924290089
all,08ES,rooftopResi_a,capaConvUp,4.964660509
all,08ES,rooftopResi_b,capaConvUp,2.760690434
all,07ES,rooftopResi_a,capaConvUp,7.443741239
all,07ES,rooftopResi_b,capaConvUp,1.110175552
all,21FR,rooftopResi_a,capaConvUp,22.71487414
all,21FR,rooftopResi_b,capaConvUp,12.63915338
all,15FR,rooftopResi_a,capaConvUp,8.529596204
all,15FR,rooftopResi_b,capaConvUp,10.75163624
all,18FR,rooftopResi_a,capaConvUp,13.54202695
all,18FR,rooftopResi_b,capaConvUp,16.13959617
all,19FR,rooftopResi_a,capaConvUp,13.53025102
all,19FR,rooftopResi_b,capaConvUp,5.183793074
all,14FR,rooftopResi_a,capaConvUp,17.05456898
all,14FR,rooftopResi_b,capaConvUp,23.89787266
all,20FR,rooftopResi_a,capaConvUp,23.38366046
all,20FR,rooftopResi_b,capaConvUp,1.057377058
all,16FR,rooftopResi_a,capaConvUp,20.46381495
all,16FR,rooftopResi_b,capaConvUp,8.318505577
all,99FR,rooftopResi_a,capaConvUp,1.85420665
all,99FR,rooftopResi_b,capaConvUp,0.793840276
all,98IT,rooftopResi_a,capaConvUp,4.722557368
all,98IT,rooftopResi_b,capaConvUp,3.241580278
all,17FR,rooftopResi_a,capaConvUp,19.0562541
all,17FR,rooftopResi_b,capaConvUp,18.62852063
all,26FR,rooftopResi_a,capaConvUp,24.53317197
all,26FR,rooftopResi_b,capaConvUp,14.39971487
all,22FR,rooftopResi_a,capaConvUp,11.23623681
all,22FR,rooftopResi_b,capaConvUp,4.070575686
all,24FR,rooftopResi_a,capaConvUp,8.427791873
all,24FR,rooftopResi_b,capaConvUp,9.8917401
all,25FR,rooftopResi_a,capaConvUp,22.07792264
all,25FR,rooftopResi_b,capaConvUp,12.87799572
all,30NL,rooftopResi_a,capaConvUp,63.82403574
all,30NL,rooftopResi_b,capaConvUp,26.25169258
all,23FR,rooftopResi_a,capaConvUp,2.906766335
all,23FR,rooftopResi_b,capaConvUp,21.605036
all,27FR,rooftopResi_a,capaConvUp,1.745729487
all,27FR,rooftopResi_b,capaConvUp,3.864529906
all,96IE,rooftopResi_a,capaConvUp,8.038272955
all,96IE,rooftopResi_b,capaConvUp,8.294908963
all,52IT,rooftopResi_a,capaConvUp,11.25778885
all,52IT,rooftopResi_b,capaConvUp,87.02497951
all,54IT,rooftopResi_a,capaConvUp,8.555009588
all,54IT,rooftopResi_b,capaConvUp,20.9168959
all,55IT,rooftopResi_a,capaConvUp,5.746294312
all,55IT,rooftopResi_b,capaConvUp,16.17522389
all,58HU,rooftopResi_a,capaConvUp,30.70496284
all,58HU,rooftopResi_b,capaConvUp,23.58947975
all,67MK,rooftopResi_a,capaConvUp,2.939204601
all,67MK,rooftopResi_b,capaConvUp,2.211579069
all,78LV,rooftopResi_a,capaConvUp,5.646743646
all,78LV,rooftopResi_b,capaConvUp,1.951220241
all,64ME,rooftopResi_a,capaConvUp,0.940443571
all,64ME,rooftopResi_b,capaConvUp,2.345815684
all,53IT,rooftopResi_a,capaConvUp,10.67295301
all,53IT,rooftopResi_b,capaConvUp,9.024223523
all,77LT,rooftopResi_a,capaConvUp,9.072721029
all,77LT,rooftopResi_b,capaConvUp,5.495470236
all,29LU,rooftopResi_a,capaConvUp,1.31161296
all,29LU,rooftopResi_b,capaConvUp,1.800159097
all,56IT,rooftopResi_a,capaConvUp,7.549790055
all,56IT,rooftopResi_b,capaConvUp,10.54430448
all,41PL,rooftopResi_a,capaConvUp,14.71929462
all,41PL,rooftopResi_b,capaConvUp,19.58169418
all,42PL,rooftopResi_a,capaConvUp,13.12998845
all,42PL,rooftopResi_b,capaConvUp,19.04752029
all,43PL,rooftopResi_a,capaConvUp,18.26641643
all,43PL,rooftopResi_b,capaConvUp,12.59318727
all,83NO,rooftopResi_a,capaConvUp,0.341804124
all,83NO,rooftopResi_b,capaConvUp,0.293245423
all,82NO,rooftopResi_a,capaConvUp,3.238868616
all,82NO,rooftopResi_b,capaConvUp,0.902838397
all,80NO,rooftopResi_a,capaConvUp,2.647993007
all,80NO,rooftopResi_b,capaConvUp,0.02228512
all,79NO,rooftopResi_a,capaConvUp,1.320659504
all,79NO,rooftopResi_b,capaConvUp,1.042110377
all,81NO,rooftopResi_a,capaConvUp,1.453125567
all,81NO,rooftopResi_b,capaConvUp,0.027370546
all,59RO,rooftopResi_a,capaConvUp,11.93192634
all,59RO,rooftopResi_b,capaConvUp,7.308600741
all,60RO,rooftopResi_a,capaConvUp,16.86523421
all,60RO,rooftopResi_b,capaConvUp,3.420888011
all,61RO,rooftopResi_a,capaConvUp,11.28041454
all,61RO,rooftopResi_b,capaConvUp,11.4618493
all,44PL,rooftopResi_a,capaConvUp,19.66597374
all,44PL,rooftopResi_b,capaConvUp,13.06052766
all,45PL,rooftopResi_a,capaConvUp,8.725683424
all,45PL,rooftopResi_b,capaConvUp,12.77558709
all,12PT,rooftopResi_a,capaConvUp,15.66400094
all,12PT,rooftopResi_b,capaConvUp,7.965299403
all,13PT,rooftopResi_a,capaConvUp,10.24262534
all,13PT,rooftopResi_b,capaConvUp,10.52756355
all,46SK,rooftopResi_a,capaConvUp,8.926759607
all,46SK,rooftopResi_b,capaConvUp,16.99863228
all,57SI,rooftopResi_a,capaConvUp,4.898921566
all,57SI,rooftopResi_b,capaConvUp,4.841460004
all,89SE,rooftopResi_a,capaConvUp,4.603801918
all,89SE,rooftopResi_b,capaConvUp,2.916234509
all,88SE,rooftopResi_a,capaConvUp,11.81132943
all,88SE,rooftopResi_b,capaConvUp,12.97947779
all,87SE,rooftopResi_a,capaConvUp,0.42367904
all,87SE,rooftopResi_b,capaConvUp,0.365529782
all,91UK,rooftopResi_a,capaConvUp,10.32407902
all,91UK,rooftopResi_b,capaConvUp,6.003028977
all,92UK,rooftopResi_a,capaConvUp,19.35743174
all,92UK,rooftopResi_b,capaConvUp,41.30425201
all,94UK,rooftopResi_a,capaConvUp,5.059587561
all,94UK,rooftopResi_b,capaConvUp,6.388491615
all,93UK,rooftopResi_a,capaConvUp,12.36637163
all,93UK,rooftopResi_b,capaConvUp,5.310477841
all,95UK,rooftopResi_a,capaConvUp,4.969351588
all,95UK,rooftopResi_b,capaConvUp,1.082244555
all,90UK,rooftopResi_a,capaConvUp,47.55667802
all,90UK,rooftopResi_b,capaConvUp,10.52845605
all,63BA,rooftopResi_a,capaConvUp,14.50404376
all,63BA,rooftopResi_b,capaConvUp,2.187189658
all,70AL,rooftopResi_a,capaConvUp,3.485871774
all,70AL,rooftopResi_b,capaConvUp,3.413352827
all,86SE,rooftopResi_a,capaConvUp,0.387928122
all,86SE,rooftopResi_b,capaConvUp,0.4012807
all,65RS,rooftopResi_a,capaConvUp,29.25367811
all,65RS,rooftopResi_b,capaConvUp,5.933718761
all,84NO,rooftopResi_a,capaConvUp,0.34700645
all,84NO,rooftopResi_b,capaConvUp,0.288043094
all,85NO,rooftopResi_a,capaConvUp,0.414103067
all,85NO,rooftopResi_b,capaConvUp,0.220946477
