technology_1,technology_2,technology_3,modes,carrier_conversion_in,carrier_conversion_out,carrier_stored_in,carrier_stored_out,technology_type,technology_decomm
battery,,lithiumBattery,,,,electricity,electricity,mature,none
battery,,redoxBattery,,,,electricity,electricity,mature,none
bioConversion,,solidToH2,,solidBiomass,hydrogenGrid; hydrogenLocal,,,mature,none
bioConversion,,solidToLiquid,,solidBiomass,synthFuel,,,mature,none
bioConversion,,rawBioToGas,,rawBiogas,bioGas,,,mature,none
bioConversion,,solidBioToGas,,solidBiomass,bioGas,,,mature,none
ccgt,ccgtGasCHP,ccgtGasChp,,methan,electricity; districtHeat,,,mature,none
ccgt,ccgtGasCHP,ccgtGasChpProLow,,methan,electricity; processHeat_low,,processHeat_low,mature,none
ccgt,ccgtGasCHPH2rdy,ccgtGasChpH2rdy,,methan,electricity; districtHeat,,,mature,none
ccgt,ccgtGasCHPH2rdy,ccgtGasChpH2rdyProLow,,methan,electricity; processHeat_low,,processHeat_low,mature,none
ccgt,ccgtH2CHP,ccgtH2Chp,,hydrogenGrid,electricity; districtHeat,,,mature,none
ccgt,ccgtH2CHP,ccgtH2ChpProLow,,hydrogenGrid; hydrogenLocal,electricity; processHeat_low,,processHeat_low,mature,none
ccgt,,ccgtGas,,methan,electricity,,,mature,none
ccgt,,ccgtGasH2rdy,,methan,electricity,,,mature,none
ccgt,,ccgtH2,,hydrogenGrid; hydrogenLocal,electricity,,,mature,none
engine,bioEngine,bioEngineLh,,rawBiogas,electricity; localHeat,,,mature,none
engine,gasEngine,gasEngineDh,,methan,electricity; districtHeat,,,mature,none
engine,gasEngine,gasEngineLh,,methan,electricity; localHeat,,,mature,none
engine,gasEngine,gasEnginePro,,methan,electricity; processHeat_low,,,mature,none
engine,h2Engine,h2EngineDh,,hydrogenGrid,electricity; districtHeat,,,mature,none
engine,h2Engine,h2EngineLh,,hydrogenGrid,electricity; localHeat,,,mature,none
engine,h2Engine,h2EnginePro,,hydrogenGrid; hydrogenLocal,electricity; processHeat_low,,,mature,none
frtTrp,frtRail,frtRailElec,,electricity,mobilityFreight,,,mature,none
frtTrp,frtRail,frtRailOil,,oil,mobilityFreight,,,mature,none
frtTrp,frtRoad,frtRoadHyElecGas,useElec; useGas,methan; electricity,mobilityFreight,,,mature,none
frtTrp,frtRoad,frtRoadHyElecH2,useElec; useH2,hydrogenGrid; electricity,mobilityFreight,,,mature,none
frtTrp,frtRoad,frtRoadHyElecOil,useElec; useOil,oil; electricity,mobilityFreight,,,mature,none
frtTrp,frtRoad,frtRoadElec,,electricity,mobilityFreight,,,mature,none
frtTrp,frtRoad,frtRoadH2,,hydrogenGrid,mobilityFreight,,,mature,none
frtTrp,frtRoad,frtRoadIceGas,,methan,mobilityFreight,,,mature,none
frtTrp,frtRoad,frtRoadIceOil,,oil,mobilityFreight,,,mature,none
frtTrp,frtShip,frtShipBio,,synthFuel,mobilityFreight,,,mature,none
frtTrp,frtShip,frtShipConv,,oil,mobilityFreight,,,mature,none
heatpump,,heatpumpAirSpace,,electricity,spaceHeat,,spaceHeat,mature,none
heatpump,,heatpumpDh,,electricity,districtHeat,,,mature,none
heatpump,,heatpumpGroundSpace,,electricity,spaceHeat,,spaceHeat,mature,none
heatpump,,heatpumpLh,,electricity,localHeat,,,mature,none
heatpump,,heatpumpPro,,electricity,processHeat_low,,processHeat_low,mature,none
heatpump,,heatpumpWaterSpace,,electricity,spaceHeat,,spaceHeat,mature,none
hydrogenAndMore,electrolysis,alkElectrolysis,,electricity,hydrogenLocal,,,emerging,none
hydrogenAndMore,electrolysis,pemElectrolysis,,electricity,hydrogenGrid; hydrogenLocal,,,emerging,none
hydrogenAndMore,electrolysis,soElectrolysis,,electricity,hydrogenGrid; hydrogenLocal,,,emerging,none
hydrogenAndMore,h2Storage,h2StorageAerial,,,,(hydrogenGrid; hydrogenLocal),(hydrogenGrid; hydrogenLocal),mature,none
hydrogenAndMore,h2Storage,h2StorageCavern,,,,(hydrogenGrid; hydrogenLocal),(hydrogenGrid; hydrogenLocal),mature,none
hydrogenAndMore,pefc,pefcLh,,hydrogenGrid,electricity; localHeat,,,emerging,none
hydrogenAndMore,pefc,pefcSpace,,hydrogenGrid,electricity; spaceHeat,,spaceHeat,emerging,none
hydrogenAndMore,sofc,sofcDh,,hydrogenGrid,electricity; districtHeat,,,emerging,none
hydrogenAndMore,sofc,sofcProLow,,hydrogenGrid; hydrogenLocal,electricity; processHeat_low,,processHeat_low,emerging,none
hydrogenAndMore,sofc,sofcProMed,,hydrogenGrid; hydrogenLocal,electricity; processHeat_medium,,processHeat_medium,emerging,none
hydrogenAndMore,,fischerTropsch,,hydrogenGrid; hydrogenLocal,synthFuel,,,mature,none
hydrogenAndMore,,gasStorage,,,,methan,methan,mature,none
hydrogenAndMore,,h2Blending,,hydrogenGrid,hydrogenBlend,,,unrestricted,none
hydrogenAndMore,,methanation,,hydrogenGrid; hydrogenLocal,naturalGas,,,mature,none
hydrogenAndMore,,steamReforming,,methan,hydrogenGrid; hydrogenLocal,,,mature,none
miscDistrictHeat,,gasBoilerDh,,methan,districtHeat,,,mature,none
miscDistrictHeat,,h2BoilerDh,,hydrogenGrid,districtHeat,,,mature,none
miscDistrictHeat,,heatStorageDh,,,,districtHeat,districtHeat,mature,none
miscLocalHeat,,heatStorageLh,,,,localHeat,localHeat,mature,none
miscLocalHeat,,miniCHPGas,,methan,electricity; localHeat,,,mature,none
miscLocalHeat,,miniCHPH2,,hydrogen,electricity; localHeat,,,mature,none
miscProHeatHigh,,bioBoilerProHigh,,solidBiomass,processHeat_high,,,mature,none
