region_1,region_2,region_3,carrier_1,technology_1,technology_2,technology_3,id_1,parameter,value
EU,AT,at,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
EU,BE,be,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
EU,BG,bg,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
EU,CZ,cz,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
EU,DE,de,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.22999999999999998
EU,DK,dk_e,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
EU,DK,dk_w,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
EU,EE,ee,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
EU,ES,es,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
EU,FI,fi,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
EU,FR,fr,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
EU,FR,fr_co,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
EU,GR,gr,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
EU,HR,hr,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
EU,HU,hu,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
EU,IE,ie,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
EU,IT,it_cn,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
EU,IT,it_cs,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
EU,IT,it_n,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
EU,IT,it_s,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
EU,IT,it_sar,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
EU,IT,it_sic,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
EU,LT,lt,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
EU,LU,lu,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
EU,LV,lv,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
EU,NL,nl,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
EU,PL,pl,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
EU,PT,pt,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
EU,RO,ro,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
EU,SE,se_1,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
EU,SE,se_2,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
EU,SE,se_3,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
EU,SE,se_4,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
EU,SI,si,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
EU,SK,sk,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
nonEU,AL,al,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
nonEU,BA,ba,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
nonEU,CH,ch,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
nonEU,ME,me,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
nonEU,MK,mk,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
nonEU,NO,no_m,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
nonEU,NO,no_n,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
nonEU,NO,no_s,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
nonEU,RS,rs,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
nonEU,UK,ni,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
nonEU,UK,uk,frtRoadLight,transport,,dieselFrtRoadLight,,desFac,0.23
