region_1,region_2,region_3,carrier_1,technology_1,technology_2,technology_3,id_1,parameter,value
EU,AT,at,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
EU,BE,be,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
EU,BG,bg,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
EU,CZ,cz,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
EU,DE,de,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
EU,DK,dk_e,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
EU,DK,dk_w,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
EU,EE,ee,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
EU,ES,es,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
EU,FI,fi,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
EU,FR,fr,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
EU,FR,fr_co,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
EU,GR,gr,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
EU,HR,hr,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
EU,HU,hu,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
EU,IE,ie,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
EU,IT,it_cn,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
EU,IT,it_cs,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
EU,IT,it_n,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
EU,IT,it_s,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
EU,IT,it_sar,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
EU,IT,it_sic,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
EU,LT,lt,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
EU,LU,lu,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
EU,LV,lv,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
EU,NL,nl,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
EU,PL,pl,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
EU,PT,pt,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
EU,RO,ro,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
EU,SE,se_1,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
EU,SE,se_2,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
EU,SE,se_3,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
EU,SE,se_4,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
EU,SI,si,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
EU,SK,sk,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
nonEU,AL,al,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
nonEU,BA,ba,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
nonEU,CH,ch,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
nonEU,ME,me,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
nonEU,MK,mk,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
nonEU,NO,no_m,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
nonEU,NO,no_n,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
nonEU,NO,no_s,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
nonEU,RS,rs,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
nonEU,UK,ni,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
nonEU,UK,uk,frtRoadHeavy,transport,,fcFrtRoadHeavy,,desFac,5.529
