timestep_2,carrier_1,region_4,technology_3,parameter,value,source
all,liquidFuelExt,01ES,,dem,0.150209207,"models fuel demand from aviation, navigation and feedstock, see transportInputs for details"
all,liquidFuelExt,02ES,,dem,0.54327292,
all,liquidFuelExt,03ES,,dem,0.452644957,
all,liquidFuelExt,04ES,,dem,0.787589305,
all,liquidFuelExt,05ES,,dem,0.433610455,
all,liquidFuelExt,06ES,,dem,6.427252335,
all,liquidFuelExt,07ES,,dem,2.113837334,
all,liquidFuelExt,08ES,,dem,0.413702322,
all,liquidFuelExt,09ES,,dem,0.469301351,
all,liquidFuelExt,10ES,,dem,0.269527231,
all,liquidFuelExt,11ES,,dem,2.005484838,
all,liquidFuelExt,12PT,,dem,1.625316589,
all,liquidFuelExt,13PT,,dem,2.198571905,
all,liquidFuelExt,14FR,,dem,0.660341466,
all,liquidFuelExt,15FR,,dem,0.176420036,
all,liquidFuelExt,16FR,,dem,1.304460482,
all,liquidFuelExt,17FR,,dem,0.423145185,
all,liquidFuelExt,18FR,,dem,0.502876326,
all,liquidFuelExt,19FR,,dem,1.615417832,
all,liquidFuelExt,20FR,,dem,1.248348869,
all,liquidFuelExt,21FR,,dem,0.178013944,
all,liquidFuelExt,22FR,,dem,0.170479362,
all,liquidFuelExt,23FR,,dem,14.15738542,
all,liquidFuelExt,24FR,,dem,0.1627173,
all,liquidFuelExt,25FR,,dem,0.371655503,
all,liquidFuelExt,26FR,,dem,1.013520427,
all,liquidFuelExt,27FR,,dem,0.038919495,
all,liquidFuelExt,28BE,,dem,9.334621513,
all,liquidFuelExt,29LU,,dem,0.797232161,
all,liquidFuelExt,30NL,,dem,19.19699084,
all,liquidFuelExt,31DE,,dem,3.880607481,
all,liquidFuelExt,32DE,,dem,2.263132118,
all,liquidFuelExt,33DE,,dem,8.935751993,
all,liquidFuelExt,34DE,,dem,2.428394183,
all,liquidFuelExt,35DE,,dem,8.992510489,
all,liquidFuelExt,36DE,,dem,4.973863435,
all,liquidFuelExt,37DE,,dem,5.051069543,
all,liquidFuelExt,38DK,,dem,0.239394823,
all,liquidFuelExt,39CZ,,dem,1.875798597,
all,liquidFuelExt,40CZ,,dem,1.486579508,
all,liquidFuelExt,41PL,,dem,1.31602041,
all,liquidFuelExt,42PL,,dem,0.759210467,
all,liquidFuelExt,43PL,,dem,1.106171871,
all,liquidFuelExt,44PL,,dem,0.976161031,
all,liquidFuelExt,45PL,,dem,0.600038693,
all,liquidFuelExt,46SK,,dem,0.921881929,
all,liquidFuelExt,47CH,,dem,2.0659154,
all,liquidFuelExt,48CH,,dem,0.213968776,
all,liquidFuelExt,49AT,,dem,1.026734863,
all,liquidFuelExt,50AT,,dem,1.610069419,
all,liquidFuelExt,51AT,,dem,1.758441286,
all,liquidFuelExt,52IT,,dem,9.992218624,
all,liquidFuelExt,53IT,,dem,1.864054478,
all,liquidFuelExt,54IT,,dem,3.493377787,
all,liquidFuelExt,55IT,,dem,1.337288765,
all,liquidFuelExt,56IT,,dem,0.94525242,
all,liquidFuelExt,57SI,,dem,0.037122,
all,liquidFuelExt,58HU,,dem,2.595921115,
all,liquidFuelExt,59RO,,dem,0.093673362,
all,liquidFuelExt,60RO,,dem,0.186908756,
all,liquidFuelExt,61RO,,dem,0.069804688,
all,liquidFuelExt,62HR,,dem,0.345351346,
all,liquidFuelExt,63BA,,dem,0.012572723,
all,liquidFuelExt,64ME,,dem,0.033419652,
all,liquidFuelExt,65RS,,dem,0.953777075,
all,liquidFuelExt,66BG,,dem,0.325432199,
all,liquidFuelExt,67MK,,dem,0.03707,
all,liquidFuelExt,68GR,,dem,0.298717977,
all,liquidFuelExt,69GR,,dem,2.423314107,
all,liquidFuelExt,70AL,,dem,0.078025943,
all,liquidFuelExt,72DK,,dem,1.350445868,
all,liquidFuelExt,73EE,,dem,0.099672936,
all,liquidFuelExt,74FI,,dem,0.040749496,
all,liquidFuelExt,75FI,,dem,1.847420401,
all,liquidFuelExt,77LT,,dem,0.171455051,
all,liquidFuelExt,78LV,,dem,0.21062214,
all,liquidFuelExt,79NO,,dem,0.112735517,
all,liquidFuelExt,80NO,,dem,0.261470845,
all,liquidFuelExt,81NO,,dem,0.533144489,
all,liquidFuelExt,82NO,,dem,1.009258724,
all,liquidFuelExt,83NO,,dem,0.266934869,
all,liquidFuelExt,84NO,,dem,0.223054133,
all,liquidFuelExt,85NO,,dem,0.032331428,
all,liquidFuelExt,86SE,,dem,0.046924573,
all,liquidFuelExt,87SE,,dem,0.233382356,
all,liquidFuelExt,88SE,,dem,3.140859745,
all,liquidFuelExt,89SE,,dem,0.882153671,
all,liquidFuelExt,90UK,,dem,4.752931593,
all,liquidFuelExt,91UK,,dem,1.282352328,
all,liquidFuelExt,92UK,,dem,11.02805314,
all,liquidFuelExt,93UK,,dem,3.367634835,
all,liquidFuelExt,94UK,,dem,0.65038642,
all,liquidFuelExt,95UK,,dem,0.828479954,
all,liquidFuelExt,96IE,,dem,1.599118512,
all,liquidFuelExt,98IT,,dem,0,
all,liquidFuelExt,99FR,,dem,0.002458542,
all,,01ES,liquidFuelExtTech,capaConvResi,1,
all,,02ES,liquidFuelExtTech,capaConvResi,1,
all,,03ES,liquidFuelExtTech,capaConvResi,1,
all,,04ES,liquidFuelExtTech,capaConvResi,1,
all,,05ES,liquidFuelExtTech,capaConvResi,1,
all,,06ES,liquidFuelExtTech,capaConvResi,1,
all,,07ES,liquidFuelExtTech,capaConvResi,1,
all,,08ES,liquidFuelExtTech,capaConvResi,1,
all,,09ES,liquidFuelExtTech,capaConvResi,1,
all,,10ES,liquidFuelExtTech,capaConvResi,1,
all,,11ES,liquidFuelExtTech,capaConvResi,1,
all,,12PT,liquidFuelExtTech,capaConvResi,1,
all,,13PT,liquidFuelExtTech,capaConvResi,1,
all,,14FR,liquidFuelExtTech,capaConvResi,1,
all,,15FR,liquidFuelExtTech,capaConvResi,1,
all,,16FR,liquidFuelExtTech,capaConvResi,1,
all,,17FR,liquidFuelExtTech,capaConvResi,1,
all,,18FR,liquidFuelExtTech,capaConvResi,1,
all,,19FR,liquidFuelExtTech,capaConvResi,1,
all,,20FR,liquidFuelExtTech,capaConvResi,1,
all,,21FR,liquidFuelExtTech,capaConvResi,1,
all,,22FR,liquidFuelExtTech,capaConvResi,1,
all,,23FR,liquidFuelExtTech,capaConvResi,1,
all,,24FR,liquidFuelExtTech,capaConvResi,1,
all,,25FR,liquidFuelExtTech,capaConvResi,1,
all,,26FR,liquidFuelExtTech,capaConvResi,1,
all,,27FR,liquidFuelExtTech,capaConvResi,1,
all,,28BE,liquidFuelExtTech,capaConvResi,1,
all,,29LU,liquidFuelExtTech,capaConvResi,1,
all,,30NL,liquidFuelExtTech,capaConvResi,1,
all,,31DE,liquidFuelExtTech,capaConvResi,1,
all,,32DE,liquidFuelExtTech,capaConvResi,1,
all,,33DE,liquidFuelExtTech,capaConvResi,1,
all,,34DE,liquidFuelExtTech,capaConvResi,1,
all,,35DE,liquidFuelExtTech,capaConvResi,1,
all,,36DE,liquidFuelExtTech,capaConvResi,1,
all,,37DE,liquidFuelExtTech,capaConvResi,1,
all,,38DK,liquidFuelExtTech,capaConvResi,1,
all,,39CZ,liquidFuelExtTech,capaConvResi,1,
all,,40CZ,liquidFuelExtTech,capaConvResi,1,
all,,41PL,liquidFuelExtTech,capaConvResi,1,
all,,42PL,liquidFuelExtTech,capaConvResi,1,
all,,43PL,liquidFuelExtTech,capaConvResi,1,
all,,44PL,liquidFuelExtTech,capaConvResi,1,
all,,45PL,liquidFuelExtTech,capaConvResi,1,
all,,46SK,liquidFuelExtTech,capaConvResi,1,
all,,47CH,liquidFuelExtTech,capaConvResi,1,
all,,48CH,liquidFuelExtTech,capaConvResi,1,
all,,49AT,liquidFuelExtTech,capaConvResi,1,
all,,50AT,liquidFuelExtTech,capaConvResi,1,
all,,51AT,liquidFuelExtTech,capaConvResi,1,
all,,52IT,liquidFuelExtTech,capaConvResi,1,
all,,53IT,liquidFuelExtTech,capaConvResi,1,
all,,54IT,liquidFuelExtTech,capaConvResi,1,
all,,55IT,liquidFuelExtTech,capaConvResi,1,
all,,56IT,liquidFuelExtTech,capaConvResi,1,
all,,57SI,liquidFuelExtTech,capaConvResi,1,
all,,58HU,liquidFuelExtTech,capaConvResi,1,
all,,59RO,liquidFuelExtTech,capaConvResi,1,
all,,60RO,liquidFuelExtTech,capaConvResi,1,
all,,61RO,liquidFuelExtTech,capaConvResi,1,
all,,62HR,liquidFuelExtTech,capaConvResi,1,
all,,63BA,liquidFuelExtTech,capaConvResi,1,
all,,64ME,liquidFuelExtTech,capaConvResi,1,
all,,65RS,liquidFuelExtTech,capaConvResi,1,
all,,66BG,liquidFuelExtTech,capaConvResi,1,
all,,67MK,liquidFuelExtTech,capaConvResi,1,
all,,68GR,liquidFuelExtTech,capaConvResi,1,
all,,69GR,liquidFuelExtTech,capaConvResi,1,
all,,70AL,liquidFuelExtTech,capaConvResi,1,
all,,72DK,liquidFuelExtTech,capaConvResi,1,
all,,73EE,liquidFuelExtTech,capaConvResi,1,
all,,74FI,liquidFuelExtTech,capaConvResi,1,
all,,75FI,liquidFuelExtTech,capaConvResi,1,
all,,77LT,liquidFuelExtTech,capaConvResi,1,
all,,78LV,liquidFuelExtTech,capaConvResi,1,
all,,79NO,liquidFuelExtTech,capaConvResi,1,
all,,80NO,liquidFuelExtTech,capaConvResi,1,
all,,81NO,liquidFuelExtTech,capaConvResi,1,
all,,82NO,liquidFuelExtTech,capaConvResi,1,
all,,83NO,liquidFuelExtTech,capaConvResi,1,
all,,84NO,liquidFuelExtTech,capaConvResi,1,
all,,85NO,liquidFuelExtTech,capaConvResi,1,
all,,86SE,liquidFuelExtTech,capaConvResi,1,
all,,87SE,liquidFuelExtTech,capaConvResi,1,
all,,88SE,liquidFuelExtTech,capaConvResi,1,
all,,89SE,liquidFuelExtTech,capaConvResi,1,
all,,90UK,liquidFuelExtTech,capaConvResi,1,
all,,91UK,liquidFuelExtTech,capaConvResi,1,
all,,92UK,liquidFuelExtTech,capaConvResi,1,
all,,93UK,liquidFuelExtTech,capaConvResi,1,
all,,94UK,liquidFuelExtTech,capaConvResi,1,
