region_3,timestep_6,value,scenario_1,parameter,carrier_1
at,h0481,6.1067315242976585,scr1983,dem,electricity
at,h0482,5.367406143744014,scr1983,dem,electricity
at,h0483,4.7730507081253455,scr1983,dem,electricity
at,h0484,4.545036474383799,scr1983,dem,electricity
at,h0485,4.434252876377913,scr1983,dem,electricity
at,h0486,4.45233500813661,scr1983,dem,electricity
at,h0487,5.756039577436009,scr1983,dem,electricity
at,h0488,7.226339265699482,scr1983,dem,electricity
at,h0489,8.623304315287704,scr1983,dem,electricity
at,h0490,8.890466138340553,scr1983,dem,electricity
at,h0491,9.000894092328053,scr1983,dem,electricity
at,h0492,9.060053352986397,scr1983,dem,electricity
at,h0493,8.477257879735117,scr1983,dem,electricity
at,h0494,7.768941274497796,scr1983,dem,electricity
at,h0495,7.002196778922333,scr1983,dem,electricity
at,h0496,6.870375430470978,scr1983,dem,electricity
at,h0497,6.818907852055232,scr1983,dem,electricity
at,h0498,6.868446301203986,scr1983,dem,electricity
at,h0499,7.563007859263574,scr1983,dem,electricity
at,h0500,8.199223886485274,scr1983,dem,electricity
at,h0501,8.548112507518173,scr1983,dem,electricity
at,h0502,8.026823324923186,scr1983,dem,electricity
at,h0503,7.412892507893221,scr1983,dem,electricity
at,h0504,6.812623934039709,scr1983,dem,electricity
at,h0505,6.313370624606963,scr1983,dem,electricity
at,h0506,5.819327952926135,scr1983,dem,electricity
at,h0507,5.464906669416733,scr1983,dem,electricity
at,h0508,5.210281146372902,scr1983,dem,electricity
at,h0509,5.09655513816689,scr1983,dem,electricity
at,h0510,5.200502690081841,scr1983,dem,electricity
at,h0511,6.347827790560825,scr1983,dem,electricity
at,h0512,7.64989447424906,scr1983,dem,electricity
at,h0513,8.843282267649226,scr1983,dem,electricity
at,h0514,9.111229119247614,scr1983,dem,electricity
at,h0515,9.215606540020634,scr1983,dem,electricity
at,h0516,9.273607657382161,scr1983,dem,electricity
at,h0517,9.152988670598706,scr1983,dem,electricity
at,h0518,8.931082241502484,scr1983,dem,electricity
at,h0519,8.641520108351656,scr1983,dem,electricity
at,h0520,8.493246424674734,scr1983,dem,electricity
at,h0521,8.399566318793308,scr1983,dem,electricity
at,h0522,8.419259211716696,scr1983,dem,electricity
at,h0523,8.708274141783594,scr1983,dem,electricity
at,h0524,8.863436545594862,scr1983,dem,electricity
at,h0525,8.71725528917678,scr1983,dem,electricity
at,h0526,8.09406012340029,scr1983,dem,electricity
at,h0527,7.470175442614203,scr1983,dem,electricity
at,h0528,6.872583355362116,scr1983,dem,electricity
at,h0529,6.425015712442399,scr1983,dem,electricity
at,h0530,6.018204642728425,scr1983,dem,electricity
at,h0531,5.781536924342059,scr1983,dem,electricity
at,h0532,5.594948107773445,scr1983,dem,electricity
at,h0533,5.608152239620789,scr1983,dem,electricity
at,h0534,6.032423652521545,scr1983,dem,electricity
at,h0535,6.974283611821094,scr1983,dem,electricity
at,h0536,8.022186504646207,scr1983,dem,electricity
at,h0537,8.771351743806232,scr1983,dem,electricity
at,h0538,9.049077060910996,scr1983,dem,electricity
at,h0539,9.14377807125329,scr1983,dem,electricity
at,h0540,9.188909193777555,scr1983,dem,electricity
at,h0541,9.155925984764977,scr1983,dem,electricity
at,h0542,9.061159698302816,scr1983,dem,electricity
at,h0543,8.930061704361197,scr1983,dem,electricity
at,h0544,8.848749415415444,scr1983,dem,electricity
at,h0545,8.785617364349939,scr1983,dem,electricity
at,h0546,8.852882703554446,scr1983,dem,electricity
at,h0547,8.328306172411228,scr1983,dem,electricity
at,h0548,7.745207482410373,scr1983,dem,electricity
at,h0549,6.913791141628846,scr1983,dem,electricity
at,h0550,6.5930866363880005,scr1983,dem,electricity
at,h0551,6.2927557391514055,scr1983,dem,electricity
at,h0552,5.967873067364436,scr1983,dem,electricity
be,h0481,8.004374932099678,scr1983,dem,electricity
be,h0482,7.212289522874564,scr1983,dem,electricity
be,h0483,6.514416921133837,scr1983,dem,electricity
be,h0484,6.257043069633809,scr1983,dem,electricity
be,h0485,6.09280605377768,scr1983,dem,electricity
be,h0486,6.036780444621796,scr1983,dem,electricity
be,h0487,6.823292507990809,scr1983,dem,electricity
be,h0488,7.950423569057589,scr1983,dem,electricity
be,h0489,9.181789857130413,scr1983,dem,electricity
be,h0490,9.688812252791438,scr1983,dem,electricity
be,h0491,9.906507594616219,scr1983,dem,electricity
be,h0492,10.100023447172331,scr1983,dem,electricity
be,h0493,9.63413105217241,scr1983,dem,electricity
be,h0494,9.052677773390437,scr1983,dem,electricity
be,h0495,8.332231229091567,scr1983,dem,electricity
be,h0496,8.13666079136924,scr1983,dem,electricity
be,h0497,8.024157440850253,scr1983,dem,electricity
be,h0498,7.99269657197306,scr1983,dem,electricity
be,h0499,8.245492028444627,scr1983,dem,electricity
be,h0500,8.501923351327287,scr1983,dem,electricity
be,h0501,8.785217164405374,scr1983,dem,electricity
be,h0502,8.649864745807154,scr1983,dem,electricity
be,h0503,8.449094410455888,scr1983,dem,electricity
be,h0504,8.051199305571654,scr1983,dem,electricity
be,h0505,7.763052808259751,scr1983,dem,electricity
be,h0506,7.387544408104093,scr1983,dem,electricity
be,h0507,7.049912063248119,scr1983,dem,electricity
be,h0508,6.723532423363262,scr1983,dem,electricity
be,h0509,6.51492369443643,scr1983,dem,electricity
be,h0510,6.440496770272562,scr1983,dem,electricity
be,h0511,7.103701265094161,scr1983,dem,electricity
be,h0512,8.212682802563988,scr1983,dem,electricity
be,h0513,9.37403681708173,scr1983,dem,electricity
be,h0514,9.912708833794209,scr1983,dem,electricity
be,h0515,10.071610760727946,scr1983,dem,electricity
be,h0516,10.222480521234068,scr1983,dem,electricity
be,h0517,10.244141197253809,scr1983,dem,electricity
be,h0518,10.202072304163613,scr1983,dem,electricity
be,h0519,10.061602623445758,scr1983,dem,electricity
be,h0520,9.906592540892811,scr1983,dem,electricity
be,h0521,9.739644006003127,scr1983,dem,electricity
be,h0522,9.645630424992252,scr1983,dem,electricity
be,h0523,9.701221387920866,scr1983,dem,electricity
be,h0524,9.922506855885995,scr1983,dem,electricity
be,h0525,9.99278632175768,scr1983,dem,electricity
be,h0526,9.766453691453036,scr1983,dem,electricity
be,h0527,9.325529779823487,scr1983,dem,electricity
be,h0528,8.851510358180828,scr1983,dem,electricity
be,h0529,8.419265577017303,scr1983,dem,electricity
be,h0530,7.919956488636927,scr1983,dem,electricity
be,h0531,7.477744480524957,scr1983,dem,electricity
be,h0532,7.187419455862638,scr1983,dem,electricity
be,h0533,7.081634681398176,scr1983,dem,electricity
be,h0534,7.233934840798199,scr1983,dem,electricity
be,h0535,7.659283429086123,scr1983,dem,electricity
be,h0536,8.516218769860403,scr1983,dem,electricity
be,h0537,9.340719546202836,scr1983,dem,electricity
be,h0538,9.983719439363936,scr1983,dem,electricity
be,h0539,10.202242595859076,scr1983,dem,electricity
be,h0540,10.345736663593033,scr1983,dem,electricity
be,h0541,10.351845729675103,scr1983,dem,electricity
be,h0542,10.297073329807048,scr1983,dem,electricity
be,h0543,10.169749402023474,scr1983,dem,electricity
be,h0544,10.076033873012749,scr1983,dem,electricity
be,h0545,9.974681544187234,scr1983,dem,electricity
be,h0546,9.95184889379692,scr1983,dem,electricity
be,h0547,9.47017965174205,scr1983,dem,electricity
be,h0548,9.23454520921703,scr1983,dem,electricity
be,h0549,8.855495380418922,scr1983,dem,electricity
be,h0550,8.801485211946146,scr1983,dem,electricity
be,h0551,8.450632205621622,scr1983,dem,electricity
be,h0552,8.078499096131532,scr1983,dem,electricity
bg,h0481,3.1103595044842223,scr1983,dem,electricity
bg,h0482,2.775703660598083,scr1983,dem,electricity
bg,h0483,2.4190802608500235,scr1983,dem,electricity
bg,h0484,2.2813677361191367,scr1983,dem,electricity
bg,h0485,2.2010530125480727,scr1983,dem,electricity
bg,h0486,2.2047802886008867,scr1983,dem,electricity
bg,h0487,2.726431249269808,scr1983,dem,electricity
bg,h0488,3.2670941322430735,scr1983,dem,electricity
bg,h0489,3.732930033635057,scr1983,dem,electricity
bg,h0490,3.8250964647741057,scr1983,dem,electricity
bg,h0491,3.8491525193676353,scr1983,dem,electricity
bg,h0492,3.8716998443487682,scr1983,dem,electricity
bg,h0493,3.7805842166199,scr1983,dem,electricity
bg,h0494,3.64828043741727,scr1983,dem,electricity
bg,h0495,3.4779549722370575,scr1983,dem,electricity
bg,h0496,3.4044510269595776,scr1983,dem,electricity
bg,h0497,3.3555108727086917,scr1983,dem,electricity
bg,h0498,3.3318365490995347,scr1983,dem,electricity
bg,h0499,3.5250262704867055,scr1983,dem,electricity
bg,h0500,3.802013856868143,scr1983,dem,electricity
bg,h0501,4.0023955095457495,scr1983,dem,electricity
bg,h0502,3.9260578995526885,scr1983,dem,electricity
bg,h0503,3.68332841994561,scr1983,dem,electricity
bg,h0504,3.4480291465006303,scr1983,dem,electricity
bg,h0505,3.223970735860348,scr1983,dem,electricity
bg,h0506,3.0177142825414194,scr1983,dem,electricity
bg,h0507,2.7843610036434256,scr1983,dem,electricity
bg,h0508,2.6120476477008197,scr1983,dem,electricity
bg,h0509,2.518498072065995,scr1983,dem,electricity
bg,h0510,2.542424500803463,scr1983,dem,electricity
bg,h0511,2.958466127187421,scr1983,dem,electricity
bg,h0512,3.4019859335021465,scr1983,dem,electricity
bg,h0513,3.774243387837487,scr1983,dem,electricity
bg,h0514,3.8552527725769323,scr1983,dem,electricity
bg,h0515,3.8715786393076996,scr1983,dem,electricity
bg,h0516,3.886046462932427,scr1983,dem,electricity
bg,h0517,3.900471583867329,scr1983,dem,electricity
bg,h0518,3.894179619892384,scr1983,dem,electricity
bg,h0519,3.876312972170126,scr1983,dem,electricity
bg,h0520,3.85142725816695,scr1983,dem,electricity
bg,h0521,3.835058603384823,scr1983,dem,electricity
bg,h0522,3.819870606988843,scr1983,dem,electricity
bg,h0523,3.8855130516167264,scr1983,dem,electricity
bg,h0524,3.9951380623679142,scr1983,dem,electricity
bg,h0525,4.0399559009456425,scr1983,dem,electricity
bg,h0526,3.914834294737375,scr1983,dem,electricity
bg,h0527,3.6666837111333734,scr1983,dem,electricity
bg,h0528,3.4391490395282744,scr1983,dem,electricity
bg,h0529,3.246937534888275,scr1983,dem,electricity
bg,h0530,3.0758310628298204,scr1983,dem,electricity
bg,h0531,2.883100554041448,scr1983,dem,electricity
bg,h0532,2.726513552632241,scr1983,dem,electricity
bg,h0533,2.668445521281683,scr1983,dem,electricity
bg,h0534,2.7941508655494545,scr1983,dem,electricity
bg,h0535,3.1363285849802196,scr1983,dem,electricity
bg,h0536,3.508242948904808,scr1983,dem,electricity
bg,h0537,3.768835831011529,scr1983,dem,electricity
bg,h0538,3.8633583398914197,scr1983,dem,electricity
bg,h0539,3.8817469315763447,scr1983,dem,electricity
bg,h0540,3.8964587278242107,scr1983,dem,electricity
bg,h0541,3.931135460661608,scr1983,dem,electricity
bg,h0542,3.950984799012076,scr1983,dem,electricity
bg,h0543,3.9613955820168485,scr1983,dem,electricity
bg,h0544,3.9426602068488137,scr1983,dem,electricity
bg,h0545,3.9254401825746754,scr1983,dem,electricity
bg,h0546,3.9233471989573445,scr1983,dem,electricity
bg,h0547,3.7525582500966266,scr1983,dem,electricity
bg,h0548,3.6002068610541755,scr1983,dem,electricity
bg,h0549,3.3525636392150773,scr1983,dem,electricity
bg,h0550,3.2040637494501425,scr1983,dem,electricity
bg,h0551,2.9490751304256264,scr1983,dem,electricity
bg,h0552,2.6928739526483696,scr1983,dem,electricity
ch,h0481,3.673336788433785,scr1983,dem,electricity
ch,h0482,3.5840119677369926,scr1983,dem,electricity
ch,h0483,3.584293987293432,scr1983,dem,electricity
ch,h0484,3.6284747118044636,scr1983,dem,electricity
ch,h0485,3.6224217964635925,scr1983,dem,electricity
ch,h0486,3.5290679883770464,scr1983,dem,electricity
ch,h0487,3.6475209528076054,scr1983,dem,electricity
ch,h0488,3.9741179545680345,scr1983,dem,electricity
ch,h0489,4.436145049056686,scr1983,dem,electricity
ch,h0490,4.697093473103738,scr1983,dem,electricity
ch,h0491,4.807889818582375,scr1983,dem,electricity
ch,h0492,4.893944766844191,scr1983,dem,electricity
ch,h0493,4.550113905719218,scr1983,dem,electricity
ch,h0494,4.205187735804355,scr1983,dem,electricity
ch,h0495,3.8018241923087364,scr1983,dem,electricity
ch,h0496,3.823754367976295,scr1983,dem,electricity
ch,h0497,3.808283576098712,scr1983,dem,electricity
ch,h0498,3.7310881667781883,scr1983,dem,electricity
ch,h0499,3.8254482843771243,scr1983,dem,electricity
ch,h0500,3.9658181903100997,scr1983,dem,electricity
ch,h0501,4.143940187039364,scr1983,dem,electricity
ch,h0502,4.0857447767160355,scr1983,dem,electricity
ch,h0503,3.957729163566133,scr1983,dem,electricity
ch,h0504,3.827819943625925,scr1983,dem,electricity
ch,h0505,3.721258498218175,scr1983,dem,electricity
ch,h0506,3.6803180186751767,scr1983,dem,electricity
ch,h0507,3.7013402027897357,scr1983,dem,electricity
ch,h0508,3.7568540990843617,scr1983,dem,electricity
ch,h0509,3.7555023632062965,scr1983,dem,electricity
ch,h0510,3.684105905076128,scr1983,dem,electricity
ch,h0511,3.7187611498285147,scr1983,dem,electricity
ch,h0512,3.9718660325526582,scr1983,dem,electricity
ch,h0513,4.352175667469625,scr1983,dem,electricity
ch,h0514,4.630688705122386,scr1983,dem,electricity
ch,h0515,4.747258636598053,scr1983,dem,electricity
ch,h0516,4.825590489840161,scr1983,dem,electricity
ch,h0517,4.790743488658343,scr1983,dem,electricity
ch,h0518,4.718727279225508,scr1983,dem,electricity
ch,h0519,4.572333295809079,scr1983,dem,electricity
ch,h0520,4.517104308186335,scr1983,dem,electricity
ch,h0521,4.429892877449856,scr1983,dem,electricity
ch,h0522,4.340464275015755,scr1983,dem,electricity
ch,h0523,4.270976416592612,scr1983,dem,electricity
ch,h0524,4.257796336919911,scr1983,dem,electricity
ch,h0525,4.193024326542307,scr1983,dem,electricity
ch,h0526,4.074504976605459,scr1983,dem,electricity
ch,h0527,3.9206363158804174,scr1983,dem,electricity
ch,h0528,3.809556674132542,scr1983,dem,electricity
ch,h0529,3.749298762772161,scr1983,dem,electricity
ch,h0530,3.757597582991983,scr1983,dem,electricity
ch,h0531,3.8406304323287452,scr1983,dem,electricity
ch,h0532,3.929585313384848,scr1983,dem,electricity
ch,h0533,3.9422928596302946,scr1983,dem,electricity
ch,h0534,3.8859416677834986,scr1983,dem,electricity
ch,h0535,3.878337146919328,scr1983,dem,electricity
ch,h0536,4.068763675500842,scr1983,dem,electricity
ch,h0537,4.385001887726132,scr1983,dem,electricity
ch,h0538,4.655510689573806,scr1983,dem,electricity
ch,h0539,4.77716952589444,scr1983,dem,electricity
ch,h0540,4.855723327613726,scr1983,dem,electricity
ch,h0541,4.801021874534996,scr1983,dem,electricity
ch,h0542,4.729277190039719,scr1983,dem,electricity
ch,h0543,4.579418883294261,scr1983,dem,electricity
ch,h0544,4.541952061536017,scr1983,dem,electricity
ch,h0545,4.469141332088425,scr1983,dem,electricity
ch,h0546,4.395334450360005,scr1983,dem,electricity
ch,h0547,4.105171586119191,scr1983,dem,electricity
ch,h0548,3.8354106260813134,scr1983,dem,electricity
ch,h0549,3.5569511476782227,scr1983,dem,electricity
ch,h0550,3.512395097245772,scr1983,dem,electricity
ch,h0551,3.4928105538229457,scr1983,dem,electricity
ch,h0552,3.5150481460432115,scr1983,dem,electricity
cz,h0481,5.229137846210506,scr1983,dem,electricity
cz,h0482,4.566847583046183,scr1983,dem,electricity
cz,h0483,4.005418832719442,scr1983,dem,electricity
cz,h0484,3.936276354419533,scr1983,dem,electricity
cz,h0485,3.9035964591021184,scr1983,dem,electricity
cz,h0486,4.047825985981035,scr1983,dem,electricity
cz,h0487,5.486834050127072,scr1983,dem,electricity
cz,h0488,6.801800375425955,scr1983,dem,electricity
cz,h0489,7.862090522743529,scr1983,dem,electricity
cz,h0490,7.9655686139303725,scr1983,dem,electricity
cz,h0491,7.959396026155446,scr1983,dem,electricity
cz,h0492,7.882095713284798,scr1983,dem,electricity
cz,h0493,7.348259979655268,scr1983,dem,electricity
cz,h0494,6.739293171456666,scr1983,dem,electricity
cz,h0495,6.118551914929412,scr1983,dem,electricity
cz,h0496,5.948454960307572,scr1983,dem,electricity
cz,h0497,5.771530236524995,scr1983,dem,electricity
cz,h0498,5.61700046628539,scr1983,dem,electricity
cz,h0499,6.156560211762553,scr1983,dem,electricity
cz,h0500,6.701701781945303,scr1983,dem,electricity
cz,h0501,7.0584855097549735,scr1983,dem,electricity
cz,h0502,6.670799655534211,scr1983,dem,electricity
cz,h0503,6.0926826793001965,scr1983,dem,electricity
cz,h0504,5.486902199787437,scr1983,dem,electricity
cz,h0505,5.028395495275618,scr1983,dem,electricity
cz,h0506,4.7174975918314885,scr1983,dem,electricity
cz,h0507,4.537316758200177,scr1983,dem,electricity
cz,h0508,4.448109228222165,scr1983,dem,electricity
cz,h0509,4.45773484298843,scr1983,dem,electricity
cz,h0510,4.714718723116675,scr1983,dem,electricity
cz,h0511,5.8931086401426,scr1983,dem,electricity
cz,h0512,6.984591940563405,scr1983,dem,electricity
cz,h0513,7.818479375651805,scr1983,dem,electricity
cz,h0514,7.913296530401567,scr1983,dem,electricity
cz,h0515,7.883842013092362,scr1983,dem,electricity
cz,h0516,7.792834167034016,scr1983,dem,electricity
cz,h0517,7.660464458735078,scr1983,dem,electricity
cz,h0518,7.506008027732605,scr1983,dem,electricity
cz,h0519,7.377643550848006,scr1983,dem,electricity
cz,h0520,7.252141404300346,scr1983,dem,electricity
cz,h0521,7.132113331972505,scr1983,dem,electricity
cz,h0522,7.049550390103832,scr1983,dem,electricity
cz,h0523,7.250683037680574,scr1983,dem,electricity
cz,h0524,7.5065118836500915,scr1983,dem,electricity
cz,h0525,7.598683530421113,scr1983,dem,electricity
cz,h0526,7.228669785647071,scr1983,dem,electricity
cz,h0527,6.641850235348102,scr1983,dem,electricity
cz,h0528,6.018426149734296,scr1983,dem,electricity
cz,h0529,5.648248927813256,scr1983,dem,electricity
cz,h0530,5.4437396808643825,scr1983,dem,electricity
cz,h0531,5.333374320383882,scr1983,dem,electricity
cz,h0532,5.204282714199508,scr1983,dem,electricity
cz,h0533,5.239644838511595,scr1983,dem,electricity
cz,h0534,5.795102889795089,scr1983,dem,electricity
cz,h0535,6.650542012648657,scr1983,dem,electricity
cz,h0536,7.438414420190384,scr1983,dem,electricity
cz,h0537,7.839968533211504,scr1983,dem,electricity
cz,h0538,7.949338337697554,scr1983,dem,electricity
cz,h0539,7.922790583688766,scr1983,dem,electricity
cz,h0540,7.851692640513647,scr1983,dem,electricity
cz,h0541,7.793591373745585,scr1983,dem,electricity
cz,h0542,7.73757070688589,scr1983,dem,electricity
cz,h0543,7.702150348137366,scr1983,dem,electricity
cz,h0544,7.6214902108768,scr1983,dem,electricity
cz,h0545,7.534936257536174,scr1983,dem,electricity
cz,h0546,7.486614719193312,scr1983,dem,electricity
cz,h0547,7.170591077301651,scr1983,dem,electricity
cz,h0548,6.870667275376036,scr1983,dem,electricity
cz,h0549,6.429741945641581,scr1983,dem,electricity
cz,h0550,6.16030221786059,scr1983,dem,electricity
cz,h0551,5.7775570057856385,scr1983,dem,electricity
cz,h0552,5.365941628508153,scr1983,dem,electricity
de,h0481,48.22080584962204,scr1983,dem,electricity
de,h0482,41.46455259586243,scr1983,dem,electricity
de,h0483,35.92158371751975,scr1983,dem,electricity
de,h0484,34.39466896231367,scr1983,dem,electricity
de,h0485,33.77480010063316,scr1983,dem,electricity
de,h0486,33.96202803590717,scr1983,dem,electricity
de,h0487,43.6096782594969,scr1983,dem,electricity
de,h0488,54.45530694099759,scr1983,dem,electricity
de,h0489,64.99286189687453,scr1983,dem,electricity
de,h0490,67.66191659084336,scr1983,dem,electricity
de,h0491,68.92928493762442,scr1983,dem,electricity
de,h0492,69.85617850523991,scr1983,dem,electricity
de,h0493,65.88839036734335,scr1983,dem,electricity
de,h0494,60.641250615170605,scr1983,dem,electricity
de,h0495,54.15841670196963,scr1983,dem,electricity
de,h0496,52.3973242560412,scr1983,dem,electricity
de,h0497,51.22669470528474,scr1983,dem,electricity
de,h0498,51.053621628995614,scr1983,dem,electricity
de,h0499,55.94168852715056,scr1983,dem,electricity
de,h0500,61.736138781663115,scr1983,dem,electricity
de,h0501,66.31193750293657,scr1983,dem,electricity
