region_3,category,timestep_6,value,scenario_1,parameter,technology_3
al,1,h0553,0.0,scr1989,avaConv,pvInd_a
al,1,h0554,0.0,scr1989,avaConv,pvInd_a
al,1,h0555,0.0,scr1989,avaConv,pvInd_a
al,1,h0556,0.0,scr1989,avaConv,pvInd_a
al,1,h0557,0.0,scr1989,avaConv,pvInd_a
al,1,h0558,0.0,scr1989,avaConv,pvInd_a
al,1,h0559,0.017380544619006007,scr1989,avaConv,pvInd_a
al,1,h0560,0.08689454919564082,scr1989,avaConv,pvInd_a
al,1,h0561,0.228164879584252,scr1989,avaConv,pvInd_a
al,1,h0562,0.39922672167855017,scr1989,avaConv,pvInd_a
al,1,h0563,0.5305425967364126,scr1989,avaConv,pvInd_a
al,1,h0564,0.5930080121179291,scr1989,avaConv,pvInd_a
al,1,h0565,0.5694675930406972,scr1989,avaConv,pvInd_a
al,1,h0566,0.4876759402281881,scr1989,avaConv,pvInd_a
al,1,h0567,0.35021628452987885,scr1989,avaConv,pvInd_a
al,1,h0568,0.19597760748777315,scr1989,avaConv,pvInd_a
al,1,h0569,0.07191803167105394,scr1989,avaConv,pvInd_a
al,1,h0570,0.012674835351737024,scr1989,avaConv,pvInd_a
al,1,h0571,0.0,scr1989,avaConv,pvInd_a
al,1,h0572,0.0,scr1989,avaConv,pvInd_a
al,1,h0573,0.0,scr1989,avaConv,pvInd_a
al,1,h0574,0.0,scr1989,avaConv,pvInd_a
al,1,h0575,0.0,scr1989,avaConv,pvInd_a
al,1,h0576,0.0,scr1989,avaConv,pvInd_a
al,1,h0577,0.0,scr1989,avaConv,pvInd_a
al,1,h0578,0.0,scr1989,avaConv,pvInd_a
al,1,h0579,0.0,scr1989,avaConv,pvInd_a
al,1,h0580,0.0,scr1989,avaConv,pvInd_a
al,1,h0581,0.0,scr1989,avaConv,pvInd_a
al,1,h0582,0.0,scr1989,avaConv,pvInd_a
al,1,h0583,0.011713556420608708,scr1989,avaConv,pvInd_a
al,1,h0584,0.06415603683841957,scr1989,avaConv,pvInd_a
al,1,h0585,0.1760723778787897,scr1989,avaConv,pvInd_a
al,1,h0586,0.3215243912590032,scr1989,avaConv,pvInd_a
al,1,h0587,0.4313800022105165,scr1989,avaConv,pvInd_a
al,1,h0588,0.46817594787456074,scr1989,avaConv,pvInd_a
al,1,h0589,0.48757296597490624,scr1989,avaConv,pvInd_a
al,1,h0590,0.44920320478671916,scr1989,avaConv,pvInd_a
al,1,h0591,0.35824886056647565,scr1989,avaConv,pvInd_a
al,1,h0592,0.1804375657094845,scr1989,avaConv,pvInd_a
al,1,h0593,0.056712497702624404,scr1989,avaConv,pvInd_a
al,1,h0594,0.004801848342441457,scr1989,avaConv,pvInd_a
al,1,h0595,0.0,scr1989,avaConv,pvInd_a
al,1,h0596,0.0,scr1989,avaConv,pvInd_a
al,1,h0597,0.0,scr1989,avaConv,pvInd_a
al,1,h0598,0.0,scr1989,avaConv,pvInd_a
al,1,h0599,0.0,scr1989,avaConv,pvInd_a
al,1,h0600,0.0,scr1989,avaConv,pvInd_a
al,1,h0601,0.0,scr1989,avaConv,pvInd_a
al,1,h0602,0.0,scr1989,avaConv,pvInd_a
al,1,h0603,0.0,scr1989,avaConv,pvInd_a
al,1,h0604,0.0,scr1989,avaConv,pvInd_a
al,1,h0605,0.0,scr1989,avaConv,pvInd_a
