region_2,timestep_6,value,scenario_1,parameter,carrier_1
AT,h0625,0.01569129773416926,scr1989,mustOut,psngRoadPub
AT,h0626,0.003961876729022799,scr1989,mustOut,psngRoadPub
AT,h0627,0.0,scr1989,mustOut,psngRoadPub
AT,h0628,0.0,scr1989,mustOut,psngRoadPub
AT,h0629,0.0,scr1989,mustOut,psngRoadPub
AT,h0630,0.005623802830040326,scr1989,mustOut,psngRoadPub
AT,h0631,0.05102494009520706,scr1989,mustOut,psngRoadPub
AT,h0632,0.18001528021838203,scr1989,mustOut,psngRoadPub
AT,h0633,0.2507906999177362,scr1989,mustOut,psngRoadPub
AT,h0634,0.2374311387655332,scr1989,mustOut,psngRoadPub
AT,h0635,0.14031293226850325,scr1989,mustOut,psngRoadPub
AT,h0636,0.13211642554171132,scr1989,mustOut,psngRoadPub
AT,h0637,0.15726582545513532,scr1989,mustOut,psngRoadPub
AT,h0638,0.19622741258678872,scr1989,mustOut,psngRoadPub
AT,h0639,0.18025418733574322,scr1989,mustOut,psngRoadPub
AT,h0640,0.1764732871516063,scr1989,mustOut,psngRoadPub
AT,h0641,0.20429510358420996,scr1989,mustOut,psngRoadPub
AT,h0642,0.27097722094389814,scr1989,mustOut,psngRoadPub
AT,h0643,0.2916229018759244,scr1989,mustOut,psngRoadPub
AT,h0644,0.22817923999964493,scr1989,mustOut,psngRoadPub
AT,h0645,0.13110220352805507,scr1989,mustOut,psngRoadPub
AT,h0646,0.06729001456573892,scr1989,mustOut,psngRoadPub
AT,h0647,0.04172467744398949,scr1989,mustOut,psngRoadPub
AT,h0648,0.02941690171429387,scr1989,mustOut,psngRoadPub
AT,h0649,0.01569129773416926,scr1989,mustOut,psngRoadPub
AT,h0650,0.003961876729022799,scr1989,mustOut,psngRoadPub
AT,h0651,0.0,scr1989,mustOut,psngRoadPub
AT,h0652,0.0,scr1989,mustOut,psngRoadPub
AT,h0653,0.0,scr1989,mustOut,psngRoadPub
AT,h0654,0.005623802830040326,scr1989,mustOut,psngRoadPub
AT,h0655,0.05102494009520706,scr1989,mustOut,psngRoadPub
AT,h0656,0.18001528021838203,scr1989,mustOut,psngRoadPub
AT,h0657,0.2507906999177362,scr1989,mustOut,psngRoadPub
AT,h0658,0.2374311387655332,scr1989,mustOut,psngRoadPub
AT,h0659,0.14031293226850325,scr1989,mustOut,psngRoadPub
AT,h0660,0.13211642554171132,scr1989,mustOut,psngRoadPub
AT,h0661,0.15616219749061558,scr1989,mustOut,psngRoadPub
AT,h0662,0.20623214454177347,scr1989,mustOut,psngRoadPub
