region_3,category,timestep_6,value,scenario_1,parameter,technology_3
al,1,h0145,0.0,scr1990,avaConv,pvOpenspace_a
al,1,h0146,0.0,scr1990,avaConv,pvOpenspace_a
al,1,h0147,0.0,scr1990,avaConv,pvOpenspace_a
al,1,h0148,0.0,scr1990,avaConv,pvOpenspace_a
al,1,h0149,0.0,scr1990,avaConv,pvOpenspace_a
al,1,h0150,0.0005954424128744334,scr1990,avaConv,pvOpenspace_a
al,1,h0151,0.04671120290759215,scr1990,avaConv,pvOpenspace_a
al,1,h0152,0.16206628484918223,scr1990,avaConv,pvOpenspace_a
al,1,h0153,0.3414493931606139,scr1990,avaConv,pvOpenspace_a
al,1,h0154,0.5166228995903426,scr1990,avaConv,pvOpenspace_a
al,1,h0155,0.6426059427612758,scr1990,avaConv,pvOpenspace_a
al,1,h0156,0.7099586402393468,scr1990,avaConv,pvOpenspace_a
al,1,h0157,0.6069421690519341,scr1990,avaConv,pvOpenspace_a
al,1,h0158,0.47634459579884386,scr1990,avaConv,pvOpenspace_a
al,1,h0159,0.3091442103928286,scr1990,avaConv,pvOpenspace_a
al,1,h0160,0.2307848336036312,scr1990,avaConv,pvOpenspace_a
al,1,h0161,0.13251665526159234,scr1990,avaConv,pvOpenspace_a
al,1,h0162,0.055826613406504855,scr1990,avaConv,pvOpenspace_a
al,1,h0163,0.013237816879157505,scr1990,avaConv,pvOpenspace_a
al,1,h0164,0.0,scr1990,avaConv,pvOpenspace_a
al,1,h0165,0.0,scr1990,avaConv,pvOpenspace_a
al,1,h0166,0.0,scr1990,avaConv,pvOpenspace_a
al,1,h0167,0.0,scr1990,avaConv,pvOpenspace_a
al,1,h0168,0.0,scr1990,avaConv,pvOpenspace_a
al,1,h0169,0.0,scr1990,avaConv,pvOpenspace_a
al,1,h0170,0.0,scr1990,avaConv,pvOpenspace_a
al,1,h0171,0.0,scr1990,avaConv,pvOpenspace_a
al,1,h0172,0.0,scr1990,avaConv,pvOpenspace_a
al,1,h0173,0.0,scr1990,avaConv,pvOpenspace_a
