region_2,timestep_5,value,scenario_1,parameter,technology_3
AT,hh0103,6.263832472264767,scr1992,effConv,heatpumpGroundSpace
AT,hh0104,6.243969812989235,scr1992,effConv,heatpumpGroundSpace
AT,hh0105,6.2929483111947775,scr1992,effConv,heatpumpGroundSpace
AT,hh0106,6.3396409843117,scr1992,effConv,heatpumpGroundSpace
AT,hh0107,6.336228795349598,scr1992,effConv,heatpumpGroundSpace
AT,hh0108,6.291574319824576,scr1992,effConv,heatpumpGroundSpace
AT,hh0109,6.177863426506519,scr1992,effConv,heatpumpGroundSpace
AT,hh0110,6.192057445645332,scr1992,effConv,heatpumpGroundSpace
AT,hh0111,6.330695593729615,scr1992,effConv,heatpumpGroundSpace
AT,hh0112,6.339999996125698,scr1992,effConv,heatpumpGroundSpace
AT,hh0113,6.197740571573377,scr1992,effConv,heatpumpGroundSpace
AT,hh0114,5.534895796328783,scr1992,effConv,heatpumpGroundSpace
AT,hh0115,5.382419792935252,scr1992,effConv,heatpumpGroundSpace
AT,hh0116,5.484412629157305,scr1992,effConv,heatpumpGroundSpace
AT,hh0117,6.1133737955242395,scr1992,effConv,heatpumpGroundSpace
AT,hh0118,6.311343435198069,scr1992,effConv,heatpumpGroundSpace
AT,hh0119,6.2480636946856976,scr1992,effConv,heatpumpGroundSpace
AT,hh0120,6.059066353365779,scr1992,effConv,heatpumpGroundSpace
BE,hh0103,6.339999999999998,scr1992,effConv,heatpumpGroundSpace
BE,hh0104,6.339999999999998,scr1992,effConv,heatpumpGroundSpace
BE,hh0105,6.339999999999998,scr1992,effConv,heatpumpGroundSpace
BE,hh0106,6.339999999999998,scr1992,effConv,heatpumpGroundSpace
BE,hh0107,6.339999999999998,scr1992,effConv,heatpumpGroundSpace
BE,hh0108,6.339999999999998,scr1992,effConv,heatpumpGroundSpace
BE,hh0109,6.339999999999998,scr1992,effConv,heatpumpGroundSpace
BE,hh0110,6.339999999999998,scr1992,effConv,heatpumpGroundSpace
BE,hh0111,6.339999999999998,scr1992,effConv,heatpumpGroundSpace
BE,hh0112,6.339999999999998,scr1992,effConv,heatpumpGroundSpace
BE,hh0113,6.301464756371759,scr1992,effConv,heatpumpGroundSpace
BE,hh0114,6.08727646174172,scr1992,effConv,heatpumpGroundSpace
BE,hh0115,5.846328711921986,scr1992,effConv,heatpumpGroundSpace
BE,hh0116,5.7401969844275555,scr1992,effConv,heatpumpGroundSpace
BE,hh0117,6.19953088581358,scr1992,effConv,heatpumpGroundSpace
BE,hh0118,6.339248930865677,scr1992,effConv,heatpumpGroundSpace
BE,hh0119,6.336994846039346,scr1992,effConv,heatpumpGroundSpace
BE,hh0120,6.320450827549166,scr1992,effConv,heatpumpGroundSpace
BG,hh0103,6.328463332950204,scr1992,effConv,heatpumpGroundSpace
BG,hh0104,6.3385587136857335,scr1992,effConv,heatpumpGroundSpace
BG,hh0105,6.34,scr1992,effConv,heatpumpGroundSpace
BG,hh0106,6.34,scr1992,effConv,heatpumpGroundSpace
BG,hh0107,6.34,scr1992,effConv,heatpumpGroundSpace
BG,hh0108,6.3378382297259215,scr1992,effConv,heatpumpGroundSpace
BG,hh0109,6.332071491570471,scr1992,effConv,heatpumpGroundSpace
BG,hh0110,6.339279516040188,scr1992,effConv,heatpumpGroundSpace
BG,hh0111,6.34,scr1992,effConv,heatpumpGroundSpace
BG,hh0112,6.34,scr1992,effConv,heatpumpGroundSpace
BG,hh0113,6.34,scr1992,effConv,heatpumpGroundSpace
BG,hh0114,6.34,scr1992,effConv,heatpumpGroundSpace
BG,hh0115,6.306764699583546,scr1992,effConv,heatpumpGroundSpace
