region_3,timestep_6,value,scenario_1,parameter,technology_2
al,h0337,0.4109156785145998,scr1997,avaConv,offshore
al,h0338,0.365079784358604,scr1997,avaConv,offshore
al,h0339,0.33582267420299305,scr1997,avaConv,offshore
al,h0340,0.36346946554580606,scr1997,avaConv,offshore
al,h0341,0.3688561650995361,scr1997,avaConv,offshore
al,h0342,0.36438710344048686,scr1997,avaConv,offshore
al,h0343,0.2418095412339818,scr1997,avaConv,offshore
al,h0344,0.12110186492166274,scr1997,avaConv,offshore
al,h0345,0.0,scr1997,avaConv,offshore
al,h0346,0.0,scr1997,avaConv,offshore
al,h0347,0.0,scr1997,avaConv,offshore
al,h0348,0.009306353184550151,scr1997,avaConv,offshore
al,h0349,0.18011493640997844,scr1997,avaConv,offshore
al,h0350,0.3782269806492166,scr1997,avaConv,offshore
al,h0351,0.5890547843383358,scr1997,avaConv,offshore
al,h0352,0.6447376600947388,scr1997,avaConv,offshore
al,h0353,0.6668687807988025,scr1997,avaConv,offshore
al,h0354,0.6525818005756813,scr1997,avaConv,offshore
al,h0355,0.5181938650238884,scr1997,avaConv,offshore
al,h0356,0.3561938417184929,scr1997,avaConv,offshore
al,h0357,0.18611380804457248,scr1997,avaConv,offshore
al,h0358,0.12000231859310295,scr1997,avaConv,offshore
al,h0359,0.08749837295759305,scr1997,avaConv,offshore
al,h0360,0.07687840378612178,scr1997,avaConv,offshore
al,h0361,0.053100572391916234,scr1997,avaConv,offshore
al,h0362,0.027148070842875828,scr1997,avaConv,offshore
al,h0363,0.0003078544292777685,scr1997,avaConv,offshore
al,h0364,0.0,scr1997,avaConv,offshore
al,h0365,0.0,scr1997,avaConv,offshore
al,h0366,0.0012640300688797634,scr1997,avaConv,offshore
al,h0367,0.3213137325730793,scr1997,avaConv,offshore
al,h0368,0.636971283314752,scr1997,avaConv,offshore
al,h0369,0.95,scr1997,avaConv,offshore
al,h0370,0.9499980675250713,scr1997,avaConv,offshore
al,h0371,0.9499721369684888,scr1997,avaConv,offshore
al,h0372,0.9499717525552,scr1997,avaConv,offshore
al,h0373,0.7404336403161909,scr1997,avaConv,offshore
al,h0374,0.5496251577261998,scr1997,avaConv,offshore
al,h0375,0.3949095363863541,scr1997,avaConv,offshore
al,h0376,0.4628889709392234,scr1997,avaConv,offshore
al,h0377,0.4834887086376555,scr1997,avaConv,offshore
al,h0378,0.4450030538536637,scr1997,avaConv,offshore
al,h0379,0.3592278507364298,scr1997,avaConv,offshore
al,h0380,0.306151730100298,scr1997,avaConv,offshore
al,h0381,0.23683619767144795,scr1997,avaConv,offshore
al,h0382,0.2099297825084558,scr1997,avaConv,offshore
al,h0383,0.28035683288033164,scr1997,avaConv,offshore
al,h0384,0.4353105550438518,scr1997,avaConv,offshore
al,h0385,0.454570000021859,scr1997,avaConv,offshore
al,h0386,0.3469777104300683,scr1997,avaConv,offshore
al,h0387,0.18867237377709345,scr1997,avaConv,offshore
al,h0388,0.16802009146968946,scr1997,avaConv,offshore
al,h0389,0.1860857170758989,scr1997,avaConv,offshore
al,h0390,0.22531487961602026,scr1997,avaConv,offshore
al,h0391,0.2205902165402844,scr1997,avaConv,offshore
al,h0392,0.19724349259752758,scr1997,avaConv,offshore
al,h0393,0.1665070092424111,scr1997,avaConv,offshore
al,h0394,0.19168814935432174,scr1997,avaConv,offshore
al,h0395,0.23141804867441879,scr1997,avaConv,offshore
al,h0396,0.273263722313664,scr1997,avaConv,offshore
al,h0397,0.3526956651643365,scr1997,avaConv,offshore
al,h0398,0.4323701750701452,scr1997,avaConv,offshore
al,h0399,0.5137769647744117,scr1997,avaConv,offshore
al,h0400,0.5429722066883301,scr1997,avaConv,offshore
al,h0401,0.561832770284193,scr1997,avaConv,offshore
al,h0402,0.5752602077414866,scr1997,avaConv,offshore
al,h0403,0.387362951020269,scr1997,avaConv,offshore
al,h0404,0.19930792568178327,scr1997,avaConv,offshore
al,h0405,0.0,scr1997,avaConv,offshore
al,h0406,0.0,scr1997,avaConv,offshore
al,h0407,0.0,scr1997,avaConv,offshore
al,h0408,0.0,scr1997,avaConv,offshore
ba,h0337,0.2928396229309823,scr1997,avaConv,offshore
ba,h0338,0.17269819983849297,scr1997,avaConv,offshore
ba,h0339,0.05352356568825985,scr1997,avaConv,offshore
ba,h0340,0.05279406227488373,scr1997,avaConv,offshore
ba,h0341,0.04555260414888099,scr1997,avaConv,offshore
ba,h0342,0.03431873812830999,scr1997,avaConv,offshore
ba,h0343,0.060823489197073706,scr1997,avaConv,offshore
ba,h0344,0.11073220474589585,scr1997,avaConv,offshore
ba,h0345,0.23193883390580988,scr1997,avaConv,offshore
ba,h0346,0.3253249683590331,scr1997,avaConv,offshore
ba,h0347,0.4172010314509292,scr1997,avaConv,offshore
ba,h0348,0.4154214778296454,scr1997,avaConv,offshore
ba,h0349,0.4896849239075393,scr1997,avaConv,offshore
ba,h0350,0.5274416905346674,scr1997,avaConv,offshore
ba,h0351,0.5952044246020329,scr1997,avaConv,offshore
ba,h0352,0.6165147926239888,scr1997,avaConv,offshore
ba,h0353,0.6895344571366311,scr1997,avaConv,offshore
ba,h0354,0.7376936021556281,scr1997,avaConv,offshore
ba,h0355,0.5087528495132151,scr1997,avaConv,offshore
ba,h0356,0.2449487053782797,scr1997,avaConv,offshore
ba,h0357,0.0,scr1997,avaConv,offshore
ba,h0358,0.0,scr1997,avaConv,offshore
ba,h0359,0.003017823858974809,scr1997,avaConv,offshore
ba,h0360,0.003017823858974809,scr1997,avaConv,offshore
ba,h0361,0.003017823858974809,scr1997,avaConv,offshore
ba,h0362,0.0,scr1997,avaConv,offshore
ba,h0363,0.0,scr1997,avaConv,offshore
ba,h0364,0.0,scr1997,avaConv,offshore
ba,h0365,0.00250929448144837,scr1997,avaConv,offshore
ba,h0366,0.00705387393461896,scr1997,avaConv,offshore
ba,h0367,0.32685154687393037,scr1997,avaConv,offshore
ba,h0368,0.640206534478906,scr1997,avaConv,offshore
ba,h0369,0.95,scr1997,avaConv,offshore
ba,h0370,0.95,scr1997,avaConv,offshore
ba,h0371,0.9499908367158133,scr1997,avaConv,offshore
ba,h0372,0.9491165713662434,scr1997,avaConv,offshore
ba,h0373,0.6650408839618821,scr1997,avaConv,offshore
ba,h0374,0.3778352794659187,scr1997,avaConv,offshore
ba,h0375,0.08092040743582789,scr1997,avaConv,offshore
ba,h0376,0.05730374563361939,scr1997,avaConv,offshore
ba,h0377,0.028343536780178768,scr1997,avaConv,offshore
ba,h0378,0.007346532598702712,scr1997,avaConv,offshore
ba,h0379,0.01265713743587115,scr1997,avaConv,offshore
ba,h0380,0.04103863515485415,scr1997,avaConv,offshore
ba,h0381,0.07049662111720018,scr1997,avaConv,offshore
ba,h0382,0.1029513225806706,scr1997,avaConv,offshore
ba,h0383,0.1389138448633597,scr1997,avaConv,offshore
ba,h0384,0.16745391007248261,scr1997,avaConv,offshore
ba,h0385,0.13957844651876467,scr1997,avaConv,offshore
ba,h0386,0.09848469479452819,scr1997,avaConv,offshore
ba,h0387,0.06805335756893757,scr1997,avaConv,offshore
ba,h0388,0.08552003922082096,scr1997,avaConv,offshore
ba,h0389,0.08607882675933344,scr1997,avaConv,offshore
ba,h0390,0.07431903217699691,scr1997,avaConv,offshore
ba,h0391,0.11439801024972877,scr1997,avaConv,offshore
ba,h0392,0.14615389062119696,scr1997,avaConv,offshore
ba,h0393,0.16171913453768244,scr1997,avaConv,offshore
ba,h0394,0.09355858177627964,scr1997,avaConv,offshore
ba,h0395,0.03804964560162685,scr1997,avaConv,offshore
ba,h0396,0.0060674208436211855,scr1997,avaConv,offshore
ba,h0397,0.05835838068047425,scr1997,avaConv,offshore
ba,h0398,0.14204817806010692,scr1997,avaConv,offshore
ba,h0399,0.2444180371166354,scr1997,avaConv,offshore
ba,h0400,0.30317786604257563,scr1997,avaConv,offshore
ba,h0401,0.34293348277781355,scr1997,avaConv,offshore
ba,h0402,0.3425915599555974,scr1997,avaConv,offshore
ba,h0403,0.23309723320709594,scr1997,avaConv,offshore
ba,h0404,0.11213155791263589,scr1997,avaConv,offshore
ba,h0405,0.008755875897906915,scr1997,avaConv,offshore
ba,h0406,0.0023988542031698735,scr1997,avaConv,offshore
ba,h0407,0.0,scr1997,avaConv,offshore
ba,h0408,0.0,scr1997,avaConv,offshore
be,h0337,0.13807807195519856,scr1997,avaConv,offshore
be,h0338,0.2542783288641782,scr1997,avaConv,offshore
be,h0339,0.3522121500563639,scr1997,avaConv,offshore
be,h0340,0.30420401029199357,scr1997,avaConv,offshore
be,h0341,0.2683978562847381,scr1997,avaConv,offshore
be,h0342,0.246969606291188,scr1997,avaConv,offshore
be,h0343,0.19270134777575015,scr1997,avaConv,offshore
be,h0344,0.14355567258052332,scr1997,avaConv,offshore
be,h0345,0.11097769375408932,scr1997,avaConv,offshore
be,h0346,0.1163199981457441,scr1997,avaConv,offshore
be,h0347,0.11136184672374147,scr1997,avaConv,offshore
be,h0348,0.11975091445299949,scr1997,avaConv,offshore
be,h0349,0.07771515397958628,scr1997,avaConv,offshore
be,h0350,0.04402646320704427,scr1997,avaConv,offshore
be,h0351,0.0020884368273661165,scr1997,avaConv,offshore
be,h0352,0.007891825020739136,scr1997,avaConv,offshore
be,h0353,0.021890649721079795,scr1997,avaConv,offshore
be,h0354,0.044550544763466704,scr1997,avaConv,offshore
be,h0355,0.03785736085870253,scr1997,avaConv,offshore
be,h0356,0.022765224104613402,scr1997,avaConv,offshore
be,h0357,0.0,scr1997,avaConv,offshore
be,h0358,0.0,scr1997,avaConv,offshore
be,h0359,0.0,scr1997,avaConv,offshore
be,h0360,0.0006138129948758178,scr1997,avaConv,offshore
be,h0361,0.013371616393389405,scr1997,avaConv,offshore
be,h0362,0.034945915355207684,scr1997,avaConv,offshore
be,h0363,0.0647001671851912,scr1997,avaConv,offshore
be,h0364,0.09211518482473069,scr1997,avaConv,offshore
be,h0365,0.13178198749698902,scr1997,avaConv,offshore
be,h0366,0.18923328298353487,scr1997,avaConv,offshore
be,h0367,0.45321796392531416,scr1997,avaConv,offshore
be,h0368,0.7050464372422846,scr1997,avaConv,offshore
be,h0369,0.9275633972607925,scr1997,avaConv,offshore
be,h0370,0.8869590605516685,scr1997,avaConv,offshore
be,h0371,0.7499962899376537,scr1997,avaConv,offshore
be,h0372,0.5561029998598662,scr1997,avaConv,offshore
be,h0373,0.37155835435743023,scr1997,avaConv,offshore
be,h0374,0.2914780743618707,scr1997,avaConv,offshore
