region_2,timestep_6,value,scenario_1,parameter,carrier_1
AT,h0409,0.0,scr2003,mustOut,frtRoadLight
AT,h0410,0.0,scr2003,mustOut,frtRoadLight
AT,h0411,0.0,scr2003,mustOut,frtRoadLight
AT,h0412,0.003188958578560734,scr2003,mustOut,frtRoadLight
AT,h0413,0.01187222896854972,scr2003,mustOut,frtRoadLight
AT,h0414,0.03230956100585418,scr2003,mustOut,frtRoadLight
AT,h0415,0.20213732324173636,scr2003,mustOut,frtRoadLight
AT,h0416,0.37127729062228937,scr2003,mustOut,frtRoadLight
AT,h0417,0.51792821,scr2003,mustOut,frtRoadLight
AT,h0418,0.4442873039713284,scr2003,mustOut,frtRoadLight
AT,h0419,0.3727559453737799,scr2003,mustOut,frtRoadLight
AT,h0420,0.31407968873306086,scr2003,mustOut,frtRoadLight
AT,h0421,0.23827998064718875,scr2003,mustOut,frtRoadLight
AT,h0422,0.1851817828767059,scr2003,mustOut,frtRoadLight
AT,h0423,0.1602306396621009,scr2003,mustOut,frtRoadLight
AT,h0424,0.19168506665653864,scr2003,mustOut,frtRoadLight
AT,h0425,0.22846416887051832,scr2003,mustOut,frtRoadLight
AT,h0426,0.22205914033021765,scr2003,mustOut,frtRoadLight
AT,h0427,0.24101118367496258,scr2003,mustOut,frtRoadLight
AT,h0428,0.21171034646415213,scr2003,mustOut,frtRoadLight
AT,h0429,0.14000540778536938,scr2003,mustOut,frtRoadLight
AT,h0430,0.045948403882022266,scr2003,mustOut,frtRoadLight
AT,h0431,0.0,scr2003,mustOut,frtRoadLight
AT,h0432,0.0,scr2003,mustOut,frtRoadLight
AT,h0433,0.0,scr2003,mustOut,frtRoadLight
AT,h0434,0.0,scr2003,mustOut,frtRoadLight
AT,h0435,0.0,scr2003,mustOut,frtRoadLight
AT,h0436,0.0071264611046031505,scr2003,mustOut,frtRoadLight
AT,h0437,0.026531222018695393,scr2003,mustOut,frtRoadLight
AT,h0438,0.07220312492101588,scr2003,mustOut,frtRoadLight
AT,h0439,0.2444201174135078,scr2003,mustOut,frtRoadLight
AT,h0440,0.40179590798860054,scr2003,mustOut,frtRoadLight
AT,h0441,0.51792821,scr2003,mustOut,frtRoadLight
AT,h0442,0.4442873039713284,scr2003,mustOut,frtRoadLight
AT,h0443,0.3727559453737799,scr2003,mustOut,frtRoadLight
