region_2,timestep_5,value,scenario_1,parameter,carrier_1
AT,hh0013,0.4671119525697429,scr2006,mustOut,spaceHeat
AT,hh0014,0.6109495376790657,scr2006,mustOut,spaceHeat
AT,hh0015,0.6873061960350051,scr2006,mustOut,spaceHeat
AT,hh0016,0.4601747389266889,scr2006,mustOut,spaceHeat
AT,hh0017,0.5390721605976938,scr2006,mustOut,spaceHeat
AT,hh0018,0.5979920958316269,scr2006,mustOut,spaceHeat
AT,hh0019,0.31820490285977604,scr2006,mustOut,spaceHeat
AT,hh0020,0.47744345765790275,scr2006,mustOut,spaceHeat
AT,hh0021,0.6319939975686033,scr2006,mustOut,spaceHeat
AT,hh0022,0.42335951760478086,scr2006,mustOut,spaceHeat
AT,hh0023,0.4248735034301387,scr2006,mustOut,spaceHeat
AT,hh0024,0.3537441893737687,scr2006,mustOut,spaceHeat
BE,hh0013,0.3898998653648362,scr2006,mustOut,spaceHeat
BE,hh0014,0.5985524073794009,scr2006,mustOut,spaceHeat
BE,hh0015,0.6765235877428319,scr2006,mustOut,spaceHeat
BE,hh0016,0.605471195981869,scr2006,mustOut,spaceHeat
BE,hh0017,0.608953577956646,scr2006,mustOut,spaceHeat
BE,hh0018,0.36699591971662116,scr2006,mustOut,spaceHeat
BE,hh0019,0.25820274437113977,scr2006,mustOut,spaceHeat
BE,hh0020,0.4609569498677507,scr2006,mustOut,spaceHeat
BE,hh0021,0.5772721475562064,scr2006,mustOut,spaceHeat
BE,hh0022,0.2872443913041876,scr2006,mustOut,spaceHeat
BE,hh0023,0.2915927705997362,scr2006,mustOut,spaceHeat
BE,hh0024,0.3885890243877444,scr2006,mustOut,spaceHeat
BG,hh0013,0.5621493426983852,scr2006,mustOut,spaceHeat
BG,hh0014,0.8664971987423375,scr2006,mustOut,spaceHeat
BG,hh0015,0.48424299967794504,scr2006,mustOut,spaceHeat
BG,hh0016,0.3220498260665695,scr2006,mustOut,spaceHeat
BG,hh0017,0.521441677974647,scr2006,mustOut,spaceHeat
BG,hh0018,0.5402683536386059,scr2006,mustOut,spaceHeat
BG,hh0019,0.4500157066678279,scr2006,mustOut,spaceHeat
BG,hh0020,0.7439951135508803,scr2006,mustOut,spaceHeat
BG,hh0021,0.5903996811909115,scr2006,mustOut,spaceHeat
BG,hh0022,0.5376431745930838,scr2006,mustOut,spaceHeat
BG,hh0023,0.5726749095206424,scr2006,mustOut,spaceHeat
BG,hh0024,0.32255135308778526,scr2006,mustOut,spaceHeat
CH,hh0013,0.4032488642844303,scr2006,mustOut,spaceHeat
CH,hh0014,0.5484825541424532,scr2006,mustOut,spaceHeat
CH,hh0015,0.5883749729357254,scr2006,mustOut,spaceHeat
CH,hh0016,0.39019589674000577,scr2006,mustOut,spaceHeat
CH,hh0017,0.4785919111268381,scr2006,mustOut,spaceHeat
CH,hh0018,0.5479596027464586,scr2006,mustOut,spaceHeat
CH,hh0019,0.3246067938417744,scr2006,mustOut,spaceHeat
CH,hh0020,0.5267212276677141,scr2006,mustOut,spaceHeat
CH,hh0021,0.7179824681143933,scr2006,mustOut,spaceHeat
CH,hh0022,0.4150086516747263,scr2006,mustOut,spaceHeat
CH,hh0023,0.4122559826916745,scr2006,mustOut,spaceHeat
CH,hh0024,0.3690718238968683,scr2006,mustOut,spaceHeat
CZ,hh0013,0.48310564021469304,scr2006,mustOut,spaceHeat
CZ,hh0014,0.6597944300977192,scr2006,mustOut,spaceHeat
CZ,hh0015,0.7827353909519129,scr2006,mustOut,spaceHeat
CZ,hh0016,0.5294917330703377,scr2006,mustOut,spaceHeat
CZ,hh0017,0.6292007260163472,scr2006,mustOut,spaceHeat
CZ,hh0018,0.6749597877527921,scr2006,mustOut,spaceHeat
CZ,hh0019,0.3068367482847192,scr2006,mustOut,spaceHeat
CZ,hh0020,0.42736833412973874,scr2006,mustOut,spaceHeat
CZ,hh0021,0.5859203510300681,scr2006,mustOut,spaceHeat
CZ,hh0022,0.45866699694501484,scr2006,mustOut,spaceHeat
CZ,hh0023,0.4634808570292849,scr2006,mustOut,spaceHeat
CZ,hh0024,0.35277020689878014,scr2006,mustOut,spaceHeat
DE,hh0013,0.4891645203454047,scr2006,mustOut,spaceHeat
DE,hh0014,0.6829427845266619,scr2006,mustOut,spaceHeat
DE,hh0015,0.7812804255315786,scr2006,mustOut,spaceHeat
