region_3,timestep_6,value,scenario_1,parameter,technology_3
al,h0001,0.0,scr2007,avaConv,pvResi
al,h0002,0.0,scr2007,avaConv,pvResi
al,h0003,0.0,scr2007,avaConv,pvResi
al,h0004,0.0,scr2007,avaConv,pvResi
al,h0005,0.0,scr2007,avaConv,pvResi
al,h0006,0.0,scr2007,avaConv,pvResi
al,h0007,0.0,scr2007,avaConv,pvResi
al,h0008,0.036744250949972794,scr2007,avaConv,pvResi
al,h0009,0.14053852444323298,scr2007,avaConv,pvResi
al,h0010,0.3101222094940547,scr2007,avaConv,pvResi
al,h0011,0.46097465969888685,scr2007,avaConv,pvResi
al,h0012,0.5529424440054488,scr2007,avaConv,pvResi
al,h0013,0.5625519723358782,scr2007,avaConv,pvResi
al,h0014,0.5011411127873119,scr2007,avaConv,pvResi
al,h0015,0.3730725495095605,scr2007,avaConv,pvResi
al,h0016,0.2162739843014993,scr2007,avaConv,pvResi
al,h0017,0.08325556142668317,scr2007,avaConv,pvResi
al,h0018,0.015728524492008962,scr2007,avaConv,pvResi
al,h0019,0.0,scr2007,avaConv,pvResi
al,h0020,0.0,scr2007,avaConv,pvResi
al,h0021,0.0,scr2007,avaConv,pvResi
al,h0022,0.0,scr2007,avaConv,pvResi
al,h0023,0.0,scr2007,avaConv,pvResi
al,h0024,0.0,scr2007,avaConv,pvResi
al,h0025,0.0,scr2007,avaConv,pvResi
al,h0026,0.0,scr2007,avaConv,pvResi
al,h0027,0.0,scr2007,avaConv,pvResi
al,h0028,0.0,scr2007,avaConv,pvResi
al,h0029,0.0,scr2007,avaConv,pvResi
al,h0030,0.0,scr2007,avaConv,pvResi
al,h0031,0.0,scr2007,avaConv,pvResi
al,h0032,0.02142240881710793,scr2007,avaConv,pvResi
al,h0033,0.07510722036921005,scr2007,avaConv,pvResi
al,h0034,0.1637573141296571,scr2007,avaConv,pvResi
al,h0035,0.23785480955089597,scr2007,avaConv,pvResi
al,h0036,0.2761397876123992,scr2007,avaConv,pvResi
al,h0037,0.3644448965689592,scr2007,avaConv,pvResi
al,h0038,0.4031697630220733,scr2007,avaConv,pvResi
al,h0039,0.3904023868648074,scr2007,avaConv,pvResi
al,h0040,0.23852768341712788,scr2007,avaConv,pvResi
al,h0041,0.09829611704072509,scr2007,avaConv,pvResi
al,h0042,0.022138301689677748,scr2007,avaConv,pvResi
al,h0043,0.0,scr2007,avaConv,pvResi
al,h0044,0.0,scr2007,avaConv,pvResi
al,h0045,0.0,scr2007,avaConv,pvResi
al,h0046,0.0,scr2007,avaConv,pvResi
al,h0047,0.0,scr2007,avaConv,pvResi
al,h0048,0.0,scr2007,avaConv,pvResi
at,h0001,0.0,scr2007,avaConv,pvResi
at,h0002,0.0,scr2007,avaConv,pvResi
at,h0003,0.0,scr2007,avaConv,pvResi
at,h0004,0.0,scr2007,avaConv,pvResi
at,h0005,0.0,scr2007,avaConv,pvResi
at,h0006,0.0,scr2007,avaConv,pvResi
at,h0007,0.0,scr2007,avaConv,pvResi
at,h0008,0.0,scr2007,avaConv,pvResi
at,h0009,0.012600241159697007,scr2007,avaConv,pvResi
at,h0010,0.04320294374517244,scr2007,avaConv,pvResi
at,h0011,0.0824035299836107,scr2007,avaConv,pvResi
at,h0012,0.10517956948140025,scr2007,avaConv,pvResi
at,h0013,0.1770806944535049,scr2007,avaConv,pvResi
at,h0014,0.22304865252768713,scr2007,avaConv,pvResi
at,h0015,0.22960471388486112,scr2007,avaConv,pvResi
at,h0016,0.12442054840400135,scr2007,avaConv,pvResi
at,h0017,0.04157447536825233,scr2007,avaConv,pvResi
at,h0018,0.002081065521340555,scr2007,avaConv,pvResi
at,h0019,0.0,scr2007,avaConv,pvResi
at,h0020,0.0,scr2007,avaConv,pvResi
at,h0021,0.0,scr2007,avaConv,pvResi
at,h0022,0.0,scr2007,avaConv,pvResi
at,h0023,0.0,scr2007,avaConv,pvResi
at,h0024,0.0,scr2007,avaConv,pvResi
at,h0025,0.0,scr2007,avaConv,pvResi
at,h0026,0.0,scr2007,avaConv,pvResi
at,h0027,0.0,scr2007,avaConv,pvResi
at,h0028,0.0,scr2007,avaConv,pvResi
at,h0029,0.0,scr2007,avaConv,pvResi
at,h0030,0.0,scr2007,avaConv,pvResi
at,h0031,0.0,scr2007,avaConv,pvResi
at,h0032,0.0,scr2007,avaConv,pvResi
at,h0033,0.03655112071087447,scr2007,avaConv,pvResi
at,h0034,0.11674192922051563,scr2007,avaConv,pvResi
at,h0035,0.2335865765223267,scr2007,avaConv,pvResi
at,h0036,0.32960185825684163,scr2007,avaConv,pvResi
at,h0037,0.2868459958565736,scr2007,avaConv,pvResi
