region_3,timestep_6,value,scenario_1,parameter,technology_3
at,h0145,0.2308172726785586,scr2008,stInflow,pumpedStorageOpen
at,h0146,0.23754052437521184,scr2008,stInflow,pumpedStorageOpen
at,h0147,0.24426571416371126,scr2008,stInflow,pumpedStorageOpen
at,h0148,0.24426571416371126,scr2008,stInflow,pumpedStorageOpen
at,h0149,0.24426571416371126,scr2008,stInflow,pumpedStorageOpen
at,h0150,0.24426571416371126,scr2008,stInflow,pumpedStorageOpen
at,h0151,0.24426571416371126,scr2008,stInflow,pumpedStorageOpen
at,h0152,0.24426571416371126,scr2008,stInflow,pumpedStorageOpen
at,h0153,0.24426571416371126,scr2008,stInflow,pumpedStorageOpen
at,h0154,0.24426571416371126,scr2008,stInflow,pumpedStorageOpen
at,h0155,0.24426571416371126,scr2008,stInflow,pumpedStorageOpen
at,h0156,0.24426571416371126,scr2008,stInflow,pumpedStorageOpen
at,h0157,0.25212471388286306,scr2008,stInflow,pumpedStorageOpen
at,h0158,0.2599862061397012,scr2008,stInflow,pumpedStorageOpen
at,h0159,0.2678501158020866,scr2008,stInflow,pumpedStorageOpen
at,h0160,0.2678501158020866,scr2008,stInflow,pumpedStorageOpen
at,h0161,0.2678501158020866,scr2008,stInflow,pumpedStorageOpen
at,h0162,0.2678501158020866,scr2008,stInflow,pumpedStorageOpen
at,h0163,0.2678501158020866,scr2008,stInflow,pumpedStorageOpen
at,h0164,0.2678501158020866,scr2008,stInflow,pumpedStorageOpen
at,h0165,0.2678501158020866,scr2008,stInflow,pumpedStorageOpen
at,h0166,0.2678501158020866,scr2008,stInflow,pumpedStorageOpen
at,h0167,0.2678501158020866,scr2008,stInflow,pumpedStorageOpen
at,h0168,0.2678501158020866,scr2008,stInflow,pumpedStorageOpen
at,h0169,0.27581663609202145,scr2008,stInflow,pumpedStorageOpen
at,h0170,0.2837854940458413,scr2008,stInflow,pumpedStorageOpen
at,h0171,0.2917566243225658,scr2008,stInflow,pumpedStorageOpen
at,h0172,0.2917566243225658,scr2008,stInflow,pumpedStorageOpen
at,h0173,0.2917566243225658,scr2008,stInflow,pumpedStorageOpen
at,h0174,0.2917566243225658,scr2008,stInflow,pumpedStorageOpen
at,h0175,0.2917566243225658,scr2008,stInflow,pumpedStorageOpen
at,h0176,0.2917566243225658,scr2008,stInflow,pumpedStorageOpen
at,h0177,0.2917566243225658,scr2008,stInflow,pumpedStorageOpen
at,h0178,0.2917566243225658,scr2008,stInflow,pumpedStorageOpen
at,h0179,0.2917566243225658,scr2008,stInflow,pumpedStorageOpen
at,h0180,0.2917566243225658,scr2008,stInflow,pumpedStorageOpen
at,h0181,0.2917566243225658,scr2008,stInflow,pumpedStorageOpen
at,h0182,0.2917566243225658,scr2008,stInflow,pumpedStorageOpen
at,h0183,0.2917566243225658,scr2008,stInflow,pumpedStorageOpen
at,h0184,0.2917566243225658,scr2008,stInflow,pumpedStorageOpen
at,h0185,0.2917566243225658,scr2008,stInflow,pumpedStorageOpen
at,h0186,0.2917566243225658,scr2008,stInflow,pumpedStorageOpen
at,h0187,0.3055386105336848,scr2008,stInflow,pumpedStorageOpen
at,h0188,0.3193269052108743,scr2008,stInflow,pumpedStorageOpen
at,h0189,0.33312123752635436,scr2008,stInflow,pumpedStorageOpen
at,h0190,0.33312123752635436,scr2008,stInflow,pumpedStorageOpen
at,h0191,0.33312123752635436,scr2008,stInflow,pumpedStorageOpen
at,h0192,0.33312123752635436,scr2008,stInflow,pumpedStorageOpen
ba,h0145,0.17044165396644212,scr2008,stInflow,pumpedStorageOpen
ba,h0146,0.19838137529799124,scr2008,stInflow,pumpedStorageOpen
ba,h0147,0.2262411561618692,scr2008,stInflow,pumpedStorageOpen
ba,h0148,0.2262411561618692,scr2008,stInflow,pumpedStorageOpen
ba,h0149,0.2262411561618692,scr2008,stInflow,pumpedStorageOpen
ba,h0150,0.2262411561618692,scr2008,stInflow,pumpedStorageOpen
ba,h0151,0.2262411561618692,scr2008,stInflow,pumpedStorageOpen
ba,h0152,0.2262411561618692,scr2008,stInflow,pumpedStorageOpen
ba,h0153,0.2262411561618692,scr2008,stInflow,pumpedStorageOpen
ba,h0154,0.2262411561618692,scr2008,stInflow,pumpedStorageOpen
ba,h0155,0.2262411561618692,scr2008,stInflow,pumpedStorageOpen
ba,h0156,0.2262411561618692,scr2008,stInflow,pumpedStorageOpen
ba,h0157,0.26226899538990306,scr2008,stInflow,pumpedStorageOpen
ba,h0158,0.29819630104269956,scr2008,stInflow,pumpedStorageOpen
ba,h0159,0.3340357142857143,scr2008,stInflow,pumpedStorageOpen
ba,h0160,0.3340357142857143,scr2008,stInflow,pumpedStorageOpen
ba,h0161,0.3340357142857143,scr2008,stInflow,pumpedStorageOpen
ba,h0162,0.3340357142857143,scr2008,stInflow,pumpedStorageOpen
ba,h0163,0.3340357142857143,scr2008,stInflow,pumpedStorageOpen
ba,h0164,0.3340357142857143,scr2008,stInflow,pumpedStorageOpen
ba,h0165,0.3340357142857143,scr2008,stInflow,pumpedStorageOpen
ba,h0166,0.3340357142857143,scr2008,stInflow,pumpedStorageOpen
ba,h0167,0.3340357142857143,scr2008,stInflow,pumpedStorageOpen
ba,h0168,0.3340357142857143,scr2008,stInflow,pumpedStorageOpen
ba,h0169,0.2588037024147799,scr2008,stInflow,pumpedStorageOpen
ba,h0170,0.1831182158732941,scr2008,stInflow,pumpedStorageOpen
ba,h0171,0.10677157704989586,scr2008,stInflow,pumpedStorageOpen
ba,h0172,0.10677157704989586,scr2008,stInflow,pumpedStorageOpen
ba,h0173,0.10677157704989586,scr2008,stInflow,pumpedStorageOpen
