region_3,timestep_6,value,scenario_1,parameter,technology_3
al,h0409,0.035298062032710756,scr2013,avaConv,runOfRiver
al,h0410,0.03551104257581983,scr2013,avaConv,runOfRiver
al,h0411,0.03572402324063276,scr2013,avaConv,runOfRiver
al,h0412,0.03572402324063276,scr2013,avaConv,runOfRiver
al,h0413,0.03572402324063276,scr2013,avaConv,runOfRiver
al,h0414,0.03572402324063276,scr2013,avaConv,runOfRiver
al,h0415,0.03416216788747802,scr2013,avaConv,runOfRiver
al,h0416,0.03260031932712494,scr2013,avaConv,runOfRiver
al,h0417,0.031038477868513922,scr2013,avaConv,runOfRiver
al,h0418,0.031038477868513922,scr2013,avaConv,runOfRiver
al,h0419,0.031038477868513922,scr2013,avaConv,runOfRiver
al,h0420,0.031038477868513922,scr2013,avaConv,runOfRiver
al,h0421,0.031393441195723466,scr2013,avaConv,runOfRiver
al,h0422,0.031748404902986846,scr2013,avaConv,runOfRiver
al,h0423,0.03210336898627833,scr2013,avaConv,runOfRiver
al,h0424,0.03210336898627833,scr2013,avaConv,runOfRiver
al,h0425,0.03210336898627833,scr2013,avaConv,runOfRiver
al,h0426,0.03210336898627833,scr2013,avaConv,runOfRiver
al,h0427,0.03409117462149849,scr2013,avaConv,runOfRiver
al,h0428,0.03607899128389956,scr2013,avaConv,runOfRiver
al,h0429,0.03806681839370028,scr2013,avaConv,runOfRiver
al,h0430,0.03806681839370028,scr2013,avaConv,runOfRiver
al,h0431,0.03806681839370028,scr2013,avaConv,runOfRiver
al,h0432,0.03806681839370028,scr2013,avaConv,runOfRiver
al,h0433,0.040409627335914584,scr2013,avaConv,runOfRiver
al,h0434,0.04275244930047354,scr2013,avaConv,runOfRiver
al,h0435,0.04509528360140573,scr2013,avaConv,runOfRiver
al,h0436,0.04509528360140573,scr2013,avaConv,runOfRiver
al,h0437,0.04509528360140573,scr2013,avaConv,runOfRiver
al,h0438,0.04509528360140573,scr2013,avaConv,runOfRiver
al,h0439,0.04417234744499038,scr2013,avaConv,runOfRiver
al,h0440,0.043249413143129176,scr2013,avaConv,runOfRiver
al,h0441,0.0423264807338507,scr2013,avaConv,runOfRiver
al,h0442,0.0423264807338507,scr2013,avaConv,runOfRiver
al,h0443,0.0423264807338507,scr2013,avaConv,runOfRiver
al,h0444,0.0423264807338507,scr2013,avaConv,runOfRiver
al,h0445,0.05226584695768444,scr2013,avaConv,runOfRiver
al,h0446,0.0622053970818055,scr2013,avaConv,runOfRiver
al,h0447,0.07214510227828269,scr2013,avaConv,runOfRiver
al,h0448,0.07214510227828269,scr2013,avaConv,runOfRiver
al,h0449,0.07214510227828269,scr2013,avaConv,runOfRiver
al,h0450,0.07214510227828269,scr2013,avaConv,runOfRiver
al,h0451,0.06433532166521433,scr2013,avaConv,runOfRiver
al,h0452,0.05652563354201699,scr2013,avaConv,runOfRiver
al,h0453,0.048716050369934344,scr2013,avaConv,runOfRiver
al,h0454,0.048716050369934344,scr2013,avaConv,runOfRiver
al,h0455,0.048716050369934344,scr2013,avaConv,runOfRiver
al,h0456,0.048716050369934344,scr2013,avaConv,runOfRiver
al,h0457,0.0430364285715909,scr2013,avaConv,runOfRiver
al,h0458,0.03735687897482112,scr2013,avaConv,runOfRiver
al,h0459,0.031677412131324335,scr2013,avaConv,runOfRiver
al,h0460,0.031677412131324335,scr2013,avaConv,runOfRiver
al,h0461,0.031677412131324335,scr2013,avaConv,runOfRiver
al,h0462,0.031677412131324335,scr2013,avaConv,runOfRiver
al,h0463,0.02947664385003867,scr2013,avaConv,runOfRiver
al,h0464,0.02727589108696383,scr2013,avaConv,runOfRiver
al,h0465,0.02507515502035493,scr2013,avaConv,runOfRiver
al,h0466,0.02507515502035493,scr2013,avaConv,runOfRiver
al,h0467,0.02507515502035493,scr2013,avaConv,runOfRiver
al,h0468,0.02507515502035493,scr2013,avaConv,runOfRiver
al,h0469,0.030186567458631255,scr2013,avaConv,runOfRiver
al,h0470,0.035298062032710756,scr2013,avaConv,runOfRiver
al,h0471,0.04040962733591459,scr2013,avaConv,runOfRiver
al,h0472,0.04040962733591459,scr2013,avaConv,runOfRiver
al,h0473,0.04040962733591459,scr2013,avaConv,runOfRiver
al,h0474,0.04040962733591459,scr2013,avaConv,runOfRiver
al,h0475,0.07647601679961327,scr2013,avaConv,runOfRiver
al,h0476,0.11254413343706253,scr2013,avaConv,runOfRiver
al,h0477,0.14861340782038646,scr2013,avaConv,runOfRiver
al,h0478,0.14861340782038646,scr2013,avaConv,runOfRiver
al,h0479,0.14861340782038646,scr2013,avaConv,runOfRiver
al,h0480,0.14861340782038646,scr2013,avaConv,runOfRiver
at,h0409,0.4876650652723153,scr2013,avaConv,runOfRiver
at,h0410,0.5086746331352194,scr2013,avaConv,runOfRiver
at,h0411,0.5298863000821279,scr2013,avaConv,runOfRiver
at,h0412,0.5298863000821279,scr2013,avaConv,runOfRiver
at,h0413,0.5298863000821279,scr2013,avaConv,runOfRiver
at,h0414,0.5298863000821279,scr2013,avaConv,runOfRiver
at,h0415,0.4989402919592352,scr2013,avaConv,runOfRiver
at,h0416,0.4684329369429652,scr2013,avaConv,runOfRiver
at,h0417,0.4383864229796708,scr2013,avaConv,runOfRiver
at,h0418,0.4383864229796708,scr2013,avaConv,runOfRiver
at,h0419,0.4383864229796708,scr2013,avaConv,runOfRiver
at,h0420,0.4383864229796708,scr2013,avaConv,runOfRiver
at,h0421,0.4285375893309035,scr2013,avaConv,runOfRiver
at,h0422,0.4187430346148651,scr2013,avaConv,runOfRiver
at,h0423,0.409003784418873,scr2013,avaConv,runOfRiver
at,h0424,0.409003784418873,scr2013,avaConv,runOfRiver
at,h0425,0.409003784418873,scr2013,avaConv,runOfRiver
at,h0426,0.409003784418873,scr2013,avaConv,runOfRiver
at,h0427,0.4229168899656421,scr2013,avaConv,runOfRiver
at,h0428,0.4369416916804934,scr2013,avaConv,runOfRiver
at,h0429,0.45107528976462247,scr2013,avaConv,runOfRiver
at,h0430,0.45107528976462247,scr2013,avaConv,runOfRiver
at,h0431,0.45107528976462247,scr2013,avaConv,runOfRiver
at,h0432,0.45107528976462247,scr2013,avaConv,runOfRiver
at,h0433,0.45891784076266745,scr2013,avaConv,runOfRiver
at,h0434,0.4667922293521368,scr2013,avaConv,runOfRiver
at,h0435,0.47469803055186915,scr2013,avaConv,runOfRiver
at,h0436,0.47469803055186915,scr2013,avaConv,runOfRiver
at,h0437,0.47469803055186915,scr2013,avaConv,runOfRiver
at,h0438,0.47469803055186915,scr2013,avaConv,runOfRiver
at,h0439,0.5135082721844852,scr2013,avaConv,runOfRiver
at,h0440,0.553006160032503,scr2013,avaConv,runOfRiver
at,h0441,0.5931538063907642,scr2013,avaConv,runOfRiver
at,h0442,0.5931538063907642,scr2013,avaConv,runOfRiver
at,h0443,0.5931538063907642,scr2013,avaConv,runOfRiver
at,h0444,0.5931538063907642,scr2013,avaConv,runOfRiver
at,h0445,0.5987189101800181,scr2013,avaConv,runOfRiver
at,h0446,0.6042955633103426,scr2013,avaConv,runOfRiver
at,h0447,0.6098836863002708,scr2013,avaConv,runOfRiver
at,h0448,0.6098836863002708,scr2013,avaConv,runOfRiver
at,h0449,0.6098836863002708,scr2013,avaConv,runOfRiver
at,h0450,0.6098836863002708,scr2013,avaConv,runOfRiver
at,h0451,0.5881969607636044,scr2013,avaConv,runOfRiver
at,h0452,0.5666875789678787,scr2013,avaConv,runOfRiver
at,h0453,0.5453605733741542,scr2013,avaConv,runOfRiver
at,h0454,0.5453605733741542,scr2013,avaConv,runOfRiver
at,h0455,0.5453605733741542,scr2013,avaConv,runOfRiver
at,h0456,0.5453605733741542,scr2013,avaConv,runOfRiver
at,h0457,0.5175584756864732,scr2013,avaConv,runOfRiver
at,h0458,0.49009540742987284,scr2013,avaConv,runOfRiver
at,h0459,0.46298598418848724,scr2013,avaConv,runOfRiver
at,h0460,0.46298598418848724,scr2013,avaConv,runOfRiver
at,h0461,0.46298598418848724,scr2013,avaConv,runOfRiver
at,h0462,0.46298598418848724,scr2013,avaConv,runOfRiver
at,h0463,0.44756039229070044,scr2013,avaConv,runOfRiver
at,h0464,0.43226042823880606,scr2013,avaConv,runOfRiver
at,h0465,0.41708964185308534,scr2013,avaConv,runOfRiver
at,h0466,0.41708964185308534,scr2013,avaConv,runOfRiver
at,h0467,0.41708964185308534,scr2013,avaConv,runOfRiver
at,h0468,0.41708964185308534,scr2013,avaConv,runOfRiver
at,h0469,0.4761641406282739,scr2013,avaConv,runOfRiver
at,h0470,0.5370130854891961,scr2013,avaConv,runOfRiver
at,h0471,0.5994783376127821,scr2013,avaConv,runOfRiver
at,h0472,0.5994783376127821,scr2013,avaConv,runOfRiver
at,h0473,0.5994783376127821,scr2013,avaConv,runOfRiver
at,h0474,0.5994783376127821,scr2013,avaConv,runOfRiver
at,h0475,0.615364189270567,scr2013,avaConv,runOfRiver
at,h0476,0.6313414773168584,scr2013,avaConv,runOfRiver
at,h0477,0.6474084835924934,scr2013,avaConv,runOfRiver
at,h0478,0.6474084835924934,scr2013,avaConv,runOfRiver
at,h0479,0.6474084835924934,scr2013,avaConv,runOfRiver
at,h0480,0.6474084835924934,scr2013,avaConv,runOfRiver
ba,h0409,0.11592433036854498,scr2013,avaConv,runOfRiver
ba,h0410,0.11570018770387916,scr2013,avaConv,runOfRiver
ba,h0411,0.11547609625049973,scr2013,avaConv,runOfRiver
ba,h0412,0.11547609625049973,scr2013,avaConv,runOfRiver
ba,h0413,0.11547609625049973,scr2013,avaConv,runOfRiver
ba,h0414,0.11547609625049973,scr2013,avaConv,runOfRiver
ba,h0415,0.11353612972713323,scr2013,avaConv,runOfRiver
ba,h0416,0.1116000799243335,scr2013,avaConv,runOfRiver
ba,h0417,0.10966801195533905,scr2013,avaConv,runOfRiver
ba,h0418,0.10966801195533905,scr2013,avaConv,runOfRiver
ba,h0419,0.10966801195533905,scr2013,avaConv,runOfRiver
ba,h0420,0.10966801195533905,scr2013,avaConv,runOfRiver
ba,h0421,0.10855519487756617,scr2013,avaConv,runOfRiver
ba,h0422,0.1074437388439076,scr2013,avaConv,runOfRiver
ba,h0423,0.10633365746052313,scr2013,avaConv,runOfRiver
ba,h0424,0.10633365746052313,scr2013,avaConv,runOfRiver
ba,h0425,0.10633365746052313,scr2013,avaConv,runOfRiver
ba,h0426,0.10633365746052313,scr2013,avaConv,runOfRiver
ba,h0427,0.10608716078181898,scr2013,avaConv,runOfRiver
ba,h0428,0.10584073282675249,scr2013,avaConv,runOfRiver
ba,h0429,0.10559437375058262,scr2013,avaConv,runOfRiver
ba,h0430,0.10559437375058262,scr2013,avaConv,runOfRiver
ba,h0431,0.10559437375058262,scr2013,avaConv,runOfRiver
ba,h0432,0.10559437375058262,scr2013,avaConv,runOfRiver
ba,h0433,0.10524958705766922,scr2013,avaConv,runOfRiver
ba,h0434,0.1049049361038433,scr2013,avaConv,runOfRiver
ba,h0435,0.10456042132258571,scr2013,avaConv,runOfRiver
ba,h0436,0.10456042132258571,scr2013,avaConv,runOfRiver
ba,h0437,0.10456042132258571,scr2013,avaConv,runOfRiver
ba,h0438,0.10456042132258571,scr2013,avaConv,runOfRiver
ba,h0439,0.1066048829985044,scr2013,avaConv,runOfRiver
ba,h0440,0.10865405703504313,scr2013,avaConv,runOfRiver
ba,h0441,0.11070785743466993,scr2013,avaConv,runOfRiver
ba,h0442,0.11070785743466993,scr2013,avaConv,runOfRiver
ba,h0443,0.11070785743466993,scr2013,avaConv,runOfRiver
ba,h0444,0.11070785743466993,scr2013,avaConv,runOfRiver
ba,h0445,0.11576244442228047,scr2013,avaConv,runOfRiver
ba,h0446,0.12084320844556566,scr2013,avaConv,runOfRiver
ba,h0447,0.12594910261467807,scr2013,avaConv,runOfRiver
