region_3,timestep_6,value,scenario_1,parameter,technology_3
al,h0409,0.9588570491479296,scr2016,stInflow,reservoir
al,h0410,0.9588570491479296,scr2016,stInflow,reservoir
al,h0411,0.9588570491479296,scr2016,stInflow,reservoir
al,h0412,0.9588570491479296,scr2016,stInflow,reservoir
al,h0413,0.9588570491479296,scr2016,stInflow,reservoir
al,h0414,0.9588570491479296,scr2016,stInflow,reservoir
al,h0415,0.9243216357239215,scr2016,stInflow,reservoir
al,h0416,0.8898380969481705,scr2016,stInflow,reservoir
al,h0417,0.8554083711141269,scr2016,stInflow,reservoir
al,h0418,0.8554083711141269,scr2016,stInflow,reservoir
al,h0419,0.8554083711141269,scr2016,stInflow,reservoir
al,h0420,0.8554083711141269,scr2016,stInflow,reservoir
al,h0421,0.8554083711141269,scr2016,stInflow,reservoir
al,h0422,0.8554083711141269,scr2016,stInflow,reservoir
al,h0423,0.8554083711141269,scr2016,stInflow,reservoir
al,h0424,0.8554083711141269,scr2016,stInflow,reservoir
al,h0425,0.8554083711141269,scr2016,stInflow,reservoir
al,h0426,0.8554083711141269,scr2016,stInflow,reservoir
al,h0427,0.8554083711141269,scr2016,stInflow,reservoir
al,h0428,0.8554083711141269,scr2016,stInflow,reservoir
al,h0429,0.8554083711141269,scr2016,stInflow,reservoir
al,h0430,0.8554083711141269,scr2016,stInflow,reservoir
al,h0431,0.8554083711141269,scr2016,stInflow,reservoir
al,h0432,0.8554083711141269,scr2016,stInflow,reservoir
al,h0433,0.8755805515970607,scr2016,stInflow,reservoir
al,h0434,0.8957715044030441,scr2016,stInflow,reservoir
al,h0435,0.9159808207994979,scr2016,stInflow,reservoir
al,h0436,0.9159808207994979,scr2016,stInflow,reservoir
al,h0437,0.9159808207994979,scr2016,stInflow,reservoir
al,h0438,0.9159808207994979,scr2016,stInflow,reservoir
al,h0439,0.9159808207994979,scr2016,stInflow,reservoir
al,h0440,0.9159808207994979,scr2016,stInflow,reservoir
al,h0441,0.9159808207994979,scr2016,stInflow,reservoir
al,h0442,0.9159808207994979,scr2016,stInflow,reservoir
al,h0443,0.9159808207994979,scr2016,stInflow,reservoir
al,h0444,0.9159808207994979,scr2016,stInflow,reservoir
al,h0445,0.9172854619790413,scr2016,stInflow,reservoir
al,h0446,0.9185901778804236,scr2016,stInflow,reservoir
al,h0447,0.9198949684013477,scr2016,stInflow,reservoir
al,h0448,0.9198949684013477,scr2016,stInflow,reservoir
al,h0449,0.9198949684013477,scr2016,stInflow,reservoir
al,h0450,0.9198949684013477,scr2016,stInflow,reservoir
al,h0451,0.9198949684013477,scr2016,stInflow,reservoir
al,h0452,0.9198949684013477,scr2016,stInflow,reservoir
al,h0453,0.9198949684013477,scr2016,stInflow,reservoir
al,h0454,0.9198949684013477,scr2016,stInflow,reservoir
al,h0455,0.9198949684013477,scr2016,stInflow,reservoir
al,h0456,0.9198949684013477,scr2016,stInflow,reservoir
al,h0457,0.953434787019788,scr2016,stInflow,reservoir
al,h0458,0.9870221119334575,scr2016,stInflow,reservoir
al,h0459,1.0206553870558506,scr2016,stInflow,reservoir
al,h0460,1.0206553870558506,scr2016,stInflow,reservoir
al,h0461,1.0206553870558506,scr2016,stInflow,reservoir
al,h0462,1.0206553870558506,scr2016,stInflow,reservoir
al,h0463,1.0206553870558506,scr2016,stInflow,reservoir
al,h0464,1.0206553870558506,scr2016,stInflow,reservoir
al,h0465,1.0206553870558506,scr2016,stInflow,reservoir
al,h0466,1.0206553870558506,scr2016,stInflow,reservoir
al,h0467,1.0206553870558506,scr2016,stInflow,reservoir
al,h0468,1.0206553870558506,scr2016,stInflow,reservoir
al,h0469,0.9564649868195108,scr2016,stInflow,reservoir
al,h0470,0.8924474047171589,scr2016,stInflow,reservoir
al,h0471,0.8286145904281924,scr2016,stInflow,reservoir
al,h0472,0.8286145904281924,scr2016,stInflow,reservoir
al,h0473,0.8286145904281924,scr2016,stInflow,reservoir
al,h0474,0.8286145904281924,scr2016,stInflow,reservoir
al,h0475,0.8286145904281924,scr2016,stInflow,reservoir
al,h0476,0.8286145904281924,scr2016,stInflow,reservoir
al,h0477,0.8286145904281924,scr2016,stInflow,reservoir
al,h0478,0.8286145904281924,scr2016,stInflow,reservoir
al,h0479,0.8286145904281924,scr2016,stInflow,reservoir
al,h0480,0.8286145904281924,scr2016,stInflow,reservoir
at,h0409,0.48044642688779615,scr2016,stInflow,reservoir
at,h0410,0.48044642688779615,scr2016,stInflow,reservoir
at,h0411,0.48044642688779615,scr2016,stInflow,reservoir
at,h0412,0.48044642688779615,scr2016,stInflow,reservoir
at,h0413,0.48044642688779615,scr2016,stInflow,reservoir
at,h0414,0.48044642688779615,scr2016,stInflow,reservoir
at,h0415,0.470307673508028,scr2016,stInflow,reservoir
at,h0416,0.46016894198512626,scr2016,stInflow,reservoir
at,h0417,0.45003023280064813,scr2016,stInflow,reservoir
at,h0418,0.45003023280064813,scr2016,stInflow,reservoir
at,h0419,0.45003023280064813,scr2016,stInflow,reservoir
at,h0420,0.45003023280064813,scr2016,stInflow,reservoir
at,h0421,0.45003023280064813,scr2016,stInflow,reservoir
at,h0422,0.45003023280064813,scr2016,stInflow,reservoir
at,h0423,0.45003023280064813,scr2016,stInflow,reservoir
at,h0424,0.45003023280064813,scr2016,stInflow,reservoir
at,h0425,0.45003023280064813,scr2016,stInflow,reservoir
at,h0426,0.45003023280064813,scr2016,stInflow,reservoir
at,h0427,0.45003023280064813,scr2016,stInflow,reservoir
at,h0428,0.45003023280064813,scr2016,stInflow,reservoir
at,h0429,0.45003023280064813,scr2016,stInflow,reservoir
at,h0430,0.45003023280064813,scr2016,stInflow,reservoir
at,h0431,0.45003023280064813,scr2016,stInflow,reservoir
at,h0432,0.45003023280064813,scr2016,stInflow,reservoir
at,h0433,0.43505951076923605,scr2016,stInflow,reservoir
at,h0434,0.4200888402595189,scr2016,stInflow,reservoir
at,h0435,0.4051182231080164,scr2016,stInflow,reservoir
at,h0436,0.4051182231080164,scr2016,stInflow,reservoir
at,h0437,0.4051182231080164,scr2016,stInflow,reservoir
at,h0438,0.4051182231080164,scr2016,stInflow,reservoir
at,h0439,0.4051182231080164,scr2016,stInflow,reservoir
at,h0440,0.4051182231080164,scr2016,stInflow,reservoir
at,h0441,0.4051182231080164,scr2016,stInflow,reservoir
at,h0442,0.4051182231080164,scr2016,stInflow,reservoir
at,h0443,0.4051182231080164,scr2016,stInflow,reservoir
at,h0444,0.4051182231080164,scr2016,stInflow,reservoir
at,h0445,0.38743146025121633,scr2016,stInflow,reservoir
at,h0446,0.36974477815908013,scr2016,stInflow,reservoir
at,h0447,0.3520581806971949,scr2016,stInflow,reservoir
at,h0448,0.3520581806971949,scr2016,stInflow,reservoir
at,h0449,0.3520581806971949,scr2016,stInflow,reservoir
at,h0450,0.3520581806971949,scr2016,stInflow,reservoir
at,h0451,0.3520581806971949,scr2016,stInflow,reservoir
at,h0452,0.3520581806971949,scr2016,stInflow,reservoir
at,h0453,0.3520581806971949,scr2016,stInflow,reservoir
at,h0454,0.3520581806971949,scr2016,stInflow,reservoir
at,h0455,0.3520581806971949,scr2016,stInflow,reservoir
at,h0456,0.3520581806971949,scr2016,stInflow,reservoir
at,h0457,0.3342415138569429,scr2016,stInflow,reservoir
at,h0458,0.3164249420265993,scr2016,stInflow,reservoir
at,h0459,0.2986084705604007,scr2016,stInflow,reservoir
at,h0460,0.2986084705604007,scr2016,stInflow,reservoir
at,h0461,0.2986084705604007,scr2016,stInflow,reservoir
at,h0462,0.2986084705604007,scr2016,stInflow,reservoir
at,h0463,0.2986084705604007,scr2016,stInflow,reservoir
at,h0464,0.2986084705604007,scr2016,stInflow,reservoir
at,h0465,0.2986084705604007,scr2016,stInflow,reservoir
at,h0466,0.2986084705604007,scr2016,stInflow,reservoir
at,h0467,0.2986084705604007,scr2016,stInflow,reservoir
at,h0468,0.2986084705604007,scr2016,stInflow,reservoir
at,h0469,0.282289390514023,scr2016,stInflow,reservoir
at,h0470,0.2659704048546631,scr2016,stInflow,reservoir
at,h0471,0.24965151937971902,scr2016,stInflow,reservoir
at,h0472,0.24965151937971902,scr2016,stInflow,reservoir
at,h0473,0.24965151937971902,scr2016,stInflow,reservoir
at,h0474,0.24965151937971902,scr2016,stInflow,reservoir
at,h0475,0.24965151937971902,scr2016,stInflow,reservoir
at,h0476,0.24965151937971902,scr2016,stInflow,reservoir
at,h0477,0.24965151937971902,scr2016,stInflow,reservoir
at,h0478,0.24965151937971902,scr2016,stInflow,reservoir
at,h0479,0.24965151937971902,scr2016,stInflow,reservoir
at,h0480,0.24965151937971902,scr2016,stInflow,reservoir
ba,h0409,0.2840358642955423,scr2016,stInflow,reservoir
ba,h0410,0.2840358642955423,scr2016,stInflow,reservoir
ba,h0411,0.2840358642955423,scr2016,stInflow,reservoir
ba,h0412,0.2840358642955423,scr2016,stInflow,reservoir
ba,h0413,0.2840358642955423,scr2016,stInflow,reservoir
ba,h0414,0.2840358642955423,scr2016,stInflow,reservoir
ba,h0415,0.27882325078554626,scr2016,stInflow,reservoir
ba,h0416,0.27361162825996627,scr2016,stInflow,reservoir
ba,h0417,0.26840101553914436,scr2016,stInflow,reservoir
ba,h0418,0.26840101553914436,scr2016,stInflow,reservoir
ba,h0419,0.26840101553914436,scr2016,stInflow,reservoir
ba,h0420,0.26840101553914436,scr2016,stInflow,reservoir
ba,h0421,0.26840101553914436,scr2016,stInflow,reservoir
ba,h0422,0.26840101553914436,scr2016,stInflow,reservoir
ba,h0423,0.26840101553914436,scr2016,stInflow,reservoir
ba,h0424,0.26840101553914436,scr2016,stInflow,reservoir
ba,h0425,0.26840101553914436,scr2016,stInflow,reservoir
ba,h0426,0.26840101553914436,scr2016,stInflow,reservoir
ba,h0427,0.26840101553914436,scr2016,stInflow,reservoir
ba,h0428,0.26840101553914436,scr2016,stInflow,reservoir
ba,h0429,0.26840101553914436,scr2016,stInflow,reservoir
ba,h0430,0.26840101553914436,scr2016,stInflow,reservoir
ba,h0431,0.26840101553914436,scr2016,stInflow,reservoir
ba,h0432,0.26840101553914436,scr2016,stInflow,reservoir
