region_4,timestep_6,value,scenario_1,parameter,technology_3
70AL,h0553,0.1025086116061772,scr2016,avaConv,onshore
70AL,h0554,0.06660906322179552,scr2016,avaConv,onshore
70AL,h0555,0.04264155165256836,scr2016,avaConv,onshore
70AL,h0556,0.042243124385886614,scr2016,avaConv,onshore
70AL,h0557,0.04501554528601164,scr2016,avaConv,onshore
70AL,h0558,0.05210203381976124,scr2016,avaConv,onshore
70AL,h0559,0.3374526256918929,scr2016,avaConv,onshore
70AL,h0560,0.5743912155707536,scr2016,avaConv,onshore
70AL,h0561,0.7715408423004882,scr2016,avaConv,onshore
70AL,h0562,0.6948676748972166,scr2016,avaConv,onshore
70AL,h0563,0.612140737952786,scr2016,avaConv,onshore
70AL,h0564,0.5050654957351243,scr2016,avaConv,onshore
70AL,h0565,0.33391543607451024,scr2016,avaConv,onshore
70AL,h0566,0.17586305199944355,scr2016,avaConv,onshore
70AL,h0567,0.06235737231584574,scr2016,avaConv,onshore
70AL,h0568,0.05850755420733323,scr2016,avaConv,onshore
70AL,h0569,0.0514045013606455,scr2016,avaConv,onshore
70AL,h0570,0.04068018061805221,scr2016,avaConv,onshore
70AL,h0571,0.04016234251638297,scr2016,avaConv,onshore
70AL,h0572,0.05373718709593395,scr2016,avaConv,onshore
70AL,h0573,0.07419702587869631,scr2016,avaConv,onshore
70AL,h0574,0.08554162874202596,scr2016,avaConv,onshore
70AL,h0575,0.08311309676348087,scr2016,avaConv,onshore
70AL,h0576,0.0828372939800245,scr2016,avaConv,onshore
70AL,h0577,0.3515900427133514,scr2016,avaConv,onshore
70AL,h0578,0.5976262394530798,scr2016,avaConv,onshore
70AL,h0579,0.828887986642459,scr2016,avaConv,onshore
70AL,h0580,0.8282128212915769,scr2016,avaConv,onshore
70AL,h0581,0.8359003236712591,scr2016,avaConv,onshore
70AL,h0582,0.8495936615857549,scr2016,avaConv,onshore
70AL,h0583,0.6701568087604487,scr2016,avaConv,onshore
70AL,h0584,0.4901070770546597,scr2016,avaConv,onshore
70AL,h0585,0.3074698345116441,scr2016,avaConv,onshore
70AL,h0586,0.35608820451657114,scr2016,avaConv,onshore
70AL,h0587,0.4216680243858337,scr2016,avaConv,onshore
70AL,h0588,0.5221395390300239,scr2016,avaConv,onshore
70AL,h0589,0.47023471154925517,scr2016,avaConv,onshore
70AL,h0590,0.38491996641201615,scr2016,avaConv,onshore
70AL,h0591,0.25206511221395955,scr2016,avaConv,onshore
70AL,h0592,0.2729484519753596,scr2016,avaConv,onshore
70AL,h0593,0.3182096374938975,scr2016,avaConv,onshore
70AL,h0594,0.3689139215484913,scr2016,avaConv,onshore
70AL,h0595,0.291660697990223,scr2016,avaConv,onshore
70AL,h0596,0.19628065092783012,scr2016,avaConv,onshore
70AL,h0597,0.0839611831680552,scr2016,avaConv,onshore
70AL,h0598,0.09248485135795814,scr2016,avaConv,onshore
70AL,h0599,0.12013206008919244,scr2016,avaConv,onshore
70AL,h0600,0.1295967861403318,scr2016,avaConv,onshore
70AL,h0601,0.1586429319409678,scr2016,avaConv,onshore
70AL,h0602,0.16621599626696965,scr2016,avaConv,onshore
70AL,h0603,0.1871601420932438,scr2016,avaConv,onshore
70AL,h0604,0.18614073499730432,scr2016,avaConv,onshore
70AL,h0605,0.19516166250011852,scr2016,avaConv,onshore
70AL,h0606,0.22066075878624172,scr2016,avaConv,onshore
70AL,h0607,0.17195261234407322,scr2016,avaConv,onshore
70AL,h0608,0.11843284534822006,scr2016,avaConv,onshore
70AL,h0609,0.04397483911578286,scr2016,avaConv,onshore
70AL,h0610,0.04436347387086487,scr2016,avaConv,onshore
70AL,h0611,0.061038742005094744,scr2016,avaConv,onshore
70AL,h0612,0.05233024737681117,scr2016,avaConv,onshore
70AL,h0613,0.1328019446688233,scr2016,avaConv,onshore
70AL,h0614,0.18024362421915732,scr2016,avaConv,onshore
70AL,h0615,0.244406516519156,scr2016,avaConv,onshore
70AL,h0616,0.24666262837332037,scr2016,avaConv,onshore
70AL,h0617,0.2647536842880868,scr2016,avaConv,onshore
70AL,h0618,0.2880735710460391,scr2016,avaConv,onshore
70AL,h0619,0.4389968155552812,scr2016,avaConv,onshore
70AL,h0620,0.5592425153596793,scr2016,avaConv,onshore
70AL,h0621,0.6418429405369684,scr2016,avaConv,onshore
70AL,h0622,0.5565154502143101,scr2016,avaConv,onshore
70AL,h0623,0.48993170576363465,scr2016,avaConv,onshore
70AL,h0624,0.429485772874764,scr2016,avaConv,onshore
49AT,h0553,0.0199747548086711,scr2016,avaConv,onshore
49AT,h0554,0.02216952711189456,scr2016,avaConv,onshore
49AT,h0555,0.02019029574927024,scr2016,avaConv,onshore
49AT,h0556,0.01653271290480272,scr2016,avaConv,onshore
49AT,h0557,0.010264922257023745,scr2016,avaConv,onshore
49AT,h0558,0.005767823744164289,scr2016,avaConv,onshore
49AT,h0559,0.03768434284450736,scr2016,avaConv,onshore
49AT,h0560,0.08505188981523261,scr2016,avaConv,onshore
49AT,h0561,0.1404756232084331,scr2016,avaConv,onshore
49AT,h0562,0.14810565869924225,scr2016,avaConv,onshore
49AT,h0563,0.1429268504994607,scr2016,avaConv,onshore
49AT,h0564,0.13269871924017665,scr2016,avaConv,onshore
49AT,h0565,0.08065504832758746,scr2016,avaConv,onshore
49AT,h0566,0.03892940554386299,scr2016,avaConv,onshore
49AT,h0567,0.007768187022416848,scr2016,avaConv,onshore
49AT,h0568,0.010965873260248383,scr2016,avaConv,onshore
49AT,h0569,0.017041115914027953,scr2016,avaConv,onshore
49AT,h0570,0.026839151675644875,scr2016,avaConv,onshore
49AT,h0571,0.0378870264470968,scr2016,avaConv,onshore
49AT,h0572,0.05565130902069773,scr2016,avaConv,onshore
49AT,h0573,0.0743068628865346,scr2016,avaConv,onshore
49AT,h0574,0.09538608787912808,scr2016,avaConv,onshore
49AT,h0575,0.12381473136085099,scr2016,avaConv,onshore
49AT,h0576,0.14134075739425597,scr2016,avaConv,onshore
49AT,h0577,0.1055638232106909,scr2016,avaConv,onshore
49AT,h0578,0.05460261903168122,scr2016,avaConv,onshore
49AT,h0579,0.014480351582218833,scr2016,avaConv,onshore
49AT,h0580,0.012314090557979667,scr2016,avaConv,onshore
49AT,h0581,0.010643519826006594,scr2016,avaConv,onshore
49AT,h0582,0.008307437650330552,scr2016,avaConv,onshore
49AT,h0583,0.04681438356943419,scr2016,avaConv,onshore
49AT,h0584,0.08778316326033693,scr2016,avaConv,onshore
49AT,h0585,0.1270412060244868,scr2016,avaConv,onshore
49AT,h0586,0.119659321436851,scr2016,avaConv,onshore
49AT,h0587,0.10695791594198868,scr2016,avaConv,onshore
49AT,h0588,0.11144276835520843,scr2016,avaConv,onshore
49AT,h0589,0.07485147992878582,scr2016,avaConv,onshore
49AT,h0590,0.051564027053467174,scr2016,avaConv,onshore
49AT,h0591,0.02352435088058924,scr2016,avaConv,onshore
49AT,h0592,0.03130705666748426,scr2016,avaConv,onshore
49AT,h0593,0.04246170475119583,scr2016,avaConv,onshore
49AT,h0594,0.05250119793903069,scr2016,avaConv,onshore
49AT,h0595,0.06845730071839382,scr2016,avaConv,onshore
49AT,h0596,0.0830652187289192,scr2016,avaConv,onshore
49AT,h0597,0.10122851377101273,scr2016,avaConv,onshore
49AT,h0598,0.1218291786148039,scr2016,avaConv,onshore
49AT,h0599,0.16141105926974395,scr2016,avaConv,onshore
49AT,h0600,0.20165157224359853,scr2016,avaConv,onshore
49AT,h0601,0.31865557687894425,scr2016,avaConv,onshore
49AT,h0602,0.3973776004808981,scr2016,avaConv,onshore
49AT,h0603,0.4575245163490973,scr2016,avaConv,onshore
49AT,h0604,0.4223608131813765,scr2016,avaConv,onshore
49AT,h0605,0.4280723294096299,scr2016,avaConv,onshore
49AT,h0606,0.48344001531492736,scr2016,avaConv,onshore
49AT,h0607,0.3798720294934529,scr2016,avaConv,onshore
49AT,h0608,0.2575775504762343,scr2016,avaConv,onshore
49AT,h0609,0.1167424717245603,scr2016,avaConv,onshore
49AT,h0610,0.10260661117159936,scr2016,avaConv,onshore
49AT,h0611,0.09404218629221724,scr2016,avaConv,onshore
49AT,h0612,0.08042119601128828,scr2016,avaConv,onshore
49AT,h0613,0.08290811439917639,scr2016,avaConv,onshore
49AT,h0614,0.0866740539223758,scr2016,avaConv,onshore
