region_2,timestep_5,value,parameter,carrier_1
AL,hh0085,NaN,dem,processHeat_medium
AL,hh0086,NaN,dem,processHeat_medium
AL,hh0087,NaN,dem,processHeat_medium
AL,hh0088,NaN,dem,processHeat_medium
AL,hh0089,NaN,dem,processHeat_medium
AL,hh0090,NaN,dem,processHeat_medium
AL,hh0091,NaN,dem,processHeat_medium
AL,hh0092,NaN,dem,processHeat_medium
AL,hh0093,NaN,dem,processHeat_medium
AL,hh0094,NaN,dem,processHeat_medium
AL,hh0095,NaN,dem,processHeat_medium
AL,hh0096,NaN,dem,processHeat_medium
AL,hh0097,NaN,dem,processHeat_medium
AL,hh0098,NaN,dem,processHeat_medium
AL,hh0099,NaN,dem,processHeat_medium
AL,hh0100,NaN,dem,processHeat_medium
AL,hh0101,NaN,dem,processHeat_medium
AL,hh0102,NaN,dem,processHeat_medium
AT,hh0085,1.4738485044575538,dem,processHeat_medium
AT,hh0086,1.4688844603675695,dem,processHeat_medium
AT,hh0087,1.4709567983242424,dem,processHeat_medium
AT,hh0088,1.4875468696312903,dem,processHeat_medium
AT,hh0089,1.4842141005726717,dem,processHeat_medium
AT,hh0090,1.477843921562611,dem,processHeat_medium
AT,hh0091,1.4563345319438266,dem,processHeat_medium
AT,hh0092,1.465675094600789,dem,processHeat_medium
AT,hh0093,1.4957081627904374,dem,processHeat_medium
AT,hh0094,1.4927361040074136,dem,processHeat_medium
AT,hh0095,1.4928402065650004,dem,processHeat_medium
AT,hh0096,1.4840589636074109,dem,processHeat_medium
AT,hh0097,1.4864755649773647,dem,processHeat_medium
AT,hh0098,1.489548371610821,dem,processHeat_medium
AT,hh0099,1.490257443799642,dem,processHeat_medium
AT,hh0100,1.4875995483294826,dem,processHeat_medium
AT,hh0101,1.4754435895197076,dem,processHeat_medium
AT,hh0102,1.469304317827784,dem,processHeat_medium
BA,hh0085,0.17517620208445805,dem,processHeat_medium
BA,hh0086,0.17504595282025548,dem,processHeat_medium
BA,hh0087,0.17352443078084434,dem,processHeat_medium
BA,hh0088,0.17669290210847066,dem,processHeat_medium
BA,hh0089,0.17650526669092415,dem,processHeat_medium
BA,hh0090,0.17464816980418618,dem,processHeat_medium
BA,hh0091,0.17305936960678991,dem,processHeat_medium
BA,hh0092,0.1736601240621667,dem,processHeat_medium
BA,hh0093,0.17706941899666617,dem,processHeat_medium
BA,hh0094,0.1777404480178575,dem,processHeat_medium
BA,hh0095,0.178279286328916,dem,processHeat_medium
BA,hh0096,0.17742934795012388,dem,processHeat_medium
BA,hh0097,0.17807129506695674,dem,processHeat_medium
BA,hh0098,0.1775856130128659,dem,processHeat_medium
BA,hh0099,0.17772937638721942,dem,processHeat_medium
BA,hh0100,0.1778436877268632,dem,processHeat_medium
BA,hh0101,0.175287938174165,dem,processHeat_medium
BA,hh0102,0.17348509795408518,dem,processHeat_medium
BE,hh0085,1.43140129290179,dem,processHeat_medium
BE,hh0086,1.429671712574071,dem,processHeat_medium
BE,hh0087,1.4163264801855089,dem,processHeat_medium
BE,hh0088,1.4195322656039067,dem,processHeat_medium
BE,hh0089,1.4262878711723141,dem,processHeat_medium
BE,hh0090,1.426516402065065,dem,processHeat_medium
BE,hh0091,1.419421690884945,dem,processHeat_medium
BE,hh0092,1.4163914956248047,dem,processHeat_medium
BE,hh0093,1.430365902048267,dem,processHeat_medium
BE,hh0094,1.422483612585177,dem,processHeat_medium
BE,hh0095,1.4131820489977778,dem,processHeat_medium
BE,hh0096,1.4151019787676389,dem,processHeat_medium
BE,hh0097,1.4348396938496721,dem,processHeat_medium
BE,hh0098,1.4353130261055882,dem,processHeat_medium
BE,hh0099,1.4369750805368486,dem,processHeat_medium
BE,hh0100,1.4344847338790194,dem,processHeat_medium
BE,hh0101,1.4197705442855777,dem,processHeat_medium
BE,hh0102,1.4073744417703697,dem,processHeat_medium
BG,hh0085,0.4013836481647104,dem,processHeat_medium
BG,hh0086,0.3994855344365078,dem,processHeat_medium
BG,hh0087,0.3966436423570485,dem,processHeat_medium
BG,hh0088,0.39814918669389954,dem,processHeat_medium
BG,hh0089,0.4023929356840199,dem,processHeat_medium
BG,hh0090,0.40526420991250234,dem,processHeat_medium
BG,hh0091,0.3932738754986076,dem,processHeat_medium
BG,hh0092,0.39439786318962433,dem,processHeat_medium
BG,hh0093,0.40393264169165377,dem,processHeat_medium
BG,hh0094,0.398061692700594,dem,processHeat_medium
BG,hh0095,0.39739305540592795,dem,processHeat_medium
BG,hh0096,0.39689747247462037,dem,processHeat_medium
BG,hh0097,0.39912109537181095,dem,processHeat_medium
BG,hh0098,0.399971658356435,dem,processHeat_medium
BG,hh0099,0.40011553465228644,dem,processHeat_medium
BG,hh0100,0.39765265138112227,dem,processHeat_medium
BG,hh0101,0.3974299225803861,dem,processHeat_medium
BG,hh0102,0.3961983085866905,dem,processHeat_medium
CH,hh0085,1.1972504323080102,dem,processHeat_medium
CH,hh0086,1.1963602372593414,dem,processHeat_medium
CH,hh0087,1.1859613194983467,dem,processHeat_medium
CH,hh0088,1.2076163937686033,dem,processHeat_medium
CH,hh0089,1.2063339902119878,dem,processHeat_medium
CH,hh0090,1.1936415695290634,dem,processHeat_medium
CH,hh0091,1.182782835861417,dem,processHeat_medium
CH,hh0092,1.1868887219525277,dem,processHeat_medium
CH,hh0093,1.210189717094181,dem,processHeat_medium
CH,hh0094,1.2147758981877814,dem,processHeat_medium
CH,hh0095,1.2184586153216515,dem,processHeat_medium
CH,hh0096,1.212649669359962,dem,processHeat_medium
CH,hh0097,1.2170370887370154,dem,processHeat_medium
CH,hh0098,1.2137176706733044,dem,processHeat_medium
CH,hh0099,1.2147002285796589,dem,processHeat_medium
