region_3,timestep_6,value,scenario_1,parameter,technology_2
al,h0409,0.026015204735419933,scr1984,avaConv,offshore
al,h0410,0.0339164312204554,scr1984,avaConv,offshore
al,h0411,0.04774525631181769,scr1984,avaConv,offshore
al,h0412,0.058466169539401834,scr1984,avaConv,offshore
al,h0413,0.07670753529608071,scr1984,avaConv,offshore
al,h0414,0.0998349207831563,scr1984,avaConv,offshore
al,h0415,0.08535002090109145,scr1984,avaConv,offshore
al,h0416,0.057025593480818426,scr1984,avaConv,offshore
al,h0417,0.009931552222344904,scr1984,avaConv,offshore
al,h0418,0.0011421484852598951,scr1984,avaConv,offshore
al,h0419,0.0032489528565889246,scr1984,avaConv,offshore
al,h0420,0.011554148790195076,scr1984,avaConv,offshore
al,h0421,0.12089169579799412,scr1984,avaConv,offshore
al,h0422,0.18594617554519177,scr1984,avaConv,offshore
al,h0423,0.24442051133871479,scr1984,avaConv,offshore
al,h0424,0.21652428243101904,scr1984,avaConv,offshore
al,h0425,0.2044683294211136,scr1984,avaConv,offshore
al,h0426,0.20809350528748463,scr1984,avaConv,offshore
al,h0427,0.21158061341801757,scr1984,avaConv,offshore
al,h0428,0.2153904149702703,scr1984,avaConv,offshore
al,h0429,0.2033152803306657,scr1984,avaConv,offshore
al,h0430,0.21246113828129032,scr1984,avaConv,offshore
al,h0431,0.23451467523482528,scr1984,avaConv,offshore
al,h0432,0.2483561282153496,scr1984,avaConv,offshore
al,h0433,0.23272672000458794,scr1984,avaConv,offshore
al,h0434,0.1928053574032976,scr1984,avaConv,offshore
al,h0435,0.1469076282368527,scr1984,avaConv,offshore
al,h0436,0.1143304281258026,scr1984,avaConv,offshore
al,h0437,0.10449557993896758,scr1984,avaConv,offshore
al,h0438,0.10780061145641968,scr1984,avaConv,offshore
al,h0439,0.20576618123484725,scr1984,avaConv,offshore
al,h0440,0.25969078656725086,scr1984,avaConv,offshore
al,h0441,0.29458613294265235,scr1984,avaConv,offshore
al,h0442,0.23636213687813187,scr1984,avaConv,offshore
al,h0443,0.20797173078642156,scr1984,avaConv,offshore
al,h0444,0.20517477238376786,scr1984,avaConv,offshore
al,h0445,0.20565311533078373,scr1984,avaConv,offshore
al,h0446,0.2076072628040448,scr1984,avaConv,offshore
al,h0447,0.20560038983653384,scr1984,avaConv,offshore
al,h0448,0.2236692554233202,scr1984,avaConv,offshore
al,h0449,0.24012550419578915,scr1984,avaConv,offshore
al,h0450,0.24055463307036978,scr1984,avaConv,offshore
al,h0451,0.3372563475088432,scr1984,avaConv,offshore
al,h0452,0.42521962078375497,scr1984,avaConv,offshore
al,h0453,0.5119811241876681,scr1984,avaConv,offshore
al,h0454,0.48720696256067453,scr1984,avaConv,offshore
al,h0455,0.46155217545714344,scr1984,avaConv,offshore
al,h0456,0.43123846507666014,scr1984,avaConv,offshore
al,h0457,0.3133584243629312,scr1984,avaConv,offshore
al,h0458,0.18313683928060442,scr1984,avaConv,offshore
al,h0459,0.038926228839091255,scr1984,avaConv,offshore
al,h0460,0.021804971155340126,scr1984,avaConv,offshore
al,h0461,0.02238854822344565,scr1984,avaConv,offshore
al,h0462,0.03728595292261537,scr1984,avaConv,offshore
al,h0463,0.10829677179496493,scr1984,avaConv,offshore
al,h0464,0.1548304626633308,scr1984,avaConv,offshore
al,h0465,0.19503155576910072,scr1984,avaConv,offshore
al,h0466,0.1846025893673989,scr1984,avaConv,offshore
al,h0467,0.15990287733929176,scr1984,avaConv,offshore
al,h0468,0.11437633823843997,scr1984,avaConv,offshore
al,h0469,0.0558861705541122,scr1984,avaConv,offshore
al,h0470,0.01846313600307648,scr1984,avaConv,offshore
al,h0471,0.0007596996195358286,scr1984,avaConv,offshore
