region_3,category,timestep_6,value,scenario_1,parameter,technology_3
al,1,h0193,0.0,scr1993,avaConv,pvOpenspace_a
al,1,h0194,0.0,scr1993,avaConv,pvOpenspace_a
al,1,h0195,0.0,scr1993,avaConv,pvOpenspace_a
al,1,h0196,0.0,scr1993,avaConv,pvOpenspace_a
al,1,h0197,0.0,scr1993,avaConv,pvOpenspace_a
al,1,h0198,0.014002362628952346,scr1993,avaConv,pvOpenspace_a
al,1,h0199,0.08697758854563817,scr1993,avaConv,pvOpenspace_a
al,1,h0200,0.2222251668512191,scr1993,avaConv,pvOpenspace_a
al,1,h0201,0.3929117160259569,scr1993,avaConv,pvOpenspace_a
al,1,h0202,0.5283408773196002,scr1993,avaConv,pvOpenspace_a
al,1,h0203,0.6078513328931632,scr1993,avaConv,pvOpenspace_a
al,1,h0204,0.6381059119238306,scr1993,avaConv,pvOpenspace_a
al,1,h0205,0.6580867027980182,scr1993,avaConv,pvOpenspace_a
al,1,h0206,0.6397348860844644,scr1993,avaConv,pvOpenspace_a
al,1,h0207,0.5752715500661231,scr1993,avaConv,pvOpenspace_a
al,1,h0208,0.43879661063133846,scr1993,avaConv,pvOpenspace_a
al,1,h0209,0.2772420021200309,scr1993,avaConv,pvOpenspace_a
al,1,h0210,0.1266229892306348,scr1993,avaConv,pvOpenspace_a
al,1,h0211,0.03452608083168438,scr1993,avaConv,pvOpenspace_a
al,1,h0212,0.00014598295206154132,scr1993,avaConv,pvOpenspace_a
al,1,h0213,0.0,scr1993,avaConv,pvOpenspace_a
al,1,h0214,0.0,scr1993,avaConv,pvOpenspace_a
al,1,h0215,0.0,scr1993,avaConv,pvOpenspace_a
al,1,h0216,0.0,scr1993,avaConv,pvOpenspace_a
al,1,h0217,0.0,scr1993,avaConv,pvOpenspace_a
al,1,h0218,0.0,scr1993,avaConv,pvOpenspace_a
al,1,h0219,0.0,scr1993,avaConv,pvOpenspace_a
al,1,h0220,0.0,scr1993,avaConv,pvOpenspace_a
al,1,h0221,0.00047247770440529083,scr1993,avaConv,pvOpenspace_a
al,1,h0222,0.026900528438482216,scr1993,avaConv,pvOpenspace_a
al,1,h0223,0.11678485991104663,scr1993,avaConv,pvOpenspace_a
al,1,h0224,0.2705885916124242,scr1993,avaConv,pvOpenspace_a
al,1,h0225,0.44222566644597694,scr1993,avaConv,pvOpenspace_a
al,1,h0226,0.5711798180475403,scr1993,avaConv,pvOpenspace_a
al,1,h0227,0.6445752656927046,scr1993,avaConv,pvOpenspace_a
al,1,h0228,0.6726069015312929,scr1993,avaConv,pvOpenspace_a
al,1,h0229,0.6550065918190952,scr1993,avaConv,pvOpenspace_a
al,1,h0230,0.5822474323291847,scr1993,avaConv,pvOpenspace_a
