region_3,category,timestep_6,value,scenario_1,parameter,technology_3
al,1,h0001,0.0,scr1998,avaConv,pvInd_a
al,1,h0002,0.0,scr1998,avaConv,pvInd_a
al,1,h0003,0.0,scr1998,avaConv,pvInd_a
al,1,h0004,0.0,scr1998,avaConv,pvInd_a
al,1,h0005,0.0,scr1998,avaConv,pvInd_a
al,1,h0006,0.0,scr1998,avaConv,pvInd_a
al,1,h0007,0.0,scr1998,avaConv,pvInd_a
al,1,h0008,0.017283040255815778,scr1998,avaConv,pvInd_a
al,1,h0009,0.05573777089896171,scr1998,avaConv,pvInd_a
al,1,h0010,0.10882953852151685,scr1998,avaConv,pvInd_a
al,1,h0011,0.16768923224160684,scr1998,avaConv,pvInd_a
al,1,h0012,0.21609165622858725,scr1998,avaConv,pvInd_a
al,1,h0013,0.3175577497602457,scr1998,avaConv,pvInd_a
al,1,h0014,0.37305635736458703,scr1998,avaConv,pvInd_a
al,1,h0015,0.3692869437075649,scr1998,avaConv,pvInd_a
al,1,h0016,0.2452543246174767,scr1998,avaConv,pvInd_a
al,1,h0017,0.11512811862965652,scr1998,avaConv,pvInd_a
al,1,h0018,0.03109135400245161,scr1998,avaConv,pvInd_a
al,1,h0019,0.0,scr1998,avaConv,pvInd_a
al,1,h0020,0.0,scr1998,avaConv,pvInd_a
al,1,h0021,0.0,scr1998,avaConv,pvInd_a
al,1,h0022,0.0,scr1998,avaConv,pvInd_a
al,1,h0023,0.0,scr1998,avaConv,pvInd_a
al,1,h0024,0.0,scr1998,avaConv,pvInd_a
al,1,h0025,0.0,scr1998,avaConv,pvInd_a
al,1,h0026,0.0,scr1998,avaConv,pvInd_a
al,1,h0027,0.0,scr1998,avaConv,pvInd_a
al,1,h0028,0.0,scr1998,avaConv,pvInd_a
al,1,h0029,0.0,scr1998,avaConv,pvInd_a
al,1,h0030,0.0,scr1998,avaConv,pvInd_a
al,1,h0031,0.0,scr1998,avaConv,pvInd_a
al,1,h0032,0.03329393643804359,scr1998,avaConv,pvInd_a
al,1,h0033,0.11063619935492632,scr1998,avaConv,pvInd_a
al,1,h0034,0.2319459056445799,scr1998,avaConv,pvInd_a
al,1,h0035,0.33801248087719415,scr1998,avaConv,pvInd_a
al,1,h0036,0.3839066057176809,scr1998,avaConv,pvInd_a
al,1,h0037,0.3269577902835776,scr1998,avaConv,pvInd_a
al,1,h0038,0.24361574892262483,scr1998,avaConv,pvInd_a
al,1,h0039,0.15659891610099747,scr1998,avaConv,pvInd_a
al,1,h0040,0.10269011683477809,scr1998,avaConv,pvInd_a
al,1,h0041,0.0479645601602333,scr1998,avaConv,pvInd_a
al,1,h0042,0.01082849108239124,scr1998,avaConv,pvInd_a
al,1,h0043,0.0,scr1998,avaConv,pvInd_a
al,1,h0044,0.0,scr1998,avaConv,pvInd_a
al,1,h0045,0.0,scr1998,avaConv,pvInd_a
al,1,h0046,0.0,scr1998,avaConv,pvInd_a
al,1,h0047,0.0,scr1998,avaConv,pvInd_a
al,1,h0048,0.0,scr1998,avaConv,pvInd_a
at,1,h0001,0.0,scr1998,avaConv,pvInd_a
at,1,h0002,0.0,scr1998,avaConv,pvInd_a
at,1,h0003,0.0,scr1998,avaConv,pvInd_a
at,1,h0004,0.0,scr1998,avaConv,pvInd_a
at,1,h0005,0.0,scr1998,avaConv,pvInd_a
at,1,h0006,0.0,scr1998,avaConv,pvInd_a
at,1,h0007,0.0,scr1998,avaConv,pvInd_a
at,1,h0008,0.0,scr1998,avaConv,pvInd_a
at,1,h0009,0.030148507310329895,scr1998,avaConv,pvInd_a
at,1,h0010,0.132640336075306,scr1998,avaConv,pvInd_a
at,1,h0011,0.30835555427942074,scr1998,avaConv,pvInd_a
at,1,h0012,0.46173681724867977,scr1998,avaConv,pvInd_a
at,1,h0013,0.5080903908452999,scr1998,avaConv,pvInd_a
at,1,h0014,0.4674641767108467,scr1998,avaConv,pvInd_a
at,1,h0015,0.34516866257670104,scr1998,avaConv,pvInd_a
at,1,h0016,0.18606613501819005,scr1998,avaConv,pvInd_a
at,1,h0017,0.06073218473124281,scr1998,avaConv,pvInd_a
at,1,h0018,0.004855121329271041,scr1998,avaConv,pvInd_a
at,1,h0019,0.0,scr1998,avaConv,pvInd_a
at,1,h0020,0.0,scr1998,avaConv,pvInd_a
at,1,h0021,0.0,scr1998,avaConv,pvInd_a
at,1,h0022,0.0,scr1998,avaConv,pvInd_a
at,1,h0023,0.0,scr1998,avaConv,pvInd_a
at,1,h0024,0.0,scr1998,avaConv,pvInd_a
at,1,h0025,0.0,scr1998,avaConv,pvInd_a
at,1,h0026,0.0,scr1998,avaConv,pvInd_a
at,1,h0027,0.0,scr1998,avaConv,pvInd_a
at,1,h0028,0.0,scr1998,avaConv,pvInd_a
at,1,h0029,0.0,scr1998,avaConv,pvInd_a
at,1,h0030,0.0,scr1998,avaConv,pvInd_a
at,1,h0031,0.0,scr1998,avaConv,pvInd_a
at,1,h0032,0.0,scr1998,avaConv,pvInd_a
at,1,h0033,0.011529938570665187,scr1998,avaConv,pvInd_a
at,1,h0034,0.05301518109451026,scr1998,avaConv,pvInd_a
at,1,h0035,0.13039883868679963,scr1998,avaConv,pvInd_a
at,1,h0036,0.20767134509939048,scr1998,avaConv,pvInd_a
at,1,h0037,0.2315905108951577,scr1998,avaConv,pvInd_a
at,1,h0038,0.21334402509413264,scr1998,avaConv,pvInd_a
at,1,h0039,0.1527471792001858,scr1998,avaConv,pvInd_a
at,1,h0040,0.08971689567344318,scr1998,avaConv,pvInd_a
at,1,h0041,0.03244429179369746,scr1998,avaConv,pvInd_a
at,1,h0042,0.005700623556185125,scr1998,avaConv,pvInd_a
at,1,h0043,0.0,scr1998,avaConv,pvInd_a
at,1,h0044,0.0,scr1998,avaConv,pvInd_a
at,1,h0045,0.0,scr1998,avaConv,pvInd_a
at,1,h0046,0.0,scr1998,avaConv,pvInd_a
at,1,h0047,0.0,scr1998,avaConv,pvInd_a
at,1,h0048,0.0,scr1998,avaConv,pvInd_a
ba,1,h0001,0.0,scr1998,avaConv,pvInd_a
ba,1,h0002,0.0,scr1998,avaConv,pvInd_a
ba,1,h0003,0.0,scr1998,avaConv,pvInd_a
ba,1,h0004,0.0,scr1998,avaConv,pvInd_a
ba,1,h0005,0.0,scr1998,avaConv,pvInd_a
ba,1,h0006,0.0,scr1998,avaConv,pvInd_a
ba,1,h0007,0.0,scr1998,avaConv,pvInd_a
ba,1,h0008,0.0058392000338439495,scr1998,avaConv,pvInd_a
ba,1,h0009,0.026007928789603917,scr1998,avaConv,pvInd_a
ba,1,h0010,0.055072279392200954,scr1998,avaConv,pvInd_a
ba,1,h0011,0.08349186021122372,scr1998,avaConv,pvInd_a
ba,1,h0012,0.1016449297050124,scr1998,avaConv,pvInd_a
ba,1,h0013,0.26885987422455304,scr1998,avaConv,pvInd_a
ba,1,h0014,0.39089456685938334,scr1998,avaConv,pvInd_a
ba,1,h0015,0.44611382908227837,scr1998,avaConv,pvInd_a
ba,1,h0016,0.2666440315801474,scr1998,avaConv,pvInd_a
ba,1,h0017,0.11048669783124102,scr1998,avaConv,pvInd_a
ba,1,h0018,0.017674417136473882,scr1998,avaConv,pvInd_a
ba,1,h0019,0.0,scr1998,avaConv,pvInd_a
ba,1,h0020,0.0,scr1998,avaConv,pvInd_a
ba,1,h0021,0.0,scr1998,avaConv,pvInd_a
ba,1,h0022,0.0,scr1998,avaConv,pvInd_a
ba,1,h0023,0.0,scr1998,avaConv,pvInd_a
ba,1,h0024,0.0,scr1998,avaConv,pvInd_a
ba,1,h0025,0.0,scr1998,avaConv,pvInd_a
ba,1,h0026,0.0,scr1998,avaConv,pvInd_a
ba,1,h0027,0.0,scr1998,avaConv,pvInd_a
ba,1,h0028,0.0,scr1998,avaConv,pvInd_a
ba,1,h0029,0.0,scr1998,avaConv,pvInd_a
ba,1,h0030,0.0,scr1998,avaConv,pvInd_a
ba,1,h0031,0.0,scr1998,avaConv,pvInd_a
ba,1,h0032,0.001578128217071373,scr1998,avaConv,pvInd_a
ba,1,h0033,0.014089661022324612,scr1998,avaConv,pvInd_a
ba,1,h0034,0.036802393756596795,scr1998,avaConv,pvInd_a
ba,1,h0035,0.0594963371015396,scr1998,avaConv,pvInd_a
ba,1,h0036,0.07009853831524489,scr1998,avaConv,pvInd_a
ba,1,h0037,0.07032242499958538,scr1998,avaConv,pvInd_a
ba,1,h0038,0.06362365634470411,scr1998,avaConv,pvInd_a
ba,1,h0039,0.04803882509280066,scr1998,avaConv,pvInd_a
ba,1,h0040,0.026368071755785257,scr1998,avaConv,pvInd_a
ba,1,h0041,0.008867472749758446,scr1998,avaConv,pvInd_a
ba,1,h0042,0.0012923428844649571,scr1998,avaConv,pvInd_a
ba,1,h0043,0.0,scr1998,avaConv,pvInd_a
ba,1,h0044,0.0,scr1998,avaConv,pvInd_a
ba,1,h0045,0.0,scr1998,avaConv,pvInd_a
ba,1,h0046,0.0,scr1998,avaConv,pvInd_a
ba,1,h0047,0.0,scr1998,avaConv,pvInd_a
ba,1,h0048,0.0,scr1998,avaConv,pvInd_a
be,1,h0001,0.0,scr1998,avaConv,pvInd_a
be,1,h0002,0.0,scr1998,avaConv,pvInd_a
be,1,h0003,0.0,scr1998,avaConv,pvInd_a
be,1,h0004,0.0,scr1998,avaConv,pvInd_a
be,1,h0005,0.0,scr1998,avaConv,pvInd_a
be,1,h0006,0.0,scr1998,avaConv,pvInd_a
be,1,h0007,0.0,scr1998,avaConv,pvInd_a
be,1,h0008,0.0,scr1998,avaConv,pvInd_a
be,1,h0009,0.0,scr1998,avaConv,pvInd_a
be,1,h0010,0.008244086081411582,scr1998,avaConv,pvInd_a
be,1,h0011,0.027849915711114354,scr1998,avaConv,pvInd_a
be,1,h0012,0.05504291774176306,scr1998,avaConv,pvInd_a
be,1,h0013,0.10745297316880381,scr1998,avaConv,pvInd_a
be,1,h0014,0.15385686834732978,scr1998,avaConv,pvInd_a
be,1,h0015,0.17532958958865832,scr1998,avaConv,pvInd_a
be,1,h0016,0.13429284848110873,scr1998,avaConv,pvInd_a
be,1,h0017,0.06609149643136715,scr1998,avaConv,pvInd_a
be,1,h0018,0.019969722734383973,scr1998,avaConv,pvInd_a
be,1,h0019,0.0,scr1998,avaConv,pvInd_a
be,1,h0020,0.0,scr1998,avaConv,pvInd_a
be,1,h0021,0.0,scr1998,avaConv,pvInd_a
be,1,h0022,0.0,scr1998,avaConv,pvInd_a
be,1,h0023,0.0,scr1998,avaConv,pvInd_a
be,1,h0024,0.0,scr1998,avaConv,pvInd_a
be,1,h0025,0.0,scr1998,avaConv,pvInd_a
be,1,h0026,0.0,scr1998,avaConv,pvInd_a
be,1,h0027,0.0,scr1998,avaConv,pvInd_a
be,1,h0028,0.0,scr1998,avaConv,pvInd_a
be,1,h0029,0.0,scr1998,avaConv,pvInd_a
be,1,h0030,0.0,scr1998,avaConv,pvInd_a
be,1,h0031,0.0,scr1998,avaConv,pvInd_a
be,1,h0032,0.0,scr1998,avaConv,pvInd_a
