region_3,timestep_6,value,scenario_1,parameter,carrier_1
at,h0289,6.0824264495343625,scr1998,dem,electricity
at,h0290,5.514050742200649,scr1998,dem,electricity
at,h0291,5.143702342798532,scr1998,dem,electricity
at,h0292,4.920925108290615,scr1998,dem,electricity
at,h0293,4.817632503281351,scr1998,dem,electricity
at,h0294,4.844922785871001,scr1998,dem,electricity
at,h0295,5.751554515270607,scr1998,dem,electricity
at,h0296,7.03644319751599,scr1998,dem,electricity
at,h0297,8.433834167632568,scr1998,dem,electricity
at,h0298,8.923837527544782,scr1998,dem,electricity
at,h0299,9.15918972886898,scr1998,dem,electricity
at,h0300,9.349601017191386,scr1998,dem,electricity
at,h0301,9.034647010959077,scr1998,dem,electricity
at,h0302,8.572257156295706,scr1998,dem,electricity
at,h0303,8.024841517967598,scr1998,dem,electricity
at,h0304,7.862977088047817,scr1998,dem,electricity
at,h0305,7.772690684229198,scr1998,dem,electricity
at,h0306,7.762167054915284,scr1998,dem,electricity
at,h0307,7.989109051524495,scr1998,dem,electricity
at,h0308,8.029018631580286,scr1998,dem,electricity
at,h0309,7.959663439775569,scr1998,dem,electricity
at,h0310,7.57822408294455,scr1998,dem,electricity
at,h0311,7.2148253665675695,scr1998,dem,electricity
at,h0312,6.694828309325599,scr1998,dem,electricity
at,h0313,6.196661680565634,scr1998,dem,electricity
at,h0314,5.754874686605924,scr1998,dem,electricity
at,h0315,5.487610304778478,scr1998,dem,electricity
at,h0316,5.289030464293333,scr1998,dem,electricity
at,h0317,5.263742144242853,scr1998,dem,electricity
at,h0318,5.563096518830088,scr1998,dem,electricity
at,h0319,6.301399296206511,scr1998,dem,electricity
at,h0320,7.354851535651455,scr1998,dem,electricity
at,h0321,8.279314279723714,scr1998,dem,electricity
at,h0322,8.819338520606438,scr1998,dem,electricity
at,h0323,9.089600454244447,scr1998,dem,electricity
at,h0324,9.283145542922792,scr1998,dem,electricity
at,h0325,9.4176469414315,scr1998,dem,electricity
at,h0326,9.415949609027882,scr1998,dem,electricity
at,h0327,9.335123871702535,scr1998,dem,electricity
at,h0328,9.226505629003405,scr1998,dem,electricity
at,h0329,9.090959904328805,scr1998,dem,electricity
at,h0330,8.966748146822834,scr1998,dem,electricity
at,h0331,7.898848571414877,scr1998,dem,electricity
at,h0332,6.926816858782614,scr1998,dem,electricity
at,h0333,6.0251252475184,scr1998,dem,electricity
at,h0334,6.03423714844237,scr1998,dem,electricity
at,h0335,6.012849069869028,scr1998,dem,electricity
at,h0336,5.827828551860398,scr1998,dem,electricity
be,h0289,8.074280165473285,scr1998,dem,electricity
be,h0290,7.4326313821682835,scr1998,dem,electricity
be,h0291,6.862456488846772,scr1998,dem,electricity
be,h0292,6.537538642337506,scr1998,dem,electricity
be,h0293,6.342687764962557,scr1998,dem,electricity
be,h0294,6.200717163571434,scr1998,dem,electricity
be,h0295,6.695385893830417,scr1998,dem,electricity
be,h0296,7.5998549278161684,scr1998,dem,electricity
be,h0297,8.824467591125753,scr1998,dem,electricity
be,h0298,9.532288007545016,scr1998,dem,electricity
be,h0299,9.912713289321555,scr1998,dem,electricity
be,h0300,10.162227238531427,scr1998,dem,electricity
be,h0301,10.228634156671804,scr1998,dem,electricity
be,h0302,10.201040104977235,scr1998,dem,electricity
be,h0303,10.04240792444893,scr1998,dem,electricity
be,h0304,9.87528860181259,scr1998,dem,electricity
be,h0305,9.728283914766754,scr1998,dem,electricity
be,h0306,9.615446061873536,scr1998,dem,electricity
be,h0307,9.594163656345472,scr1998,dem,electricity
be,h0308,9.427340525794694,scr1998,dem,electricity
be,h0309,9.14012297611572,scr1998,dem,electricity
be,h0310,8.740930104318927,scr1998,dem,electricity
be,h0311,8.570104875134838,scr1998,dem,electricity
be,h0312,8.36234743682208,scr1998,dem,electricity
be,h0313,8.075187467790723,scr1998,dem,electricity
be,h0314,7.597873533749703,scr1998,dem,electricity
be,h0315,7.183836348612724,scr1998,dem,electricity
be,h0316,6.929963582419655,scr1998,dem,electricity
be,h0317,6.815661829716646,scr1998,dem,electricity
be,h0318,6.879675723870661,scr1998,dem,electricity
be,h0319,7.0797821537510615,scr1998,dem,electricity
be,h0320,7.632550203033942,scr1998,dem,electricity
be,h0321,8.352891064980744,scr1998,dem,electricity
be,h0322,9.116840265579437,scr1998,dem,electricity
be,h0323,9.575049347371708,scr1998,dem,electricity
be,h0324,9.896303777311708,scr1998,dem,electricity
be,h0325,10.030422280079943,scr1998,dem,electricity
be,h0326,10.072581194049718,scr1998,dem,electricity
be,h0327,9.969425447497832,scr1998,dem,electricity
be,h0328,9.861838215115167,scr1998,dem,electricity
be,h0329,9.743034331850787,scr1998,dem,electricity
be,h0330,9.664049756614647,scr1998,dem,electricity
be,h0331,8.849976384613244,scr1998,dem,electricity
be,h0332,8.096128335911281,scr1998,dem,electricity
be,h0333,7.351832379309477,scr1998,dem,electricity
be,h0334,7.29972921491709,scr1998,dem,electricity
be,h0335,7.344407853268509,scr1998,dem,electricity
be,h0336,7.328641944641617,scr1998,dem,electricity
bg,h0289,3.182262531936766,scr1998,dem,electricity
bg,h0290,2.9798226753071844,scr1998,dem,electricity
bg,h0291,2.7702697581556897,scr1998,dem,electricity
bg,h0292,2.610076831317046,scr1998,dem,electricity
bg,h0293,2.5002946280972345,scr1998,dem,electricity
bg,h0294,2.4540322941760566,scr1998,dem,electricity
bg,h0295,2.7382564175748594,scr1998,dem,electricity
bg,h0296,3.1424559059313038,scr1998,dem,electricity
bg,h0297,3.5593874467000917,scr1998,dem,electricity
bg,h0298,3.705128328262432,scr1998,dem,electricity
bg,h0299,3.7607901631694776,scr1998,dem,electricity
bg,h0300,3.8185599332399502,scr1998,dem,electricity
bg,h0301,3.8665624251122,scr1998,dem,electricity
bg,h0302,3.8810231892031166,scr1998,dem,electricity
bg,h0303,3.860525021887368,scr1998,dem,electricity
bg,h0304,3.8241984848722894,scr1998,dem,electricity
bg,h0305,3.7841192230167873,scr1998,dem,electricity
bg,h0306,3.7230555722156047,scr1998,dem,electricity
bg,h0307,3.6614676617266784,scr1998,dem,electricity
bg,h0308,3.6151933891573766,scr1998,dem,electricity
bg,h0309,3.603084307128794,scr1998,dem,electricity
bg,h0310,3.618185927560211,scr1998,dem,electricity
bg,h0311,3.5694891221465546,scr1998,dem,electricity
bg,h0312,3.4549073504385297,scr1998,dem,electricity
bg,h0313,3.254077991510656,scr1998,dem,electricity
bg,h0314,3.0567298055964724,scr1998,dem,electricity
bg,h0315,2.8641215392457515,scr1998,dem,electricity
bg,h0316,2.7140853724616547,scr1998,dem,electricity
bg,h0317,2.63004262551403,scr1998,dem,electricity
bg,h0318,2.6569090106093873,scr1998,dem,electricity
bg,h0319,2.8434653973086887,scr1998,dem,electricity
bg,h0320,3.1498347577073393,scr1998,dem,electricity
bg,h0321,3.4478789806004477,scr1998,dem,electricity
bg,h0322,3.6416516786842688,scr1998,dem,electricity
bg,h0323,3.7416471913231812,scr1998,dem,electricity
bg,h0324,3.8221896436422536,scr1998,dem,electricity
bg,h0325,3.8871876731141586,scr1998,dem,electricity
bg,h0326,3.9105569894104515,scr1998,dem,electricity
bg,h0327,3.9014688310843364,scr1998,dem,electricity
bg,h0328,3.87053843691201,scr1998,dem,electricity
bg,h0329,3.8316217995986475,scr1998,dem,electricity
bg,h0330,3.7685471078632413,scr1998,dem,electricity
bg,h0331,3.496969501876731,scr1998,dem,electricity
bg,h0332,3.2599097095985115,scr1998,dem,electricity
bg,h0333,3.0811554958994445,scr1998,dem,electricity
bg,h0334,3.1692311641334387,scr1998,dem,electricity
bg,h0335,3.177977041591815,scr1998,dem,electricity
bg,h0336,3.0768237071528213,scr1998,dem,electricity
ch,h0289,3.7164495367017816,scr1998,dem,electricity
ch,h0290,3.662487426935869,scr1998,dem,electricity
ch,h0291,3.705373084238593,scr1998,dem,electricity
ch,h0292,3.7636815565183186,scr1998,dem,electricity
ch,h0293,3.7431989777804358,scr1998,dem,electricity
ch,h0294,3.634749097217648,scr1998,dem,electricity
ch,h0295,3.638353776577733,scr1998,dem,electricity
ch,h0296,3.8442565987968935,scr1998,dem,electricity
ch,h0297,4.18195260919632,scr1998,dem,electricity
ch,h0298,4.433675898137821,scr1998,dem,electricity
ch,h0299,4.580428328229404,scr1998,dem,electricity
ch,h0300,4.726709113656558,scr1998,dem,electricity
ch,h0301,4.667693244790294,scr1998,dem,electricity
ch,h0302,4.588996779455623,scr1998,dem,electricity
ch,h0303,4.397523559562595,scr1998,dem,electricity
ch,h0304,4.362947046312403,scr1998,dem,electricity
ch,h0305,4.261140891891435,scr1998,dem,electricity
ch,h0306,4.13832482066742,scr1998,dem,electricity
ch,h0307,4.119036984365668,scr1998,dem,electricity
ch,h0308,4.081112196767626,scr1998,dem,electricity
ch,h0309,4.036787290108843,scr1998,dem,electricity
ch,h0310,3.8974121439681406,scr1998,dem,electricity
ch,h0311,3.826990664533734,scr1998,dem,electricity
ch,h0312,3.7606078750640246,scr1998,dem,electricity
ch,h0313,3.7216168217847,scr1998,dem,electricity
ch,h0314,3.692068906232688,scr1998,dem,electricity
ch,h0315,3.748816168939809,scr1998,dem,electricity
ch,h0316,3.804960310783565,scr1998,dem,electricity
ch,h0317,3.7968830244734377,scr1998,dem,electricity
ch,h0318,3.7358774231529086,scr1998,dem,electricity
ch,h0319,3.689176066960266,scr1998,dem,electricity
ch,h0320,3.8337578896046347,scr1998,dem,electricity
ch,h0321,4.101053008324699,scr1998,dem,electricity
ch,h0322,4.372535523862328,scr1998,dem,electricity
ch,h0323,4.54060760186426,scr1998,dem,electricity
ch,h0324,4.678276806668368,scr1998,dem,electricity
ch,h0325,4.7121389367649495,scr1998,dem,electricity
ch,h0326,4.72890533943297,scr1998,dem,electricity
ch,h0327,4.655484052155028,scr1998,dem,electricity
ch,h0328,4.652132187241397,scr1998,dem,electricity
ch,h0329,4.593722424385035,scr1998,dem,electricity
ch,h0330,4.47674077287834,scr1998,dem,electricity
ch,h0331,4.0843905282797275,scr1998,dem,electricity
ch,h0332,3.662228055251506,scr1998,dem,electricity
ch,h0333,3.3032775523148374,scr1998,dem,electricity
ch,h0334,3.2358870884934103,scr1998,dem,electricity
ch,h0335,3.2804198717701882,scr1998,dem,electricity
ch,h0336,3.296045461047578,scr1998,dem,electricity
cz,h0289,6.062774527089587,scr1998,dem,electricity
cz,h0290,5.522760260359078,scr1998,dem,electricity
cz,h0291,5.099357163552554,scr1998,dem,electricity
cz,h0292,4.998932372159665,scr1998,dem,electricity
cz,h0293,4.85379460623021,scr1998,dem,electricity
cz,h0294,4.6296091297749555,scr1998,dem,electricity
cz,h0295,5.411661154598761,scr1998,dem,electricity
cz,h0296,6.407910486186786,scr1998,dem,electricity
cz,h0297,7.454534971018397,scr1998,dem,electricity
cz,h0298,7.739109175310176,scr1998,dem,electricity
cz,h0299,7.842065135692131,scr1998,dem,electricity
cz,h0300,7.904695725144315,scr1998,dem,electricity
cz,h0301,7.904427517643512,scr1998,dem,electricity
cz,h0302,7.88158162295219,scr1998,dem,electricity
