region_3,category,timestep_6,value,scenario_1,parameter,technology_3
al,1,h0409,0.6994526414752703,scr2002,avaConv,onshore_a
al,1,h0410,0.6674508205355424,scr2002,avaConv,onshore_a
al,1,h0411,0.6401085465226504,scr2002,avaConv,onshore_a
al,1,h0412,0.637559367760262,scr2002,avaConv,onshore_a
al,1,h0413,0.6452371214828365,scr2002,avaConv,onshore_a
al,1,h0414,0.6663654642828944,scr2002,avaConv,onshore_a
al,1,h0415,0.569758250753672,scr2002,avaConv,onshore_a
al,1,h0416,0.45599658906835444,scr2002,avaConv,onshore_a
al,1,h0417,0.31731053852215124,scr2002,avaConv,onshore_a
al,1,h0418,0.3815995221385828,scr2002,avaConv,onshore_a
al,1,h0419,0.40602071867786976,scr2002,avaConv,onshore_a
al,1,h0420,0.47381491176932405,scr2002,avaConv,onshore_a
al,1,h0421,0.5470201727999129,scr2002,avaConv,onshore_a
al,1,h0422,0.6435082796665369,scr2002,avaConv,onshore_a
al,1,h0423,0.682486630644279,scr2002,avaConv,onshore_a
al,1,h0424,0.6757306093582097,scr2002,avaConv,onshore_a
al,1,h0425,0.6264613017907797,scr2002,avaConv,onshore_a
al,1,h0426,0.5613592559898325,scr2002,avaConv,onshore_a
al,1,h0427,0.46009157582344773,scr2002,avaConv,onshore_a
al,1,h0428,0.390177270382112,scr2002,avaConv,onshore_a
al,1,h0429,0.3390567171303513,scr2002,avaConv,onshore_a
al,1,h0430,0.35735113004748437,scr2002,avaConv,onshore_a
al,1,h0431,0.3784581993070719,scr2002,avaConv,onshore_a
al,1,h0432,0.4044245381996151,scr2002,avaConv,onshore_a
al,1,h0433,0.33911126904703787,scr2002,avaConv,onshore_a
al,1,h0434,0.24082315094283133,scr2002,avaConv,onshore_a
al,1,h0435,0.07589267148944182,scr2002,avaConv,onshore_a
al,1,h0436,0.06296697622509989,scr2002,avaConv,onshore_a
al,1,h0437,0.05789633550558969,scr2002,avaConv,onshore_a
al,1,h0438,0.06023611177841493,scr2002,avaConv,onshore_a
al,1,h0439,0.11190783219791459,scr2002,avaConv,onshore_a
al,1,h0440,0.14544036420715212,scr2002,avaConv,onshore_a
al,1,h0441,0.15885122473917188,scr2002,avaConv,onshore_a
al,1,h0442,0.13765969372616105,scr2002,avaConv,onshore_a
al,1,h0443,0.1187786138573771,scr2002,avaConv,onshore_a
al,1,h0444,0.11503549200704917,scr2002,avaConv,onshore_a
al,1,h0445,0.4763671168520286,scr2002,avaConv,onshore_a
al,1,h0446,0.6692167813366707,scr2002,avaConv,onshore_a
al,1,h0447,0.8285767646143662,scr2002,avaConv,onshore_a
al,1,h0448,0.812061279335521,scr2002,avaConv,onshore_a
al,1,h0449,0.7841294265083092,scr2002,avaConv,onshore_a
al,1,h0450,0.7104013825884201,scr2002,avaConv,onshore_a
al,1,h0451,0.5584354874105887,scr2002,avaConv,onshore_a
al,1,h0452,0.4119508587128166,scr2002,avaConv,onshore_a
