region_2,timestep_5,value,scenario_1,parameter,technology_3
AT,hh0025,3.5027667036156345,scr2003,effConv,heatpumpGroundSpace
AT,hh0026,3.464512710030249,scr2003,effConv,heatpumpGroundSpace
AT,hh0027,3.4125842707599077,scr2003,effConv,heatpumpGroundSpace
AT,hh0028,4.110948402068971,scr2003,effConv,heatpumpGroundSpace
AT,hh0029,4.316438926736737,scr2003,effConv,heatpumpGroundSpace
AT,hh0030,4.240441934818591,scr2003,effConv,heatpumpGroundSpace
AT,hh0031,3.9485352448155027,scr2003,effConv,heatpumpGroundSpace
AT,hh0032,4.001616664008907,scr2003,effConv,heatpumpGroundSpace
AT,hh0033,4.832560283239218,scr2003,effConv,heatpumpGroundSpace
AT,hh0034,4.790195617615609,scr2003,effConv,heatpumpGroundSpace
AT,hh0035,4.3679850464141055,scr2003,effConv,heatpumpGroundSpace
AT,hh0036,4.060640420155323,scr2003,effConv,heatpumpGroundSpace
BE,hh0025,3.79993588002435,scr2003,effConv,heatpumpGroundSpace
BE,hh0026,3.804178575897822,scr2003,effConv,heatpumpGroundSpace
BE,hh0027,4.401725820203865,scr2003,effConv,heatpumpGroundSpace
BE,hh0028,5.603297642244797,scr2003,effConv,heatpumpGroundSpace
BE,hh0029,5.551341118836717,scr2003,effConv,heatpumpGroundSpace
BE,hh0030,4.7613834716303245,scr2003,effConv,heatpumpGroundSpace
BE,hh0031,4.551441592300762,scr2003,effConv,heatpumpGroundSpace
BE,hh0032,4.6715309303963295,scr2003,effConv,heatpumpGroundSpace
BE,hh0033,5.519070362603088,scr2003,effConv,heatpumpGroundSpace
BE,hh0034,5.518815111112417,scr2003,effConv,heatpumpGroundSpace
BE,hh0035,5.465495947790259,scr2003,effConv,heatpumpGroundSpace
BE,hh0036,5.047008612942591,scr2003,effConv,heatpumpGroundSpace
BG,hh0025,3.265405772253871,scr2003,effConv,heatpumpGroundSpace
BG,hh0026,3.1689730063080788,scr2003,effConv,heatpumpGroundSpace
BG,hh0027,3.445604544132948,scr2003,effConv,heatpumpGroundSpace
BG,hh0028,4.023710303008556,scr2003,effConv,heatpumpGroundSpace
