region_4,timestep_6,value,scenario_1,parameter,technology_3
70AL,h0001,0.7077271983444878,scr2004,avaConv,onshore
70AL,h0002,0.7091193083880301,scr2004,avaConv,onshore
70AL,h0003,0.7095380273977738,scr2004,avaConv,onshore
70AL,h0004,0.707727013344874,scr2004,avaConv,onshore
70AL,h0005,0.7062816467466422,scr2004,avaConv,onshore
70AL,h0006,0.7050286345560046,scr2004,avaConv,onshore
70AL,h0007,0.7309727928277436,scr2004,avaConv,onshore
70AL,h0008,0.7524386461155149,scr2004,avaConv,onshore
70AL,h0009,0.762473155435844,scr2004,avaConv,onshore
70AL,h0010,0.7188885204385813,scr2004,avaConv,onshore
70AL,h0011,0.6587786064970057,scr2004,avaConv,onshore
70AL,h0012,0.5643137259134379,scr2004,avaConv,onshore
70AL,h0013,0.3555871563857647,scr2004,avaConv,onshore
70AL,h0014,0.16399535584488936,scr2004,avaConv,onshore
70AL,h0015,0.02797877868562919,scr2004,avaConv,onshore
70AL,h0016,0.01565682435690373,scr2004,avaConv,onshore
70AL,h0017,0.01471079398199936,scr2004,avaConv,onshore
70AL,h0018,0.01773816196336851,scr2004,avaConv,onshore
70AL,h0019,0.20230528465176387,scr2004,avaConv,onshore
70AL,h0020,0.42831327142084685,scr2004,avaConv,onshore
70AL,h0021,0.6690197203843843,scr2004,avaConv,onshore
70AL,h0022,0.6982302610469062,scr2004,avaConv,onshore
70AL,h0023,0.6970149011088999,scr2004,avaConv,onshore
70AL,h0024,0.6704456930570964,scr2004,avaConv,onshore
70AL,h0025,0.7031793708963939,scr2004,avaConv,onshore
70AL,h0026,0.73438912471879,scr2004,avaConv,onshore
70AL,h0027,0.7866363590268105,scr2004,avaConv,onshore
70AL,h0028,0.7810785255462327,scr2004,avaConv,onshore
70AL,h0029,0.7787825068458835,scr2004,avaConv,onshore
70AL,h0030,0.7644755190505398,scr2004,avaConv,onshore
70AL,h0031,0.7103151629297552,scr2004,avaConv,onshore
70AL,h0032,0.6801738926646957,scr2004,avaConv,onshore
70AL,h0033,0.6794430073134488,scr2004,avaConv,onshore
70AL,h0034,0.7351068157261158,scr2004,avaConv,onshore
70AL,h0035,0.7857399701523364,scr2004,avaConv,onshore
70AL,h0036,0.825722711234247,scr2004,avaConv,onshore
70AL,h0037,0.8688937442153879,scr2004,avaConv,onshore
70AL,h0038,0.9026718788626495,scr2004,avaConv,onshore
70AL,h0039,0.8940134905322354,scr2004,avaConv,onshore
70AL,h0040,0.8753044521401295,scr2004,avaConv,onshore
70AL,h0041,0.8332338128069154,scr2004,avaConv,onshore
70AL,h0042,0.8174679055485272,scr2004,avaConv,onshore
70AL,h0043,0.6459389955153767,scr2004,avaConv,onshore
70AL,h0044,0.5063175457052289,scr2004,avaConv,onshore
70AL,h0045,0.3820662669709361,scr2004,avaConv,onshore
70AL,h0046,0.3904601970886049,scr2004,avaConv,onshore
70AL,h0047,0.35886832525972445,scr2004,avaConv,onshore
70AL,h0048,0.32531900078534676,scr2004,avaConv,onshore
49AT,h0001,0.029822282228374495,scr2004,avaConv,onshore
49AT,h0002,0.02975416140328256,scr2004,avaConv,onshore
49AT,h0003,0.029031762499791825,scr2004,avaConv,onshore
49AT,h0004,0.02863298312116274,scr2004,avaConv,onshore
49AT,h0005,0.028122632942079954,scr2004,avaConv,onshore
49AT,h0006,0.028834367103570253,scr2004,avaConv,onshore
49AT,h0007,0.026280097937358873,scr2004,avaConv,onshore
49AT,h0008,0.02787688678821873,scr2004,avaConv,onshore
49AT,h0009,0.033213740243789126,scr2004,avaConv,onshore
49AT,h0010,0.043447384639981025,scr2004,avaConv,onshore
49AT,h0011,0.05318585625444823,scr2004,avaConv,onshore
49AT,h0012,0.06759463367259214,scr2004,avaConv,onshore
49AT,h0013,0.07042290361861414,scr2004,avaConv,onshore
49AT,h0014,0.05631253159562055,scr2004,avaConv,onshore
49AT,h0015,0.030606537640744513,scr2004,avaConv,onshore
49AT,h0016,0.014045945946249618,scr2004,avaConv,onshore
49AT,h0017,0.008998865365650796,scr2004,avaConv,onshore
49AT,h0018,0.005654369495633087,scr2004,avaConv,onshore
49AT,h0019,0.16020113173436137,scr2004,avaConv,onshore
49AT,h0020,0.31423996696096285,scr2004,avaConv,onshore
49AT,h0021,0.4407565812390292,scr2004,avaConv,onshore
49AT,h0022,0.3624751133464279,scr2004,avaConv,onshore
49AT,h0023,0.31048054054356866,scr2004,avaConv,onshore
49AT,h0024,0.26845162780222015,scr2004,avaConv,onshore
49AT,h0025,0.4549863822901239,scr2004,avaConv,onshore
49AT,h0026,0.6240768497426274,scr2004,avaConv,onshore
49AT,h0027,0.8215246032017716,scr2004,avaConv,onshore
49AT,h0028,0.78868710037336,scr2004,avaConv,onshore
49AT,h0029,0.7640788638277304,scr2004,avaConv,onshore
49AT,h0030,0.7444823340743041,scr2004,avaConv,onshore
49AT,h0031,0.5562558753317189,scr2004,avaConv,onshore
49AT,h0032,0.4012140476917599,scr2004,avaConv,onshore
49AT,h0033,0.2701468087760363,scr2004,avaConv,onshore
49AT,h0034,0.3248612346238221,scr2004,avaConv,onshore
49AT,h0035,0.4356162124879413,scr2004,avaConv,onshore
49AT,h0036,0.47905034521783074,scr2004,avaConv,onshore
49AT,h0037,0.582948762214423,scr2004,avaConv,onshore
49AT,h0038,0.5730412677072269,scr2004,avaConv,onshore
49AT,h0039,0.5764080122712699,scr2004,avaConv,onshore
49AT,h0040,0.46353460630271204,scr2004,avaConv,onshore
49AT,h0041,0.3966322208387237,scr2004,avaConv,onshore
49AT,h0042,0.36453111776715613,scr2004,avaConv,onshore
49AT,h0043,0.23975370796737386,scr2004,avaConv,onshore
49AT,h0044,0.11452865837929034,scr2004,avaConv,onshore
49AT,h0045,0.0027688009652296714,scr2004,avaConv,onshore
49AT,h0046,0.003593909455981624,scr2004,avaConv,onshore
49AT,h0047,0.01156626924996382,scr2004,avaConv,onshore
49AT,h0048,0.017721467546531703,scr2004,avaConv,onshore
50AT,h0001,0.3325041633000046,scr2004,avaConv,onshore
50AT,h0002,0.33607274776120966,scr2004,avaConv,onshore
50AT,h0003,0.33975006116672885,scr2004,avaConv,onshore
50AT,h0004,0.3455718254269562,scr2004,avaConv,onshore
50AT,h0005,0.33947225919190527,scr2004,avaConv,onshore
50AT,h0006,0.31861307941811357,scr2004,avaConv,onshore
50AT,h0007,0.206037315229263,scr2004,avaConv,onshore
50AT,h0008,0.10930959319247567,scr2004,avaConv,onshore
50AT,h0009,0.03098148306418563,scr2004,avaConv,onshore
50AT,h0010,0.0396287381817641,scr2004,avaConv,onshore
50AT,h0011,0.06574363440994636,scr2004,avaConv,onshore
50AT,h0012,0.11018512141187856,scr2004,avaConv,onshore
50AT,h0013,0.20984369544714185,scr2004,avaConv,onshore
50AT,h0014,0.2642240051101341,scr2004,avaConv,onshore
50AT,h0015,0.27616616660043386,scr2004,avaConv,onshore
50AT,h0016,0.2129956846312664,scr2004,avaConv,onshore
50AT,h0017,0.15348983597060972,scr2004,avaConv,onshore
50AT,h0018,0.10949678465047963,scr2004,avaConv,onshore
50AT,h0019,0.30838335724626836,scr2004,avaConv,onshore
50AT,h0020,0.5399718971163467,scr2004,avaConv,onshore
50AT,h0021,0.7670545628773268,scr2004,avaConv,onshore
50AT,h0022,0.7195267950500076,scr2004,avaConv,onshore
50AT,h0023,0.6665994056610939,scr2004,avaConv,onshore
50AT,h0024,0.611774427933258,scr2004,avaConv,onshore
50AT,h0025,0.6526589551698596,scr2004,avaConv,onshore
50AT,h0026,0.7377704152070735,scr2004,avaConv,onshore
50AT,h0027,0.8533504673723965,scr2004,avaConv,onshore
50AT,h0028,0.8937094511390388,scr2004,avaConv,onshore
50AT,h0029,0.8967758385284805,scr2004,avaConv,onshore
50AT,h0030,0.8817178130698692,scr2004,avaConv,onshore
50AT,h0031,0.6550422709293159,scr2004,avaConv,onshore
50AT,h0032,0.4567925286855617,scr2004,avaConv,onshore
50AT,h0033,0.3031886795374096,scr2004,avaConv,onshore
50AT,h0034,0.36605832296637875,scr2004,avaConv,onshore
50AT,h0035,0.42531993758058845,scr2004,avaConv,onshore
50AT,h0036,0.478780148221746,scr2004,avaConv,onshore
50AT,h0037,0.5403899929058462,scr2004,avaConv,onshore
50AT,h0038,0.553098945036283,scr2004,avaConv,onshore
50AT,h0039,0.5374860756486625,scr2004,avaConv,onshore
50AT,h0040,0.5316306635785641,scr2004,avaConv,onshore
50AT,h0041,0.5599340233781428,scr2004,avaConv,onshore
50AT,h0042,0.6000035347834398,scr2004,avaConv,onshore
50AT,h0043,0.41080108565577017,scr2004,avaConv,onshore
50AT,h0044,0.230529836032237,scr2004,avaConv,onshore
50AT,h0045,0.06123427028857572,scr2004,avaConv,onshore
50AT,h0046,0.07259469998325171,scr2004,avaConv,onshore
50AT,h0047,0.08856089974272124,scr2004,avaConv,onshore
50AT,h0048,0.10213184146618856,scr2004,avaConv,onshore
51AT,h0001,0.7575900522712841,scr2004,avaConv,onshore
51AT,h0002,0.7426551774457786,scr2004,avaConv,onshore
51AT,h0003,0.7382214910465603,scr2004,avaConv,onshore
51AT,h0004,0.7373243152134686,scr2004,avaConv,onshore
51AT,h0005,0.7425336480712473,scr2004,avaConv,onshore
51AT,h0006,0.7334056283687792,scr2004,avaConv,onshore
51AT,h0007,0.5077275188736076,scr2004,avaConv,onshore
51AT,h0008,0.2824318795718934,scr2004,avaConv,onshore
51AT,h0009,0.07694119060554853,scr2004,avaConv,onshore
51AT,h0010,0.054331574631855006,scr2004,avaConv,onshore
51AT,h0011,0.044079442216610684,scr2004,avaConv,onshore
51AT,h0012,0.04198566458298801,scr2004,avaConv,onshore
51AT,h0013,0.07423096369289174,scr2004,avaConv,onshore
51AT,h0014,0.10358845763519302,scr2004,avaConv,onshore
51AT,h0015,0.12420687259756143,scr2004,avaConv,onshore
51AT,h0016,0.1029993173355496,scr2004,avaConv,onshore
51AT,h0017,0.08233471280053636,scr2004,avaConv,onshore
51AT,h0018,0.0747751940165562,scr2004,avaConv,onshore
51AT,h0019,0.3002972525641678,scr2004,avaConv,onshore
51AT,h0020,0.5506454851224956,scr2004,avaConv,onshore
