region_3,timestep_6,value,scenario_1,parameter,technology_3
at,h0409,1.1182630351452996,scr2005,stInflow,pumpedStorageOpen
at,h0410,1.1182630351452996,scr2005,stInflow,pumpedStorageOpen
at,h0411,1.1182630351452996,scr2005,stInflow,pumpedStorageOpen
at,h0412,1.1182630351452996,scr2005,stInflow,pumpedStorageOpen
at,h0413,1.1182630351452996,scr2005,stInflow,pumpedStorageOpen
at,h0414,1.1182630351452996,scr2005,stInflow,pumpedStorageOpen
at,h0415,1.0961666973162487,scr2005,stInflow,pumpedStorageOpen
at,h0416,1.0740748290833126,scr2005,stInflow,pumpedStorageOpen
at,h0417,1.0519875208744462,scr2005,stInflow,pumpedStorageOpen
at,h0418,1.0519875208744462,scr2005,stInflow,pumpedStorageOpen
at,h0419,1.0519875208744462,scr2005,stInflow,pumpedStorageOpen
at,h0420,1.0519875208744462,scr2005,stInflow,pumpedStorageOpen
at,h0421,1.0519875208744462,scr2005,stInflow,pumpedStorageOpen
at,h0422,1.0519875208744462,scr2005,stInflow,pumpedStorageOpen
at,h0423,1.0519875208744462,scr2005,stInflow,pumpedStorageOpen
at,h0424,1.0519875208744462,scr2005,stInflow,pumpedStorageOpen
at,h0425,1.0519875208744462,scr2005,stInflow,pumpedStorageOpen
at,h0426,1.0519875208744462,scr2005,stInflow,pumpedStorageOpen
at,h0427,1.0519875208744462,scr2005,stInflow,pumpedStorageOpen
at,h0428,1.0519875208744462,scr2005,stInflow,pumpedStorageOpen
at,h0429,1.0519875208744462,scr2005,stInflow,pumpedStorageOpen
at,h0430,1.0519875208744462,scr2005,stInflow,pumpedStorageOpen
at,h0431,1.0519875208744462,scr2005,stInflow,pumpedStorageOpen
at,h0432,1.0519875208744462,scr2005,stInflow,pumpedStorageOpen
at,h0433,1.0243565146995404,scr2005,stInflow,pumpedStorageOpen
at,h0434,0.9967329894050948,scr2005,stInflow,pumpedStorageOpen
at,h0435,0.9691171489931616,scr2005,stInflow,pumpedStorageOpen
at,h0436,0.9691171489931616,scr2005,stInflow,pumpedStorageOpen
at,h0437,0.9691171489931616,scr2005,stInflow,pumpedStorageOpen
at,h0438,0.9691171489931616,scr2005,stInflow,pumpedStorageOpen
at,h0439,0.9691171489931616,scr2005,stInflow,pumpedStorageOpen
at,h0440,0.9691171489931616,scr2005,stInflow,pumpedStorageOpen
at,h0441,0.9691171489931616,scr2005,stInflow,pumpedStorageOpen
at,h0442,0.9691171489931616,scr2005,stInflow,pumpedStorageOpen
at,h0443,0.9691171489931616,scr2005,stInflow,pumpedStorageOpen
at,h0444,0.9691171489931616,scr2005,stInflow,pumpedStorageOpen
at,h0445,0.938393089035203,scr2005,stInflow,pumpedStorageOpen
at,h0446,0.9076791295164092,scr2005,stInflow,pumpedStorageOpen
at,h0447,0.8769756068905084,scr2005,stInflow,pumpedStorageOpen
at,h0448,0.8769756068905084,scr2005,stInflow,pumpedStorageOpen
at,h0449,0.8769756068905084,scr2005,stInflow,pumpedStorageOpen
at,h0450,0.8769756068905084,scr2005,stInflow,pumpedStorageOpen
at,h0451,0.8769756068905084,scr2005,stInflow,pumpedStorageOpen
at,h0452,0.8769756068905084,scr2005,stInflow,pumpedStorageOpen
at,h0453,0.8769756068905084,scr2005,stInflow,pumpedStorageOpen
at,h0454,0.8769756068905084,scr2005,stInflow,pumpedStorageOpen
at,h0455,0.8769756068905084,scr2005,stInflow,pumpedStorageOpen
at,h0456,0.8769756068905084,scr2005,stInflow,pumpedStorageOpen
at,h0457,0.8461442933022135,scr2005,stInflow,pumpedStorageOpen
at,h0458,0.8153242650588864,scr2005,stInflow,pumpedStorageOpen
at,h0459,0.7845159423470431,scr2005,stInflow,pumpedStorageOpen
at,h0460,0.7845159423470431,scr2005,stInflow,pumpedStorageOpen
at,h0461,0.7845159423470431,scr2005,stInflow,pumpedStorageOpen
at,h0462,0.7845159423470431,scr2005,stInflow,pumpedStorageOpen
at,h0463,0.7845159423470431,scr2005,stInflow,pumpedStorageOpen
at,h0464,0.7845159423470431,scr2005,stInflow,pumpedStorageOpen
at,h0465,0.7845159423470431,scr2005,stInflow,pumpedStorageOpen
at,h0466,0.7845159423470431,scr2005,stInflow,pumpedStorageOpen
at,h0467,0.7845159423470431,scr2005,stInflow,pumpedStorageOpen
at,h0468,0.7845159423470431,scr2005,stInflow,pumpedStorageOpen
at,h0469,0.7566701499397076,scr2005,stInflow,pumpedStorageOpen
at,h0470,0.7288346574779271,scr2005,stInflow,pumpedStorageOpen
at,h0471,0.7010098526557476,scr2005,stInflow,pumpedStorageOpen
at,h0472,0.7010098526557476,scr2005,stInflow,pumpedStorageOpen
at,h0473,0.7010098526557476,scr2005,stInflow,pumpedStorageOpen
at,h0474,0.7010098526557476,scr2005,stInflow,pumpedStorageOpen
at,h0475,0.7010098526557476,scr2005,stInflow,pumpedStorageOpen
at,h0476,0.7010098526557476,scr2005,stInflow,pumpedStorageOpen
at,h0477,0.7010098526557476,scr2005,stInflow,pumpedStorageOpen
at,h0478,0.7010098526557476,scr2005,stInflow,pumpedStorageOpen
at,h0479,0.7010098526557476,scr2005,stInflow,pumpedStorageOpen
at,h0480,0.7010098526557476,scr2005,stInflow,pumpedStorageOpen
ba,h0409,0.0,scr2005,stInflow,pumpedStorageOpen
ba,h0410,0.0,scr2005,stInflow,pumpedStorageOpen
ba,h0411,0.0,scr2005,stInflow,pumpedStorageOpen
ba,h0412,0.0,scr2005,stInflow,pumpedStorageOpen
ba,h0413,0.0,scr2005,stInflow,pumpedStorageOpen
ba,h0414,0.0,scr2005,stInflow,pumpedStorageOpen
ba,h0415,0.0,scr2005,stInflow,pumpedStorageOpen
ba,h0416,0.0,scr2005,stInflow,pumpedStorageOpen
ba,h0417,0.0,scr2005,stInflow,pumpedStorageOpen
ba,h0418,0.0,scr2005,stInflow,pumpedStorageOpen
ba,h0419,0.0,scr2005,stInflow,pumpedStorageOpen
ba,h0420,0.0,scr2005,stInflow,pumpedStorageOpen
ba,h0421,0.0,scr2005,stInflow,pumpedStorageOpen
ba,h0422,0.0,scr2005,stInflow,pumpedStorageOpen
ba,h0423,0.0,scr2005,stInflow,pumpedStorageOpen
ba,h0424,0.0,scr2005,stInflow,pumpedStorageOpen
ba,h0425,0.0,scr2005,stInflow,pumpedStorageOpen
ba,h0426,0.0,scr2005,stInflow,pumpedStorageOpen
ba,h0427,0.0,scr2005,stInflow,pumpedStorageOpen
ba,h0428,0.0,scr2005,stInflow,pumpedStorageOpen
ba,h0429,0.0,scr2005,stInflow,pumpedStorageOpen
ba,h0430,0.0,scr2005,stInflow,pumpedStorageOpen
ba,h0431,0.0,scr2005,stInflow,pumpedStorageOpen
ba,h0432,0.0,scr2005,stInflow,pumpedStorageOpen
