region_2,timestep_6,value,scenario_1,parameter,carrier_1
AT,h0097,0.0,scr2008,mustOut,frtRoadLight
AT,h0098,0.0,scr2008,mustOut,frtRoadLight
AT,h0099,0.0,scr2008,mustOut,frtRoadLight
AT,h0100,0.011447630350345352,scr2008,mustOut,frtRoadLight
AT,h0101,0.048275836458013754,scr2008,mustOut,frtRoadLight
AT,h0102,0.14446276857050705,scr2008,mustOut,frtRoadLight
AT,h0103,0.318275974541451,scr2008,mustOut,frtRoadLight
AT,h0104,0.45895677656427464,scr2008,mustOut,frtRoadLight
AT,h0105,0.51792821,scr2008,mustOut,frtRoadLight
AT,h0106,0.43787322828557634,scr2008,mustOut,frtRoadLight
AT,h0107,0.3613100995250397,scr2008,mustOut,frtRoadLight
AT,h0108,0.299531332163494,scr2008,mustOut,frtRoadLight
AT,h0109,0.279874985429488,scr2008,mustOut,frtRoadLight
AT,h0110,0.2852159728230092,scr2008,mustOut,frtRoadLight
AT,h0111,0.34575701736444825,scr2008,mustOut,frtRoadLight
AT,h0112,0.42072150555250254,scr2008,mustOut,frtRoadLight
AT,h0113,0.5098619415334087,scr2008,mustOut,frtRoadLight
AT,h0114,0.49423350694223805,scr2008,mustOut,frtRoadLight
AT,h0115,0.4115552859954027,scr2008,mustOut,frtRoadLight
AT,h0116,0.27136883952364443,scr2008,mustOut,frtRoadLight
AT,h0117,0.12367318786493431,scr2008,mustOut,frtRoadLight
AT,h0118,0.03651913566820931,scr2008,mustOut,frtRoadLight
AT,h0119,0.0,scr2008,mustOut,frtRoadLight
AT,h0120,0.0,scr2008,mustOut,frtRoadLight
AT,h0121,0.0,scr2008,mustOut,frtRoadLight
AT,h0122,0.0,scr2008,mustOut,frtRoadLight
AT,h0123,0.0,scr2008,mustOut,frtRoadLight
AT,h0124,0.011447630350345352,scr2008,mustOut,frtRoadLight
AT,h0125,0.048275836458013754,scr2008,mustOut,frtRoadLight
AT,h0126,0.14446276857050705,scr2008,mustOut,frtRoadLight
AT,h0127,0.318275974541451,scr2008,mustOut,frtRoadLight
AT,h0128,0.45895677656427464,scr2008,mustOut,frtRoadLight
AT,h0129,0.51792821,scr2008,mustOut,frtRoadLight
AT,h0130,0.43787322828557634,scr2008,mustOut,frtRoadLight
AT,h0131,0.3613100995250397,scr2008,mustOut,frtRoadLight
AT,h0132,0.299531332163494,scr2008,mustOut,frtRoadLight
AT,h0133,0.279874985429488,scr2008,mustOut,frtRoadLight
AT,h0134,0.2852159728230092,scr2008,mustOut,frtRoadLight
AT,h0135,0.34575701736444825,scr2008,mustOut,frtRoadLight
AT,h0136,0.42072150555250254,scr2008,mustOut,frtRoadLight
AT,h0137,0.5098619415334087,scr2008,mustOut,frtRoadLight
AT,h0138,0.49423350694223805,scr2008,mustOut,frtRoadLight
AT,h0139,0.3200375586830643,scr2008,mustOut,frtRoadLight
AT,h0140,0.1406446936241693,scr2008,mustOut,frtRoadLight
AT,h0141,0.021261756913309622,scr2008,mustOut,frtRoadLight
AT,h0142,0.006278329362651672,scr2008,mustOut,frtRoadLight
AT,h0143,0.0,scr2008,mustOut,frtRoadLight
AT,h0144,0.0,scr2008,mustOut,frtRoadLight
BE,h0097,0.0,scr2008,mustOut,frtRoadLight
BE,h0098,0.0,scr2008,mustOut,frtRoadLight
BE,h0099,0.0,scr2008,mustOut,frtRoadLight
BE,h0100,0.011447630350345352,scr2008,mustOut,frtRoadLight
BE,h0101,0.048275836458013754,scr2008,mustOut,frtRoadLight
BE,h0102,0.14446276857050705,scr2008,mustOut,frtRoadLight
BE,h0103,0.318275974541451,scr2008,mustOut,frtRoadLight
BE,h0104,0.45895677656427464,scr2008,mustOut,frtRoadLight
BE,h0105,0.51792821,scr2008,mustOut,frtRoadLight
BE,h0106,0.4378732282855762,scr2008,mustOut,frtRoadLight
BE,h0107,0.3613100995250397,scr2008,mustOut,frtRoadLight
BE,h0108,0.299531332163494,scr2008,mustOut,frtRoadLight
