region_3,timestep_6,value,scenario_1,parameter,technology_1
al,h0193,0.0,scr2013,avaConv,solar
al,h0194,0.0,scr2013,avaConv,solar
al,h0195,0.0,scr2013,avaConv,solar
al,h0196,0.0,scr2013,avaConv,solar
al,h0197,0.0,scr2013,avaConv,solar
al,h0198,0.012041276973510864,scr2013,avaConv,solar
al,h0199,0.08466127562411754,scr2013,avaConv,solar
al,h0200,0.23242093603947836,scr2013,avaConv,solar
al,h0201,0.4240399950889732,scr2013,avaConv,solar
al,h0202,0.585468134504468,scr2013,avaConv,solar
al,h0203,0.6907614329327341,scr2013,avaConv,solar
al,h0204,0.7397904524892737,scr2013,avaConv,solar
al,h0205,0.702540882849996,scr2013,avaConv,solar
al,h0206,0.6251378363925225,scr2013,avaConv,solar
al,h0207,0.5112305237919572,scr2013,avaConv,solar
al,h0208,0.3923680011663288,scr2013,avaConv,solar
al,h0209,0.24269082726499003,scr2013,avaConv,solar
al,h0210,0.1044366518659438,scr2013,avaConv,solar
al,h0211,0.024747929276441375,scr2013,avaConv,solar
al,h0212,0.00016405226731488248,scr2013,avaConv,solar
al,h0213,0.0,scr2013,avaConv,solar
al,h0214,0.0,scr2013,avaConv,solar
al,h0215,0.0,scr2013,avaConv,solar
al,h0216,0.0,scr2013,avaConv,solar
al,h0217,0.0,scr2013,avaConv,solar
al,h0218,0.0,scr2013,avaConv,solar
al,h0219,0.0,scr2013,avaConv,solar
al,h0220,0.0,scr2013,avaConv,solar
al,h0221,0.0003288152154637901,scr2013,avaConv,solar
al,h0222,0.019073280042346475,scr2013,avaConv,solar
al,h0223,0.09552472848777793,scr2013,avaConv,solar
al,h0224,0.23832816666912007,scr2013,avaConv,solar
al,h0225,0.40847800731334943,scr2013,avaConv,solar
al,h0226,0.5486508119546117,scr2013,avaConv,solar
al,h0227,0.6329223280243509,scr2013,avaConv,solar
al,h0228,0.6573257410937928,scr2013,avaConv,solar
al,h0229,0.6644898170617729,scr2013,avaConv,solar
al,h0230,0.6353940901365115,scr2013,avaConv,solar
al,h0231,0.5723311506205755,scr2013,avaConv,solar
al,h0232,0.4377550048349549,scr2013,avaConv,solar
al,h0233,0.27321948472167884,scr2013,avaConv,solar
al,h0234,0.12165991249893855,scr2013,avaConv,solar
al,h0235,0.03165368079917093,scr2013,avaConv,solar
al,h0236,0.0010733774106199017,scr2013,avaConv,solar
al,h0237,0.0,scr2013,avaConv,solar
al,h0238,0.0,scr2013,avaConv,solar
al,h0239,0.0,scr2013,avaConv,solar
al,h0240,0.0,scr2013,avaConv,solar
at,h0193,0.0,scr2013,avaConv,solar
at,h0194,0.0,scr2013,avaConv,solar
at,h0195,0.0,scr2013,avaConv,solar
at,h0196,0.0,scr2013,avaConv,solar
at,h0197,0.0,scr2013,avaConv,solar
at,h0198,0.00861272489378932,scr2013,avaConv,solar
at,h0199,0.0748570710300932,scr2013,avaConv,solar
at,h0200,0.2151627405604528,scr2013,avaConv,solar
at,h0201,0.4085341756793946,scr2013,avaConv,solar
at,h0202,0.5864106863217516,scr2013,avaConv,solar
at,h0203,0.7124301072850111,scr2013,avaConv,solar
at,h0204,0.7782899383130546,scr2013,avaConv,solar
at,h0205,0.7708908312348678,scr2013,avaConv,solar
at,h0206,0.7050545853511474,scr2013,avaConv,solar
at,h0207,0.5943589107638685,scr2013,avaConv,solar
at,h0208,0.46581845880870154,scr2013,avaConv,solar
at,h0209,0.3188624301333229,scr2013,avaConv,solar
at,h0210,0.17167371267932086,scr2013,avaConv,solar
at,h0211,0.06275669869897198,scr2013,avaConv,solar
at,h0212,0.009584808388210225,scr2013,avaConv,solar
at,h0213,0.0,scr2013,avaConv,solar
at,h0214,0.0,scr2013,avaConv,solar
at,h0215,0.0,scr2013,avaConv,solar
at,h0216,0.0,scr2013,avaConv,solar
at,h0217,0.0,scr2013,avaConv,solar
at,h0218,0.0,scr2013,avaConv,solar
at,h0219,0.0,scr2013,avaConv,solar
at,h0220,0.0,scr2013,avaConv,solar
at,h0221,0.0,scr2013,avaConv,solar
at,h0222,0.014327752868816445,scr2013,avaConv,solar
at,h0223,0.08990242612615797,scr2013,avaConv,solar
at,h0224,0.23362452044062934,scr2013,avaConv,solar
at,h0225,0.4204608177114296,scr2013,avaConv,solar
at,h0226,0.5864969271417464,scr2013,avaConv,solar
at,h0227,0.7038542005653222,scr2013,avaConv,solar
at,h0228,0.7655552140162448,scr2013,avaConv,solar
at,h0229,0.6611288643209213,scr2013,avaConv,solar
at,h0230,0.5146956042997649,scr2013,avaConv,solar
at,h0231,0.34687088417291945,scr2013,avaConv,solar
at,h0232,0.27734997573523346,scr2013,avaConv,solar
at,h0233,0.20273971949495573,scr2013,avaConv,solar
at,h0234,0.12401474579598581,scr2013,avaConv,solar
at,h0235,0.054577011453736356,scr2013,avaConv,solar
at,h0236,0.0146947622284874,scr2013,avaConv,solar
at,h0237,0.0,scr2013,avaConv,solar
at,h0238,0.0,scr2013,avaConv,solar
at,h0239,0.0,scr2013,avaConv,solar
at,h0240,0.0,scr2013,avaConv,solar
ba,h0193,0.0,scr2013,avaConv,solar
ba,h0194,0.0,scr2013,avaConv,solar
ba,h0195,0.0,scr2013,avaConv,solar
