region_2,timestep_5,value,scenario_1,parameter,carrier_1
AT,hh0061,0.07186856827142553,scr2013,mustOut,spaceHeat
AT,hh0062,0.1948662108096464,scr2013,mustOut,spaceHeat
AT,hh0063,0.0887079982313966,scr2013,mustOut,spaceHeat
AT,hh0064,0.05194361514376899,scr2013,mustOut,spaceHeat
AT,hh0065,0.09547215852660615,scr2013,mustOut,spaceHeat
AT,hh0066,0.14365044296249163,scr2013,mustOut,spaceHeat
AT,hh0067,0.13439510732915572,scr2013,mustOut,spaceHeat
AT,hh0068,0.3088305112718355,scr2013,mustOut,spaceHeat
AT,hh0069,0.22086393305553967,scr2013,mustOut,spaceHeat
AT,hh0070,0.18983945675832822,scr2013,mustOut,spaceHeat
AT,hh0071,0.23886693857542643,scr2013,mustOut,spaceHeat
AT,hh0072,0.1727218687451031,scr2013,mustOut,spaceHeat
BE,hh0061,0.11737975631689135,scr2013,mustOut,spaceHeat
BE,hh0062,0.27938028392742204,scr2013,mustOut,spaceHeat
BE,hh0063,0.25595786037238677,scr2013,mustOut,spaceHeat
BE,hh0064,0.23389143707113158,scr2013,mustOut,spaceHeat
BE,hh0065,0.2652142339657633,scr2013,mustOut,spaceHeat
BE,hh0066,0.1860513683583285,scr2013,mustOut,spaceHeat
BE,hh0067,0.21812720151383236,scr2013,mustOut,spaceHeat
BE,hh0068,0.3826272849707614,scr2013,mustOut,spaceHeat
BE,hh0069,0.13340169036654068,scr2013,mustOut,spaceHeat
BE,hh0070,0.12007879876118285,scr2013,mustOut,spaceHeat
BE,hh0071,0.14843446698493346,scr2013,mustOut,spaceHeat
BE,hh0072,0.18056352606632486,scr2013,mustOut,spaceHeat
BG,hh0061,0.09177350297633627,scr2013,mustOut,spaceHeat
BG,hh0062,0.16934324763355335,scr2013,mustOut,spaceHeat
BG,hh0063,0.08763038307335204,scr2013,mustOut,spaceHeat
BG,hh0064,0.03614786232775426,scr2013,mustOut,spaceHeat
BG,hh0065,0.044079989297404795,scr2013,mustOut,spaceHeat
BG,hh0066,0.040339101545501896,scr2013,mustOut,spaceHeat
BG,hh0067,0.05928567031816938,scr2013,mustOut,spaceHeat
BG,hh0068,0.17091948976446292,scr2013,mustOut,spaceHeat
BG,hh0069,0.06759254415261182,scr2013,mustOut,spaceHeat
BG,hh0070,0.03827717453813666,scr2013,mustOut,spaceHeat
BG,hh0071,0.08547447762454688,scr2013,mustOut,spaceHeat
BG,hh0072,0.11553580775497702,scr2013,mustOut,spaceHeat
CH,hh0061,0.11795171162878029,scr2013,mustOut,spaceHeat
CH,hh0062,0.2283020032468198,scr2013,mustOut,spaceHeat
CH,hh0063,0.10744589022596662,scr2013,mustOut,spaceHeat
CH,hh0064,0.12261105181545587,scr2013,mustOut,spaceHeat
CH,hh0065,0.18714348290566554,scr2013,mustOut,spaceHeat
CH,hh0066,0.1944736049540633,scr2013,mustOut,spaceHeat
CH,hh0067,0.19112319511526507,scr2013,mustOut,spaceHeat
