region_2,timestep_5,value,scenario_1,parameter,technology_2
AT,hh0037,3.1689945002908644,scr2015,effConv,heatpumpAir
AT,hh0038,2.9398379309241136,scr2015,effConv,heatpumpAir
AT,hh0039,3.385307758464478,scr2015,effConv,heatpumpAir
AT,hh0040,3.8353497302668984,scr2015,effConv,heatpumpAir
AT,hh0041,3.8518139139505365,scr2015,effConv,heatpumpAir
AT,hh0042,3.8173187418215093,scr2015,effConv,heatpumpAir
AT,hh0043,3.276533711790762,scr2015,effConv,heatpumpAir
AT,hh0044,3.127398368793365,scr2015,effConv,heatpumpAir
AT,hh0045,3.3510594592789857,scr2015,effConv,heatpumpAir
AT,hh0046,3.750990072345303,scr2015,effConv,heatpumpAir
AT,hh0047,3.8284958059794008,scr2015,effConv,heatpumpAir
AT,hh0048,3.870624281013079,scr2015,effConv,heatpumpAir
BE,hh0037,3.5315609746976406,scr2015,effConv,heatpumpAir
BE,hh0038,3.386116867484816,scr2015,effConv,heatpumpAir
BE,hh0039,3.420647755045138,scr2015,effConv,heatpumpAir
BE,hh0040,3.6738007325584476,scr2015,effConv,heatpumpAir
BE,hh0041,3.6837279636565654,scr2015,effConv,heatpumpAir
BE,hh0042,3.921669823874254,scr2015,effConv,heatpumpAir
BE,hh0043,3.711642911668605,scr2015,effConv,heatpumpAir
BE,hh0044,3.594067539963362,scr2015,effConv,heatpumpAir
BE,hh0045,3.6604706715170323,scr2015,effConv,heatpumpAir
BE,hh0046,4.005962703922705,scr2015,effConv,heatpumpAir
BE,hh0047,3.9800515474944405,scr2015,effConv,heatpumpAir
BE,hh0048,3.645870369460681,scr2015,effConv,heatpumpAir
BG,hh0037,3.1055620694947845,scr2015,effConv,heatpumpAir
BG,hh0038,3.173808260261558,scr2015,effConv,heatpumpAir
BG,hh0039,3.85828618266405,scr2015,effConv,heatpumpAir
BG,hh0040,3.9663017979017847,scr2015,effConv,heatpumpAir
BG,hh0041,3.870958900664309,scr2015,effConv,heatpumpAir
BG,hh0042,3.364991508910475,scr2015,effConv,heatpumpAir
BG,hh0043,3.276519208645751,scr2015,effConv,heatpumpAir
BG,hh0044,3.4543375679982793,scr2015,effConv,heatpumpAir
BG,hh0045,3.8068123614900324,scr2015,effConv,heatpumpAir
BG,hh0046,3.7005252237247417,scr2015,effConv,heatpumpAir
BG,hh0047,3.593424569497703,scr2015,effConv,heatpumpAir
BG,hh0048,3.559703403473364,scr2015,effConv,heatpumpAir
CH,hh0037,3.3571914193362318,scr2015,effConv,heatpumpAir
CH,hh0038,3.2399417143751634,scr2015,effConv,heatpumpAir
