region_3,timestep_6,value,scenario_1,parameter,technology_3
al,h0289,0.20603808495258386,scr2015,avaConv,runOfRiver
al,h0290,0.1940675331894525,scr2015,avaConv,runOfRiver
al,h0291,0.18209705530594097,scr2015,avaConv,runOfRiver
al,h0292,0.18209705530594097,scr2015,avaConv,runOfRiver
al,h0293,0.18209705530594097,scr2015,avaConv,runOfRiver
al,h0294,0.18209705530594097,scr2015,avaConv,runOfRiver
al,h0295,0.18344284484420903,scr2015,avaConv,runOfRiver
al,h0296,0.18478863536974507,scr2015,avaConv,runOfRiver
al,h0297,0.1861344268753599,scr2015,avaConv,runOfRiver
al,h0298,0.1861344268753599,scr2015,avaConv,runOfRiver
al,h0299,0.1861344268753599,scr2015,avaConv,runOfRiver
al,h0300,0.1861344268753599,scr2015,avaConv,runOfRiver
al,h0301,0.1767847379642053,scr2015,avaConv,runOfRiver
al,h0302,0.16743509852146268,scr2015,avaConv,runOfRiver
al,h0303,0.15808551131184367,scr2015,avaConv,runOfRiver
al,h0304,0.15808551131184367,scr2015,avaConv,runOfRiver
al,h0305,0.15808551131184367,scr2015,avaConv,runOfRiver
al,h0306,0.15808551131184367,scr2015,avaConv,runOfRiver
al,h0307,0.15064837901251968,scr2015,avaConv,runOfRiver
al,h0308,0.1432112834416594,scr2015,avaConv,runOfRiver
al,h0309,0.13577422650800616,scr2015,avaConv,runOfRiver
al,h0310,0.13577422650800616,scr2015,avaConv,runOfRiver
al,h0311,0.13577422650800616,scr2015,avaConv,runOfRiver
al,h0312,0.13577422650800616,scr2015,avaConv,runOfRiver
al,h0313,0.1683558940738887,scr2015,avaConv,runOfRiver
al,h0314,0.2009381961659756,scr2015,avaConv,runOfRiver
al,h0315,0.23352102890140009,scr2015,avaConv,runOfRiver
al,h0316,0.23352102890140009,scr2015,avaConv,runOfRiver
al,h0317,0.23352102890140009,scr2015,avaConv,runOfRiver
al,h0318,0.23352102890140009,scr2015,avaConv,runOfRiver
al,h0319,0.23217520677510506,scr2015,avaConv,runOfRiver
al,h0320,0.23082938542888193,scr2015,avaConv,runOfRiver
al,h0321,0.22948356486727817,scr2015,avaConv,runOfRiver
al,h0322,0.22948356486727817,scr2015,avaConv,runOfRiver
al,h0323,0.22948356486727817,scr2015,avaConv,runOfRiver
al,h0324,0.22948356486727817,scr2015,avaConv,runOfRiver
al,h0325,0.21942535229965363,scr2015,avaConv,runOfRiver
al,h0326,0.20936718585092587,scr2015,avaConv,runOfRiver
al,h0327,0.19930906773798976,scr2015,avaConv,runOfRiver
al,h0328,0.19930906773798976,scr2015,avaConv,runOfRiver
al,h0329,0.19930906773798976,scr2015,avaConv,runOfRiver
al,h0330,0.19930906773798976,scr2015,avaConv,runOfRiver
al,h0331,0.18868435028544686,scr2015,avaConv,runOfRiver
al,h0332,0.17805969268824434,scr2015,avaConv,runOfRiver
al,h0333,0.1674350985214627,scr2015,avaConv,runOfRiver
al,h0334,0.1674350985214627,scr2015,avaConv,runOfRiver
al,h0335,0.1674350985214627,scr2015,avaConv,runOfRiver
al,h0336,0.1674350985214627,scr2015,avaConv,runOfRiver
at,h0289,0.8291040731269632,scr2015,avaConv,runOfRiver
at,h0290,0.8391476703947025,scr2015,avaConv,runOfRiver
at,h0291,0.8491992700952927,scr2015,avaConv,runOfRiver
