region_3,timestep_6,value,scenario_1,parameter,technology_3
al,h0001,1.033163277121461,scr2016,stInflow,reservoir
al,h0002,1.033163277121461,scr2016,stInflow,reservoir
al,h0003,1.033163277121461,scr2016,stInflow,reservoir
al,h0004,1.033163277121461,scr2016,stInflow,reservoir
al,h0005,1.033163277121461,scr2016,stInflow,reservoir
al,h0006,1.033163277121461,scr2016,stInflow,reservoir
al,h0007,1.033163277121461,scr2016,stInflow,reservoir
al,h0008,1.033163277121461,scr2016,stInflow,reservoir
al,h0009,1.033163277121461,scr2016,stInflow,reservoir
al,h0010,1.033163277121461,scr2016,stInflow,reservoir
al,h0011,1.033163277121461,scr2016,stInflow,reservoir
al,h0012,1.033163277121461,scr2016,stInflow,reservoir
al,h0013,1.033163277121461,scr2016,stInflow,reservoir
al,h0014,1.033163277121461,scr2016,stInflow,reservoir
al,h0015,1.033163277121461,scr2016,stInflow,reservoir
al,h0016,1.033163277121461,scr2016,stInflow,reservoir
al,h0017,1.033163277121461,scr2016,stInflow,reservoir
al,h0018,1.033163277121461,scr2016,stInflow,reservoir
al,h0019,0.983754011696759,scr2016,stInflow,reservoir
al,h0020,0.9344442146202174,scr2016,stInflow,reservoir
al,h0021,0.885238935048212,scr2016,stInflow,reservoir
al,h0022,0.885238935048212,scr2016,stInflow,reservoir
al,h0023,0.885238935048212,scr2016,stInflow,reservoir
al,h0024,0.885238935048212,scr2016,stInflow,reservoir
al,h0025,0.885238935048212,scr2016,stInflow,reservoir
al,h0026,0.885238935048212,scr2016,stInflow,reservoir
al,h0027,0.885238935048212,scr2016,stInflow,reservoir
al,h0028,0.885238935048212,scr2016,stInflow,reservoir
al,h0029,0.885238935048212,scr2016,stInflow,reservoir
al,h0030,0.885238935048212,scr2016,stInflow,reservoir
al,h0031,0.8561394552239507,scr2016,stInflow,reservoir
al,h0032,0.8270798816863879,scr2016,stInflow,reservoir
al,h0033,0.7980615711358543,scr2016,stInflow,reservoir
al,h0034,0.7980615711358543,scr2016,stInflow,reservoir
al,h0035,0.7980615711358543,scr2016,stInflow,reservoir
al,h0036,0.7980615711358543,scr2016,stInflow,reservoir
al,h0037,0.7980615711358543,scr2016,stInflow,reservoir
al,h0038,0.7980615711358543,scr2016,stInflow,reservoir
al,h0039,0.7980615711358543,scr2016,stInflow,reservoir
al,h0040,0.7980615711358543,scr2016,stInflow,reservoir
al,h0041,0.7980615711358543,scr2016,stInflow,reservoir
al,h0042,0.7980615711358543,scr2016,stInflow,reservoir
al,h0043,0.9530751450640471,scr2016,stInflow,reservoir
al,h0044,1.1091136357499007,scr2016,stInflow,reservoir
al,h0045,1.2660373113594463,scr2016,stInflow,reservoir
al,h0046,1.2660373113594463,scr2016,stInflow,reservoir
al,h0047,1.2660373113594463,scr2016,stInflow,reservoir
al,h0048,1.2660373113594463,scr2016,stInflow,reservoir
at,h0001,0.09244416125732358,scr2016,stInflow,reservoir
at,h0002,0.09244416125732358,scr2016,stInflow,reservoir
at,h0003,0.09244416125732358,scr2016,stInflow,reservoir
at,h0004,0.09244416125732358,scr2016,stInflow,reservoir
at,h0005,0.09244416125732358,scr2016,stInflow,reservoir
at,h0006,0.09244416125732358,scr2016,stInflow,reservoir
at,h0007,0.09244416125732358,scr2016,stInflow,reservoir
at,h0008,0.09244416125732358,scr2016,stInflow,reservoir
at,h0009,0.09244416125732358,scr2016,stInflow,reservoir
at,h0010,0.09244416125732358,scr2016,stInflow,reservoir
at,h0011,0.09244416125732358,scr2016,stInflow,reservoir
at,h0012,0.09244416125732358,scr2016,stInflow,reservoir
at,h0013,0.09244416125732358,scr2016,stInflow,reservoir
at,h0014,0.09244416125732358,scr2016,stInflow,reservoir
at,h0015,0.09244416125732358,scr2016,stInflow,reservoir
at,h0016,0.09244416125732358,scr2016,stInflow,reservoir
at,h0017,0.09244416125732358,scr2016,stInflow,reservoir
at,h0018,0.09244416125732358,scr2016,stInflow,reservoir
