region_3,timestep_6,value,scenario_1,parameter,technology_2
al,h0049,0.051768434265567986,scr1985,avaConv,offshore
al,h0050,0.10766117034654778,scr1985,avaConv,offshore
al,h0051,0.09165069081461043,scr1985,avaConv,offshore
al,h0052,0.08875776669439005,scr1985,avaConv,offshore
al,h0053,0.029311788953181865,scr1985,avaConv,offshore
al,h0054,0.004666669804450012,scr1985,avaConv,offshore
al,h0055,0.06201375786871287,scr1985,avaConv,offshore
al,h0056,0.11317892634947477,scr1985,avaConv,offshore
al,h0057,0.11160248812560823,scr1985,avaConv,offshore
al,h0058,0.0825301435837023,scr1985,avaConv,offshore
al,h0059,0.02008131772409756,scr1985,avaConv,offshore
al,h0060,0.02227200747090651,scr1985,avaConv,offshore
al,h0061,0.03853511446267909,scr1985,avaConv,offshore
al,h0062,0.1972627128466478,scr1985,avaConv,offshore
al,h0063,0.33096135832185036,scr1985,avaConv,offshore
al,h0064,0.32904348665669286,scr1985,avaConv,offshore
al,h0065,0.18860333607213933,scr1985,avaConv,offshore
al,h0066,0.083864135003295,scr1985,avaConv,offshore
al,h0067,0.34329557159448876,scr1985,avaConv,offshore
al,h0068,0.46707822815856637,scr1985,avaConv,offshore
al,h0069,0.4662682372089606,scr1985,avaConv,offshore
al,h0070,0.32937867147460465,scr1985,avaConv,offshore
al,h0071,0.24240263499175302,scr1985,avaConv,offshore
al,h0072,0.33028371665480666,scr1985,avaConv,offshore
ba,h0049,0.050389302358415905,scr1985,avaConv,offshore
ba,h0050,0.055620572209894185,scr1985,avaConv,offshore
ba,h0051,0.02178652217737459,scr1985,avaConv,offshore
ba,h0052,0.02938844724514132,scr1985,avaConv,offshore
ba,h0053,0.052541781453197205,scr1985,avaConv,offshore
ba,h0054,0.18329089331191867,scr1985,avaConv,offshore
ba,h0055,0.1737793292636993,scr1985,avaConv,offshore
ba,h0056,0.14445893150584038,scr1985,avaConv,offshore
ba,h0057,0.023082204570270642,scr1985,avaConv,offshore
ba,h0058,0.029615004253138618,scr1985,avaConv,offshore
ba,h0059,0.0289482745259158,scr1985,avaConv,offshore
ba,h0060,0.010411983383926945,scr1985,avaConv,offshore
ba,h0061,0.0313253596573339,scr1985,avaConv,offshore
ba,h0062,0.051416506557196734,scr1985,avaConv,offshore
ba,h0063,0.06589251497904638,scr1985,avaConv,offshore
ba,h0064,0.09247254739764334,scr1985,avaConv,offshore
ba,h0065,0.06807645864103012,scr1985,avaConv,offshore
ba,h0066,0.04901897940074245,scr1985,avaConv,offshore
ba,h0067,0.005212635132500834,scr1985,avaConv,offshore
ba,h0068,0.02948293477462703,scr1985,avaConv,offshore
ba,h0069,0.046382018264654046,scr1985,avaConv,offshore
ba,h0070,0.09982994672133765,scr1985,avaConv,offshore
ba,h0071,0.10550715589104999,scr1985,avaConv,offshore
ba,h0072,0.16946950487176218,scr1985,avaConv,offshore
be,h0049,0.1570168845963393,scr1985,avaConv,offshore
be,h0050,0.4407491606581151,scr1985,avaConv,offshore
be,h0051,0.4828609318026958,scr1985,avaConv,offshore
be,h0052,0.4194953055741235,scr1985,avaConv,offshore
be,h0053,0.2781172976141601,scr1985,avaConv,offshore
be,h0054,0.46743899400697236,scr1985,avaConv,offshore
be,h0055,0.47017594997530254,scr1985,avaConv,offshore
be,h0056,0.35236372853942116,scr1985,avaConv,offshore
be,h0057,0.3443615611047875,scr1985,avaConv,offshore
be,h0058,0.4687247360732335,scr1985,avaConv,offshore
be,h0059,0.7289633253352307,scr1985,avaConv,offshore
be,h0060,0.5033011880573804,scr1985,avaConv,offshore
be,h0061,0.4165116708907516,scr1985,avaConv,offshore
be,h0062,0.1729669685788004,scr1985,avaConv,offshore
be,h0063,0.26621531628352324,scr1985,avaConv,offshore
be,h0064,0.3854998411419043,scr1985,avaConv,offshore
be,h0065,0.3252029552991298,scr1985,avaConv,offshore
be,h0066,0.40353667708432356,scr1985,avaConv,offshore
