region_3,timestep_6,value,scenario_1,parameter,technology_3
at,h0001,0.18439552494429517,scr2011,stInflow,pumpedStorageOpen
at,h0002,0.18439552494429517,scr2011,stInflow,pumpedStorageOpen
at,h0003,0.18439552494429517,scr2011,stInflow,pumpedStorageOpen
at,h0004,0.18564621616011748,scr2011,stInflow,pumpedStorageOpen
at,h0005,0.18690531874021166,scr2011,stInflow,pumpedStorageOpen
at,h0006,0.1887512423799896,scr2011,stInflow,pumpedStorageOpen
at,h0007,0.1893314084607452,scr2011,stInflow,pumpedStorageOpen
at,h0008,0.18881971024377897,scr2011,stInflow,pumpedStorageOpen
at,h0009,0.18773220452004713,scr2011,stInflow,pumpedStorageOpen
at,h0010,0.18665079343119118,scr2011,stInflow,pumpedStorageOpen
at,h0011,0.1849729637723207,scr2011,stInflow,pumpedStorageOpen
at,h0012,0.18331018528911844,scr2011,stInflow,pumpedStorageOpen
at,h0013,0.18005831546514994,scr2011,stInflow,pumpedStorageOpen
at,h0014,0.17846890918011474,scr2011,stInflow,pumpedStorageOpen
at,h0015,0.17594779376960867,scr2011,stInflow,pumpedStorageOpen
at,h0016,0.17500669022187593,scr2011,stInflow,pumpedStorageOpen
at,h0017,0.17421774558677403,scr2011,stInflow,pumpedStorageOpen
at,h0018,0.17436446730897504,scr2011,stInflow,pumpedStorageOpen
at,h0019,0.1745113270223066,scr2011,stInflow,pumpedStorageOpen
at,h0020,0.17538433921933935,scr2011,stInflow,pumpedStorageOpen
at,h0021,0.17626217258554644,scr2011,stInflow,pumpedStorageOpen
at,h0022,0.17818419542319253,scr2011,stInflow,pumpedStorageOpen
at,h0023,0.1792301062399559,scr2011,stInflow,pumpedStorageOpen
at,h0024,0.18302401056930806,scr2011,stInflow,pumpedStorageOpen
ba,h0001,0.23032421639470094,scr2011,stInflow,pumpedStorageOpen
ba,h0002,0.23032421639470094,scr2011,stInflow,pumpedStorageOpen
ba,h0003,0.23032421639470094,scr2011,stInflow,pumpedStorageOpen
ba,h0004,0.23686488714653536,scr2011,stInflow,pumpedStorageOpen
ba,h0005,0.24344642857142856,scr2011,stInflow,pumpedStorageOpen
ba,h0006,0.20026576012630518,scr2011,stInflow,pumpedStorageOpen
ba,h0007,0.1531178032521382,scr2011,stInflow,pumpedStorageOpen
ba,h0008,0.10750835083031533,scr2011,stInflow,pumpedStorageOpen
ba,h0009,0.10596894969382356,scr2011,stInflow,pumpedStorageOpen
ba,h0010,0.10443456093066815,scr2011,stInflow,pumpedStorageOpen
ba,h0011,0.09965017008205433,scr2011,stInflow,pumpedStorageOpen
ba,h0012,0.09491689423708535,scr2011,stInflow,pumpedStorageOpen
ba,h0013,0.07777759432224791,scr2011,stInflow,pumpedStorageOpen
ba,h0014,0.06575340962450206,scr2011,stInflow,pumpedStorageOpen
ba,h0015,0.04792313770144833,scr2011,stInflow,pumpedStorageOpen
ba,h0016,0.04182068590487936,scr2011,stInflow,pumpedStorageOpen
ba,h0017,0.02128486830504377,scr2011,stInflow,pumpedStorageOpen
ba,h0018,0.008703865474522444,scr2011,stInflow,pumpedStorageOpen
ba,h0019,0.0,scr2011,stInflow,pumpedStorageOpen
ba,h0020,0.00027764703786468145,scr2011,stInflow,pumpedStorageOpen
ba,h0021,0.0006789719640697332,scr2011,stInflow,pumpedStorageOpen
ba,h0022,0.0033519066900885956,scr2011,stInflow,pumpedStorageOpen
ba,h0023,0.005973122753650522,scr2011,stInflow,pumpedStorageOpen
ba,h0024,0.007900671428212618,scr2011,stInflow,pumpedStorageOpen
bg,h0001,0.003922264042353254,scr2011,stInflow,pumpedStorageOpen
bg,h0002,0.003922264042353254,scr2011,stInflow,pumpedStorageOpen
bg,h0003,0.003922264042353254,scr2011,stInflow,pumpedStorageOpen
bg,h0004,0.004443352636589669,scr2011,stInflow,pumpedStorageOpen
bg,h0005,0.0052589626920840305,scr2011,stInflow,pumpedStorageOpen
bg,h0006,0.007317938668041567,scr2011,stInflow,pumpedStorageOpen
bg,h0007,0.008387270253835451,scr2011,stInflow,pumpedStorageOpen
bg,h0008,0.006857458698942508,scr2011,stInflow,pumpedStorageOpen
bg,h0009,0.005015529008903568,scr2011,stInflow,pumpedStorageOpen
bg,h0010,0.00398061644089074,scr2011,stInflow,pumpedStorageOpen
bg,h0011,0.005560039997358929,scr2011,stInflow,pumpedStorageOpen
bg,h0012,0.008677583496907653,scr2011,stInflow,pumpedStorageOpen
bg,h0013,0.022190916306924723,scr2011,stInflow,pumpedStorageOpen
bg,h0014,0.03400234952263617,scr2011,stInflow,pumpedStorageOpen
bg,h0015,0.05194891193095646,scr2011,stInflow,pumpedStorageOpen
bg,h0016,0.054737664008784444,scr2011,stInflow,pumpedStorageOpen
bg,h0017,0.04843636974796954,scr2011,stInflow,pumpedStorageOpen
bg,h0018,0.040223744136649725,scr2011,stInflow,pumpedStorageOpen
bg,h0019,0.03294998405826338,scr2011,stInflow,pumpedStorageOpen
bg,h0020,0.04255225361310885,scr2011,stInflow,pumpedStorageOpen
bg,h0021,0.05374484977533298,scr2011,stInflow,pumpedStorageOpen
bg,h0022,0.08976333429980876,scr2011,stInflow,pumpedStorageOpen
bg,h0023,0.11719422752439128,scr2011,stInflow,pumpedStorageOpen
bg,h0024,0.15303024812383503,scr2011,stInflow,pumpedStorageOpen
ch,h0001,0.3714658000475661,scr2011,stInflow,pumpedStorageOpen
ch,h0002,0.3714658000475661,scr2011,stInflow,pumpedStorageOpen
ch,h0003,0.3714658000475661,scr2011,stInflow,pumpedStorageOpen
ch,h0004,0.3540399085055382,scr2011,stInflow,pumpedStorageOpen
ch,h0005,0.33667601287377574,scr2011,stInflow,pumpedStorageOpen
ch,h0006,0.3021393855495886,scr2011,stInflow,pumpedStorageOpen
ch,h0007,0.28496939349210376,scr2011,stInflow,pumpedStorageOpen
ch,h0008,0.250835162914904,scr2011,stInflow,pumpedStorageOpen
ch,h0009,0.2338740732954389,scr2011,stInflow,pumpedStorageOpen
ch,h0010,0.21698532274494442,scr2011,stInflow,pumpedStorageOpen
ch,h0011,0.20016897373172537,scr2011,stInflow,pumpedStorageOpen
ch,h0012,0.18342867660140666,scr2011,stInflow,pumpedStorageOpen
ch,h0013,0.15018439050402776,scr2011,stInflow,pumpedStorageOpen
ch,h0014,0.13368478695079655,scr2011,stInflow,pumpedStorageOpen
ch,h0015,0.10285019399281403,scr2011,stInflow,pumpedStorageOpen
ch,h0016,0.088500360285231,scr2011,stInflow,pumpedStorageOpen
ch,h0017,0.07162716943797626,scr2011,stInflow,pumpedStorageOpen
ch,h0018,0.06903429754019008,scr2011,stInflow,pumpedStorageOpen
ch,h0019,0.06644391567781377,scr2011,stInflow,pumpedStorageOpen
ch,h0020,0.06573682323161933,scr2011,stInflow,pumpedStorageOpen
ch,h0021,0.06502991784604029,scr2011,stInflow,pumpedStorageOpen
ch,h0022,0.06361666938044591,scr2011,stInflow,pumpedStorageOpen
ch,h0023,0.06291032686458997,scr2011,stInflow,pumpedStorageOpen
ch,h0024,0.06149986755880199,scr2011,stInflow,pumpedStorageOpen
cz,h0001,0.001162077550151215,scr2011,stInflow,pumpedStorageOpen
cz,h0002,0.001162077550151215,scr2011,stInflow,pumpedStorageOpen
cz,h0003,0.001162077550151215,scr2011,stInflow,pumpedStorageOpen
cz,h0004,0.0014463891780960032,scr2011,stInflow,pumpedStorageOpen
cz,h0005,0.0017277754875343388,scr2011,stInflow,pumpedStorageOpen
cz,h0006,0.003439465684446919,scr2011,stInflow,pumpedStorageOpen
cz,h0007,0.004840504146027324,scr2011,stInflow,pumpedStorageOpen
cz,h0008,0.007263435885799243,scr2011,stInflow,pumpedStorageOpen
cz,h0009,0.008298787772339816,scr2011,stInflow,pumpedStorageOpen
cz,h0010,0.009327380952380952,scr2011,stInflow,pumpedStorageOpen
cz,h0011,0.0074085236297942985,scr2011,stInflow,pumpedStorageOpen
cz,h0012,0.005462865079561442,scr2011,stInflow,pumpedStorageOpen
cz,h0013,0.002366862992573711,scr2011,stInflow,pumpedStorageOpen
cz,h0014,0.0012250801988432849,scr2011,stInflow,pumpedStorageOpen
cz,h0015,0.0,scr2011,stInflow,pumpedStorageOpen
cz,h0016,0.0,scr2011,stInflow,pumpedStorageOpen
cz,h0017,0.00016434837984272767,scr2011,stInflow,pumpedStorageOpen
cz,h0018,0.00031752214957558053,scr2011,stInflow,pumpedStorageOpen
cz,h0019,0.00046674355662325485,scr2011,stInflow,pumpedStorageOpen
cz,h0020,0.0006785230874834575,scr2011,stInflow,pumpedStorageOpen
cz,h0021,0.0008868264907959377,scr2011,stInflow,pumpedStorageOpen
cz,h0022,0.0007432646807122847,scr2011,stInflow,pumpedStorageOpen
cz,h0023,0.00038471125945911244,scr2011,stInflow,pumpedStorageOpen
cz,h0024,0.0006308403673428945,scr2011,stInflow,pumpedStorageOpen
de,h0001,0.05243465384798927,scr2011,stInflow,pumpedStorageOpen
de,h0002,0.05243465384798927,scr2011,stInflow,pumpedStorageOpen
de,h0003,0.05243465384798927,scr2011,stInflow,pumpedStorageOpen
de,h0004,0.05723389680351703,scr2011,stInflow,pumpedStorageOpen
de,h0005,0.062100665802502376,scr2011,stInflow,pumpedStorageOpen
de,h0006,0.04438213176608136,scr2011,stInflow,pumpedStorageOpen
de,h0007,0.023571716422553686,scr2011,stInflow,pumpedStorageOpen
de,h0008,0.005861309523809524,scr2011,stInflow,pumpedStorageOpen
de,h0009,0.005861309523809524,scr2011,stInflow,pumpedStorageOpen
de,h0010,0.005861309523809524,scr2011,stInflow,pumpedStorageOpen
de,h0011,0.010245610965930472,scr2011,stInflow,pumpedStorageOpen
de,h0012,0.01505224864217073,scr2011,stInflow,pumpedStorageOpen
de,h0013,0.023535310230625172,scr2011,stInflow,pumpedStorageOpen
de,h0014,0.026993421491239747,scr2011,stInflow,pumpedStorageOpen
de,h0015,0.034276450161406596,scr2011,stInflow,pumpedStorageOpen
de,h0016,0.03809399557519993,scr2011,stInflow,pumpedStorageOpen
de,h0017,0.04053804771016654,scr2011,stInflow,pumpedStorageOpen
de,h0018,0.03910750327866867,scr2011,stInflow,pumpedStorageOpen
de,h0019,0.03768569906525683,scr2011,stInflow,pumpedStorageOpen
de,h0020,0.040387348089834865,scr2011,stInflow,pumpedStorageOpen
de,h0021,0.04311967614968792,scr2011,stInflow,pumpedStorageOpen
de,h0022,0.04738300974689003,scr2011,stInflow,pumpedStorageOpen
de,h0023,0.0488927058720058,scr2011,stInflow,pumpedStorageOpen
de,h0024,0.04989851111123411,scr2011,stInflow,pumpedStorageOpen
es,h0001,0.0890397045066425,scr2011,stInflow,pumpedStorageOpen
es,h0002,0.0890397045066425,scr2011,stInflow,pumpedStorageOpen
es,h0003,0.0890397045066425,scr2011,stInflow,pumpedStorageOpen
es,h0004,0.07798012022368281,scr2011,stInflow,pumpedStorageOpen
es,h0005,0.06754096639630082,scr2011,stInflow,pumpedStorageOpen
es,h0006,0.08208377471771908,scr2011,stInflow,pumpedStorageOpen
es,h0007,0.10987787658921634,scr2011,stInflow,pumpedStorageOpen
es,h0008,0.11529761904761905,scr2011,stInflow,pumpedStorageOpen
es,h0009,0.09184071360288613,scr2011,stInflow,pumpedStorageOpen
es,h0010,0.07061811852704833,scr2011,stInflow,pumpedStorageOpen
es,h0011,0.07617002241928601,scr2011,stInflow,pumpedStorageOpen
es,h0012,0.08189717295425694,scr2011,stInflow,pumpedStorageOpen
es,h0013,0.07267997487642582,scr2011,stInflow,pumpedStorageOpen
es,h0014,0.05879012566946808,scr2011,stInflow,pumpedStorageOpen
