technology_3,region_4,mode,parameter,value
impH2Ship,,,costOprConv,493.626
impH2Ship,,base,effConv,1
impH2Ship,,base,costVarGen,0
impH2Ship,,flex,effConv,1.111111111
impH2Ship,,flex,costVarGen,6.785
impH2Pipe,,,costOprConv,715.11384
impH2Pipe,,base,effConv,1
impH2Pipe,,base,costVarGen,0
impH2Pipe,,flex,effConv,1.111111111
impH2Pipe,,flex,costVarGen,-12.3706
impMethane,,,costOprConv,891.96072
impMethane,,base,effConv,1
impMethane,,base,costVarGen,0
impMethane,,flex,effConv,1.111111111
impMethane,,flex,costVarGen,12.2602
impMethanol,,,costOprConv,916.85664
impMethanol,,base,effConv,1
impMethanol,,base,costVarGen,0
impMethanol,,flex,effConv,1.111111111
impMethanol,,flex,costVarGen,12.6024
impGas,,,costOprConv,303.04344
impGas,,base,effConv,1
impGas,,base,costVarGen,0
impGas,,flex,effConv,1.111111111
impGas,,flex,costVarGen,4.1654
impOil,,,costOprConv,524.53128
impOil,,base,effConv,1
impOil,,base,costVarGen,0
impOil,,flex,effConv,1.111111111
impOil,,flex,costVarGen,7.2098
methaneToGas,all,,capaConvResi,1
methanolToOil,all,,capaConvResi,1
