scenario,timestep_3,parameter,value,comment
scr1995,ini01,scrProb,0.02857142857142857,extremeHigh
scr1991,ini01,scrProb,0.08571428571428572,clustering
scr1983,ini01,scrProb,0.08571428571428572,clustering
scr1985,ini01,scrProb,0.08571428571428572,clustering
scr1993,ini01,scrProb,0.14285714285714285,clustering
scr2015,ini01,scrProb,0.14285714285714285,clustering
scr2008,ini01,scrProb,0.08571428571428572,clustering
scr2016,ini01,scrProb,0.2,clustering
scr2009,ini01,scrProb,0.08571428571428572,clustering
scr2010,ini01,scrProb,0.05714285714285714,clustering
scr1988,ini01,scrProb,0.0,none
scr1989,ini01,scrProb,0.0,none
scr1992,ini01,scrProb,0.0,none
scr2004,ini01,scrProb,0.0,none
scr2016,ini02,scrProb,0.02857142857142857,extremeLow
scr1992,ini02,scrProb,0.14285714285714285,clustering
scr1988,ini02,scrProb,0.17142857142857143,clustering
scr2004,ini02,scrProb,0.2571428571428571,clustering
scr1995,ini02,scrProb,0.11428571428571428,clustering
scr1989,ini02,scrProb,0.2857142857142857,clustering
scr1983,ini02,scrProb,0.0,none
scr1985,ini02,scrProb,0.0,none
scr1991,ini02,scrProb,0.0,none
scr1993,ini02,scrProb,0.0,none
scr2008,ini02,scrProb,0.0,none
scr2009,ini02,scrProb,0.0,none
scr2010,ini02,scrProb,0.0,none
scr2015,ini02,scrProb,0.0,none
