technology_3,region_4,mode,parameter,value
impH2Ship,,,costOprConv,503.7
impH2Ship,,base,effConv,1
impH2Ship,,base,varCostGen,0
impH2Ship,,flex,effConv,1.05
impH2Ship,,flex,varCostGen,2.619047619
impH2Pipe,,,costOprConv,729.708
impH2Pipe,,base,effConv,1
impH2Pipe,,base,varCostGen,0
impH2Pipe,,flex,effConv,1.05
impH2Pipe,,flex,varCostGen,4.17452
impMethane,,,costOprConv,910.164
impMethane,,base,effConv,1
impMethane,,base,varCostGen,0
impMethane,,flex,effConv,1.05
impMethane,,flex,varCostGen,5.206874286
impMethanol,,,costOprConv,935.568
impMethanol,,base,effConv,1
impMethanol,,base,varCostGen,0
impMethanol,,flex,effConv,1.05
impMethanol,,flex,varCostGen,5.352205714
impGas,,,costOprConv,230.4756
impGas,,base,effConv,1
impGas,,base,varCostGen,0
impGas,,flex,effConv,1.05
impGas,,flex,varCostGen,1.318506857
impOil,,,costOprConv,426.612
impOil,,base,effConv,1
impOil,,base,varCostGen,0
impOil,,flex,effConv,1.05
impOil,,flex,varCostGen,2.440565714
impH2Pipe,01ES,,capaConvFix,0
impH2Pipe,02ES,,capaConvFix,0
impH2Pipe,03ES,,capaConvFix,0
impH2Pipe,04ES,,capaConvFix,0
impH2Pipe,05ES,,capaConvFix,0
impH2Pipe,06ES,,capaConvFix,0
impH2Pipe,07ES,,capaConvFix,0
impH2Pipe,08ES,,capaConvFix,0
impH2Pipe,10ES,,capaConvFix,0
impH2Pipe,11ES,,capaConvFix,0
impH2Pipe,12PT,,capaConvFix,0
impH2Pipe,13PT,,capaConvFix,0
impH2Pipe,14FR,,capaConvFix,0
impH2Pipe,15FR,,capaConvFix,0
impH2Pipe,16FR,,capaConvFix,0
impH2Pipe,17FR,,capaConvFix,0
impH2Pipe,18FR,,capaConvFix,0
impH2Pipe,19FR,,capaConvFix,0
impH2Pipe,20FR,,capaConvFix,0
impH2Pipe,21FR,,capaConvFix,0
impH2Pipe,22FR,,capaConvFix,0
impH2Pipe,23FR,,capaConvFix,0
impH2Pipe,24FR,,capaConvFix,0
impH2Pipe,25FR,,capaConvFix,0
impH2Pipe,26FR,,capaConvFix,0
impH2Pipe,27FR,,capaConvFix,0
impH2Pipe,28BE,,capaConvFix,0
impH2Pipe,29LU,,capaConvFix,0
impH2Pipe,30NL,,capaConvFix,0
impH2Pipe,31DE,,capaConvFix,0
impH2Pipe,32DE,,capaConvFix,0
impH2Pipe,33DE,,capaConvFix,0
impH2Pipe,34DE,,capaConvFix,0
impH2Pipe,35DE,,capaConvFix,0
impH2Pipe,36DE,,capaConvFix,0
impH2Pipe,37DE,,capaConvFix,0
impH2Pipe,38DK,,capaConvFix,0
impH2Pipe,39CZ,,capaConvFix,0
impH2Pipe,40CZ,,capaConvFix,0
impH2Pipe,41PL,,capaConvFix,0
impH2Pipe,42PL,,capaConvFix,0
impH2Pipe,43PL,,capaConvFix,0
impH2Pipe,44PL,,capaConvFix,0
impH2Pipe,45PL,,capaConvFix,0
impH2Pipe,46SK,,capaConvFix,0
impH2Pipe,47CH,,capaConvFix,0
impH2Pipe,48CH,,capaConvFix,0
impH2Pipe,49AT,,capaConvFix,0
impH2Pipe,50AT,,capaConvFix,0
impH2Pipe,51AT,,capaConvFix,0
impH2Pipe,52IT,,capaConvFix,0
impH2Pipe,53IT,,capaConvFix,0
impH2Pipe,54IT,,capaConvFix,0
impH2Pipe,55IT,,capaConvFix,0
impH2Pipe,57SI,,capaConvFix,0
impH2Pipe,58HU,,capaConvFix,0
impH2Pipe,59RO,,capaConvFix,0
impH2Pipe,60RO,,capaConvFix,0
impH2Pipe,61RO,,capaConvFix,0
impH2Pipe,62HR,,capaConvFix,0
impH2Pipe,63BA,,capaConvFix,0
impH2Pipe,64ME,,capaConvFix,0
impH2Pipe,65RS,,capaConvFix,0
impH2Pipe,66BG,,capaConvFix,0
impH2Pipe,67MK,,capaConvFix,0
impH2Pipe,68GR,,capaConvFix,0
impH2Pipe,69GR,,capaConvFix,0
