timestep_2,region_4,technology_3,parameter,value
all,01ES,bevPsngRoadPrvt,capaConvResi,7.16096487
all,02ES,bevPsngRoadPrvt,capaConvResi,4.928022075
all,03ES,bevPsngRoadPrvt,capaConvResi,3.60007857
all,04ES,bevPsngRoadPrvt,capaConvResi,6.926896132
all,05ES,bevPsngRoadPrvt,capaConvResi,2.280273022
all,06ES,bevPsngRoadPrvt,capaConvResi,14.13618866
all,07ES,bevPsngRoadPrvt,capaConvResi,16.67167053
all,08ES,bevPsngRoadPrvt,capaConvResi,4.070478714
all,09ES,bevPsngRoadPrvt,capaConvResi,8.91498972
all,10ES,bevPsngRoadPrvt,capaConvResi,5.120018286
all,11ES,bevPsngRoadPrvt,capaConvResi,14.99122341
all,12PT,bevPsngRoadPrvt,capaConvResi,10.24883584
all,13PT,bevPsngRoadPrvt,capaConvResi,10.14410268
all,14FR,bevPsngRoadPrvt,capaConvResi,16.58371337
all,15FR,bevPsngRoadPrvt,capaConvResi,8.871283043
all,16FR,bevPsngRoadPrvt,capaConvResi,15.35837972
all,17FR,bevPsngRoadPrvt,capaConvResi,10.58585602
all,18FR,bevPsngRoadPrvt,capaConvResi,10.50436168
all,19FR,bevPsngRoadPrvt,capaConvResi,11.84639221
all,20FR,bevPsngRoadPrvt,capaConvResi,9.575719133
all,21FR,bevPsngRoadPrvt,capaConvResi,13.44310144
all,22FR,bevPsngRoadPrvt,capaConvResi,4.508040098
all,23FR,bevPsngRoadPrvt,capaConvResi,45.04946144
all,24FR,bevPsngRoadPrvt,capaConvResi,5.284302266
all,25FR,bevPsngRoadPrvt,capaConvResi,13.89289162
all,26FR,bevPsngRoadPrvt,capaConvResi,15.88774042
all,27FR,bevPsngRoadPrvt,capaConvResi,1.773388706
all,28BE,bevPsngRoadPrvt,capaConvResi,28.1932003
all,29LU,bevPsngRoadPrvt,capaConvResi,1.73139816
all,30NL,bevPsngRoadPrvt,capaConvResi,44.8739379
all,31DE,bevPsngRoadPrvt,capaConvResi,36.57398698
all,32DE,bevPsngRoadPrvt,capaConvResi,19.1216246
all,33DE,bevPsngRoadPrvt,capaConvResi,47.47452615
all,34DE,bevPsngRoadPrvt,capaConvResi,23.24801965
all,35DE,bevPsngRoadPrvt,capaConvResi,34.78828204
all,36DE,bevPsngRoadPrvt,capaConvResi,25.67631441
