timestep_2,carrier_1,region_4,parameter,value,comment,source
2040,processHeat_high,01ES,capaDem,0.167519927,computed using historic generation quantities and full load hours from demand profiles,"Heat Roadmap Europe (2017), Profile of heating and cooling demand in 2015; Ruhnau (2019), when2heat"
2040,processHeat_low,01ES,capaDem,0.131447753,process heat distributed across clusters based on employment data and heat demand of relevant industries,"JRC (2012), Heat and cooling demand and market perspective; eurostat (2020), SBS data by NUTS 2 regions and NACE Rev. 2"
2040,processHeat_medium,01ES,capaDem,0.213656418,,
2040,processHeat_high,02ES,capaDem,0.197023228,,
2040,processHeat_low,02ES,capaDem,0.134804415,,
2040,processHeat_medium,02ES,capaDem,0.233736911,,
2040,processHeat_high,03ES,capaDem,0.130381836,,
2040,processHeat_low,03ES,capaDem,0.112956533,,
2040,processHeat_medium,03ES,capaDem,0.189872842,,
2040,processHeat_high,04ES,capaDem,0.320950322,,
2040,processHeat_low,04ES,capaDem,0.251822755,,
2040,processHeat_medium,04ES,capaDem,0.452457804,,
2040,processHeat_high,05ES,capaDem,0.10414822,,
2040,processHeat_low,05ES,capaDem,0.10141981,,
2040,processHeat_medium,05ES,capaDem,0.185591862,,
2040,processHeat_high,06ES,capaDem,0.560743504,,
2040,processHeat_low,06ES,capaDem,0.688437339,,
2040,processHeat_medium,06ES,capaDem,1.350004144,,
2040,processHeat_high,07ES,capaDem,0.238510196,,
2040,processHeat_low,07ES,capaDem,0.300783555,,
2040,processHeat_medium,07ES,capaDem,0.545380139,,
2040,processHeat_high,08ES,capaDem,0.128560907,,
2040,processHeat_low,08ES,capaDem,0.100102065,,
2040,processHeat_medium,08ES,capaDem,0.164687655,,
2040,processHeat_high,09ES,capaDem,0.183554034,,
2040,processHeat_low,09ES,capaDem,0.164540238,,
2040,processHeat_medium,09ES,capaDem,0.263467117,,
2040,processHeat_high,10ES,capaDem,0.105418002,,
2040,processHeat_low,10ES,capaDem,0.094097005,,
2040,processHeat_medium,10ES,capaDem,0.151313356,,
2040,processHeat_high,11ES,capaDem,0.726953276,,
2040,processHeat_low,11ES,capaDem,0.489501368,,
2040,processHeat_medium,11ES,capaDem,0.923708158,,
2040,processHeat_high,12PT,capaDem,0.208716758,,
2040,processHeat_low,12PT,capaDem,0.795214019,,
2040,processHeat_medium,12PT,capaDem,0.662589772,,
2040,processHeat_high,13PT,capaDem,0.133385104,,
2040,processHeat_low,13PT,capaDem,0.530065316,,
2040,processHeat_medium,13PT,capaDem,0.350314243,,
2040,processHeat_high,14FR,capaDem,0.078468248,,
2040,processHeat_low,14FR,capaDem,0.132214968,,
2040,processHeat_medium,14FR,capaDem,0.337093072,,
2040,processHeat_high,15FR,capaDem,0.01906442,,
2040,processHeat_low,15FR,capaDem,0.052010979,,
2040,processHeat_medium,15FR,capaDem,0.119787283,,
2040,processHeat_high,16FR,capaDem,0.101235096,,
2040,processHeat_low,16FR,capaDem,0.10819929,,
2040,processHeat_medium,16FR,capaDem,0.27165762,,
2040,processHeat_high,17FR,capaDem,0.091847386,,
2040,processHeat_low,17FR,capaDem,0.130565359,,
2040,processHeat_medium,17FR,capaDem,0.318063865,,
2040,processHeat_high,18FR,capaDem,0.063496725,,
2040,processHeat_low,18FR,capaDem,0.057317643,,
2040,processHeat_medium,18FR,capaDem,0.156032313,,
2040,processHeat_high,19FR,capaDem,0.209487296,,
2040,processHeat_low,19FR,capaDem,0.076291371,,
2040,processHeat_medium,19FR,capaDem,0.265048278,,
2040,processHeat_high,20FR,capaDem,0.170965381,,
2040,processHeat_low,20FR,capaDem,0.063897319,,
2040,processHeat_medium,20FR,capaDem,0.215740065,,
2040,processHeat_high,21FR,capaDem,0.132320639,,
2040,processHeat_low,21FR,capaDem,0.206839061,,
2040,processHeat_medium,21FR,capaDem,0.456975792,,
2040,processHeat_high,22FR,capaDem,0.010765097,,
2040,processHeat_low,22FR,capaDem,0.005756206,,
2040,processHeat_medium,22FR,capaDem,0.020851219,,
2040,processHeat_high,23FR,capaDem,0.887445127,,
2040,processHeat_low,23FR,capaDem,0.731845533,,
2040,processHeat_medium,23FR,capaDem,2.116739744,,
2040,processHeat_high,24FR,capaDem,0.064405718,,
2040,processHeat_low,24FR,capaDem,0.042755009,,
2040,processHeat_medium,24FR,capaDem,0.104387133,,
2040,processHeat_high,25FR,capaDem,0.121853765,,
2040,processHeat_low,25FR,capaDem,0.129001763,,
2040,processHeat_medium,25FR,capaDem,0.392048591,,
2040,processHeat_high,26FR,capaDem,0.214130399,,
2040,processHeat_low,26FR,capaDem,0.142941588,,
2040,processHeat_medium,26FR,capaDem,0.394455055,,
2040,processHeat_high,27FR,capaDem,0.037434307,,
2040,processHeat_low,27FR,capaDem,0.031657671,,
2040,processHeat_medium,27FR,capaDem,0.070556246,,
2040,processHeat_high,28BE,capaDem,0.55976081,,
2040,processHeat_low,28BE,capaDem,0.25980211,,
2040,processHeat_medium,28BE,capaDem,1.47937855,,
2040,processHeat_high,29LU,capaDem,0.043204908,,
2040,processHeat_low,29LU,capaDem,0.098095435,,
2040,processHeat_medium,29LU,capaDem,0.136433753,,
2040,processHeat_high,30NL,capaDem,0.095393326,,
2040,processHeat_low,30NL,capaDem,0.232526622,,
2040,processHeat_medium,30NL,capaDem,1.344782665,,
2040,processHeat_high,31DE,capaDem,0.242818718,,
2040,processHeat_low,31DE,capaDem,0.686050077,,
2040,processHeat_medium,31DE,capaDem,1.187391726,,
2040,processHeat_high,32DE,capaDem,0.115995712,,
2040,processHeat_low,32DE,capaDem,0.336193752,,
2040,processHeat_medium,32DE,capaDem,0.5357643,,
2040,processHeat_high,33DE,capaDem,0.624811899,,
2040,processHeat_low,33DE,capaDem,1.196713122,,
2040,processHeat_medium,33DE,capaDem,2.022898685,,
2040,processHeat_high,34DE,capaDem,0.291666723,,
2040,processHeat_low,34DE,capaDem,0.479724133,,
2040,processHeat_medium,34DE,capaDem,0.901562019,,
2040,processHeat_high,35DE,capaDem,0.344584381,,
2040,processHeat_low,35DE,capaDem,0.95117489,,
2040,processHeat_medium,35DE,capaDem,1.425144993,,
2040,processHeat_high,36DE,capaDem,0.396936924,,
2040,processHeat_low,36DE,capaDem,0.891707811,,
2040,processHeat_medium,36DE,capaDem,1.524194597,,
2040,processHeat_high,37DE,capaDem,0.426058005,,
2040,processHeat_low,37DE,capaDem,1.005366693,,
2040,processHeat_medium,37DE,capaDem,1.690957826,,
2040,processHeat_high,38DK,capaDem,0.081133206,,
2040,processHeat_low,38DK,capaDem,0.37551158,,
2040,processHeat_medium,38DK,capaDem,0.465246446,,
2040,processHeat_high,39CZ,capaDem,0.275169825,,
2040,processHeat_low,39CZ,capaDem,1.153807379,,
2040,processHeat_medium,39CZ,capaDem,1.144477272,,
2040,processHeat_high,40CZ,capaDem,0.268489633,,
2040,processHeat_low,40CZ,capaDem,0.997440151,,
2040,processHeat_medium,40CZ,capaDem,0.975791845,,
2040,processHeat_high,41PL,capaDem,0.175002834,,
2040,processHeat_low,41PL,capaDem,0.600350835,,
2040,processHeat_medium,41PL,capaDem,0.776592243,,
2040,processHeat_high,42PL,capaDem,0.142617315,,
2040,processHeat_low,42PL,capaDem,0.348194195,,
2040,processHeat_medium,42PL,capaDem,0.431154411,,
2040,processHeat_high,43PL,capaDem,0.233426118,,
2040,processHeat_low,43PL,capaDem,0.562192511,,
2040,processHeat_medium,43PL,capaDem,0.687397413,,
2040,processHeat_high,44PL,capaDem,0.206632885,,
2040,processHeat_low,44PL,capaDem,0.557458809,,
2040,processHeat_medium,44PL,capaDem,0.761802594,,
2040,processHeat_high,45PL,capaDem,0.121176258,,
2040,processHeat_low,45PL,capaDem,0.355929352,,
2040,processHeat_medium,45PL,capaDem,0.511045143,,
2040,processHeat_high,46SK,capaDem,0.732272084,,
2040,processHeat_low,46SK,capaDem,1.325398625,,
2040,processHeat_medium,46SK,capaDem,0.553938605,,
2040,processHeat_high,47CH,capaDem,0.074022892,,
2040,processHeat_low,47CH,capaDem,0.230549115,,
2040,processHeat_medium,47CH,capaDem,1.138176532,,
2040,processHeat_high,48CH,capaDem,0.00766662,,
2040,processHeat_low,48CH,capaDem,0.023823498,,
2040,processHeat_medium,48CH,capaDem,0.117882,,
2040,processHeat_high,49AT,capaDem,0.303528899,,
2040,processHeat_low,49AT,capaDem,0.388786667,,
2040,processHeat_medium,49AT,capaDem,0.375548291,,
2040,processHeat_high,50AT,capaDem,0.502678562,,
2040,processHeat_low,50AT,capaDem,0.686804137,,
2040,processHeat_medium,50AT,capaDem,0.695413052,,
2040,processHeat_high,51AT,capaDem,0.286397157,,
2040,processHeat_low,51AT,capaDem,0.500160081,,
2040,processHeat_medium,51AT,capaDem,0.464815583,,
2040,processHeat_high,52IT,capaDem,0.918285536,,
2040,processHeat_low,52IT,capaDem,1.251229588,,
2040,processHeat_medium,52IT,capaDem,2.724578537,,
2040,processHeat_high,53IT,capaDem,0.171306727,,
2040,processHeat_low,53IT,capaDem,0.233417039,,
2040,processHeat_medium,53IT,capaDem,0.508271788,,
2040,processHeat_high,54IT,capaDem,0.321041644,,
2040,processHeat_low,54IT,capaDem,0.43744169,,
2040,processHeat_medium,54IT,capaDem,0.952539421,,
2040,processHeat_high,55IT,capaDem,0.122896924,,
2040,processHeat_low,55IT,capaDem,0.167451862,,
2040,processHeat_medium,55IT,capaDem,0.364638565,,
2040,processHeat_high,56IT,capaDem,0.08611743,,
2040,processHeat_low,56IT,capaDem,0.117339726,,
2040,processHeat_medium,56IT,capaDem,0.255512794,,
2040,processHeat_high,57SI,capaDem,0.032574852,,
2040,processHeat_low,57SI,capaDem,0.067859464,,
2040,processHeat_medium,57SI,capaDem,0.185728842,,
2040,processHeat_high,58HU,capaDem,0.090505696,,
2040,processHeat_low,58HU,capaDem,0.19281881,,
2040,processHeat_medium,58HU,capaDem,0.435265873,,
2040,processHeat_high,59RO,capaDem,0.22069381,,
2040,processHeat_low,59RO,capaDem,0.218165236,,
2040,processHeat_medium,59RO,capaDem,0.339961277,,
2040,processHeat_high,60RO,capaDem,0.296554646,,
2040,processHeat_low,60RO,capaDem,0.338996769,,
2040,processHeat_medium,60RO,capaDem,0.537483686,,
2040,processHeat_high,61RO,capaDem,0.141985598,,
2040,processHeat_low,61RO,capaDem,0.15076886,,
2040,processHeat_medium,61RO,capaDem,0.246286331,,
2040,processHeat_high,62HR,capaDem,0.093807048,,
