timestep_superordinate_dispatch,region,region_from,region_to,technology,exchange,carrier,variable,value,objName
none,Balt < EE,none,none,battery < lithiumBattery,none,none,costOprStSize,0.17500795733843408,inter_all_total32_ext8_reference
none,Balt < LT,none,none,battery < lithiumBattery,none,none,costOprStSize,0.18969995929302555,inter_all_total32_ext8_reference
none,Balt < LV,none,none,battery < lithiumBattery,none,none,costOprStSize,0.18955186605390423,inter_all_total32_ext8_reference
none,Benelux < BE,none,none,battery < lithiumBattery,none,none,costOprStSize,0.24517779651231472,inter_all_total32_ext8_reference
none,Benelux < LU,none,none,battery < lithiumBattery,none,none,costOprStSize,0.2065965439046745,inter_all_total32_ext8_reference
none,Benelux < NL,none,none,battery < lithiumBattery,none,none,costOprStSize,0.21138636659826524,inter_all_total32_ext8_reference
none,CH_ < CH,none,none,battery < lithiumBattery,none,none,costOprStSize,0.2869527334472947,inter_all_total32_ext8_reference
none,DE_ < DE,none,none,battery < lithiumBattery,none,none,costOprStSize,0.20750458995006169,inter_all_total32_ext8_reference
none,East < AT,none,none,battery < lithiumBattery,none,none,costOprStSize,0.29250284405657373,inter_all_total32_ext8_reference
none,East < CZ,none,none,battery < lithiumBattery,none,none,costOprStSize,0.2809305561335916,inter_all_total32_ext8_reference
none,East < HR,none,none,battery < lithiumBattery,none,none,costOprStSize,0.3354847208410248,inter_all_total32_ext8_reference
none,East < HU,none,none,battery < lithiumBattery,none,none,costOprStSize,0.3851972500523195,inter_all_total32_ext8_reference
none,East < PL,none,none,battery < lithiumBattery,none,none,costOprStSize,0.22803256594514906,inter_all_total32_ext8_reference
none,East < SI,none,none,battery < lithiumBattery,none,none,costOprStSize,0.33910264850188987,inter_all_total32_ext8_reference
none,East < SK,none,none,battery < lithiumBattery,none,none,costOprStSize,0.32607881786704207,inter_all_total32_ext8_reference
none,FR_ < FR,none,none,battery < lithiumBattery,none,none,costOprStSize,0.33720313046444644,inter_all_total32_ext8_reference
none,IT_ < IT,none,none,battery < lithiumBattery,none,none,costOprStSize,0.4098053031154483,inter_all_total32_ext8_reference
none,Iberia < ES,none,none,battery < lithiumBattery,none,none,costOprStSize,0.5008246909415772,inter_all_total32_ext8_reference
none,Iberia < PT,none,none,battery < lithiumBattery,none,none,costOprStSize,0.40322799938763326,inter_all_total32_ext8_reference
