timestep_superordinate_dispatch,region,region_from,region_to,technology,exchange,carrier,variable,value,objName
30th < 2040,EU < AT < at,none,none,battery < lithiumBattery,none,none,costOprStSize,1.6926157781179364e-5,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
30th < 2040,EU < BE < be,none,none,battery < lithiumBattery,none,none,costOprStSize,1.6903319745992992e-5,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
30th < 2040,EU < BG < bg,none,none,battery < lithiumBattery,none,none,costOprStSize,1.683874390750552e-5,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
30th < 2040,EU < CZ < cz,none,none,battery < lithiumBattery,none,none,costOprStSize,1.69821243720259e-5,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
30th < 2040,EU < DE < de,none,none,battery < lithiumBattery,none,none,costOprStSize,1.6931742727056115e-5,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
30th < 2040,EU < DK < dk_e,none,none,battery < lithiumBattery,none,none,costOprStSize,1.69260041804456e-5,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
30th < 2040,EU < DK < dk_w,none,none,battery < lithiumBattery,none,none,costOprStSize,1.6902041407271876e-5,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
30th < 2040,EU < EE < ee,none,none,battery < lithiumBattery,none,none,costOprStSize,1.688972208846174e-5,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
30th < 2040,EU < ES < es,none,none,battery < lithiumBattery,none,none,costOprStSize,1.693738506825986e-5,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
30th < 2040,EU < FI < fi,none,none,battery < lithiumBattery,none,none,costOprStSize,1.6988568681956378e-5,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
30th < 2040,EU < FR < fr,none,none,battery < lithiumBattery,none,none,costOprStSize,1.6932150619583954e-5,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
30th < 2040,EU < FR < fr_co,none,none,battery < lithiumBattery,none,none,costOprStSize,1.701213886278513e-5,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
30th < 2040,EU < GR < gr,none,none,battery < lithiumBattery,none,none,costOprStSize,1.6939212962273194e-5,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
30th < 2040,EU < HR < hr,none,none,battery < lithiumBattery,none,none,costOprStSize,1.6908919956956033e-5,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
30th < 2040,EU < HU < hu,none,none,battery < lithiumBattery,none,none,costOprStSize,1.690646542236676e-5,96hours_96hoursHeu_nucChp_allTec_NOAKnuCost_40nuYear
