name,time,case,spatialScope,scenario,foresight,trust,dnsThrs,solve,workerCnt,threads,ram
his_aa_all_all_,8760,his_aa,allCtr,all,0,qtrLvl_1,10000,scaleA,20,8,8
fut_aa_all_all_new,8760,fut_aa,allCtr,all,0,qtrLvl_1,10000,scaleA,20,8,8
his_bb_all_all_new,8760,his_bb,allCtr,all,0,qtrLvl_1,10000,scaleA,20,8,8
fut_bb_all_all_new,8760,fut_bb,allCtr,all,0,qtrLvl_1,10000,scaleA,20,8,8
his_cc_all_all_new,8760,his_cc,allCtr,all,0,qtrLvl_1,10000,scaleA,20,8,8
fut_cc_all_all_new,8760,fut_cc,allCtr,all,0,qtrLvl_1,10000,scaleA,20,8,8
fut_bb_test672_qtrLvl1_0Foc,672,fut_bb,allCtr,all,0,qtrLvl_1,10000,0to2to3,20,4,4
fut_bb_test672_qtrLvl2_0Foc,672,fut_bb,allCtr,all,0,qtrLvl_2,10000,0to2to3,20,4,4
fut_bb_test672_qtrLvl3_0Foc,672,fut_bb,allCtr,all,0,qtrLvl_3,10000,0to2to3,20,4,4
fut_bb_test672_qtrLvl1_13Foc,672,fut_bb,allCtr,all,0,qtrLvl_1,10000,1to3,20,4,4
fut_bb_test672_qtrLvl2_13Foc,672,fut_bb,allCtr,all,0,qtrLvl_2,10000,1to3,20,4,4
fut_bb_test672_qtrLvl3_13Foc,672,fut_bb,allCtr,all,0,qtrLvl_3,10000,1to3,20,4,4
test,672,fut_aa,5Ctr,all,0,qtrLvlBox_1,10000,1to01Log,1,14,4
test_5Ctr_allscr_qtrLvlBox1_1to01_log,672,fut_aa,allCtr,all,0,qtrLvlBox_1,10000,1to01Log,1,14,4
test_5Ctr_allscr_qtrLvl_1to01_log,672,fut_aa,allCtr,all,0,qtrLvl_1,10000,1to01Log,1,14,4
test_5Ctr_allscr_qtrLvlBox1_1to01_lin,672,fut_aa,allCtr,all,0,qtrLvlBox_1,10000,1to01Lin,1,14,4
test_5Ctr_allscr_qtrLvlBox1_1to01_exp,672,fut_aa,allCtr,all,0,qtrLvlBox_1,10000,1to01Exp,1,14,4
test_5Ctr_allscr_qtrLvlBox1_1to05_log,672,fut_aa,allCtr,all,0,qtrLvlBox_1,10000,1to05Log,1,14,4
test_5Ctr_allscr_qtrLvlBox1_1to05_lin,672,fut_aa,allCtr,all,0,qtrLvlBox_1,10000,1to05Lin,1,14,4
test_5Ctr_allscr_qtrLvlBox1_10cnt05thres,672,fut_aa,allCtr,all,0,qtrLvlBox_1,10000,10cnt05thres,1,14,4
test_5Ctr_allscr_qtrLvlBox1_10cnt1thres,672,fut_aa,allCtr,all,0,qtrLvlBox_1,10000,10cnt1thres,1,14,4
test_5Ctr_allscr_qtrLvlBox1_50cnt05thres,672,fut_aa,allCtr,all,0,qtrLvlBox_1,10000,50cnt05thres,1,14,4
test_5Ctr_allscr_qtrLvlBox1_50cnt1thres,672,fut_aa,allCtr,all,0,qtrLvlBox_1,10000,50cnt1thres,1,14,4
