region_1,technology_3,parameter_1,value_1,parameter_2,value_2
AL,reservoir,capaStOutResi,2.152,capaStSizeResi,1323.41
AT,reservoir,capaStOutResi,2.722,capaStSizeResi,1960.38
BA,reservoir,capaStOutResi,0.627,capaStSizeResi,804.29
BG,reservoir,capaStOutResi,1.904,capaStSizeResi,5.41
CH,reservoir,capaStOutResi,8.152,capaStSizeResi,9218.4
CZ,reservoir,capaStOutResi,0.712,capaStSizeResi,1.21
DE,reservoir,capaStOutResi,1.295,capaStSizeResi,257.65
ES,reservoir,capaStOutResi,10.969,capaStSizeResi,4221.09
FI,reservoir,capaStOutResi,3.2,capaStSizeResi,9036.16
FR,reservoir,capaStOutResi,8.434,capaStSizeResi,6694.34
GR,reservoir,capaStOutResi,2.504,capaStSizeResi,1601.15
HR,reservoir,capaStOutResi,1.7,capaStSizeResi,975.69
IT,reservoir,capaStOutResi,14.428,capaStSizeResi,8729
ME,reservoir,capaStOutResi,1.002,capaStSizeResi,868.38
MK,reservoir,capaStOutResi,0.659,capaStSizeResi,539.7
NO,reservoir,capaStOutResi,34.185,capaStSizeResi,133066.84
PL,reservoir,capaStOutResi,0.185,capaStSizeResi,0.8
PT,reservoir,capaStOutResi,3.762,capaStSizeResi,8541.42
RO,reservoir,capaStOutResi,2.371,capaStSizeResi,50.47
RS,reservoir,capaStOutResi,0.579,capaStSizeResi,696.06
SE,reservoir,capaStOutResi,16.399,capaStSizeResi,32600.63
