timestep_1,timestep_2,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,2040,EU,BG,bg,66BG,miscSpaceHeat,,bioBoilerSpace,expConvFix,3.666685520789
30th,2040,EU,FI,fi,74FI,miscSpaceHeat,,bioBoilerSpace,expConvFix,2.320298372514
30th,2040,EU,FI,fi,75FI,miscSpaceHeat,,bioBoilerSpace,expConvFix,6.511366917876
30th,2040,EU,FR,fr,23FR,miscSpaceHeat,,bioBoilerSpace,expConvFix,0.0
30th,2040,EU,LT,lt,77LT,miscSpaceHeat,,bioBoilerSpace,expConvFix,2.472220404152
30th,2040,EU,LV,lv,78LV,miscSpaceHeat,,bioBoilerSpace,expConvFix,2.140055095945
30th,2040,EU,RO,ro,59RO,miscSpaceHeat,,bioBoilerSpace,expConvFix,4.0967288372
30th,2040,EU,RO,ro,60RO,miscSpaceHeat,,bioBoilerSpace,expConvFix,1.510791273423
30th,2040,EU,RO,ro,61RO,miscSpaceHeat,,bioBoilerSpace,expConvFix,4.723098667486
30th,2040,EU,SE,se_1,86SE,miscSpaceHeat,,bioBoilerSpace,expConvFix,0.940659614002
30th,2040,EU,SE,se_2,87SE,miscSpaceHeat,,bioBoilerSpace,expConvFix,3.081047905946
30th,2040,EU,SE,se_3,88SE,miscSpaceHeat,,bioBoilerSpace,expConvFix,9.056201140487
30th,2040,EU,SE,se_4,89SE,miscSpaceHeat,,bioBoilerSpace,expConvFix,5.553952804837
30th,2040,nonEU,AL,al,70AL,miscSpaceHeat,,bioBoilerSpace,expConvFix,1.575255856515
30th,2040,nonEU,ME,me,64ME,miscSpaceHeat,,bioBoilerSpace,expConvFix,0.336555643808
30th,2040,nonEU,MK,mk,67MK,miscSpaceHeat,,bioBoilerSpace,expConvFix,1.212343643618
30th,2040,nonEU,RS,rs,65RS,miscSpaceHeat,,bioBoilerSpace,expConvFix,3.350923582562
