timestep_1,timestep_2,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,2040,EU,DK,dk_e,72DK,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,EU,DK,dk_w,38DK,networkHeat,heatGrid,districtHeatPro,expConvFix,0.1158
30th,2040,EU,ES,es,01ES,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,EU,ES,es,02ES,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,EU,ES,es,03ES,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,EU,ES,es,04ES,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,EU,ES,es,05ES,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,EU,ES,es,06ES,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,EU,ES,es,07ES,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,EU,ES,es,08ES,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,EU,ES,es,09ES,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,EU,ES,es,10ES,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,EU,ES,es,11ES,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,EU,FR,fr,14FR,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,EU,FR,fr,15FR,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,EU,FR,fr,16FR,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,EU,FR,fr,17FR,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,EU,FR,fr,18FR,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,EU,FR,fr,19FR,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,EU,FR,fr,20FR,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,EU,FR,fr,21FR,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,EU,FR,fr,22FR,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,EU,FR,fr,24FR,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,EU,FR,fr,25FR,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,EU,FR,fr,26FR,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,EU,FR,fr,27FR,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,EU,FR,fr_co,99FR,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,EU,GR,gr,68GR,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,EU,GR,gr,69GR,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,EU,IE,ie,96IE,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,EU,LU,lu,29LU,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,EU,LV,lv,78LV,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,EU,PL,pl,42PL,networkHeat,heatGrid,districtHeatPro,expConvFix,0.143
30th,2040,EU,RO,ro,59RO,networkHeat,heatGrid,districtHeatPro,expConvFix,0.1321
30th,2040,EU,RO,ro,61RO,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0913
30th,2040,EU,SE,se_1,86SE,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,nonEU,AL,al,70AL,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,nonEU,BA,ba,63BA,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,nonEU,CH,ch,48CH,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,nonEU,ME,me,64ME,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,nonEU,MK,mk,67MK,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,nonEU,NO,no_m,83NO,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,nonEU,NO,no_n,84NO,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,nonEU,NO,no_n,85NO,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,nonEU,NO,no_s,79NO,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,nonEU,NO,no_s,80NO,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,nonEU,NO,no_s,81NO,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,nonEU,NO,no_s,82NO,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,nonEU,RS,rs,65RS,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
30th,2040,nonEU,UK,ni,95UK,networkHeat,heatGrid,districtHeatPro,expConvFix,0.0
