timestep_1,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,EU,AT,at,49AT,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,AT,at,50AT,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,AT,at,51AT,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,BG,bg,66BG,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,DE,de,33DE,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,DE,de,35DE,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,DE,de,36DE,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,DE,de,37DE,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,EE,ee,73EE,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,ES,es,01ES,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,ES,es,02ES,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,ES,es,03ES,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,ES,es,04ES,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,ES,es,05ES,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,ES,es,06ES,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,ES,es,08ES,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,ES,es,09ES,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,ES,es,10ES,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,ES,es,11ES,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,FI,fi,74FI,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,FR,fr,16FR,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,FR,fr,18FR,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,FR,fr,19FR,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,FR,fr,20FR,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,FR,fr,22FR,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,FR,fr,23FR,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,FR,fr,26FR,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,GR,gr,68GR,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,GR,gr,69GR,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,HU,hu,58HU,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,IE,ie,96IE,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,IT,it_s,55IT,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,IT,it_sar,98IT,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,IT,it_sic,56IT,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,LT,lt,77LT,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,PL,pl,43PL,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,PL,pl,45PL,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,PT,pt,12PT,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,RO,ro,60RO,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,RO,ro,61RO,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,SE,se_2,87SE,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,SI,si,57SI,wind,onshore,onshore_a,expConvFix,0.0
30th,EU,SK,sk,46SK,wind,onshore,onshore_a,expConvFix,0.0
30th,nonEU,AL,al,70AL,wind,onshore,onshore_a,expConvFix,0.0
30th,nonEU,CH,ch,47CH,wind,onshore,onshore_a,expConvFix,0.0
30th,nonEU,CH,ch,48CH,wind,onshore,onshore_a,expConvFix,0.0
30th,nonEU,ME,me,64ME,wind,onshore,onshore_a,expConvFix,0.0
30th,nonEU,MK,mk,67MK,wind,onshore,onshore_a,expConvFix,0.0
30th,nonEU,NO,no_n,84NO,wind,onshore,onshore_a,expConvFix,0.0
30th,nonEU,NO,no_s,79NO,wind,onshore,onshore_a,expConvFix,0.0
30th,nonEU,RS,rs,65RS,wind,onshore,onshore_a,expConvFix,0.0
30th,nonEU,UK,uk,90UK,wind,onshore,onshore_a,expConvFix,0.0
30th,nonEU,UK,uk,91UK,wind,onshore,onshore_a,expConvFix,0.0
30th,nonEU,UK,uk,92UK,wind,onshore,onshore_a,expConvFix,0.0
