timestep_1,timestep_2,timestep_1,region_1,region_2,technology_1,technology_2,technology_3,parameter,value
30th,2040,,EU,AT,bioConversion,,biogasPlant,capaConvFix,0.0
30th,2040,,EU,BE,bioConversion,,biogasPlant,capaConvFix,0.0
30th,2040,,EU,BG,bioConversion,,biogasPlant,capaConvFix,0.0
30th,2040,,EU,CZ,bioConversion,,biogasPlant,capaConvFix,0.0
30th,2040,,EU,DE,bioConversion,,biogasPlant,capaConvFix,0.0
30th,2040,,EU,DK,bioConversion,,biogasPlant,capaConvFix,0.0
30th,2040,,EU,EE,bioConversion,,biogasPlant,capaConvFix,0.0
30th,2040,,EU,ES,bioConversion,,biogasPlant,capaConvFix,0.0
30th,2040,,EU,FI,bioConversion,,biogasPlant,capaConvFix,0.0
30th,2040,,EU,FR,bioConversion,,biogasPlant,capaConvFix,0.0
30th,2040,,EU,GR,bioConversion,,biogasPlant,capaConvFix,0.0
30th,2040,,EU,HR,bioConversion,,biogasPlant,capaConvFix,0.0
30th,2040,,EU,HU,bioConversion,,biogasPlant,capaConvFix,0.0
30th,2040,,EU,IE,bioConversion,,biogasPlant,capaConvFix,0.0
30th,2040,,EU,IT,bioConversion,,biogasPlant,capaConvFix,0.0
30th,2040,,EU,LT,bioConversion,,biogasPlant,capaConvFix,0.0
30th,2040,,EU,LU,bioConversion,,biogasPlant,capaConvFix,0.0
30th,2040,,EU,LV,bioConversion,,biogasPlant,capaConvFix,0.0
30th,2040,,EU,NL,bioConversion,,biogasPlant,capaConvFix,0.0
30th,2040,,EU,PL,bioConversion,,biogasPlant,capaConvFix,0.0
30th,2040,,EU,PT,bioConversion,,biogasPlant,capaConvFix,0.0
30th,2040,,EU,RO,bioConversion,,biogasPlant,capaConvFix,0.0
30th,2040,,EU,SE,bioConversion,,biogasPlant,capaConvFix,0.0
30th,2040,,EU,SI,bioConversion,,biogasPlant,capaConvFix,0.0
30th,2040,,EU,SK,bioConversion,,biogasPlant,capaConvFix,0.0
30th,2040,,nonEU,AL,bioConversion,,biogasPlant,capaConvFix,0.0
30th,2040,,nonEU,BA,bioConversion,,biogasPlant,capaConvFix,0.0
30th,2040,,nonEU,CH,bioConversion,,biogasPlant,capaConvFix,0.0
30th,2040,,nonEU,ME,bioConversion,,biogasPlant,capaConvFix,0.0
30th,2040,,nonEU,MK,bioConversion,,biogasPlant,capaConvFix,0.0
30th,2040,,nonEU,NO,bioConversion,,biogasPlant,capaConvFix,0.0
30th,2040,,nonEU,RS,bioConversion,,biogasPlant,capaConvFix,0.0
30th,2040,,nonEU,UK,bioConversion,,biogasPlant,capaConvFix,0.0
