timestep_1,timestep_2,timestep_1,region_1,region_2,region_3,region_4,technology_1,technology_2,technology_3,parameter,value
30th,2040,,EU,AT,at,49AT,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,AT,at,50AT,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,AT,at,51AT,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,BE,be,28BE,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.1361
30th,2040,,EU,BG,bg,66BG,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,CZ,cz,39CZ,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,CZ,cz,40CZ,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,DE,de,31DE,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0736
30th,2040,,EU,DE,de,32DE,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,DE,de,33DE,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.1893
30th,2040,,EU,DE,de,34DE,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0884
30th,2040,,EU,DE,de,35DE,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.1044
30th,2040,,EU,DE,de,36DE,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.1203
30th,2040,,EU,DE,de,37DE,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.1291
30th,2040,,EU,DK,dk_e,72DK,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,DK,dk_w,38DK,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,EE,ee,73EE,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,ES,es,01ES,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,ES,es,02ES,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,ES,es,03ES,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,ES,es,04ES,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,ES,es,05ES,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,ES,es,06ES,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.087
30th,2040,,EU,ES,es,07ES,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,ES,es,08ES,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,ES,es,09ES,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,ES,es,10ES,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,ES,es,11ES,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.1128
30th,2040,,EU,FI,fi,74FI,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,FI,fi,75FI,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,FR,fr,14FR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,FR,fr,15FR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,FR,fr,16FR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,FR,fr,17FR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,FR,fr,18FR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,FR,fr,19FR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,FR,fr,20FR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,FR,fr,21FR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,FR,fr,22FR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,FR,fr,23FR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.1274
30th,2040,,EU,FR,fr,24FR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,FR,fr,25FR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,FR,fr,26FR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,FR,fr,27FR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,FR,fr_co,99FR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,GR,gr,68GR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,GR,gr,69GR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,HR,hr,62HR,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,HU,hu,58HU,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,IE,ie,96IE,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,IT,it_cn,53IT,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.078
30th,2040,,EU,IT,it_cs,54IT,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.1461
30th,2040,,EU,IT,it_n,52IT,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.4178
30th,2040,,EU,IT,it_s,55IT,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.056
30th,2040,,EU,IT,it_sar,98IT,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,IT,it_sic,56IT,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,LT,lt,77LT,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0
30th,2040,,EU,LU,lu,29LU,miscProHeat,electricHeatPro,eBoilerProHigh,capaConvFix,0.0874
