timestep_4,region_2,technology_3,parameter,value
hh0001,AL,heatpumpGroundSpace,effConv,4.2064996614167605
hh0002,AL,heatpumpGroundSpace,effConv,4.734263328721495
hh0003,AL,heatpumpGroundSpace,effConv,4.492603130573382
hh0004,AL,heatpumpGroundSpace,effConv,4.727576449856132
hh0005,AL,heatpumpGroundSpace,effConv,4.926302942158266
hh0006,AL,heatpumpGroundSpace,effConv,4.815299876149942
hh0007,AL,heatpumpGroundSpace,effConv,4.675784156085325
hh0008,AL,heatpumpGroundSpace,effConv,4.4750167150292
hh0009,AL,heatpumpGroundSpace,effConv,5.174021064151285
hh0010,AL,heatpumpGroundSpace,effConv,5.680023486618495
hh0011,AL,heatpumpGroundSpace,effConv,5.893785401192968
hh0012,AL,heatpumpGroundSpace,effConv,6.06531693153691
hh0013,AL,heatpumpGroundSpace,effConv,6.11342940102737
hh0014,AL,heatpumpGroundSpace,effConv,6.240866233675558
hh0015,AL,heatpumpGroundSpace,effConv,6.301185568514498
hh0016,AL,heatpumpGroundSpace,effConv,6.31999999999999
hh0017,AL,heatpumpGroundSpace,effConv,6.31999999999999
hh0018,AL,heatpumpGroundSpace,effConv,6.31999999999999
hh0019,AL,heatpumpGroundSpace,effConv,6.31999999999999
hh0020,AL,heatpumpGroundSpace,effConv,6.31999999999999
hh0021,AL,heatpumpGroundSpace,effConv,6.31999999999999
hh0022,AL,heatpumpGroundSpace,effConv,6.31999999999999
hh0023,AL,heatpumpGroundSpace,effConv,6.31999999999999
hh0024,AL,heatpumpGroundSpace,effConv,6.31999999999999
hh0025,AL,heatpumpGroundSpace,effConv,6.273545788417081
hh0026,AL,heatpumpGroundSpace,effConv,6.293148564358646
hh0027,AL,heatpumpGroundSpace,effConv,6.100928233857393
hh0028,AL,heatpumpGroundSpace,effConv,5.966453203920777
hh0029,AL,heatpumpGroundSpace,effConv,5.814371130475985
hh0030,AL,heatpumpGroundSpace,effConv,5.412249965140793
hh0001,AT,heatpumpGroundSpace,effConv,4.009166224026282
hh0002,AT,heatpumpGroundSpace,effConv,4.2224495707911505
hh0003,AT,heatpumpGroundSpace,effConv,4.134525047920717
hh0004,AT,heatpumpGroundSpace,effConv,4.165723384958252
hh0005,AT,heatpumpGroundSpace,effConv,4.338773034808614
hh0006,AT,heatpumpGroundSpace,effConv,4.197533914809275
hh0007,AT,heatpumpGroundSpace,effConv,4.052090470694854
hh0008,AT,heatpumpGroundSpace,effConv,3.87469772032898
hh0009,AT,heatpumpGroundSpace,effConv,4.20545109292013
hh0010,AT,heatpumpGroundSpace,effConv,4.710261696686562
hh0011,AT,heatpumpGroundSpace,effConv,5.030315406114238
hh0012,AT,heatpumpGroundSpace,effConv,5.1871585922167975
hh0013,AT,heatpumpGroundSpace,effConv,5.2275789158820825
hh0014,AT,heatpumpGroundSpace,effConv,5.374489992979602
hh0015,AT,heatpumpGroundSpace,effConv,5.773634508430552
hh0016,AT,heatpumpGroundSpace,effConv,6.100896312729683
hh0017,AT,heatpumpGroundSpace,effConv,6.127636178701627
hh0018,AT,heatpumpGroundSpace,effConv,6.190828185525684
hh0019,AT,heatpumpGroundSpace,effConv,6.130604828328938
hh0020,AT,heatpumpGroundSpace,effConv,6.1300798868423545
hh0021,AT,heatpumpGroundSpace,effConv,6.225891389304893
hh0022,AT,heatpumpGroundSpace,effConv,6.256812481736713
hh0023,AT,heatpumpGroundSpace,effConv,6.125718290922245
hh0024,AT,heatpumpGroundSpace,effConv,6.055086100918365
hh0025,AT,heatpumpGroundSpace,effConv,5.814090193721713
hh0026,AT,heatpumpGroundSpace,effConv,5.611981915404545
hh0027,AT,heatpumpGroundSpace,effConv,5.345114217441157
hh0028,AT,heatpumpGroundSpace,effConv,5.172801042393942
hh0029,AT,heatpumpGroundSpace,effConv,4.983373801494605
hh0030,AT,heatpumpGroundSpace,effConv,4.72122875165031
hh0001,BA,heatpumpGroundSpace,effConv,4.2064996614167605
hh0002,BA,heatpumpGroundSpace,effConv,4.734263328721495
hh0003,BA,heatpumpGroundSpace,effConv,4.492603130573382
hh0004,BA,heatpumpGroundSpace,effConv,4.727576449856132
hh0005,BA,heatpumpGroundSpace,effConv,4.926302942158266
hh0006,BA,heatpumpGroundSpace,effConv,4.815299876149942
hh0007,BA,heatpumpGroundSpace,effConv,4.675784156085325
hh0008,BA,heatpumpGroundSpace,effConv,4.4750167150292
hh0009,BA,heatpumpGroundSpace,effConv,5.174021064151285
hh0010,BA,heatpumpGroundSpace,effConv,5.680023486618495
