timestep_5,region_4,technology_3,parameter,value
h0001,01ES,onshore_b,avaConv,0.295285068500343
h0002,01ES,onshore_b,avaConv,0.231731845898019
h0003,01ES,onshore_b,avaConv,0.342156711113577
h0004,01ES,onshore_b,avaConv,0.436613926468322
h0005,01ES,onshore_b,avaConv,0.732834150404917
h0006,01ES,onshore_b,avaConv,0.890000100000003
h0007,01ES,onshore_b,avaConv,0.767540679761912
h0008,01ES,onshore_b,avaConv,0.492198319220874
h0009,01ES,onshore_b,avaConv,0.328910452863254
h0010,01ES,onshore_b,avaConv,0.302699338088568
h0011,01ES,onshore_b,avaConv,0.257109940163257
h0012,01ES,onshore_b,avaConv,0.421507588632121
h0013,01ES,onshore_b,avaConv,0.433075528167781
h0014,01ES,onshore_b,avaConv,0.428247772160755
h0015,01ES,onshore_b,avaConv,0.0961265485904455
h0016,01ES,onshore_b,avaConv,0.0507482644779246
h0017,01ES,onshore_b,avaConv,0.114030784014096
h0018,01ES,onshore_b,avaConv,0.140791020835657
h0019,01ES,onshore_b,avaConv,0.135825418549468
h0020,01ES,onshore_b,avaConv,0.100502657198733
h0021,01ES,onshore_b,avaConv,0.0938757826597471
h0022,01ES,onshore_b,avaConv,0.208062247142702
h0023,01ES,onshore_b,avaConv,0.290692388642218
h0024,01ES,onshore_b,avaConv,0.530133477261484
h0025,01ES,onshore_b,avaConv,0.535630014088147
h0026,01ES,onshore_b,avaConv,0.455247380346234
h0027,01ES,onshore_b,avaConv,0.255913916340192
h0028,01ES,onshore_b,avaConv,0.249061207793655
h0029,01ES,onshore_b,avaConv,0.518777353485905
h0030,01ES,onshore_b,avaConv,0.789105913375821
h0031,01ES,onshore_b,avaConv,0.751598409066434
h0032,01ES,onshore_b,avaConv,0.503046365840236
h0033,01ES,onshore_b,avaConv,0.374800718683206
h0034,01ES,onshore_b,avaConv,0.358520286629089
h0035,01ES,onshore_b,avaConv,0.253008042616281
h0036,01ES,onshore_b,avaConv,0.266906200550003
h0037,01ES,onshore_b,avaConv,0.287423631707577
h0038,01ES,onshore_b,avaConv,0.371920158817092
h0039,01ES,onshore_b,avaConv,0.194580186146706
h0040,01ES,onshore_b,avaConv,0.429707252242222
h0041,01ES,onshore_b,avaConv,0.394205891208299
h0042,01ES,onshore_b,avaConv,0.399292159516687
h0043,01ES,onshore_b,avaConv,0.132071275081207
h0044,01ES,onshore_b,avaConv,0.219412914703316
h0045,01ES,onshore_b,avaConv,0.280922689296443
h0046,01ES,onshore_b,avaConv,0.243330368967888
h0047,01ES,onshore_b,avaConv,0.109033920325709
h0048,01ES,onshore_b,avaConv,0.0674347307551218
h0049,01ES,onshore_b,avaConv,0.171610180173081
h0050,01ES,onshore_b,avaConv,0.209573219461941
h0051,01ES,onshore_b,avaConv,0.164360660033431
h0052,01ES,onshore_b,avaConv,0.0806022439886709
h0053,01ES,onshore_b,avaConv,0.114179322070814
h0054,01ES,onshore_b,avaConv,0.208660277258175
h0055,01ES,onshore_b,avaConv,0.20848587935271
h0056,01ES,onshore_b,avaConv,0.163544787875508
h0057,01ES,onshore_b,avaConv,0.0928929432866252
h0058,01ES,onshore_b,avaConv,0.12314036440291
h0059,01ES,onshore_b,avaConv,0.268098771733752
h0060,01ES,onshore_b,avaConv,0.375103614129737
h0061,01ES,onshore_b,avaConv,0.443991938913418
h0062,01ES,onshore_b,avaConv,0.312586035517254
h0063,01ES,onshore_b,avaConv,0.201042781336007
h0064,01ES,onshore_b,avaConv,0.15543597374737
h0065,01ES,onshore_b,avaConv,0.214928814154649
h0066,01ES,onshore_b,avaConv,0.376081189422547
h0067,01ES,onshore_b,avaConv,0.589675871542057
h0068,01ES,onshore_b,avaConv,0.564200451692086
h0069,01ES,onshore_b,avaConv,0.39124503828597
h0070,01ES,onshore_b,avaConv,0.11133011606574
h0071,01ES,onshore_b,avaConv,0.103144437147732
h0072,01ES,onshore_b,avaConv,0.143186089753824
h0073,01ES,onshore_b,avaConv,0.131823320246866
h0074,01ES,onshore_b,avaConv,0.0594989774692286
h0075,01ES,onshore_b,avaConv,0.0265243358886428
h0076,01ES,onshore_b,avaConv,0.0636264433856624
h0077,01ES,onshore_b,avaConv,0.0760279619775215
h0078,01ES,onshore_b,avaConv,0.119485664916174
h0079,01ES,onshore_b,avaConv,0.178649426803111
h0080,01ES,onshore_b,avaConv,0.275216537081059
h0081,01ES,onshore_b,avaConv,0.207101725500016
h0082,01ES,onshore_b,avaConv,0.0934476862374505
h0083,01ES,onshore_b,avaConv,0.0
h0084,01ES,onshore_b,avaConv,0.0
h0085,01ES,onshore_b,avaConv,0.0100207999999976
h0086,01ES,onshore_b,avaConv,0.0608847859528164
h0087,01ES,onshore_b,avaConv,0.148858041628175
h0088,01ES,onshore_b,avaConv,0.418566148981739
h0089,01ES,onshore_b,avaConv,0.520795161813826
h0090,01ES,onshore_b,avaConv,0.46740899744948
h0091,01ES,onshore_b,avaConv,0.245564366029961
h0092,01ES,onshore_b,avaConv,0.143495716146465
h0093,01ES,onshore_b,avaConv,0.134053109675105
h0094,01ES,onshore_b,avaConv,0.204883140947957
h0095,01ES,onshore_b,avaConv,0.2477344671854
h0096,01ES,onshore_b,avaConv,0.213537809530878
h0097,01ES,onshore_b,avaConv,0.123512303391736
h0098,01ES,onshore_b,avaConv,0.153232497331696
h0099,01ES,onshore_b,avaConv,0.173851829075709
h0100,01ES,onshore_b,avaConv,0.192470403644405
h0101,01ES,onshore_b,avaConv,0.17720600257666
h0102,01ES,onshore_b,avaConv,0.243572394072734
h0103,01ES,onshore_b,avaConv,0.227235979033559
h0104,01ES,onshore_b,avaConv,0.377855921364671
h0105,01ES,onshore_b,avaConv,0.312674932729109
h0106,01ES,onshore_b,avaConv,0.321829286047108
h0107,01ES,onshore_b,avaConv,0.171721382604391
h0108,01ES,onshore_b,avaConv,0.250199969123416
h0109,01ES,onshore_b,avaConv,0.441279699618218
h0110,01ES,onshore_b,avaConv,0.464654353203639
h0111,01ES,onshore_b,avaConv,0.424223080031891
h0112,01ES,onshore_b,avaConv,0.500362335372661
h0113,01ES,onshore_b,avaConv,0.379365988318347
h0114,01ES,onshore_b,avaConv,0.399582537794897
h0115,01ES,onshore_b,avaConv,0.285834736643037
h0116,01ES,onshore_b,avaConv,0.287522227947224
h0117,01ES,onshore_b,avaConv,0.249436247535549
h0118,01ES,onshore_b,avaConv,0.181665519292384
h0119,01ES,onshore_b,avaConv,0.238213122203134
h0120,01ES,onshore_b,avaConv,0.300335631343966
h0001,02ES,onshore_b,avaConv,0.0291003819189938
h0002,02ES,onshore_b,avaConv,0.0659745867739949
h0003,02ES,onshore_b,avaConv,0.110497126978876
h0004,02ES,onshore_b,avaConv,0.155450668815035
h0005,02ES,onshore_b,avaConv,0.253852386576732
h0006,02ES,onshore_b,avaConv,0.560078672425991
h0007,02ES,onshore_b,avaConv,0.495303580531028
h0008,02ES,onshore_b,avaConv,0.437476906254626
h0009,02ES,onshore_b,avaConv,0.150835612892794
h0010,02ES,onshore_b,avaConv,0.147109483179477
h0011,02ES,onshore_b,avaConv,0.067027222728809
h0012,02ES,onshore_b,avaConv,0.275311577219991
h0013,02ES,onshore_b,avaConv,0.276344149431914
h0014,02ES,onshore_b,avaConv,0.286264091727016
h0015,02ES,onshore_b,avaConv,0.0259583565353074
h0016,02ES,onshore_b,avaConv,0.0243908501456181
h0017,02ES,onshore_b,avaConv,0.0490652414379306
h0018,02ES,onshore_b,avaConv,0.0393066334428596
h0019,02ES,onshore_b,avaConv,0.0396369445193633
h0020,02ES,onshore_b,avaConv,0.012557576301151
h0021,02ES,onshore_b,avaConv,0.0204419535606134
h0022,02ES,onshore_b,avaConv,0.100218515427314
h0023,02ES,onshore_b,avaConv,0.238697688415136
h0024,02ES,onshore_b,avaConv,0.418628623649903
h0025,02ES,onshore_b,avaConv,0.389952416704783
h0026,02ES,onshore_b,avaConv,0.30213064060321
h0027,02ES,onshore_b,avaConv,0.126299461424614
h0028,02ES,onshore_b,avaConv,0.270847537195295
h0029,02ES,onshore_b,avaConv,0.542432789030514
h0030,02ES,onshore_b,avaConv,0.885987200000002
h0031,02ES,onshore_b,avaConv,0.620714688945258
h0032,02ES,onshore_b,avaConv,0.281267140315801
h0033,02ES,onshore_b,avaConv,0.214390990861406
h0034,02ES,onshore_b,avaConv,0.265676533147117
h0035,02ES,onshore_b,avaConv,0.247203829320659
h0036,02ES,onshore_b,avaConv,0.294857387013975
h0037,02ES,onshore_b,avaConv,0.305349103136769
h0038,02ES,onshore_b,avaConv,0.323898181593053
h0039,02ES,onshore_b,avaConv,0.0692210245131648
h0040,02ES,onshore_b,avaConv,0.312906473894782
h0041,02ES,onshore_b,avaConv,0.303564140798308
h0042,02ES,onshore_b,avaConv,0.303537718258299
h0043,02ES,onshore_b,avaConv,0.0333713357315741
h0044,02ES,onshore_b,avaConv,0.0467969385517764
h0045,02ES,onshore_b,avaConv,0.0625306461204111
h0046,02ES,onshore_b,avaConv,0.057062286666534
h0047,02ES,onshore_b,avaConv,0.0506974389331511
h0048,02ES,onshore_b,avaConv,0.0950566605182116
h0049,02ES,onshore_b,avaConv,0.0710140296751749
h0050,02ES,onshore_b,avaConv,0.0750894004622895
h0051,02ES,onshore_b,avaConv,0.0227890519946254
h0052,02ES,onshore_b,avaConv,0.0269837602909875
h0053,02ES,onshore_b,avaConv,0.02715281997396
h0054,02ES,onshore_b,avaConv,0.0622984198921493
h0055,02ES,onshore_b,avaConv,0.0564691251448603
h0056,02ES,onshore_b,avaConv,0.0444842475607666
h0057,02ES,onshore_b,avaConv,0.0100989307920709
h0058,02ES,onshore_b,avaConv,0.0101747274974083
h0059,02ES,onshore_b,avaConv,0.0101831435892913
h0060,02ES,onshore_b,avaConv,0.0130614738618991
h0061,02ES,onshore_b,avaConv,0.0391815649321219
h0062,02ES,onshore_b,avaConv,0.0410718193613685
h0063,02ES,onshore_b,avaConv,0.0390794999504522
h0064,02ES,onshore_b,avaConv,0.0340370215709136
h0065,02ES,onshore_b,avaConv,0.0318587847417781
h0066,02ES,onshore_b,avaConv,0.0336756447359483
h0067,02ES,onshore_b,avaConv,0.0300668218918153
h0068,02ES,onshore_b,avaConv,0.0421786642623241
h0069,02ES,onshore_b,avaConv,0.0491444622421468
h0070,02ES,onshore_b,avaConv,0.049828064752767
h0071,02ES,onshore_b,avaConv,0.0759487281831009
h0072,02ES,onshore_b,avaConv,0.0788806774346111
h0073,02ES,onshore_b,avaConv,0.0784580655655029
h0074,02ES,onshore_b,avaConv,0.0382137250105208
h0075,02ES,onshore_b,avaConv,0.0352029146904702
h0076,02ES,onshore_b,avaConv,0.0250036412117033
h0077,02ES,onshore_b,avaConv,0.0289840155647743
h0078,02ES,onshore_b,avaConv,0.036266535988595
h0079,02ES,onshore_b,avaConv,0.0669904893778042
h0080,02ES,onshore_b,avaConv,0.0712741071231604
h0081,02ES,onshore_b,avaConv,0.0544234312421395
h0082,02ES,onshore_b,avaConv,0.0316421195276752
h0083,02ES,onshore_b,avaConv,0.0203378202476251
h0084,02ES,onshore_b,avaConv,0.0174152110883344
h0085,02ES,onshore_b,avaConv,0.0
h0086,02ES,onshore_b,avaConv,0.0100775599999988
h0087,02ES,onshore_b,avaConv,0.0131030367348581
h0088,02ES,onshore_b,avaConv,0.0489859515194023
h0089,02ES,onshore_b,avaConv,0.0868294314039232
h0090,02ES,onshore_b,avaConv,0.0881494309362907
h0091,02ES,onshore_b,avaConv,0.0622767110948898
h0092,02ES,onshore_b,avaConv,0.0228142947122652
h0093,02ES,onshore_b,avaConv,0.0428345996962149
h0094,02ES,onshore_b,avaConv,0.141562183468698
h0095,02ES,onshore_b,avaConv,0.169293114583135
h0096,02ES,onshore_b,avaConv,0.143097976174366
h0097,02ES,onshore_b,avaConv,0.0343102371953027
h0098,02ES,onshore_b,avaConv,0.112112856002023
h0099,02ES,onshore_b,avaConv,0.115502224500885
h0100,02ES,onshore_b,avaConv,0.207214976191854
h0101,02ES,onshore_b,avaConv,0.0928453671353456
h0102,02ES,onshore_b,avaConv,0.152342275960823
h0103,02ES,onshore_b,avaConv,0.0791330200473488
h0104,02ES,onshore_b,avaConv,0.14317262378773
h0105,02ES,onshore_b,avaConv,0.0884616505281372
h0106,02ES,onshore_b,avaConv,0.099853027885894
h0107,02ES,onshore_b,avaConv,0.0854804605569823
h0108,02ES,onshore_b,avaConv,0.144476907717199
h0109,02ES,onshore_b,avaConv,0.204453353770019
h0110,02ES,onshore_b,avaConv,0.2964192984932
h0111,02ES,onshore_b,avaConv,0.304576304428283
h0112,02ES,onshore_b,avaConv,0.547764395022999
h0113,02ES,onshore_b,avaConv,0.383462153987839
h0114,02ES,onshore_b,avaConv,0.352676056141804
h0115,02ES,onshore_b,avaConv,0.301137495950342
h0116,02ES,onshore_b,avaConv,0.399447450777256
h0117,02ES,onshore_b,avaConv,0.342673351990704
h0118,02ES,onshore_b,avaConv,0.0904321198303239
h0119,02ES,onshore_b,avaConv,0.0222058863032281
h0120,02ES,onshore_b,avaConv,0.0422455346930931
h0001,03ES,onshore_b,avaConv,0.13028295670747
h0002,03ES,onshore_b,avaConv,0.134884137976432
h0003,03ES,onshore_b,avaConv,0.224375203503163
h0004,03ES,onshore_b,avaConv,0.238965201887717
h0005,03ES,onshore_b,avaConv,0.420442320403992
h0006,03ES,onshore_b,avaConv,0.629094643028733
h0007,03ES,onshore_b,avaConv,0.564934732042169
h0008,03ES,onshore_b,avaConv,0.458293331212984
h0009,03ES,onshore_b,avaConv,0.231256437626366
h0010,03ES,onshore_b,avaConv,0.208642002300901
h0011,03ES,onshore_b,avaConv,0.0789508233681738
h0012,03ES,onshore_b,avaConv,0.306833493929944
h0013,03ES,onshore_b,avaConv,0.31080799719659
h0014,03ES,onshore_b,avaConv,0.335351600440899
h0015,03ES,onshore_b,avaConv,0.0499960429175747
h0016,03ES,onshore_b,avaConv,0.0416335924392153
h0017,03ES,onshore_b,avaConv,0.237207314207749
h0018,03ES,onshore_b,avaConv,0.191433067713941
h0019,03ES,onshore_b,avaConv,0.231788152555344
h0020,03ES,onshore_b,avaConv,0.0332028739184637
h0021,03ES,onshore_b,avaConv,0.0333698738189766
h0022,03ES,onshore_b,avaConv,0.280652323089887
h0023,03ES,onshore_b,avaConv,0.38341860841878
h0024,03ES,onshore_b,avaConv,0.658342562562547
h0025,03ES,onshore_b,avaConv,0.566790364749769
h0026,03ES,onshore_b,avaConv,0.536968246051484
h0027,03ES,onshore_b,avaConv,0.276915337232309
h0028,03ES,onshore_b,avaConv,0.393277613716097
h0029,03ES,onshore_b,avaConv,0.599724691354019
h0030,03ES,onshore_b,avaConv,0.889999699999993
h0031,03ES,onshore_b,avaConv,0.591841113475151
h0032,03ES,onshore_b,avaConv,0.317840954155719
h0033,03ES,onshore_b,avaConv,0.411996816200136
h0034,03ES,onshore_b,avaConv,0.520361294575046
h0035,03ES,onshore_b,avaConv,0.516158204012005
h0036,03ES,onshore_b,avaConv,0.491167285570198
h0037,03ES,onshore_b,avaConv,0.50825979808619
h0038,03ES,onshore_b,avaConv,0.514367019569313
h0039,03ES,onshore_b,avaConv,0.143312261833921
h0040,03ES,onshore_b,avaConv,0.291335172914619
h0041,03ES,onshore_b,avaConv,0.286326590399
h0042,03ES,onshore_b,avaConv,0.302371921719268
h0043,03ES,onshore_b,avaConv,0.126521133646694
h0044,03ES,onshore_b,avaConv,0.241183613571814
h0045,03ES,onshore_b,avaConv,0.347158488446382
h0046,03ES,onshore_b,avaConv,0.285578003698862
h0047,03ES,onshore_b,avaConv,0.198227933726157
h0048,03ES,onshore_b,avaConv,0.207113260341797
h0049,03ES,onshore_b,avaConv,0.20741579760426
h0050,03ES,onshore_b,avaConv,0.199835921195915
h0051,03ES,onshore_b,avaConv,0.122349384025667
h0052,03ES,onshore_b,avaConv,0.0867806318313306
h0053,03ES,onshore_b,avaConv,0.111096189543233
h0054,03ES,onshore_b,avaConv,0.153232507251066
h0055,03ES,onshore_b,avaConv,0.113667631916548
h0056,03ES,onshore_b,avaConv,0.128147600700762
h0057,03ES,onshore_b,avaConv,0.0594376534494474
h0058,03ES,onshore_b,avaConv,0.06620198233703
h0059,03ES,onshore_b,avaConv,0.0468528388801961
h0060,03ES,onshore_b,avaConv,0.0535395267690785
h0061,03ES,onshore_b,avaConv,0.125505576249854
h0062,03ES,onshore_b,avaConv,0.0961095146773586
h0063,03ES,onshore_b,avaConv,0.0919259843838811
h0064,03ES,onshore_b,avaConv,0.103597454514557
h0065,03ES,onshore_b,avaConv,0.116369277248864
h0066,03ES,onshore_b,avaConv,0.169166851863413
h0067,03ES,onshore_b,avaConv,0.237755522874278
h0068,03ES,onshore_b,avaConv,0.215340406243775
h0069,03ES,onshore_b,avaConv,0.20081446239368
h0070,03ES,onshore_b,avaConv,0.107792637319661
h0071,03ES,onshore_b,avaConv,0.140964474345621
h0072,03ES,onshore_b,avaConv,0.194642433026604
h0073,03ES,onshore_b,avaConv,0.209749224241915
h0074,03ES,onshore_b,avaConv,0.217732766424288
h0075,03ES,onshore_b,avaConv,0.216249441490631
h0076,03ES,onshore_b,avaConv,0.149738639708428
h0077,03ES,onshore_b,avaConv,0.138461622176331
h0078,03ES,onshore_b,avaConv,0.113529515415816
h0079,03ES,onshore_b,avaConv,0.172279266642572
h0080,03ES,onshore_b,avaConv,0.178515537767819
h0081,03ES,onshore_b,avaConv,0.108808197368858
h0082,03ES,onshore_b,avaConv,0.13676669835548
h0083,03ES,onshore_b,avaConv,0.0667531484175142
h0084,03ES,onshore_b,avaConv,0.0553746606176275
h0085,03ES,onshore_b,avaConv,0.0100159300000012
h0086,03ES,onshore_b,avaConv,0.0129973261723183
h0087,03ES,onshore_b,avaConv,0.0327626027817873
h0088,03ES,onshore_b,avaConv,0.119452353030687
h0089,03ES,onshore_b,avaConv,0.263649178862565
h0090,03ES,onshore_b,avaConv,0.261091229661338
h0091,03ES,onshore_b,avaConv,0.133061624759973
h0092,03ES,onshore_b,avaConv,0.0452065270001086
h0093,03ES,onshore_b,avaConv,0.127114338657043
h0094,03ES,onshore_b,avaConv,0.282805498234706
h0095,03ES,onshore_b,avaConv,0.300659430439682
h0096,03ES,onshore_b,avaConv,0.202340335184857
h0097,03ES,onshore_b,avaConv,0.128504014896204
h0098,03ES,onshore_b,avaConv,0.328061749197905
h0099,03ES,onshore_b,avaConv,0.361747221577573
h0100,03ES,onshore_b,avaConv,0.466353921363742
h0101,03ES,onshore_b,avaConv,0.262836444700179
h0102,03ES,onshore_b,avaConv,0.320205373790053
h0103,03ES,onshore_b,avaConv,0.206746833352652
h0104,03ES,onshore_b,avaConv,0.244749561317835
h0105,03ES,onshore_b,avaConv,0.268107008172109
h0106,03ES,onshore_b,avaConv,0.295270486146636
h0107,03ES,onshore_b,avaConv,0.405547955186643
h0108,03ES,onshore_b,avaConv,0.494257579539225
h0109,03ES,onshore_b,avaConv,0.610423810506409
h0110,03ES,onshore_b,avaConv,0.628690664574622
h0111,03ES,onshore_b,avaConv,0.668273350183804
h0112,03ES,onshore_b,avaConv,0.813797356851568
h0113,03ES,onshore_b,avaConv,0.662745197292978
h0114,03ES,onshore_b,avaConv,0.630807573270652
h0115,03ES,onshore_b,avaConv,0.534454818980928
h0116,03ES,onshore_b,avaConv,0.751496788125331
h0117,03ES,onshore_b,avaConv,0.586244128060016
h0118,03ES,onshore_b,avaConv,0.333535543967306
h0119,03ES,onshore_b,avaConv,0.18947778011119
h0120,03ES,onshore_b,avaConv,0.259418665935849
h0001,04ES,onshore_b,avaConv,0.0104814765430755
h0002,04ES,onshore_b,avaConv,0.0380455365629576
h0003,04ES,onshore_b,avaConv,0.0656018069082223
h0004,04ES,onshore_b,avaConv,0.0821440298078967
