timestep_6,region_1,carrier_1,scenario_1,parameter,value
h0001,AT,electricity,scr2094,dem,44.322967964276955
h0002,AT,electricity,scr2094,dem,45.82402839636096
h0003,AT,electricity,scr2094,dem,41.39031997367796
h0004,AT,electricity,scr2094,dem,37.260522451723
h0005,AT,electricity,scr2094,dem,32.037666946275564
h0006,AT,electricity,scr2094,dem,28.19968493549534
h0007,AT,electricity,scr2094,dem,31.89042825687401
h0008,AT,electricity,scr2094,dem,32.44380037715631
h0009,AT,electricity,scr2094,dem,36.8863220323337
h0010,AT,electricity,scr2094,dem,29.484466863778152
h0011,AT,electricity,scr2094,dem,28.306861447720586
h0012,AT,electricity,scr2094,dem,32.88250481055485
h0013,AT,electricity,scr2094,dem,39.39647142827185
h0014,AT,electricity,scr2094,dem,40.74723172708
h0015,AT,electricity,scr2094,dem,35.670024441699745
h0016,AT,electricity,scr2094,dem,31.435377802610198
h0017,AT,electricity,scr2094,dem,29.081563851535556
h0018,AT,electricity,scr2094,dem,26.644657413299463
h0019,AT,electricity,scr2094,dem,23.299359953306976
h0020,AT,electricity,scr2094,dem,19.361609867871785
h0021,AT,electricity,scr2094,dem,16.477693732529005
h0022,AT,electricity,scr2094,dem,18.396484581301557
h0023,AT,electricity,scr2094,dem,21.208217151004554
h0024,AT,electricity,scr2094,dem,24.52352573919483
h0025,AT,electricity,scr2094,dem,22.170967531607367
h0026,AT,electricity,scr2094,dem,18.149329124594693
h0027,AT,electricity,scr2094,dem,13.62398739197339
h0028,AT,electricity,scr2094,dem,13.062059459125292
h0029,AT,electricity,scr2094,dem,14.011816953045725
h0030,AT,electricity,scr2094,dem,11.715072621148177
h0031,AT,electricity,scr2094,dem,12.779274725658604
h0032,AT,electricity,scr2094,dem,15.371900643368958
h0033,AT,electricity,scr2094,dem,17.115444844432467
h0034,AT,electricity,scr2094,dem,14.21846924110536
h0035,AT,electricity,scr2094,dem,10.024155052378187
h0036,AT,electricity,scr2094,dem,8.58871206234232
h0037,AT,electricity,scr2094,dem,7.903104701767495
h0038,AT,electricity,scr2094,dem,9.625502457516761
h0039,AT,electricity,scr2094,dem,10.09598258317448
h0040,AT,electricity,scr2094,dem,9.957872607196297
h0041,AT,electricity,scr2094,dem,6.762538796485586
h0042,AT,electricity,scr2094,dem,6.635795778672588
h0043,AT,electricity,scr2094,dem,6.020713699769198
h0044,AT,electricity,scr2094,dem,6.807397637019507
h0045,AT,electricity,scr2094,dem,6.535567342539487
h0046,AT,electricity,scr2094,dem,6.791891870504793
h0047,AT,electricity,scr2094,dem,6.209621991448498
h0048,AT,electricity,scr2094,dem,5.585770665192131
h0049,AT,electricity,scr2094,dem,5.158670139759356
h0050,AT,electricity,scr2094,dem,4.761168481353793
h0051,AT,electricity,scr2094,dem,4.724184457390585
h0052,AT,electricity,scr2094,dem,4.4465703116816595
h0053,AT,electricity,scr2094,dem,4.688563049629671
h0054,AT,electricity,scr2094,dem,4.825123113879194
h0055,AT,electricity,scr2094,dem,5.585336810720986
h0056,AT,electricity,scr2094,dem,6.612961422619422
h0057,AT,electricity,scr2094,dem,6.536498073102121
h0058,AT,electricity,scr2094,dem,7.055970543728643
h0059,AT,electricity,scr2094,dem,6.61610247525976
h0060,AT,electricity,scr2094,dem,7.807158564295619
h0061,AT,electricity,scr2094,dem,7.713576020128535
h0062,AT,electricity,scr2094,dem,8.195084140088042
h0063,AT,electricity,scr2094,dem,8.07322530497245
h0064,AT,electricity,scr2094,dem,7.0949597815533405
h0065,AT,electricity,scr2094,dem,6.982134868369431
h0066,AT,electricity,scr2094,dem,6.2722307168955815
h0067,AT,electricity,scr2094,dem,7.264803578416859
h0068,AT,electricity,scr2094,dem,7.05364415127658
h0069,AT,electricity,scr2094,dem,7.2554892414983865
h0070,AT,electricity,scr2094,dem,6.640466800256031
h0071,AT,electricity,scr2094,dem,6.008607369046627
h0072,AT,electricity,scr2094,dem,5.617078242331072
h0073,AT,electricity,scr2094,dem,4.981048996585198
h0074,AT,electricity,scr2094,dem,4.837115005754553
h0075,AT,electricity,scr2094,dem,4.493377884015912
h0076,AT,electricity,scr2094,dem,4.400613169978428
h0077,AT,electricity,scr2094,dem,4.386868676193581
h0078,AT,electricity,scr2094,dem,4.769897468392288
h0079,AT,electricity,scr2094,dem,5.673996832685047
h0080,AT,electricity,scr2094,dem,5.689270852388608
h0081,AT,electricity,scr2094,dem,6.514485741240244
h0082,AT,electricity,scr2094,dem,6.46768641273242
h0083,AT,electricity,scr2094,dem,7.711658031055286
h0084,AT,electricity,scr2094,dem,7.80284664061509
h0085,AT,electricity,scr2094,dem,8.377668188272622
h0086,AT,electricity,scr2094,dem,8.296064286812452
h0087,AT,electricity,scr2094,dem,7.220865800799865
h0088,AT,electricity,scr2094,dem,7.034326629141925
h0089,AT,electricity,scr2094,dem,6.32625629997687
h0090,AT,electricity,scr2094,dem,7.2115228615473805
h0091,AT,electricity,scr2094,dem,7.192380723352963
h0092,AT,electricity,scr2094,dem,7.845022652292814
h0093,AT,electricity,scr2094,dem,7.68581194214358
h0094,AT,electricity,scr2094,dem,6.9283997519441325
h0095,AT,electricity,scr2094,dem,6.362666938406947
h0096,AT,electricity,scr2094,dem,5.562046159266157
h0001,CH,electricity,scr2094,dem,33.487865502037494
h0002,CH,electricity,scr2094,dem,33.26737421091934
h0003,CH,electricity,scr2094,dem,31.349787280562623
h0004,CH,electricity,scr2094,dem,30.501294708188368
h0005,CH,electricity,scr2094,dem,28.40286815749399
h0006,CH,electricity,scr2094,dem,25.027473956333893
h0007,CH,electricity,scr2094,dem,26.66095970452364
h0008,CH,electricity,scr2094,dem,26.441169708396185
h0009,CH,electricity,scr2094,dem,30.110636943004067
h0010,CH,electricity,scr2094,dem,25.658646783011832
h0011,CH,electricity,scr2094,dem,25.713559754009488
h0012,CH,electricity,scr2094,dem,27.066249402899434
h0013,CH,electricity,scr2094,dem,29.863224725471238
h0014,CH,electricity,scr2094,dem,30.49530743565311
h0015,CH,electricity,scr2094,dem,27.53776789677714
h0016,CH,electricity,scr2094,dem,24.0876659445976
h0017,CH,electricity,scr2094,dem,20.95874705123267
h0018,CH,electricity,scr2094,dem,20.719103739174763
h0019,CH,electricity,scr2094,dem,18.413436186938956
h0020,CH,electricity,scr2094,dem,17.27289813241586
h0021,CH,electricity,scr2094,dem,14.036380059874862
h0022,CH,electricity,scr2094,dem,16.106546626079187
h0023,CH,electricity,scr2094,dem,18.280897561483403
h0024,CH,electricity,scr2094,dem,21.572086272428052
h0025,CH,electricity,scr2094,dem,18.991562082254312
h0026,CH,electricity,scr2094,dem,14.939059857683658
h0027,CH,electricity,scr2094,dem,14.451638470530522
h0028,CH,electricity,scr2094,dem,16.779311118784232
h0029,CH,electricity,scr2094,dem,18.56259208108631
h0030,CH,electricity,scr2094,dem,12.979603971679127
h0031,CH,electricity,scr2094,dem,13.964186087990301
h0032,CH,electricity,scr2094,dem,15.781126522799385
h0033,CH,electricity,scr2094,dem,19.524477082489575
h0034,CH,electricity,scr2094,dem,16.406306095690603
h0035,CH,electricity,scr2094,dem,11.268957999160053
h0036,CH,electricity,scr2094,dem,7.096684765903992
h0037,CH,electricity,scr2094,dem,4.09226199410543
h0038,CH,electricity,scr2094,dem,5.107652882531864
h0039,CH,electricity,scr2094,dem,5.515762826491777
h0040,CH,electricity,scr2094,dem,5.479929891613995
h0041,CH,electricity,scr2094,dem,3.5504727955794824
h0042,CH,electricity,scr2094,dem,3.2992578412164284
h0043,CH,electricity,scr2094,dem,3.062471376701081
