timestep_6,region_1,technology_1,scenario_1,parameter,value
h0001,AT,wind,scr2094,avaConv,0.5921644411981084
h0002,AT,wind,scr2094,avaConv,0.212222259447138
h0003,AT,wind,scr2094,avaConv,0.4630629325758896
h0004,AT,wind,scr2094,avaConv,0.5550364568000551
h0005,AT,wind,scr2094,avaConv,0.6866155513072213
h0006,AT,wind,scr2094,avaConv,0.5514674437671402
h0007,AT,wind,scr2094,avaConv,0.4158760988311749
h0008,AT,wind,scr2094,avaConv,0.44053236881745295
h0009,AT,wind,scr2094,avaConv,0.3364172600014981
h0010,AT,wind,scr2094,avaConv,0.33648677932284177
h0011,AT,wind,scr2094,avaConv,0.3549646284758573
h0012,AT,wind,scr2094,avaConv,0.40757720869753217
h0013,AT,wind,scr2094,avaConv,0.5151845329470883
h0014,AT,wind,scr2094,avaConv,0.9470457884392693
h0015,AT,wind,scr2094,avaConv,0.6626186157575858
h0016,AT,wind,scr2094,avaConv,0.32542670905268745
h0017,AT,wind,scr2094,avaConv,0.0
h0018,AT,wind,scr2094,avaConv,0.026943091718711083
h0019,AT,wind,scr2094,avaConv,0.07438643828175666
h0020,AT,wind,scr2094,avaConv,0.226545138184878
h0021,AT,wind,scr2094,avaConv,0.34727130516540644
h0022,AT,wind,scr2094,avaConv,0.5216907318210358
h0023,AT,wind,scr2094,avaConv,0.6310252925174471
h0024,AT,wind,scr2094,avaConv,0.6760007924152779
h0025,AT,wind,scr2094,avaConv,0.3987341648293644
h0026,AT,wind,scr2094,avaConv,0.1477141281001364
h0027,AT,wind,scr2094,avaConv,0.03145017173227483
h0028,AT,wind,scr2094,avaConv,0.2033853916767946
h0029,AT,wind,scr2094,avaConv,0.4358262161789986
h0030,AT,wind,scr2094,avaConv,0.45626857663889175
h0031,AT,wind,scr2094,avaConv,0.2982439441021005
h0032,AT,wind,scr2094,avaConv,0.12217415126762766
h0033,AT,wind,scr2094,avaConv,0.40750906087335886
h0034,AT,wind,scr2094,avaConv,0.46989455170977096
h0035,AT,wind,scr2094,avaConv,0.43875976033710784
h0036,AT,wind,scr2094,avaConv,0.13096428511511118
h0037,AT,wind,scr2094,avaConv,0.14272015470108543
h0038,AT,wind,scr2094,avaConv,0.4571289978600507
h0039,AT,wind,scr2094,avaConv,0.48729353091071737
h0040,AT,wind,scr2094,avaConv,0.33868072827720935
h0041,AT,wind,scr2094,avaConv,0.05288212776152845
h0042,AT,wind,scr2094,avaConv,0.022288927839086155
h0043,AT,wind,scr2094,avaConv,0.006725000126157134
h0044,AT,wind,scr2094,avaConv,0.06657607505289202
h0045,AT,wind,scr2094,avaConv,0.05031067844791172
h0046,AT,wind,scr2094,avaConv,0.061492357225757154
h0047,AT,wind,scr2094,avaConv,0.03256893626838392
h0048,AT,wind,scr2094,avaConv,0.07429597800426195
h0049,AT,wind,scr2094,avaConv,0.13306414726222685
h0050,AT,wind,scr2094,avaConv,0.15320537405223603
h0051,AT,wind,scr2094,avaConv,0.1152530578585557
h0052,AT,wind,scr2094,avaConv,0.08419562999236906
h0053,AT,wind,scr2094,avaConv,0.02808168948626628
h0054,AT,wind,scr2094,avaConv,0.025766081920816152
h0055,AT,wind,scr2094,avaConv,0.006020293872756856
h0056,AT,wind,scr2094,avaConv,0.05232336691272758
h0057,AT,wind,scr2094,avaConv,0.04413280248305526
h0058,AT,wind,scr2094,avaConv,0.07834628703477718
h0059,AT,wind,scr2094,avaConv,0.022415983721564926
h0060,AT,wind,scr2094,avaConv,0.018602636263916995
h0061,AT,wind,scr2094,avaConv,0.004504623866807209
h0062,AT,wind,scr2094,avaConv,0.0036612593875080387
h0063,AT,wind,scr2094,avaConv,0.004360484477686862
h0064,AT,wind,scr2094,avaConv,0.00971475201866765
h0065,AT,wind,scr2094,avaConv,0.011479201052143066
h0066,AT,wind,scr2094,avaConv,0.010557336495622094
h0067,AT,wind,scr2094,avaConv,0.0006302069367981436
h0068,AT,wind,scr2094,avaConv,0.0005904932329729467
h0069,AT,wind,scr2094,avaConv,0.0018346058951333837
h0070,AT,wind,scr2094,avaConv,0.02374581557412928
h0071,AT,wind,scr2094,avaConv,0.028115169473287127
h0072,AT,wind,scr2094,avaConv,0.05124471400152436
h0073,AT,wind,scr2094,avaConv,0.0718160986041831
h0074,AT,wind,scr2094,avaConv,0.09346956660307713
h0075,AT,wind,scr2094,avaConv,0.0758052066869358
h0076,AT,wind,scr2094,avaConv,0.057269764442390056
h0077,AT,wind,scr2094,avaConv,0.034773846441952444
h0078,AT,wind,scr2094,avaConv,0.024546035921814226
h0079,AT,wind,scr2094,avaConv,0.018256211711163768
h0080,AT,wind,scr2094,avaConv,0.017075156509665415
h0081,AT,wind,scr2094,avaConv,0.016001047808484544
h0082,AT,wind,scr2094,avaConv,0.0013111563427627103
h0083,AT,wind,scr2094,avaConv,0.0029123563066080545
h0084,AT,wind,scr2094,avaConv,0.01466842248964053
h0085,AT,wind,scr2094,avaConv,0.15007545584504
h0086,AT,wind,scr2094,avaConv,0.26919538844411756
h0087,AT,wind,scr2094,avaConv,0.23880227907147009
h0088,AT,wind,scr2094,avaConv,0.0627762239165838
h0089,AT,wind,scr2094,avaConv,0.004133836155975371
h0090,AT,wind,scr2094,avaConv,0.0028543040364000954
h0091,AT,wind,scr2094,avaConv,0.003277150319868447
h0092,AT,wind,scr2094,avaConv,0.0021272531019192868
h0093,AT,wind,scr2094,avaConv,0.007669164751993875
h0094,AT,wind,scr2094,avaConv,0.02388353525850036
h0095,AT,wind,scr2094,avaConv,0.039993031504800484
h0096,AT,wind,scr2094,avaConv,0.12161767967971118
h0001,CH,wind,scr2094,avaConv,0.034231929312952054
h0002,CH,wind,scr2094,avaConv,0.010906684669843375
h0003,CH,wind,scr2094,avaConv,0.2947160491925789
h0004,CH,wind,scr2094,avaConv,0.5395010486555004
h0005,CH,wind,scr2094,avaConv,0.71955449519971
h0006,CH,wind,scr2094,avaConv,0.6255268236278485
h0007,CH,wind,scr2094,avaConv,0.7710724956421433
h0008,CH,wind,scr2094,avaConv,0.7789528980144822
h0009,CH,wind,scr2094,avaConv,0.7483443977235148
h0010,CH,wind,scr2094,avaConv,0.371972726476312
h0011,CH,wind,scr2094,avaConv,0.32090697109253763
h0012,CH,wind,scr2094,avaConv,0.09814085731408514
h0013,CH,wind,scr2094,avaConv,0.0991832634872126
h0014,CH,wind,scr2094,avaConv,0.12159958345906868
h0015,CH,wind,scr2094,avaConv,0.06449692750535496
h0016,CH,wind,scr2094,avaConv,0.031131611824777902
h0017,CH,wind,scr2094,avaConv,0.0004142657832626123
h0018,CH,wind,scr2094,avaConv,0.0005873964801694783
h0019,CH,wind,scr2094,avaConv,0.04511541994643206
h0020,CH,wind,scr2094,avaConv,0.38712728037983124
h0021,CH,wind,scr2094,avaConv,0.4286101271310296
h0022,CH,wind,scr2094,avaConv,0.3418419820036318
h0023,CH,wind,scr2094,avaConv,0.10740709942008893
h0024,CH,wind,scr2094,avaConv,0.1032234962445866
h0025,CH,wind,scr2094,avaConv,0.06414855668835619
h0026,CH,wind,scr2094,avaConv,0.00516244947526496
h0027,CH,wind,scr2094,avaConv,0.0250799311902113
h0028,CH,wind,scr2094,avaConv,0.09440840614216062
h0029,CH,wind,scr2094,avaConv,0.11086896017405716
h0030,CH,wind,scr2094,avaConv,0.05323255221594424
h0031,CH,wind,scr2094,avaConv,0.011170257684460463
h0032,CH,wind,scr2094,avaConv,0.01913027460330365
h0033,CH,wind,scr2094,avaConv,0.17504954469903683
h0034,CH,wind,scr2094,avaConv,0.15047751824633826
h0035,CH,wind,scr2094,avaConv,0.1319570362123983
h0036,CH,wind,scr2094,avaConv,0.003581991067597208
h0037,CH,wind,scr2094,avaConv,0.014603429566913954
h0038,CH,wind,scr2094,avaConv,0.007017773309717647
h0039,CH,wind,scr2094,avaConv,0.007660124835893817
h0040,CH,wind,scr2094,avaConv,0.0003286657380690748
h0041,CH,wind,scr2094,avaConv,0.0009605419287190317
h0042,CH,wind,scr2094,avaConv,0.002650577982776995
h0043,CH,wind,scr2094,avaConv,0.005582052712463342
h0044,CH,wind,scr2094,avaConv,0.012812125453974324
h0045,CH,wind,scr2094,avaConv,0.008999595164962739
h0046,CH,wind,scr2094,avaConv,0.013818893167664414
h0047,CH,wind,scr2094,avaConv,0.0048614207961087345
h0048,CH,wind,scr2094,avaConv,0.013177581729519657
h0049,CH,wind,scr2094,avaConv,0.004893293416149502
h0050,CH,wind,scr2094,avaConv,0.018374023461027556
h0051,CH,wind,scr2094,avaConv,0.014023095376836497
h0052,CH,wind,scr2094,avaConv,0.01919973370784894
h0053,CH,wind,scr2094,avaConv,0.004389994557990539
h0054,CH,wind,scr2094,avaConv,0.017545553765619334
h0055,CH,wind,scr2094,avaConv,0.012682429236996069
h0056,CH,wind,scr2094,avaConv,0.02773374311432383
