timestep_6,region_1,carrier_1,scenario_1,parameter,value
h0001,AT,electricity,scr2008,dem,21.146879884223598
h0002,AT,electricity,scr2008,dem,22.378160029530406
h0003,AT,electricity,scr2008,dem,23.782289763315603
h0004,AT,electricity,scr2008,dem,24.429509932351316
h0005,AT,electricity,scr2008,dem,24.56020656280751
h0006,AT,electricity,scr2008,dem,27.39405055288689
h0007,AT,electricity,scr2008,dem,27.791197656327384
h0008,AT,electricity,scr2008,dem,28.005678008118327
h0009,AT,electricity,scr2008,dem,24.926930120315
h0010,AT,electricity,scr2008,dem,25.743604272774096
h0011,AT,electricity,scr2008,dem,28.386065746350468
h0012,AT,electricity,scr2008,dem,30.220935916927512
h0013,AT,electricity,scr2008,dem,30.948011223655833
h0014,AT,electricity,scr2008,dem,28.87610115200946
h0015,AT,electricity,scr2008,dem,33.11870267035137
h0016,AT,electricity,scr2008,dem,39.86767083729202
h0017,AT,electricity,scr2008,dem,47.224693705416634
h0018,AT,electricity,scr2008,dem,51.117417457000286
h0019,AT,electricity,scr2008,dem,53.297775005130426
h0020,AT,electricity,scr2008,dem,56.54006204921386
h0021,AT,electricity,scr2008,dem,53.267918287034114
h0022,AT,electricity,scr2008,dem,47.159354470801595
h0023,AT,electricity,scr2008,dem,37.676384773479164
h0024,AT,electricity,scr2008,dem,30.29171374071164
h0025,AT,electricity,scr2008,dem,24.898989604600796
h0026,AT,electricity,scr2008,dem,22.270867963101093
h0027,AT,electricity,scr2008,dem,19.426343930002854
h0028,AT,electricity,scr2008,dem,20.019048926715662
h0029,AT,electricity,scr2008,dem,17.222849675258068
h0030,AT,electricity,scr2008,dem,17.6771262939987
h0031,AT,electricity,scr2008,dem,17.896989256546977
h0032,AT,electricity,scr2008,dem,15.939335776594515
h0033,AT,electricity,scr2008,dem,14.193674191963286
h0034,AT,electricity,scr2008,dem,9.930825462662845
h0035,AT,electricity,scr2008,dem,9.734142765938195
h0036,AT,electricity,scr2008,dem,9.088459085369802
h0037,AT,electricity,scr2008,dem,7.576255572153195
h0038,AT,electricity,scr2008,dem,9.124346438139359
h0039,AT,electricity,scr2008,dem,9.217044216703425
h0040,AT,electricity,scr2008,dem,14.863863003405768
h0041,AT,electricity,scr2008,dem,14.990643544913041
h0042,AT,electricity,scr2008,dem,14.563137865929942
h0043,AT,electricity,scr2008,dem,9.630622869249923
h0044,AT,electricity,scr2008,dem,7.669125197651829
h0045,AT,electricity,scr2008,dem,7.537565899077179
h0046,AT,electricity,scr2008,dem,6.741648547745041
h0047,AT,electricity,scr2008,dem,6.95991093708398
h0048,AT,electricity,scr2008,dem,6.24238637079248
h0049,AT,electricity,scr2008,dem,6.146392131402833
h0050,AT,electricity,scr2008,dem,5.746402376405023
h0051,AT,electricity,scr2008,dem,5.17652063510762
h0052,AT,electricity,scr2008,dem,4.941697902644324
