timestep_6,region_1,technology_1,scenario_1,parameter,value
h0001,AT,solar,scr1998,avaConv,0.0
h0002,AT,solar,scr1998,avaConv,0.0
h0003,AT,solar,scr1998,avaConv,0.0
h0004,AT,solar,scr1998,avaConv,0.0
h0005,AT,solar,scr1998,avaConv,0.0
h0006,AT,solar,scr1998,avaConv,0.0
h0007,AT,solar,scr1998,avaConv,0.0
h0008,AT,solar,scr1998,avaConv,0.0
h0009,AT,solar,scr1998,avaConv,0.005307507077313587
h0010,AT,solar,scr1998,avaConv,0.12258474485128432
h0011,AT,solar,scr1998,avaConv,0.70673499562573
h0012,AT,solar,scr1998,avaConv,0.8915201376819114
h0013,AT,solar,scr1998,avaConv,0.6261911556684564
h0014,AT,solar,scr1998,avaConv,0.2965344196190295
h0015,AT,solar,scr1998,avaConv,0.28732245296762354
h0016,AT,solar,scr1998,avaConv,0.12899746491770606
h0017,AT,solar,scr1998,avaConv,0.019141853109787686
h0018,AT,solar,scr1998,avaConv,0.00011416073997706414
h0019,AT,solar,scr1998,avaConv,0.0
h0020,AT,solar,scr1998,avaConv,0.0
h0021,AT,solar,scr1998,avaConv,0.0
h0022,AT,solar,scr1998,avaConv,0.0
h0023,AT,solar,scr1998,avaConv,0.0
h0024,AT,solar,scr1998,avaConv,0.0
h0025,AT,solar,scr1998,avaConv,0.0
h0026,AT,solar,scr1998,avaConv,0.0
h0027,AT,solar,scr1998,avaConv,0.0
h0028,AT,solar,scr1998,avaConv,0.0
h0029,AT,solar,scr1998,avaConv,0.0
h0030,AT,solar,scr1998,avaConv,0.0
h0031,AT,solar,scr1998,avaConv,0.005007856233119279
h0032,AT,solar,scr1998,avaConv,0.020367426496965654
h0033,AT,solar,scr1998,avaConv,0.04912295618642862
h0034,AT,solar,scr1998,avaConv,0.040190744973749026
h0035,AT,solar,scr1998,avaConv,0.13457567661101277
h0036,AT,solar,scr1998,avaConv,0.606815320609591
h0037,AT,solar,scr1998,avaConv,0.7666149463542098
h0038,AT,solar,scr1998,avaConv,0.8114766190497341
h0039,AT,solar,scr1998,avaConv,0.2243556726914308
h0040,AT,solar,scr1998,avaConv,0.12716911818296187
h0041,AT,solar,scr1998,avaConv,0.010232503810058476
h0042,AT,solar,scr1998,avaConv,0.002009401306359509
h0043,AT,solar,scr1998,avaConv,0.0
h0044,AT,solar,scr1998,avaConv,0.0
h0045,AT,solar,scr1998,avaConv,0.0
h0046,AT,solar,scr1998,avaConv,0.0
h0047,AT,solar,scr1998,avaConv,0.0
h0048,AT,solar,scr1998,avaConv,0.0
h0049,AT,solar,scr1998,avaConv,0.0
h0050,AT,solar,scr1998,avaConv,0.0
h0051,AT,solar,scr1998,avaConv,0.0
h0052,AT,solar,scr1998,avaConv,0.0
h0053,AT,solar,scr1998,avaConv,0.0004150283221650321
h0054,AT,solar,scr1998,avaConv,0.0012198452719593058
h0055,AT,solar,scr1998,avaConv,0.02697078350699489
h0056,AT,solar,scr1998,avaConv,0.1046846238057053
h0057,AT,solar,scr1998,avaConv,0.26766609435575245
h0058,AT,solar,scr1998,avaConv,0.4510597842999552
h0059,AT,solar,scr1998,avaConv,0.571896164424154
h0060,AT,solar,scr1998,avaConv,0.8322776839188993
h0061,AT,solar,scr1998,avaConv,0.8106384134137496
h0062,AT,solar,scr1998,avaConv,0.48183461716415193
h0063,AT,solar,scr1998,avaConv,0.32780828367589
h0064,AT,solar,scr1998,avaConv,0.14029930362594836
h0065,AT,solar,scr1998,avaConv,0.08120061416281928
h0066,AT,solar,scr1998,avaConv,0.007929208008930374
h0067,AT,solar,scr1998,avaConv,0.00028527763133207767
h0068,AT,solar,scr1998,avaConv,0.0
h0069,AT,solar,scr1998,avaConv,0.0
h0070,AT,solar,scr1998,avaConv,0.0
h0071,AT,solar,scr1998,avaConv,0.0
h0072,AT,solar,scr1998,avaConv,0.0
h0073,AT,solar,scr1998,avaConv,0.0
h0074,AT,solar,scr1998,avaConv,0.0
h0075,AT,solar,scr1998,avaConv,0.0
h0076,AT,solar,scr1998,avaConv,0.0
h0077,AT,solar,scr1998,avaConv,0.0
h0078,AT,solar,scr1998,avaConv,0.0
h0079,AT,solar,scr1998,avaConv,0.011344736116015013
h0080,AT,solar,scr1998,avaConv,0.11636068316970125
h0081,AT,solar,scr1998,avaConv,0.47422559780519974
h0082,AT,solar,scr1998,avaConv,0.7939039544085997
h0083,AT,solar,scr1998,avaConv,0.5482445427283147
h0084,AT,solar,scr1998,avaConv,0.445929880827434
h0085,AT,solar,scr1998,avaConv,0.49628556973337035
h0086,AT,solar,scr1998,avaConv,0.6952241316209901
h0087,AT,solar,scr1998,avaConv,0.5328668773510422
h0088,AT,solar,scr1998,avaConv,0.28457247402142644
h0089,AT,solar,scr1998,avaConv,0.0927877270581317
h0090,AT,solar,scr1998,avaConv,0.020881356821423065
h0091,AT,solar,scr1998,avaConv,0.00011098069199578134
h0092,AT,solar,scr1998,avaConv,0.0
h0093,AT,solar,scr1998,avaConv,0.0
h0094,AT,solar,scr1998,avaConv,0.0
h0095,AT,solar,scr1998,avaConv,0.0
h0096,AT,solar,scr1998,avaConv,0.0
h0001,CH,solar,scr1998,avaConv,0.0
h0002,CH,solar,scr1998,avaConv,0.0
h0003,CH,solar,scr1998,avaConv,0.0
h0004,CH,solar,scr1998,avaConv,0.0
h0005,CH,solar,scr1998,avaConv,0.0
h0006,CH,solar,scr1998,avaConv,0.0
h0007,CH,solar,scr1998,avaConv,0.0
h0008,CH,solar,scr1998,avaConv,0.00013461775963882395
h0009,CH,solar,scr1998,avaConv,0.010383733902242525
h0010,CH,solar,scr1998,avaConv,0.12981316375119625
h0011,CH,solar,scr1998,avaConv,0.36242859531582805
h0012,CH,solar,scr1998,avaConv,0.5530878464488036
h0013,CH,solar,scr1998,avaConv,0.7637307644834116
h0014,CH,solar,scr1998,avaConv,0.7512545345602464
h0015,CH,solar,scr1998,avaConv,0.8428584757097922
h0016,CH,solar,scr1998,avaConv,0.5049759950485779
h0017,CH,solar,scr1998,avaConv,0.2228074311909088
h0018,CH,solar,scr1998,avaConv,0.03544027035012606
h0019,CH,solar,scr1998,avaConv,0.0
h0020,CH,solar,scr1998,avaConv,0.0
