timestep_6,region_1,technology_1,scenario_1,parameter,value
h0001,AT,solar,scr2080,avaConv,0.0
h0002,AT,solar,scr2080,avaConv,0.0
h0003,AT,solar,scr2080,avaConv,0.0
h0004,AT,solar,scr2080,avaConv,0.0
h0005,AT,solar,scr2080,avaConv,0.0
h0006,AT,solar,scr2080,avaConv,0.0
h0007,AT,solar,scr2080,avaConv,0.0
h0008,AT,solar,scr2080,avaConv,0.001848393412193762
h0009,AT,solar,scr2080,avaConv,0.024671997770307652
h0010,AT,solar,scr2080,avaConv,0.05142733439091653
h0011,AT,solar,scr2080,avaConv,0.18211886014296072
h0012,AT,solar,scr2080,avaConv,0.2887640742043919
h0013,AT,solar,scr2080,avaConv,0.57117464837344
h0014,AT,solar,scr2080,avaConv,0.3066881854828621
h0015,AT,solar,scr2080,avaConv,0.4335899127889786
h0016,AT,solar,scr2080,avaConv,0.1526875636789248
h0017,AT,solar,scr2080,avaConv,0.1203828459157971
h0018,AT,solar,scr2080,avaConv,0.0003898621559584665
h0019,AT,solar,scr2080,avaConv,0.0
h0020,AT,solar,scr2080,avaConv,0.0
h0021,AT,solar,scr2080,avaConv,0.0
h0022,AT,solar,scr2080,avaConv,0.0
h0023,AT,solar,scr2080,avaConv,0.0
h0024,AT,solar,scr2080,avaConv,0.0
h0025,AT,solar,scr2080,avaConv,0.0
h0026,AT,solar,scr2080,avaConv,0.0
h0027,AT,solar,scr2080,avaConv,0.0
h0028,AT,solar,scr2080,avaConv,0.0
h0029,AT,solar,scr2080,avaConv,0.0
h0030,AT,solar,scr2080,avaConv,0.0002157964944487416
h0031,AT,solar,scr2080,avaConv,0.014767797251009395
h0032,AT,solar,scr2080,avaConv,0.11905389653373903
h0033,AT,solar,scr2080,avaConv,0.41524691735570396
h0034,AT,solar,scr2080,avaConv,0.6249512593176144
h0035,AT,solar,scr2080,avaConv,0.8199685642665676
h0036,AT,solar,scr2080,avaConv,0.6457176635576276
h0037,AT,solar,scr2080,avaConv,0.425674263434803
h0038,AT,solar,scr2080,avaConv,0.24500574251444113
h0039,AT,solar,scr2080,avaConv,0.18452004034522676
h0040,AT,solar,scr2080,avaConv,0.15050979950964485
h0041,AT,solar,scr2080,avaConv,0.04904117885505666
h0042,AT,solar,scr2080,avaConv,0.009316244941970548
h0043,AT,solar,scr2080,avaConv,0.0012466465732286832
h0044,AT,solar,scr2080,avaConv,0.0004258243952743913
h0045,AT,solar,scr2080,avaConv,0.0
h0046,AT,solar,scr2080,avaConv,0.0
h0047,AT,solar,scr2080,avaConv,0.0
h0048,AT,solar,scr2080,avaConv,0.0
h0049,AT,solar,scr2080,avaConv,0.0
h0050,AT,solar,scr2080,avaConv,0.0
h0051,AT,solar,scr2080,avaConv,0.0
h0052,AT,solar,scr2080,avaConv,0.0
h0053,AT,solar,scr2080,avaConv,0.0007680683369002608
h0054,AT,solar,scr2080,avaConv,0.0159543825876708
h0055,AT,solar,scr2080,avaConv,0.08157941138503332
h0056,AT,solar,scr2080,avaConv,0.1939338673623618
h0057,AT,solar,scr2080,avaConv,0.23458740581260443
h0058,AT,solar,scr2080,avaConv,0.3484400831397005
h0059,AT,solar,scr2080,avaConv,0.4961474601425289
h0060,AT,solar,scr2080,avaConv,0.6131410516219182
h0061,AT,solar,scr2080,avaConv,0.6385599586472583
h0062,AT,solar,scr2080,avaConv,0.6038491422535666
h0063,AT,solar,scr2080,avaConv,0.4690267957944431
h0064,AT,solar,scr2080,avaConv,0.2651780979946728
h0065,AT,solar,scr2080,avaConv,0.06503207526712587
h0066,AT,solar,scr2080,avaConv,0.01597443353502612
h0067,AT,solar,scr2080,avaConv,0.0002554294789365699
h0068,AT,solar,scr2080,avaConv,0.0
h0069,AT,solar,scr2080,avaConv,0.0
h0070,AT,solar,scr2080,avaConv,0.0
