timestep_6,region_1,carrier_1,scenario_1,parameter,value
h0001,BE,electricity,scr1983,dem,9.374835271137197
h0002,BE,electricity,scr1983,dem,9.788034391126889
h0003,BE,electricity,scr1983,dem,9.537350892272908
h0004,BE,electricity,scr1983,dem,9.303721413137755
h0005,BE,electricity,scr1983,dem,8.994180200951735
h0006,BE,electricity,scr1983,dem,9.095342746437485
h0007,BE,electricity,scr1983,dem,9.278100976109908
h0008,BE,electricity,scr1983,dem,10.243631593106947
h0009,BE,electricity,scr1983,dem,11.480536076959854
h0010,BE,electricity,scr1983,dem,13.140983800377036
h0011,BE,electricity,scr1983,dem,12.739713809827965
h0012,BE,electricity,scr1983,dem,13.219919225369203
h0013,BE,electricity,scr1983,dem,12.760443732786463
h0014,BE,electricity,scr1983,dem,12.559889616681694
h0015,BE,electricity,scr1983,dem,11.860734283781287
h0016,BE,electricity,scr1983,dem,12.01457127435738
h0017,BE,electricity,scr1983,dem,12.991746646778594
h0018,BE,electricity,scr1983,dem,12.602238860799869
h0019,BE,electricity,scr1983,dem,13.148184948004182
h0020,BE,electricity,scr1983,dem,13.8247738067376
h0021,BE,electricity,scr1983,dem,14.521572115640296
h0022,BE,electricity,scr1983,dem,14.035229529464182
h0023,BE,electricity,scr1983,dem,13.926005637508375
h0024,BE,electricity,scr1983,dem,14.435757390866193
h0025,BE,electricity,scr1983,dem,14.142511442308667
h0026,BE,electricity,scr1983,dem,13.145102737677352
h0027,BE,electricity,scr1983,dem,11.88723778913409
h0028,BE,electricity,scr1983,dem,10.537411970364289
h0029,BE,electricity,scr1983,dem,9.470215264112976
h0030,BE,electricity,scr1983,dem,9.233268060451952
h0031,BE,electricity,scr1983,dem,9.447717236071266
h0032,BE,electricity,scr1983,dem,10.817071878686551
h0033,BE,electricity,scr1983,dem,11.656852397164883
h0034,BE,electricity,scr1983,dem,13.168083762260775
h0035,BE,electricity,scr1983,dem,12.411704278201857
h0036,BE,electricity,scr1983,dem,12.464162381335118
h0037,BE,electricity,scr1983,dem,12.237552177091803
h0038,BE,electricity,scr1983,dem,12.148521190869811
h0039,BE,electricity,scr1983,dem,11.807914757937759
h0040,BE,electricity,scr1983,dem,11.699528281842507
h0041,BE,electricity,scr1983,dem,12.46870032674694
h0042,BE,electricity,scr1983,dem,12.014126356648188
h0043,BE,electricity,scr1983,dem,12.530315153438583
h0044,BE,electricity,scr1983,dem,13.208238843724153
h0045,BE,electricity,scr1983,dem,13.452369432524602
h0046,BE,electricity,scr1983,dem,12.467180566192535
h0047,BE,electricity,scr1983,dem,12.329397822475666
h0048,BE,electricity,scr1983,dem,12.81435294408234
h0049,BE,electricity,scr1983,dem,12.70817591538373
h0050,BE,electricity,scr1983,dem,11.157651103584065
h0051,BE,electricity,scr1983,dem,10.032515481502763
h0052,BE,electricity,scr1983,dem,8.758848690749666
h0053,BE,electricity,scr1983,dem,8.102068682363296
h0054,BE,electricity,scr1983,dem,7.8439504901947465
h0055,BE,electricity,scr1983,dem,7.966307509860588
h0056,BE,electricity,scr1983,dem,9.006990443788922
h0057,BE,electricity,scr1983,dem,9.989481285444516
h0058,BE,electricity,scr1983,dem,11.548802551087913
h0059,BE,electricity,scr1983,dem,11.132568890072012
h0060,BE,electricity,scr1983,dem,10.922915692252982
h0061,BE,electricity,scr1983,dem,10.983718345542933
h0062,BE,electricity,scr1983,dem,11.149682778080638
h0063,BE,electricity,scr1983,dem,11.325406612975716
h0064,BE,electricity,scr1983,dem,11.1211125571045
h0065,BE,electricity,scr1983,dem,11.937895271317878
h0066,BE,electricity,scr1983,dem,11.179212704930833
h0067,BE,electricity,scr1983,dem,11.28259574993777
h0068,BE,electricity,scr1983,dem,11.121017735013464
h0069,BE,electricity,scr1983,dem,11.37411451365655
h0070,BE,electricity,scr1983,dem,10.634128853348916
h0071,BE,electricity,scr1983,dem,10.786233369391574
h0072,BE,electricity,scr1983,dem,11.499519449247334
h0073,BE,electricity,scr1983,dem,11.828804861884102
h0074,BE,electricity,scr1983,dem,10.780809918089002
h0075,BE,electricity,scr1983,dem,9.384863900841118
h0076,BE,electricity,scr1983,dem,7.928621693776893
h0077,BE,electricity,scr1983,dem,7.349997418331448
h0078,BE,electricity,scr1983,dem,7.225042830582481
h0079,BE,electricity,scr1983,dem,7.225964926935429
h0080,BE,electricity,scr1983,dem,8.07323327175677
h0081,BE,electricity,scr1983,dem,9.261575906315581
h0082,BE,electricity,scr1983,dem,11.060341679954028
h0083,BE,electricity,scr1983,dem,10.86714654405359
h0084,BE,electricity,scr1983,dem,11.134399190743093
h0085,BE,electricity,scr1983,dem,11.04607072548474
h0086,BE,electricity,scr1983,dem,11.132376125097892
h0087,BE,electricity,scr1983,dem,10.997980992211964
h0088,BE,electricity,scr1983,dem,10.917606624292542
h0089,BE,electricity,scr1983,dem,11.509036941428647
h0090,BE,electricity,scr1983,dem,10.667385524345818
h0091,BE,electricity,scr1983,dem,10.706902221635442
h0092,BE,electricity,scr1983,dem,10.741618754798868
h0093,BE,electricity,scr1983,dem,10.889172327880765
h0094,BE,electricity,scr1983,dem,10.678078529320285
h0095,BE,electricity,scr1983,dem,10.971173337492477
h0096,BE,electricity,scr1983,dem,11.490108334228406
h0097,BE,electricity,scr1983,dem,11.548985524370515
h0098,BE,electricity,scr1983,dem,10.14198231041604
h0099,BE,electricity,scr1983,dem,8.840465652880233
h0100,BE,electricity,scr1983,dem,7.123830576261341
h0101,BE,electricity,scr1983,dem,6.630575554971099
h0102,BE,electricity,scr1983,dem,6.648381755758475
