timestep_6,region_1,technology_3,scenario_1,parameter,value
h0001,BE,runOfRiver,scr1998,avaConv,0.5558852478193919
h0002,BE,runOfRiver,scr1998,avaConv,0.5705846575412383
h0003,BE,runOfRiver,scr1998,avaConv,0.5867393368687055
h0004,BE,runOfRiver,scr1998,avaConv,0.6148694755583948
h0005,BE,runOfRiver,scr1998,avaConv,0.6294505001853494
h0006,BE,runOfRiver,scr1998,avaConv,0.6229936001128173
h0007,BE,runOfRiver,scr1998,avaConv,0.6007018243096356
h0008,BE,runOfRiver,scr1998,avaConv,0.5761090101306792
h0009,BE,runOfRiver,scr1998,avaConv,0.5752751787354082
h0010,BE,runOfRiver,scr1998,avaConv,0.5869477557986429
h0011,BE,runOfRiver,scr1998,avaConv,0.6123695350535967
h0012,BE,runOfRiver,scr1998,avaConv,0.6144528256977175
h0013,BE,runOfRiver,scr1998,avaConv,0.6042440393846646
h0014,BE,runOfRiver,scr1998,avaConv,0.5794442184564197
h0015,BE,runOfRiver,scr1998,avaConv,0.553174308573049
h0016,BE,runOfRiver,scr1998,avaConv,0.5220933917344608
h0017,BE,runOfRiver,scr1998,avaConv,0.4874451141890575
h0018,BE,runOfRiver,scr1998,avaConv,0.45423553866024485
h0019,BE,runOfRiver,scr1998,avaConv,0.4270656792978062
h0020,BE,runOfRiver,scr1998,avaConv,0.40950096446755
h0021,BE,runOfRiver,scr1998,avaConv,0.39946074650162755
h0022,BE,runOfRiver,scr1998,avaConv,0.39276592305668506
h0023,BE,runOfRiver,scr1998,avaConv,0.38062874718856404
h0024,BE,runOfRiver,scr1998,avaConv,0.3651379739155274
h0025,BE,runOfRiver,scr1998,avaConv,0.3471272488842507
h0026,BE,runOfRiver,scr1998,avaConv,0.3318320769306182
h0027,BE,runOfRiver,scr1998,avaConv,0.3198846069367541
h0028,BE,runOfRiver,scr1998,avaConv,0.31212696529047534
h0029,BE,runOfRiver,scr1998,avaConv,0.30541617552117484
h0030,BE,runOfRiver,scr1998,avaConv,0.3010114598511706
h0031,BE,runOfRiver,scr1998,avaConv,0.3056259087630746
h0032,BE,runOfRiver,scr1998,avaConv,0.3634629229843692
h0033,BE,runOfRiver,scr1998,avaConv,0.4602943331369417
h0034,BE,runOfRiver,scr1998,avaConv,0.5500461412536453
h0035,BE,runOfRiver,scr1998,avaConv,0.5834045358017741
h0036,BE,runOfRiver,scr1998,avaConv,0.5746497974728744
h0037,BE,runOfRiver,scr1998,avaConv,0.562349277821647
h0038,BE,runOfRiver,scr1998,avaConv,0.5400348391822039
h0039,BE,runOfRiver,scr1998,avaConv,0.5060244651131776
h0040,BE,runOfRiver,scr1998,avaConv,0.46760564586276326
h0041,BE,runOfRiver,scr1998,avaConv,0.44002562994922373
h0042,BE,runOfRiver,scr1998,avaConv,0.41849331310432375
h0043,BE,runOfRiver,scr1998,avaConv,0.4011342831152353
h0044,BE,runOfRiver,scr1998,avaConv,0.38104733168948246
h0045,BE,runOfRiver,scr1998,avaConv,0.36346292298436916
h0046,BE,runOfRiver,scr1998,avaConv,0.3506882033245442
h0047,BE,runOfRiver,scr1998,avaConv,0.36450983846132046
h0048,BE,runOfRiver,scr1998,avaConv,0.39464895221841134
h0049,BE,runOfRiver,scr1998,avaConv,0.45883193644547415
h0050,BE,runOfRiver,scr1998,avaConv,0.4972575202040788
h0051,BE,runOfRiver,scr1998,avaConv,0.5195894627497155
h0052,BE,runOfRiver,scr1998,avaConv,0.526266348060483
h0053,BE,runOfRiver,scr1998,avaConv,0.5404520125359864
h0054,BE,runOfRiver,scr1998,avaConv,0.5604726987367419
h0055,BE,runOfRiver,scr1998,avaConv,0.5615152502019309
h0056,BE,runOfRiver,scr1998,avaConv,0.5529657694443131
h0057,BE,runOfRiver,scr1998,avaConv,0.5408691827621648
h0058,BE,runOfRiver,scr1998,avaConv,0.5512974288733581
h0059,BE,runOfRiver,scr1998,avaConv,0.5621407720449789
h0060,BE,runOfRiver,scr1998,avaConv,0.5636002967053506
h0061,BE,runOfRiver,scr1998,avaConv,0.533568250460678
h0062,BE,runOfRiver,scr1998,avaConv,0.49516993257484915
h0063,BE,runOfRiver,scr1998,avaConv,0.4542355386602448
h0064,BE,runOfRiver,scr1998,avaConv,0.4095009644675501
h0065,BE,runOfRiver,scr1998,avaConv,0.37246546046405865
h0066,BE,runOfRiver,scr1998,avaConv,0.3439849403232874
h0067,BE,runOfRiver,scr1998,avaConv,0.32365794434631673
h0068,BE,runOfRiver,scr1998,avaConv,0.3096105815040659
h0069,BE,runOfRiver,scr1998,avaConv,0.3001723972469516
h0070,BE,runOfRiver,scr1998,avaConv,0.2934590895603888
h0071,BE,runOfRiver,scr1998,avaConv,0.2882133058191602
h0072,BE,runOfRiver,scr1998,avaConv,0.28401602807884946
h0073,BE,runOfRiver,scr1998,avaConv,0.28002807029236293
h0074,BE,runOfRiver,scr1998,avaConv,0.2760395751071097
h0075,BE,runOfRiver,scr1998,avaConv,0.2749898808583794
h0076,BE,runOfRiver,scr1998,avaConv,0.27247045987551516
h0077,BE,runOfRiver,scr1998,avaConv,0.2691108891930983
h0078,BE,runOfRiver,scr1998,avaConv,0.2634407132468282
h0079,BE,runOfRiver,scr1998,avaConv,0.2588197199486807
h0080,BE,runOfRiver,scr1998,avaConv,0.2590297818604274
h0081,BE,runOfRiver,scr1998,avaConv,0.26155039999592405
h0082,BE,runOfRiver,scr1998,avaConv,0.27163060406904
h0083,BE,runOfRiver,scr1998,avaConv,0.28107758466912464
h0084,BE,runOfRiver,scr1998,avaConv,0.282336952986362
h0085,BE,runOfRiver,scr1998,avaConv,0.2739401487372595
h0086,BE,runOfRiver,scr1998,avaConv,0.26134035725774185
h0087,BE,runOfRiver,scr1998,avaConv,0.2535676469543399
h0088,BE,runOfRiver,scr1998,avaConv,0.2485246940404635
h0089,BE,runOfRiver,scr1998,avaConv,0.2455825285527964
h0090,BE,runOfRiver,scr1998,avaConv,0.24285022142677154
h0091,BE,runOfRiver,scr1998,avaConv,0.23990741410550914
h0092,BE,runOfRiver,scr1998,avaConv,0.23612330672846749
h0093,BE,runOfRiver,scr1998,avaConv,0.23275917902620152
h0094,BE,runOfRiver,scr1998,avaConv,0.23023578493062088
h0095,BE,runOfRiver,scr1998,avaConv,0.22813275903683736
h0096,BE,runOfRiver,scr1998,avaConv,0.2264502079267766
h0097,BE,runOfRiver,scr1998,avaConv,0.224767540021124
h0098,BE,runOfRiver,scr1998,avaConv,0.22266403962527256
h0099,BE,runOfRiver,scr1998,avaConv,0.21992921161461262
h0100,BE,runOfRiver,scr1998,avaConv,0.21719406648606235
h0101,BE,runOfRiver,scr1998,avaConv,0.21466903239005578
h0102,BE,runOfRiver,scr1998,avaConv,0.21235417498498824
h0103,BE,runOfRiver,scr1998,avaConv,0.21046002625825663
h0104,BE,runOfRiver,scr1998,avaConv,0.20877620550117135
h0105,BE,runOfRiver,scr1998,avaConv,0.2075132571852067
h0106,BE,runOfRiver,scr1998,avaConv,0.20603972723632652
h0107,BE,runOfRiver,scr1998,avaConv,0.20435557319571174
h0108,BE,runOfRiver,scr1998,avaConv,0.20225019946328354
h0109,BE,runOfRiver,scr1998,avaConv,0.1999340536267872
h0110,BE,runOfRiver,scr1998,avaConv,0.19782825091760603
h0111,BE,runOfRiver,scr1998,avaConv,0.19614345948605003
h0112,BE,runOfRiver,scr1998,avaConv,0.1946691572269389
h0113,BE,runOfRiver,scr1998,avaConv,0.19340538746102914
h0114,BE,runOfRiver,scr1998,avaConv,0.19214154140380088
h0115,BE,runOfRiver,scr1998,avaConv,0.19129893474839152
h0116,BE,runOfRiver,scr1998,avaConv,0.19403728185108132
h0117,BE,runOfRiver,scr1998,avaConv,0.19614345948605003
h0118,BE,runOfRiver,scr1998,avaConv,0.1967752718995305
h0119,BE,runOfRiver,scr1998,avaConv,0.19319475176219328
h0120,BE,runOfRiver,scr1998,avaConv,0.18961361851872857
h0121,BE,runOfRiver,scr1998,avaConv,0.19466915722693887
h0122,BE,runOfRiver,scr1998,avaConv,0.20140799319684294
h0123,BE,runOfRiver,scr1998,avaConv,0.2073027588704915
h0124,BE,runOfRiver,scr1998,avaConv,0.204776623737575
h0125,BE,runOfRiver,scr1998,avaConv,0.20119743653618827
h0126,BE,runOfRiver,scr1998,avaConv,0.27771900747676775
h0127,BE,runOfRiver,scr1998,avaConv,0.35466768451070146
h0128,BE,runOfRiver,scr1998,avaConv,0.4120106465946718
h0129,BE,runOfRiver,scr1998,avaConv,0.37602402504306986
h0130,BE,runOfRiver,scr1998,avaConv,0.3295267488395057
h0131,BE,runOfRiver,scr1998,avaConv,0.295137551816692
h0132,BE,runOfRiver,scr1998,avaConv,0.271210666972689
h0133,BE,runOfRiver,scr1998,avaConv,0.2623905550632367
h0134,BE,runOfRiver,scr1998,avaConv,0.26785094835433143
h0135,BE,runOfRiver,scr1998,avaConv,0.28506540225413907
h0136,BE,runOfRiver,scr1998,avaConv,0.2924100044440021
h0137,BE,runOfRiver,scr1998,avaConv,0.29031172701332797
h0138,BE,runOfRiver,scr1998,avaConv,0.291570710659181
h0139,BE,runOfRiver,scr1998,avaConv,0.30709400320822255
h0140,BE,runOfRiver,scr1998,avaConv,0.3529921658286349
h0141,BE,runOfRiver,scr1998,avaConv,0.3965318950318852
h0142,BE,runOfRiver,scr1998,avaConv,0.43375515259373626
h0143,BE,runOfRiver,scr1998,avaConv,0.4373085296607236
h0144,BE,runOfRiver,scr1998,avaConv,0.42602035823479834
h0145,BE,runOfRiver,scr1998,avaConv,0.42288424647173106
h0146,BE,runOfRiver,scr1998,avaConv,0.5129117449220923
h0147,BE,runOfRiver,scr1998,avaConv,0.6107028528175462
h0148,BE,runOfRiver,scr1998,avaConv,0.717285995612942
h0149,BE,runOfRiver,scr1998,avaConv,0.7522236621571341
h0150,BE,runOfRiver,scr1998,avaConv,0.7987826276239027
h0151,BE,runOfRiver,scr1998,avaConv,0.8122879935281813
h0152,BE,runOfRiver,scr1998,avaConv,0.7944188788550299
h0153,BE,runOfRiver,scr1998,avaConv,0.7520157475896918
h0154,BE,runOfRiver,scr1998,avaConv,0.7216540984810647
h0155,BE,runOfRiver,scr1998,avaConv,0.6975222554765974
h0156,BE,runOfRiver,scr1998,avaConv,0.6839965504638275
h0157,BE,runOfRiver,scr1998,avaConv,0.6765042692136061
h0158,BE,runOfRiver,scr1998,avaConv,0.6740066624172532
