timestep_3,timestep_5,region_4,technology_3,parameter,value
d001,h0001,01ES,bevPsngRoadPub,avaConv,0.364036472541741
d001,h0002,01ES,bevPsngRoadPub,avaConv,0.365381951680544
d001,h0003,01ES,bevPsngRoadPub,avaConv,0.401517893224437
d001,h0004,01ES,bevPsngRoadPub,avaConv,0.457761134814021
d001,h0005,01ES,bevPsngRoadPub,avaConv,0.517187520250949
d001,h0006,01ES,bevPsngRoadPub,avaConv,0.544823192000004
d001,h0007,01ES,bevPsngRoadPub,avaConv,0.53895718420946
d001,h0008,01ES,bevPsngRoadPub,avaConv,0.526582020781395
d001,h0009,01ES,bevPsngRoadPub,avaConv,0.508325011494557
d001,h0010,01ES,bevPsngRoadPub,avaConv,0.496434844103067
d001,h0011,01ES,bevPsngRoadPub,avaConv,0.466265713456848
d001,h0012,01ES,bevPsngRoadPub,avaConv,0.437663217296504
d001,h0013,01ES,bevPsngRoadPub,avaConv,0.401447325633659
d001,h0014,01ES,bevPsngRoadPub,avaConv,0.361320637006788
d001,h0015,01ES,bevPsngRoadPub,avaConv,0.301861414744982
d001,h0016,01ES,bevPsngRoadPub,avaConv,0.235930328778943
d001,h0017,01ES,bevPsngRoadPub,avaConv,0.22554046491579
d001,h0018,01ES,bevPsngRoadPub,avaConv,0.259388827962376
d001,h0019,01ES,bevPsngRoadPub,avaConv,0.291912367401201
d001,h0020,01ES,bevPsngRoadPub,avaConv,0.313281887988214
d001,h0021,01ES,bevPsngRoadPub,avaConv,0.341895550728382
d001,h0022,01ES,bevPsngRoadPub,avaConv,0.386008656871676
d001,h0023,01ES,bevPsngRoadPub,avaConv,0.419449418551577
d001,h0024,01ES,bevPsngRoadPub,avaConv,0.434806550077958
d002,h0025,01ES,bevPsngRoadPub,avaConv,0.438222047140591
d002,h0026,01ES,bevPsngRoadPub,avaConv,0.434598974918884
d002,h0027,01ES,bevPsngRoadPub,avaConv,0.428183301611809
d002,h0028,01ES,bevPsngRoadPub,avaConv,0.34789895361245
d002,h0029,01ES,bevPsngRoadPub,avaConv,0.348527464509807
d002,h0030,01ES,bevPsngRoadPub,avaConv,0.356069612978625
d002,h0031,01ES,bevPsngRoadPub,avaConv,0.42008153561141
d002,h0032,01ES,bevPsngRoadPub,avaConv,0.402687315236714
d002,h0033,01ES,bevPsngRoadPub,avaConv,0.368885033537594
d002,h0034,01ES,bevPsngRoadPub,avaConv,0.355691115065656
d002,h0035,01ES,bevPsngRoadPub,avaConv,0.337783400451186
d002,h0036,01ES,bevPsngRoadPub,avaConv,0.329880629755944
d002,h0037,01ES,bevPsngRoadPub,avaConv,0.323052914702635
d002,h0038,01ES,bevPsngRoadPub,avaConv,0.286338560237053
d002,h0039,01ES,bevPsngRoadPub,avaConv,0.24406486558611
d002,h0040,01ES,bevPsngRoadPub,avaConv,0.177785248186876
d002,h0041,01ES,bevPsngRoadPub,avaConv,0.126230379616939
d002,h0042,01ES,bevPsngRoadPub,avaConv,0.120787948117228
d002,h0043,01ES,bevPsngRoadPub,avaConv,0.190981089887507
d002,h0044,01ES,bevPsngRoadPub,avaConv,0.293888246243358
d002,h0045,01ES,bevPsngRoadPub,avaConv,0.345017652374507
d002,h0046,01ES,bevPsngRoadPub,avaConv,0.342963094546153
d002,h0047,01ES,bevPsngRoadPub,avaConv,0.334938891405517
d002,h0048,01ES,bevPsngRoadPub,avaConv,0.361723495614597
d003,h0049,01ES,bevPsngRoadPub,avaConv,0.437592038550183
d003,h0050,01ES,bevPsngRoadPub,avaConv,0.494892708806075
d003,h0051,01ES,bevPsngRoadPub,avaConv,0.528081960717909
d003,h0052,01ES,bevPsngRoadPub,avaConv,0.527750654945286
d003,h0053,01ES,bevPsngRoadPub,avaConv,0.516715841426685
d003,h0054,01ES,bevPsngRoadPub,avaConv,0.499658985413054
d003,h0055,01ES,bevPsngRoadPub,avaConv,0.479924790654543
d003,h0056,01ES,bevPsngRoadPub,avaConv,0.460054715648665
d003,h0057,01ES,bevPsngRoadPub,avaConv,0.436948495277084
d003,h0058,01ES,bevPsngRoadPub,avaConv,0.417515222870369
d003,h0059,01ES,bevPsngRoadPub,avaConv,0.394333976268995
d003,h0060,01ES,bevPsngRoadPub,avaConv,0.404107261766302
d003,h0061,01ES,bevPsngRoadPub,avaConv,0.414892646842269
d003,h0062,01ES,bevPsngRoadPub,avaConv,0.415947725056209
d003,h0063,01ES,bevPsngRoadPub,avaConv,0.390106315607373
d003,h0064,01ES,bevPsngRoadPub,avaConv,0.368256594416729
d003,h0065,01ES,bevPsngRoadPub,avaConv,0.360458929356156
d003,h0066,01ES,bevPsngRoadPub,avaConv,0.329325574959589
d003,h0067,01ES,bevPsngRoadPub,avaConv,0.335555340563809
d003,h0068,01ES,bevPsngRoadPub,avaConv,0.333902993150996
d003,h0069,01ES,bevPsngRoadPub,avaConv,0.34702694510664
d003,h0070,01ES,bevPsngRoadPub,avaConv,0.293418453869411
d003,h0071,01ES,bevPsngRoadPub,avaConv,0.223662173254039
d003,h0072,01ES,bevPsngRoadPub,avaConv,0.141789329402217
d004,h0073,01ES,bevPsngRoadPub,avaConv,0.0802407050000027
d004,h0074,01ES,bevPsngRoadPub,avaConv,0.183569842859675
d004,h0075,01ES,bevPsngRoadPub,avaConv,0.288409459150144
d004,h0076,01ES,bevPsngRoadPub,avaConv,0.377490359707494
d004,h0077,01ES,bevPsngRoadPub,avaConv,0.403657868845574
d004,h0078,01ES,bevPsngRoadPub,avaConv,0.399931549050226
d004,h0079,01ES,bevPsngRoadPub,avaConv,0.405115255397273
d004,h0080,01ES,bevPsngRoadPub,avaConv,0.419858976178417
d004,h0081,01ES,bevPsngRoadPub,avaConv,0.43505571769015
d004,h0082,01ES,bevPsngRoadPub,avaConv,0.434443250532857
d004,h0083,01ES,bevPsngRoadPub,avaConv,0.444056923621991
d004,h0084,01ES,bevPsngRoadPub,avaConv,0.449193449593084
d004,h0085,01ES,bevPsngRoadPub,avaConv,0.450511314459861
