timestep_3,region_4,carrier_1,parameter,value
d001,01ES,psngRoadPub,mustOut,0.5844037746496814
d002,01ES,psngRoadPub,mustOut,0.5230999582646564
d003,01ES,psngRoadPub,mustOut,0.6314836024999999
d004,01ES,psngRoadPub,mustOut,0.5037631413056586
d005,01ES,psngRoadPub,mustOut,0.5346822701459116
d006,01ES,psngRoadPub,mustOut,0.4682740456565975
d007,01ES,psngRoadPub,mustOut,0.5062205098433871
d008,01ES,psngRoadPub,mustOut,0.5444055773782557
d001,02ES,psngRoadPub,mustOut,0.5844037746496814
d002,02ES,psngRoadPub,mustOut,0.5230999582646564
d003,02ES,psngRoadPub,mustOut,0.6314836024999999
d004,02ES,psngRoadPub,mustOut,0.5037631413056586
d005,02ES,psngRoadPub,mustOut,0.5346822701459116
d006,02ES,psngRoadPub,mustOut,0.4682740456565975
d007,02ES,psngRoadPub,mustOut,0.5062205098433871
d008,02ES,psngRoadPub,mustOut,0.5444055773782557
d001,03ES,psngRoadPub,mustOut,0.5844037746496814
d002,03ES,psngRoadPub,mustOut,0.5230999582646564
d003,03ES,psngRoadPub,mustOut,0.6314836024999999
d004,03ES,psngRoadPub,mustOut,0.5037631413056586
d005,03ES,psngRoadPub,mustOut,0.5346822701459116
d006,03ES,psngRoadPub,mustOut,0.4682740456565975
d007,03ES,psngRoadPub,mustOut,0.5062205098433871
d008,03ES,psngRoadPub,mustOut,0.5444055773782557
d001,04ES,psngRoadPub,mustOut,0.5844037746496814
d002,04ES,psngRoadPub,mustOut,0.5230999582646564
d003,04ES,psngRoadPub,mustOut,0.6314836024999999
d004,04ES,psngRoadPub,mustOut,0.5037631413056586
d005,04ES,psngRoadPub,mustOut,0.5346822701459116
d006,04ES,psngRoadPub,mustOut,0.4682740456565975
d007,04ES,psngRoadPub,mustOut,0.5062205098433871
d008,04ES,psngRoadPub,mustOut,0.5444055773782557
d001,05ES,psngRoadPub,mustOut,0.5844037746496814
d002,05ES,psngRoadPub,mustOut,0.5230999582646564
d003,05ES,psngRoadPub,mustOut,0.6314836024999999
d004,05ES,psngRoadPub,mustOut,0.5037631413056586
d005,05ES,psngRoadPub,mustOut,0.5346822701459116
d006,05ES,psngRoadPub,mustOut,0.4682740456565975
d007,05ES,psngRoadPub,mustOut,0.5062205098433871
d008,05ES,psngRoadPub,mustOut,0.5444055773782557
d001,06ES,psngRoadPub,mustOut,0.5844037746496814
d002,06ES,psngRoadPub,mustOut,0.5230999582646564
d003,06ES,psngRoadPub,mustOut,0.6314836024999999
d004,06ES,psngRoadPub,mustOut,0.5037631413056586
d005,06ES,psngRoadPub,mustOut,0.5346822701459116
d006,06ES,psngRoadPub,mustOut,0.4682740456565975
d007,06ES,psngRoadPub,mustOut,0.5062205098433871
d008,06ES,psngRoadPub,mustOut,0.5444055773782557
d001,07ES,psngRoadPub,mustOut,0.5844037746496814
d002,07ES,psngRoadPub,mustOut,0.5230999582646564
d003,07ES,psngRoadPub,mustOut,0.6314836024999999
d004,07ES,psngRoadPub,mustOut,0.5037631413056586
d005,07ES,psngRoadPub,mustOut,0.5346822701459116
d006,07ES,psngRoadPub,mustOut,0.4682740456565975
d007,07ES,psngRoadPub,mustOut,0.5062205098433871
d008,07ES,psngRoadPub,mustOut,0.5444055773782557
d001,08ES,psngRoadPub,mustOut,0.5844037746496814
d002,08ES,psngRoadPub,mustOut,0.5230999582646564
d003,08ES,psngRoadPub,mustOut,0.6314836024999999
d004,08ES,psngRoadPub,mustOut,0.5037631413056586
d005,08ES,psngRoadPub,mustOut,0.5346822701459116
d006,08ES,psngRoadPub,mustOut,0.4682740456565975
d007,08ES,psngRoadPub,mustOut,0.5062205098433871
d008,08ES,psngRoadPub,mustOut,0.5444055773782557
d001,09ES,psngRoadPub,mustOut,0.5844037746496814
d002,09ES,psngRoadPub,mustOut,0.5230999582646564
d003,09ES,psngRoadPub,mustOut,0.6314836024999999
d004,09ES,psngRoadPub,mustOut,0.5037631413056586
d005,09ES,psngRoadPub,mustOut,0.5346822701459116
d006,09ES,psngRoadPub,mustOut,0.4682740456565975
d007,09ES,psngRoadPub,mustOut,0.5062205098433871
d008,09ES,psngRoadPub,mustOut,0.5444055773782557
d001,10ES,psngRoadPub,mustOut,0.5844037746496814
d002,10ES,psngRoadPub,mustOut,0.5230999582646564
d003,10ES,psngRoadPub,mustOut,0.6314836024999999
d004,10ES,psngRoadPub,mustOut,0.5037631413056586
d005,10ES,psngRoadPub,mustOut,0.5346822701459116
d006,10ES,psngRoadPub,mustOut,0.4682740456565975
d007,10ES,psngRoadPub,mustOut,0.5062205098433871
d008,10ES,psngRoadPub,mustOut,0.5444055773782557
d001,11ES,psngRoadPub,mustOut,0.5844037746496814
d002,11ES,psngRoadPub,mustOut,0.5230999582646564
d003,11ES,psngRoadPub,mustOut,0.6314836024999999
d004,11ES,psngRoadPub,mustOut,0.5037631413056586
d005,11ES,psngRoadPub,mustOut,0.5346822701459116
d006,11ES,psngRoadPub,mustOut,0.4682740456565975
d007,11ES,psngRoadPub,mustOut,0.5062205098433871
d008,11ES,psngRoadPub,mustOut,0.5444055773782557
d001,12PT,psngRoadPub,mustOut,0.5844037746496814
d002,12PT,psngRoadPub,mustOut,0.5230999582646564
d003,12PT,psngRoadPub,mustOut,0.6314836024999999
d004,12PT,psngRoadPub,mustOut,0.5037631413056586
d005,12PT,psngRoadPub,mustOut,0.5346822701459116
d006,12PT,psngRoadPub,mustOut,0.4682740456565975
d007,12PT,psngRoadPub,mustOut,0.5062205098433871
d008,12PT,psngRoadPub,mustOut,0.5444055773782557
d001,13PT,psngRoadPub,mustOut,0.5844037746496814
d002,13PT,psngRoadPub,mustOut,0.5230999582646564
d003,13PT,psngRoadPub,mustOut,0.6314836024999999
d004,13PT,psngRoadPub,mustOut,0.5037631413056586
d005,13PT,psngRoadPub,mustOut,0.5346822701459116
d006,13PT,psngRoadPub,mustOut,0.4682740456565975
d007,13PT,psngRoadPub,mustOut,0.5062205098433871
d008,13PT,psngRoadPub,mustOut,0.5444055773782557
d001,14FR,psngRoadPub,mustOut,0.5844037746496814
d002,14FR,psngRoadPub,mustOut,0.5230999582646564
d003,14FR,psngRoadPub,mustOut,0.6314836024999999
d004,14FR,psngRoadPub,mustOut,0.5037631413056586
d005,14FR,psngRoadPub,mustOut,0.5346822701459116
d006,14FR,psngRoadPub,mustOut,0.4682740456565975
d007,14FR,psngRoadPub,mustOut,0.5062205098433871
d008,14FR,psngRoadPub,mustOut,0.5444055773782557
d001,15FR,psngRoadPub,mustOut,0.5844037746496814
d002,15FR,psngRoadPub,mustOut,0.5230999582646564
d003,15FR,psngRoadPub,mustOut,0.6314836024999999
d004,15FR,psngRoadPub,mustOut,0.5037631413056586
d005,15FR,psngRoadPub,mustOut,0.5346822701459116
d006,15FR,psngRoadPub,mustOut,0.4682740456565975
d007,15FR,psngRoadPub,mustOut,0.5062205098433871
d008,15FR,psngRoadPub,mustOut,0.5444055773782557
d001,16FR,psngRoadPub,mustOut,0.5844037746496814
d002,16FR,psngRoadPub,mustOut,0.5230999582646564
d003,16FR,psngRoadPub,mustOut,0.6314836024999999
d004,16FR,psngRoadPub,mustOut,0.5037631413056586
d005,16FR,psngRoadPub,mustOut,0.5346822701459116
d006,16FR,psngRoadPub,mustOut,0.4682740456565975
d007,16FR,psngRoadPub,mustOut,0.5062205098433871
d008,16FR,psngRoadPub,mustOut,0.5444055773782557
d001,17FR,psngRoadPub,mustOut,0.5844037746496814
d002,17FR,psngRoadPub,mustOut,0.5230999582646564
d003,17FR,psngRoadPub,mustOut,0.6314836024999999
d004,17FR,psngRoadPub,mustOut,0.5037631413056586
d005,17FR,psngRoadPub,mustOut,0.5346822701459116
d006,17FR,psngRoadPub,mustOut,0.4682740456565975
d007,17FR,psngRoadPub,mustOut,0.5062205098433871
d008,17FR,psngRoadPub,mustOut,0.5444055773782557
d001,18FR,psngRoadPub,mustOut,0.5844037746496814
d002,18FR,psngRoadPub,mustOut,0.5230999582646564
d003,18FR,psngRoadPub,mustOut,0.6314836024999999
d004,18FR,psngRoadPub,mustOut,0.5037631413056586
d005,18FR,psngRoadPub,mustOut,0.5346822701459116
d006,18FR,psngRoadPub,mustOut,0.4682740456565975
d007,18FR,psngRoadPub,mustOut,0.5062205098433871
d008,18FR,psngRoadPub,mustOut,0.5444055773782557
d001,19FR,psngRoadPub,mustOut,0.5844037746496814
d002,19FR,psngRoadPub,mustOut,0.5230999582646564
d003,19FR,psngRoadPub,mustOut,0.6314836024999999
d004,19FR,psngRoadPub,mustOut,0.5037631413056586
d005,19FR,psngRoadPub,mustOut,0.5346822701459116
d006,19FR,psngRoadPub,mustOut,0.4682740456565975
d007,19FR,psngRoadPub,mustOut,0.5062205098433871
d008,19FR,psngRoadPub,mustOut,0.5444055773782557
d001,20FR,psngRoadPub,mustOut,0.5844037746496814
d002,20FR,psngRoadPub,mustOut,0.5230999582646564
d003,20FR,psngRoadPub,mustOut,0.6314836024999999
d004,20FR,psngRoadPub,mustOut,0.5037631413056586
d005,20FR,psngRoadPub,mustOut,0.5346822701459116
d006,20FR,psngRoadPub,mustOut,0.4682740456565975
d007,20FR,psngRoadPub,mustOut,0.5062205098433871
d008,20FR,psngRoadPub,mustOut,0.5444055773782557
d001,21FR,psngRoadPub,mustOut,0.5844037746496814
d002,21FR,psngRoadPub,mustOut,0.5230999582646564
d003,21FR,psngRoadPub,mustOut,0.6314836024999999
